0,1
"Adam, Seth, Enosh,","Adamu na Seti na Enoshi,"
"Kenan, Mahalalel, Jared,","na Kenani na Mahalaleli na Yaredi,"
"Enoch, Methuselah, Lamech, Noah.","na Henoki na Metusela na Lameki,"
"The sons of Noah: Shem, Ham and Japheth.",na Nowa na Shemu na Hamu na Yafeti.
"The sons of Gomer: Ashkenaz, Riphath and Togarmah.",Aba Gomeri ni Ashikenazi na Rifati na Togaruma.
"The sons of Ham: Cush, Egypt, Put and Canaan.",Aba Hamu ni Kushi na Misirayimu na Puti na Kanani.
"Egypt was the father of the Ludites, Anamites, Lehabites, Naphtuhites,","Misirayimu yakomōtsweko n’Abaludi n’Abanami n’Abalehabi n’Abanafutuhi,"
"Pathrusites, Kasluhites (from whom the Philistines came) and Caphtorites.","n’Abapatirusi n’Abakasiluhi (ni bo bākomōtsweko n’Abafilisitiya), kandi yakomōtsweko n’ Abakafutori."
"Jebusites, Amorites, Girgashites,","kandi Kanani ni we yakomōtsweko n’Abayebusi n’Abamori n’Abagirugashi,"
"Hivites, Arkites, Sinites,","n’Abahiwi n’Abaruki n’Abasini,"
"Arvadites, Zemarites and Hamathites.",n’Abaruvadi n’Abasemari n’Abahamati.
"Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,","Yokitani yavyaye Alumodadi na Shelefu na Hasarumaweti na Yera,"
"Hadoram, Uzal, Diklah,","na Hadoramu na Uzalu na Dikila,"
"Obal, Abimael, Sheba,","na Ebali na Abimayeli na Sheba,"
"Ophir, Havilah and Jobab. All these were sons of Joktan.",na Ofiru na Havila na Yobabu; abo bose ni bene Yokitani.
"Shem, Arphaxad, Shelah,","Shemu na Arupakisadi na Shela,"
"Eber, Peleg, Reu,","na Eberi na Pelegi na Reyu,"
"Serug, Nahor, Terah","na Serugi na Nahori na Tera,"
"and Abram (that is, Abraham).","na Aburamu, ari we Aburahamu."
The sons of Abraham: Isaac and Ishmael.,Bene Aburahamu ni Isaka na Ishimayeli.
"Mishma, Dumah, Massa, Hadad, Tema,","na Mishima na Duma na Masa na Hadadi na Tema,"
"Jetur, Naphish and Kedemah. These were the sons of Ishmael.",na Yeturi na Nafishi na Kedema; abo ni bo bana ba Ishimayeli.
"The sons of Esau: Eliphaz, Reuel, Jeush, Jalam and Korah.",Bene Esau ni Elifazi na Ruweli na Yushi na Yalamu na Kora.
"The sons of Reuel: Nahath, Zerah, Shammah and Mizzah.",Bene Ruweli ni Nahati na Zera na Shama na Miza.
"When Hadad died, Samlah from Masrekah succeeded him as king.","Hadadi atanze, Samula w’i Masireka asubira ku ngoma yiwe."
"Oholibamah, Elah, Pinon,","na Oholibama na Ela na Pinoni,"
"Kenaz, Teman, Mibzar,","na Kenazi na Temani na Mibusari,"
Magdiel and Iram. These were the chiefs of Edom.,na Magidiyeli na Iramu. Abo ni bo bakuru b’imiryango yakomōtse kuri Edomu.
"Dan, Joseph, Benjamin, Naphtali, Gad and Asher.",na Dani na Yosefu na Benyamini na Nafutali na Gadi na Asheri.
The sons of Perez: Hezron and Hamul.,Bene Peresi ni Hesironi na Hamuli.
The son of Ethan: Azariah.,Mwene Etani ni Azariya.
"The sons born to Hezron were: Jerahmeel, Ram and Caleb.",Kand’ abana Hesironi yavyaye ni Yerameyeli na Ramu na Kelubayi.
"the fourth Nethanel, the fifth Raddai,","uwa kane ni Netaneli, uwa gatanu ni Radayi,"
the sixth Ozem and the seventh David.,"uwa gatandatu ni Osemu, uw’ indwi ni Dawidi;"
"When Azubah died, Caleb married Ephrath, who bore him Hur.","Azuba apfuye, Kalebu yābīra Efurata, bavyarana Huri."
"Zabad the father of Ephlal, Ephlal the father of Obed,","Zabadi avyara Efulali, Efulali avyara Obedi;"
"Obed the father of Jehu, Jehu the father of Azariah,","Obedi avyara Yehu, Yehu avyara Azariya;"
"Azariah the father of Helez, Helez the father of Eleasah,","Azariya avyara Helesi, Helesi avyara Eleyasa;"
"Eleasah the father of Sismai, Sismai the father of Shallum,","Eleyasa avyara Sisimayi, Sisimayi avyara Shalumu;"
"The sons of Hebron: Korah, Tappuah, Rekem and Shema.",Bene Heburoni ni Kora na Tapuwa na Rekemu na Shema.
Caleb’s concubine Maakah was the mother of Sheber and Tirhanah.,"Kandi Mayaka, incoreke ya Kalebu, Kalebu amuvyarako Sheberi na Tiruhana."
"There were also Ibhar, Elishua, Eliphelet,","avyara na Ibuhari na Elishama na Elifeleti,"
"Nogah, Nepheg, Japhia,","na Noga na Nefegi na Yafiya,"
"Elishama, Eliada and Eliphelet—nine in all.",na Elishama na Eliyada na Elifeleti ukw ar icenda.
"Jehoram his son, Ahaziah his son, Joash his son,","uwa Yehoshafati ni Yoramu, uwa Yoramu ni Ahaziya, uwa Ahaziya ni Yowasi;"
"Amaziah his son, Azariah his son, Jotham his son,","uwa Yowasi ni Amaziya, uwa Amaziya ni Uziya, uwa Uziya ni Yotamu;"
"Ahaz his son, Hezekiah his son, Manasseh his son,","uwa Yotamu ni Ahazi, uwa Ahazi ni Hezekiya, uwa Hezekiya ni Manase;"
"Amon his son, Josiah his son.","uwa Manase ni Amoni, uwa Amoni ni Yosiya."
"The successors of Jehoiakim: Jehoiachin his son, and Zedekiah.","Umuhungu wa Yehoyakimu ni Yekoniya, uwa Yekoniya ni Zedekiya."
"The descendants of Jehoiachin the captive: Shealtiel his son,","Abo Yekoniya yavyaye ar’ imbohe ni Sheyalutiyeli,"
"Malkiram, Pedaiah, Shenazzar, Jekamiah, Hoshama and Nedabiah.",na Malikiramu na Pedaya na Shenasari na Yekamiya na Hoshama na Nedabiya.
"The sons of Neariah: Elioenai, Hizkiah and Azrikam—three in all.","bene Neyariya ni Eliyowenayi na Hizikiya na Azurikamu, ukw ari batatu."
"The descendants of Judah: Perez, Hezron, Karmi, Hur and Shobal.",Abākomōtse kuri Yuda ni Peresi na Hesironi na Karumi na Huri na Shobali.
"The sons of Helah: Zereth, Zohar, Ethnan,",Kuri Hela avyara Zereti na Isuhari na Etunani.
"The sons of Jehallelel: Ziph, Ziphah, Tiria and Asarel.",Bene Yehaleleli ni Zifu na Zifa na Tiriya na Asareli.
"The descendants of Simeon: Nemuel, Jamin, Jarib, Zerah and Shaul;",Bene Simeyoni ni Nemuweli na Yamini na Yaribu na Zera na Shauli.
"They lived in Beersheba, Moladah, Hazar Shual,","Kandi bāba i Beri‐sheba n’i Molada n’i Hazari‐shuwali,"
"Bilhah, Ezem, Tolad,","n’i Biluha n’i Esemu n’i Toladi,"
