0,1
"Mizpah, Kephirah, Mozah,","na Misipe na Kefira na Mosa,"
"Again his Jewish opponents picked up stones to stone him,","Bun’ Abayuda bongera gutora amabuye, ngo bayamutere."
What do workers gain from their toil?,Mbeg’ ūkora aronka inyungu ki mu vyamutamije?
"As for Rehabiah, from his sons: Ishiah was the first.","ku vya Rehebiya, mu bana biwe Ishiya ni we yar’ umukuru;"
"The first lot fell to Jehoiarib, the second to Jedaiah,","Ubupfindo bga mbere bgerekana Yehoyaribu, ubga kabiri Yedaya;"
Ahinadab son of Iddo—in Mahanaim;,na Ahinadabu mwene Ido yatoza ivy’ i Mahanayimu;
The Israelites left Rameses and camped at Sukkoth.,"Nukw Abisirayeli ni kwo kuvuduka i Ramesesi, basagaza i Sukoti."
We submitted to Egypt and Assyria to get enough bread.,"Twakomeye amashi Abanyegiputa, N’Abashuri kugira ngo turonke utwo kurya two kwisama."
The word of the Lord came to Solomon:,"Bukeye ijambo ry’Uhoraho riza kuri Salomo,"
All the believers were together and had everything in common.,"Abizeye bose bāba hamwe, basangira ivyabo vyose:"
"This is good, and pleases God our Savior,","Ivyo ni vyo vyiza vyemerwa mu nyonga z’Imana Umukiza wacu,"
"Obal, Abimael, Sheba,",na Obalu na Abimayeli na Sheba
"and 32,000 women who had never slept with a man.",n’ abantu ibihumbi mirongwitatu na bibiri vy’abakobga batigeze kumenya icitwa umugabo.
Whoever has accepted it has certified that God is truthful.,Uwemeye ugushinga intahe kwiwe aba ateye igikumu ngw Imana n’iy’ ukuri.
Greet all God’s people with a holy kiss.,Muramukishe bene Data kugumbirana kwera.
The chief priests accused him of many things.,Abaherezi bakuru bamurega vyinshi.
"Pray that I may proclaim it clearly, as I should.",kugira ngo ndariserure nk’uko nkwiye kuvuga.
"in Jeshua, in Moladah, in Beth Pelet,","n’i Yeshuwa n’i Molada n’i Beti‐peleti,"
of Azmaveth 42,Ab’i Azimaveti ni mirongwine na babiri.
"The rest seized his servants, mistreated them and killed them.","Abasigaye bafata abo bagendanyi biwe, babakorera ibara, barabica."
"Listen to my words, Lord , consider my lament.","Uhoraho, tegera ugutwi amajambo yanje, Ushire umutima ku majojwa yanje."
"For my eyes have seen your salvation,","Kukw amaso yanje abonye agakiza kawe,"
"the eleventh to Eliashib, the twelfth to Jakim,","ubg’ icumi na rimwe Eliyashibu, ubg’ icumi na kabiri Yakimu;"
"They told him, “Jesus of Nazareth is passing by.”","Barayibgira, bati Ni Yesu Umunyanazareti ahita."
"the second row was turquoise, lapis lazuli and emerald;",mu wa kabiri har’ utwitwa nofekina na safiro na yahalomu;
"The number from the tribe of Judah was 74,600.",abāharūwe bo mu muryango wa Yuda baba ibihumbi mirongwirindwi n’amajana atandatu.
The musicians: the descendants of Asaph 128,Abaririmvyi bo mu ba Asafu n’ijana na mirongwibiri n’umunani.
"by me princes govern, and nobles—all who rule on earth.","Ni jewe mpa abaganza kuganza, N’abaganwa, eka mbere n’abacamanza bose bo mw isi."
"of Elam 1,254",Abo mu ba Elamu n’igihumbi n’amajana abiri na mirongwitanu na bane.
"The Lord said to Moses,","Uhoraho abarira Mose,"
They all lose heart; they come trembling from their strongholds.,"Abanyamahanga barakabiranye, Bava mu binyegero vyabo bahinda agashitsi."
reject every kind of evil.,mwirinde icitwa ikibi cose.
Moses then left Pharaoh and prayed to the Lord .,"Nuko Mose arasohoka, ava imbere ya Farawo, atakambira Uhoraho."
"the fifteenth to Jerimoth, his sons and relatives 12","ubg’ icumi na gatanu bgerekana Yeremoti n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"Shem, Arphaxad, Shelah,","Shemu na Arupakisadi na Shela,"
"Therefore, my dear friends, flee from idolatry.","Nuko, abo nkunda, ni muhunge gusenga ibigirwamana."
"The number from the tribe of Naphtali was 53,400.",abāharūwe bo mu muryango wa Nafutali baba ibihumbi mirongwitanu na bitatu n’amajana ane.
"“And now, you priests, this warning is for you.","Nuko rero mwa baherezi mwe, iri bgirizwa ni mwebge ndaribgirije."
"of Malluk’s, Jonathan; of Shekaniah’s, Joseph;",mu ba Maluki ni Yonatani; mu ba Shebaniya ni Yosefu;
"The Lord said to Moses,","Uhoraho abarira Mose,"
"Although they claimed to be wise, they became fools","Biyise abanyabgenge bacika ibipfu,"
"in Hadid, Zeboim and Neballat,","n’i Hadidi n’i Seboyimu n’i Nebalati,"
"Bakbuk, Hakupha, Harhur,","no mu ba Bakibuki, no mu ba Hakufa, no mu ba Harihuri,"
“All this I have spoken while still with you.,"Ivyo ndabibabariye nkiri kumwe namwe,"
"From the descendants of Harim: Eliezer, Ishijah, Malkijah, Shemaiah, Shimeon,","Mu ba Harimu, ni Eliyezeri na Ishiya na Malikiya na Shemaya na Simeyoni,"
"the sixteenth to Hananiah, his sons and relatives 12","ubg’ icumi na gatandatu bgerekana Hananiya n’abigishwa biwe na bagenzi biwe, bose na bose bār’ icumi na babiri;"
"next, Jehohanan the commander, with 280,000;","uwamukurikira ni Yehohanani, na we yagaba ibihumbi amajana abiri na mirongumunani,"
"perseverance, character; and character, hope.",kand’ ukwihangana kugatera kudatsindwa no kugeragezwa; kudatsindwa no kugeragezwa kugatera kwizigira ibitaraba;
"The Lord said to Moses,","Uhoraho abarira Mose,"
"and mirrors, and the linen garments and tiaras and shawls.","n’ivyirore, n’imvune zera, n’ibitambara bīteze mu mutwe, n’ubuyonga."
The matter distressed Abraham greatly because it concerned his son.,Aburahamu ababazwa cane n’ ivy’ uwo mwana wiwe.
of Beth Azmaveth 42,Abagabo b’i Beti‐azimaveti ni mirongwine na babiri.
Then Elihu said:,"Nuko Elihu akomeza amajambo yiwe,"
"72,000 cattle,","n’ inka ibihumbi mirongwirindwi na bibiri,"
"After this, we started on our way up to Jerusalem.","Hanyuma y’iyo misi dutekera ibintu vyacu, turadūga tuja i Yerusalemu."
"one gold dish weighing ten shekels, filled with incense;","n’agakombe kamwe k’izahabu, kuriba kwako ni shekeli cumi; kari kuzuye imibavu;"
Rise! Let us go! Here comes my betrayer!”,"Ni muvyuke, tugende, eh’ ūnguze ari hafi."
All these evils come from inside and defile a person.”,ivyo bibi vyose biva imbere ni vyo bihumanya umuntu.
Solomon reigned in Jerusalem over all Israel forty years.,"Nukw igihe cose Salomo yamaze ari ku ngoma aganza Abisirayeli bose ar’ i Yerusalemu, cabaye imyaka mirongwine."
