,0,1,2
1CH.1.1,"Adam, Seth, Enosh,","Adamu na Seti na Enoshi,","Adam , Seth, Enosh,"
1CH.1.2,"Kenan, Mahalalel, Jared,","na Kenani na Mahalaleli na Yaredi,","Qénân, Mahalaléel, Yéred,"
1CH.1.3,"Enoch, Methuselah, Lamech, Noah.","na Henoki na Metusela na Lameki,","Hénok, Mathusalem, Lémek,"
1CH.1.4,"The sons of Noah: Shem, Ham and Japheth.",na Nowa na Shemu na Hamu na Yafeti.,"Noé, Sem, Cham et Japhet."
1CH.1.5,"The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshek and Tiras.",Aba Yafeti ni Gomeri na Magogi na Madayi na Yavani na Tubalu na Mesheki na Tirasi.,"Fils de Japhet : Gomer, Magog, Madaï, Yavân, Toubal, Méshek et Tiras."
1CH.1.6,"The sons of Gomer: Ashkenaz, Riphath and Togarmah.",Aba Gomeri ni Ashikenazi na Rifati na Togaruma.,"Fils de Gomer : Ashkenaz, Diphath et Togarma."
1CH.1.7,"The sons of Javan: Elishah, Tarshish, the Kittites and the Rodanites.",Aba Yavani ni Elisha na Tarushishi na Kitimu na Dodanimu.,"Fils de Yavân : Elisha, Tarsis, Kittim et Dodanim ."
1CH.1.8,"The sons of Ham: Cush, Egypt, Put and Canaan.",Aba Hamu ni Kushi na Misirayimu na Puti na Kanani.,"Fils de Cham : Koush, Mitsraïm, Pouth et Canaan."
1CH.1.9,"The sons of Cush: Seba, Havilah, Sabta, Raamah and Sabteka. The sons of Raamah: Sheba and Dedan.",Aba Kushi ni Seba na Havila na Sabuta na Rama na Sabuteka. Bene Rama ni Sheba na Dedani.,"Fils de Koush : Seba, Havila, Sabta, Raema et Sabteka. Fils de Raema : Sheba et Dedân."
1CH.1.10,"Cush was the father of Nimrod, who became a mighty warrior on earth.",Kandi Kushi yavyaye na Nimurodi: ni we wa mbere yabaye cīhabugabo mw isi.,Koush fut le père de Nimrod qui se mit à exercer un grand pouvoir sur la terre.
1CH.1.11,"Egypt was the father of the Ludites, Anamites, Lehabites, Naphtuhites,","Misirayimu yakomōtsweko n’Abaludi n’Abanami n’Abalehabi n’Abanafutuhi,","Mitsraïm fut l’ancêtre des Loudim, des Anamim, des Lehabim, des Naphtouim,"
1CH.1.12,"Pathrusites, Kasluhites (from whom the Philistines came) and Caphtorites.","n’Abapatirusi n’Abakasiluhi (ni bo bākomōtsweko n’Abafilisitiya), kandi yakomōtsweko n’ Abakafutori.","des Patrousim, des Kaslouhim – dont sont issus les Philistins – et des Crétois."
1CH.1.13,"Canaan was the father of Sidon his firstborn, and of the Hittites,","Kanani yavyaye imfura yiwe Sidoni, akurikizako Heti:","Canaan eut pour fils Sidon, son aîné, et Heth."
1CH.1.14,"Jebusites, Amorites, Girgashites,","kandi Kanani ni we yakomōtsweko n’Abayebusi n’Abamori n’Abagirugashi,","De lui descendent les Yebousiens, les Amoréens, les Guirgasiens,"
1CH.1.15,"Hivites, Arkites, Sinites,","n’Abahiwi n’Abaruki n’Abasini,","les Héviens, les Arqiens, les Siniens,"
1CH.1.16,"Arvadites, Zemarites and Hamathites.",n’Abaruvadi n’Abasemari n’Abahamati.,"les Arvadiens, les Tsemariens et les Hamathiens."
1CH.1.17,"The sons of Shem: Elam, Ashur, Arphaxad, Lud and Aram. The sons of Aram: Uz, Hul, Gether and Meshek.",Aba Shemu ni Elamu na Ashuri na Arupakisadi na Ludi na Aramu na Uzi na Huli na Geteri na Mesheki.,"Les descendants de Sem furent : Elam, Assour, Arpakshad, Loud et Aram. Les descendants d’Aram furent : Outs, Houl, Guéter et Méshek."
1CH.1.18,"Arphaxad was the father of Shelah, and Shelah the father of Eber.",Arupakisadi yavyaye Shela; Shela yavyaye Eberi.,"Arpakshad eut pour fils Shélah, et Shélah eut pour fils Héber."
1CH.1.19,"Two sons were born to Eber: One was named Peleg, because in his time the earth was divided; his brother was named Joktan.","Eberi yavyaye abahungu babiri: umwe yitwa Pelegi, kuko mu gihe ciwe ari ho isi yagabanganirijwe; murumuna we yitwa Yokitani.","Héber eut deux fils : l’un s’appelait Péleg (Partage) parce que de son temps la terre fut partagée, et son frère s’appelait Yoqtân."
1CH.1.20,"Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,","Yokitani yavyaye Alumodadi na Shelefu na Hasarumaweti na Yera,","Yoqtân eut pour fils Almodad, Shéleph, Hatsarmaveth, Yérah,"
1CH.1.21,"Hadoram, Uzal, Diklah,","na Hadoramu na Uzalu na Dikila,","Hadoram, Ouzal, Diqla,"
1CH.1.22,"Obal, Abimael, Sheba,","na Ebali na Abimayeli na Sheba,","Obal , Abimaël, Saba,"
1CH.1.23,"Ophir, Havilah and Jobab. All these were sons of Joktan.",na Ofiru na Havila na Yobabu; abo bose ni bene Yokitani.,"Ophir, Havila et Yobab. Tous ceux-là étaient des descendants de Yoqtân."
1CH.1.24,"Shem, Arphaxad, Shelah,","Shemu na Arupakisadi na Shela,","Sem , Arpakshad , Shélah,"
1CH.1.25,"Eber, Peleg, Reu,","na Eberi na Pelegi na Reyu,","Héber, Péleg, Reou,"
1CH.1.26,"Serug, Nahor, Terah","na Serugi na Nahori na Tera,","Seroug, Nahor, Térah,"
1CH.1.27,"and Abram (that is, Abraham).","na Aburamu, ari we Aburahamu.","Abram, c’est-à-dire Abraham."
1CH.1.28,The sons of Abraham: Isaac and Ishmael.,Bene Aburahamu ni Isaka na Ishimayeli.,Abraham eut pour fils : Isaac et Ismaël.
1CH.1.29,"These were their descendants: Nebaioth the firstborn of Ishmael, Kedar, Adbeel, Mibsam,","Uru ni rwo ruvyaro rwabo: imfura ya Ishimayeli ni Nebayoti, hakurikira Kedari na Adibeli na Mibusamu,","Voici leur postérité : le fils aîné d’Ismaël s’appelait Nebayoth, puis viennent Qédar, Adbéel, Mibsam,"
1CH.1.30,"Mishma, Dumah, Massa, Hadad, Tema,","na Mishima na Duma na Masa na Hadadi na Tema,","Mishma, Douma, Massa, Hadad, Téma,"
1CH.1.31,"Jetur, Naphish and Kedemah. These were the sons of Ishmael.",na Yeturi na Nafishi na Kedema; abo ni bo bana ba Ishimayeli.,"Yetour, Naphish et Qedma. Tels sont les fils d’Ismaël."
1CH.1.32,"The sons born to Keturah, Abraham’s concubine: Zimran, Jokshan, Medan, Midian, Ishbak and Shuah. The sons of Jokshan: Sheba and Dedan.","Aba ni bo bana Ketura, incoreke ya Aburahamu, yavyaranye na we: avyara Zimurani na Yokishani na Medani na Midiyani na Yishibaki na Shuwa. Bene Yokishani ni Sheba na Dedani.","Qetoura , épouse de second rang d’Abraham, donna naissance à Zimrân, Yoqshân, Medân, Madian, Yishbaq et Shouah. Fils de Yoqshân : Saba et Dedân."
1CH.1.33,"The sons of Midian: Ephah, Epher, Hanok, Abida and Eldaah. All these were descendants of Keturah.",Bene Midiyani ni Efa na Eferi na Hanoki na Abida na Eludaya. Abo bose n’uruvyaro rwa Ketura.,"Fils de Madian : Epha, Epher, Hénok, Abida et Eldaa. Tous ceux-là sont les descendants de Qetoura."
