,0,1,2
1CO.1.1,"Paul, called to be an apostle of Christ Jesus by the will of God, and our brother Sosthenes,","Jewe Paulo, nahamagariwe kuba intumwa ya Yesu Kristo, nk’ukw Imana yagomvye, na Sositene mwene Data,","Paul, qui a été appelé, par la volonté de Dieu, à être un apôtre de Jésus-Christ, et le frère Sosthène ,"
1CO.1.2,"To the church of God in Corinth, to those sanctified in Christ Jesus and called to be his holy people, together with all those everywhere who call on the name of our Lord Jesus Christ—their Lord and ours:","turabandikiye mwebge abo mw ishengero ry’Imana ry’i Korinto, bejejwe muri Kristo Yesu, bāhamagariwe kuba abera, hamwe na bose bambariza ahantu hose izina ry’Umwami wacu Yesu Kristo, ni we Mwami wabo n’uwacu.","saluent l’Eglise de Dieu établie à Corinthe, ceux qui ont été purifiés de leurs péchés dans l’union avec Jésus-Christ et qui ont été appelés à faire partie du peuple saint, ainsi que tous ceux qui, en quelque lieu que ce soit, font appel à notre Seigneur Jésus-Christ, leur Seigneur comme le nôtre."
1CO.1.3,Grace and peace to you from God our Father and the Lord Jesus Christ.,"Ubuntu n’amahoro bibe muri mwebge, biva ku Mana Data wa twese no ku Mwami Yesu Kristo.",Que la grâce et la paix vous soient accordées par Dieu notre Père et par le Seigneur Jésus-Christ.
1CO.1.4,I always thank my God for you because of his grace given you in Christ Jesus.,"Ndashima Imana yanje na ntaryo kubganyu, kubg’ ubuntu bg’Imana mwahērewe muri Kristo Yesu:",Je ne cesse d’exprimer ma reconnaissance à mon Dieu à votre sujet pour la grâce qu’il vous a accordée dans l’union avec Jésus-Christ.
1CO.1.5,For in him you have been enriched in every way—with all kinds of speech and with all knowledge—,"kuko muri vyose mwatungiye muri we, mu vyo muvuga vyose, no mu bgenge bgose,","En effet, vous avez été comblés en lui dans tous les domaines, en particulier celui de la parole et celui de la connaissance,"
1CO.1.6,God thus confirming our testimony about Christ among you.,kuk’ ugushingira intahe Kristo kwakomejwe muri mwebge.,dans la mesure même où la vérité dont Christ est le témoin a été fermement établie chez vous .
1CO.1.7,Therefore you do not lack any spiritual gift as you eagerly wait for our Lord Jesus Christ to be revealed.,"Bituma mutagira ingabire n’imwe muhaza, mwiteze guhishurwa kw’ Umwami wacu Yesu Kristo.","Ainsi, il ne vous manque aucun don de la grâce divine tandis que vous attendez le moment où notre Seigneur Jésus-Christ apparaîtra."
1CO.1.8,"He will also keep you firm to the end, so that you will be blameless on the day of our Lord Jesus Christ.","Ni we azobakomeza gushitsa kw iherezo, kugira ngo ntimuze mugawe kuri wa musi w’Umwami wacu Yesu Kristo.","Lui-même, d’ailleurs, vous rendra forts jusqu’à la fin, pour que vous soyez irréprochables au jour de notre Seigneur Jésus-Christ."
1CO.1.9,"God is faithful, who has called you into fellowship with his Son, Jesus Christ our Lord.","Imana n’iyo kwizerwa, yabahamagariye kugirirana ubumwe n’Umwana wayo Yesu Kristo Umwami wacu.","Car Dieu, qui vous a appelés à être en communion avec son Fils, notre Seigneur Jésus-Christ, est fidèle."
1CO.1.10,"I appeal to you, brothers and sisters, in the name of our Lord Jesus Christ, that all of you agree with one another in what you say and that there be no divisions among you, but that you be perfectly united in mind and thought.","Ariko ndabinginga, bene Data, mw izina ry’Umwami wacu Yesu Kristo, mwese mube imvugarimwe, kandi n’ibice ntibiremwe muri mwebge, ariko mutunganywe rwose hamwe, muhūje umutima n’inama.","Il faut cependant, frères et sœurs, que je vous adresse une recommandation instante, et c’est au nom de notre Seigneur Jésus-Christ que je le fais. Vivez tous ensemble en pleine harmonie ! Ne laissez pas de division s’introduire entre vous ! Soyez parfaitement unis en ayant une même conviction, une même façon de penser !"
1CO.1.11,"My brothers and sisters, some from Chloe’s household have informed me that there are quarrels among you.","Kuko nabariwe ivyanyu, bene Data, n’abo kwa Kilowe, yuko har’ imitongano muri mwebge.","En effet, mes frères et sœurs, j’ai été informé par les gens de la maison de Chloé que la discorde règne parmi vous."
1CO.1.12,"What I mean is this: One of you says, “I follow Paul”; another, “I follow Apollos”; another, “I follow Cephas ”; still another, “I follow Christ.”","Ico mvuze n’iki, yuk’ umuntu wese muri mwebge avuga, ati Jeho nd’uwa Paulo; uwundi ati Jeho nd’uwa Apolo; uwundi ati Jeho nd’uwa Kefa; uwundi ati Jeho nd’uwa Kristo.","Voici ce que je veux dire : chacun de vous tient ce type de langage : « Pour moi, c’est Paul ! » ou : « Pour moi, c’est Apollos ! » ou : « Pour moi, c’est Pierre ! » ou encore : « Pour moi, c’est Christ ! »"
1CO.1.13,Is Christ divided? Was Paul crucified for you? Were you baptized in the name of Paul?,Mbega Kristo aragabanijwemw’ ibice? Paulo yarababambiwe? Canke mwabatijwe mw izina rya Paulo?,Voyons : Christ serait-il divisé ? Paul aurait-il été crucifié pour vous ? Ou bien est-ce au nom de Paul que vous avez été baptisés ?
1CO.1.14,"I thank God that I did not baptize any of you except Crispus and Gaius,","Nshimira Imana yukw ata n’umwe nabatije muri mwebge, atari Kirisipo na Gayo;","Je remercie Dieu de n’avoir baptisé aucun de vous, sauf Crispus et Gaïus ."
1CO.1.15,so no one can say that you were baptized in my name.,kugira ngo ntihagire umuntu avuga yuko mwabatijwe mw izina ryanje.,"Personne, en tout cas, ne peut prétendre avoir été baptisé en mon nom."
1CO.1.16,"(Yes, I also baptized the household of Stephanas; beyond that, I don’t remember if I baptized anyone else.)","Kandi nabatije n’abo kwa Stefana: atar’ abo, sinzi ko har’ uwundi nabatije.","– Ah si ! J’ai baptisé encore les gens de la maison de Stéphanas. A part ceux-là, je crois n’avoir baptisé personne."
1CO.1.17,"For Christ did not send me to baptize, but to preach the gospel—not with wisdom and eloquence, lest the cross of Christ be emptied of its power.","Kuko Kristo atāntumye kubatiza, ariko yantumye kuvuga ubutumwa bgiza, ntavugishije ubgenge bg’amajambo, kugira ng’ umusaraba wa Kristo ntucīke ubusa.","Car ce n’est pas pour baptiser que Christ m’a envoyé, c’est pour proclamer l’Evangile. Et cela, sans recourir à la sagesse des beaux discours, afin de ne pas vider de son sens la mort de Christ sur la croix."
1CO.1.18,"For the message of the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God.","Kukw ijambo ry’umusaraba ku bahona ar’ ubupfu, ariko kuri twebge abakizwa n’ubushobozi bg’Imana.","En effet, la prédication de la mort de Christ sur une croix est une folie aux yeux de ceux qui se perdent. Mais pour nous qui sommes sauvés, elle est la puissance même de Dieu."
