,0,1,2
1JN.1.1,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked at and our hands have touched—this we proclaim concerning the Word of life.","Icariho uhereye ubga mbere na mbere, ico twumvise, ico twabonye n’amaso yacu, ico twitegereje, intoke zacu zikagikorako, ivyo kuri Jambo w’ubugingo —","Nous vous annonçons le message de celui qui est la vie . Nous vous annonçons ce qui était dès le commencement : nous l’avons entendu, nous l’avons vu de nos propres yeux, nous l’avons contemplé et nos mains l’ont touché. –"
1JN.1.2,"The life appeared; we have seen it and testify to it, and we proclaim to you the eternal life, which was with the Father and has appeared to us.","kand’ ubgo bugingo bgarerekanywe, turabubona, turabushingira intahe, kandi turababarira ivy’ ubgo bugingo budashira, bgamanye na Data wa twese, tukabgerekwa —","Celui qui est la vie s’est manifesté : nous l’avons vu, nous en parlons en témoins et nous vous annonçons la vie éternelle qui était auprès du Père et qui s’est manifestée pour nous. –"
1JN.1.3,"We proclaim to you what we have seen and heard, so that you also may have fellowship with us. And our fellowship is with the Father and with his Son, Jesus Christ.","ico twabonye tukacumva ni co tubabgira namwe, kugira ngo namwe mufatanye natwe. Kandi natwe dufatanije na Data wa twese n’Umwana wiwe Yesu Kristo.","Oui, ce que nous avons vu et entendu, nous vous l’annonçons, à vous aussi, afin que vous aussi vous soyez en communion avec nous. Or, la communion dont nous jouissons est avec le Père et avec son Fils Jésus-Christ."
1JN.1.4,We write this to make our joy complete.,Twanditse ivyo kugira ng’ umunezero wacu wuzure.,"Si nous vous écrivons ces choses, c’est pour que notre joie soit complète."
1JN.1.5,This is the message we have heard from him and declare to you: God is light; in him there is no darkness at all.,"Ubu ni bgo butumwa twumvise bgavuye kuri we, tukabubabgira, yukw Imana ar’ umuco, kandi muri yo ko hatagira umwiza na mukeya.",Voici le message que nous avons entendu de Jésus-Christ et que nous vous annonçons : Dieu est lumière et il n’y a aucune trace de ténèbres en lui.
1JN.1.6,"If we claim to have fellowship with him and yet walk in the darkness, we lie and do not live out the truth.","Tuvuze yuko dufatanije na yo, tukagendera mu mwiza, kuba ar’ ukubesha, ntituba dukora ivy’ ukuri.","Si nous prétendons être en communion avec lui, tout en vivant dans les ténèbres, nous sommes des menteurs et nous n’agissons pas comme la vérité l’exige."
1JN.1.7,"But if we walk in the light, as he is in the light, we have fellowship with one another, and the blood of Jesus, his Son, purifies us from all sin.","Ariko tugendeye mu muco, nk’uko na yo iri mu muco, tuba dufatanije ubgacu, kand’ amaraso ya Yesu Umwana wayo atwoza icaha cose.","Mais si nous vivons dans la lumière, tout comme Dieu lui-même est dans la lumière, alors nous sommes en communion les uns avec les autres et, parce que Jésus, son Fils, a versé son sang, nous sommes purifiés de tout péché."
1JN.1.8,"If we claim to be without sin, we deceive ourselves and the truth is not in us.","Tuvuze yukw ata caha dufise, tuba twizimiza, ukuri ntikuba kuri muri twebge.","Si nous prétendons n’être coupables d’aucun péché, nous sommes dans l’illusion, et la vérité n’habite pas en nous."
1JN.1.9,"If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness.","Ni twatura ivyaha vyacu, ni yo yo kwizigirwa kand’ igororoka, ivyo ni vyo bituma iduharira ivyaha vyacu, ikatwoza ukugabitanya kwose.","Si nous reconnaissons nos péchés, Dieu est fidèle et juste et, par conséquent, il nous pardonnera nos péchés et nous purifiera de tout le mal que nous avons commis."
1JN.1.10,"If we claim we have not sinned, we make him out to be a liar and his word is not in us.","Tuvuze yukw ata caha twakoze, tuba tuyigize umubeshi, kandi n’ijambo ryayo riba ritari muri twebge.","Si nous prétendons ne pas être pécheurs, nous faisons de Dieu un menteur et sa Parole n’est pas en nous."
1JN.2.1,"My dear children, I write this to you so that you will not sin. But if anybody does sin, we have an advocate with the Father—Jesus Christ, the Righteous One.","Bana banje bato, mbandikiye ivyo kugira ngo ntimukore icaha. Kandi ni hagira umuntu akora icaha, dufise Umwitsa kuri Data wa twese, ni Yesu Kristo umugororotsi,","Mes chers enfants, je vous écris ceci afin que vous ne péchiez pas. Si, toutefois, il arrivait à quelqu’un de commettre un péché, nous avons un Défenseur auprès du Père : Jésus-Christ le juste."
1JN.2.2,"He is the atoning sacrifice for our sins, and not only for ours but also for the sins of the whole world.","kand’ uwo ni we mpongano y’ivyaha vyacu, mugabo s’iy’ ivyacu twenyene, ariko n’iy’ ivy’ abari mw isi bose.","Car il a expié nos péchés , et pas seulement les nôtres, mais ceux de gens du monde entier."
1JN.2.3,We know that we have come to know him if we keep his commands.,"Iki ni co kitumenyesha ko tumuzi, ni twitondera ivyagezwe na we.",Voici comment nous savons que nous connaissons Christ : c’est parce que nous obéissons à ses commandements.
1JN.2.4,"Whoever says, “I know him,” but does not do what he commands is a liar, and the truth is not in that person.","Ūvuga ngo Ndamuzi, ntiyitondere ivyagezwe vyiwe, n’umubeshi, ukuri ntikuri muri we.","Si quelqu’un dit : « Je le connais » sans obéir à ses commandements, c’est un menteur et la vérité n’est pas en lui."
1JN.2.5,"But if anyone obeys his word, love for God is truly made complete in them. This is how we know we are in him:","Arik’ uwitondera ijambo ryiwe wese, ugukunda Imana kuba guhīngūwe muri we vy’ukuri. Iki ni co kitumenyesha ko turi muri we:",Celui qui observe sa Parole a vraiment pour Dieu un amour parvenu à sa pleine maturité. C’est ainsi que nous savons que nous sommes unis à lui.
1JN.2.6,Whoever claims to live in him must live as Jesus did.,"ūvuga kw ahora muri we, akwiye na we kugenda nk’uk’ uwo yagenda.",Celui qui prétend qu’il demeure en Christ doit aussi vivre comme Christ lui-même a vécu.
1JN.2.7,"Dear friends, I am not writing you a new command but an old one, which you have had since the beginning. This old command is the message you have heard.","Abo nkunda, s’icagezwe gisha mbandikiye, ariko n’icagezwe ca kera, mwamanye uhereye mbere na mbere: ico cagezwe ca kera ni co rya jambo mwumvise.","Mes chers amis, ce n’est pas un nouveau commandement que je vous écris : il s’agit d’un commandement ancien que vous avez reçu dès le commencement, et ce commandement ancien, c’est le message que vous avez entendu."
1JN.2.8,"Yet I am writing you a new command; its truth is seen in him and in you, because the darkness is passing and the true light is already shining.","Kandi ndabandikira icagezwe gisha, kand’ ico n’ic’ ukuri muri we no muri mwebge: kuk’ umwiza urik’ urashira, umuco w’ukuri umaze kwaka.","Mais en même temps, c’est un commandement nouveau que je vous écris, et l’on en voit la réalisation en Christ et en vous, car les ténèbres se dissipent et la lumière véritable brille déjà ."
1JN.2.9,Anyone who claims to be in the light but hates a brother or sister is still in the darkness.,"Ūvuga kw ari mu muco, akanka mwene Data wundi, aba akiri mu mwiza na bugingo n’ubu.","Celui qui prétend être dans la lumière tout en détestant son frère, est encore présentement dans les ténèbres."
1JN.2.10,"Anyone who loves their brother and sister lives in the light, and there is nothing in them to make them stumble.","Ūkunda mwene Data wundi aguma mu muco, nta gitsitaza kiri muri we.","Celui qui aime son frère demeure dans la lumière, et rien en lui ne risque de causer sa chute."
1JN.2.11,"But anyone who hates a brother or sister is in the darkness and walks around in the darkness. They do not know where they are going, because the darkness has blinded them.","Arik’ uwanka mwene Data wundi ari mu mwiza, kand’ agendera mu mwiza, ntazi iy’ aja, kuk’ umwiza wamuhumishije amaso.","Mais celui qui déteste son frère est dans les ténèbres : il marche dans les ténèbres sans savoir où il va, parce que les ténèbres l’ont rendu aveugle."
1JN.2.12,"I am writing to you, dear children, because your sins have been forgiven on account of his name.","Ndabandikiye bana bato, kukw ivyaha vyanyu mwabihariwe kubg’ izina ryiwe.","Je vous écris ceci, enfants : vos péchés vous sont pardonnés grâce à Jésus-Christ."
1JN.2.13,"I am writing to you, fathers, because you know him who is from the beginning. I am writing to you, young men, because you have overcome the evil one.","Ndabandikiye ba se, kuko mwamenye uwahereye ubga mbere na mbere. Ndabandikiye misore, kuko mwanesheje wa Mubi. Narabandikiye bana bato, kuko muzi Data wa twese.","Je vous écris ceci, pères : vous connaissez celui qui est dès le commencement. Je vous écris ceci, jeunes gens : vous avez vaincu le diable ."
1JN.2.14,"I write to you, dear children, because you know the Father. I write to you, fathers, because you know him who is from the beginning. I write to you, young men, because you are strong, and the word of God lives in you, and you have overcome the evil one.","Narabandikiye ba se, kuko muzi uwahereye ubga mbere na mbere. Narabandikiye misore, kuko mufise inkomezi, kand’ ijambo ry’Imana rikaguma muri mwebge, kandi mwanesheje wa Mubi.","Je vous le confirme, enfants : vous connaissez le Père. Je vous le confirme, pères : vous connaissez celui qui est dès le commencement. Je vous le confirme, jeunes gens : vous êtes forts, la Parole de Dieu demeure en vous et vous avez vaincu le diable ."
1JN.2.15,"Do not love the world or anything in the world. If anyone loves the world, love for the Father is not in them.","Ntimugakunde isi, cank’ ibiri mw isi. Umuntu ni yakunda isi, ugukunda Data wa twese ntikuzoba kuri muri we.","N’aimez pas le monde ni rien de ce qui fait partie de ce monde. Si quelqu’un aime le monde, l’amour pour le Père n’est pas en lui."
1JN.2.16,"For everything in the world—the lust of the flesh, the lust of the eyes, and the pride of life—comes not from the Father but from the world.","Kukw ikiri mw isi cose ar’ ivyifuzo vy’umubiri, n’ivyifuzo vy’amaso, n’ubgibone bg’ubu bugingo, bitanduruka kuri Data wa twese, ariko vyanduruka mw isi.","En effet, tout ce qui fait partie du monde : les mauvais désirs qui animent l’homme livré à lui-même, la soif de posséder ce qui attire les regards, et l’orgueil qu’inspirent les biens matériels, tout cela ne vient pas du Père, mais du monde."
1JN.2.17,"The world and its desires pass away, but whoever does the will of God lives forever.","Kand’ isi irikw irashirana n’ivyifuzo vyayo, arik’ ūkora ivy’ Imana igomba yamah’ ibihe bidashira.","Or le monde passe avec tous ses attraits, mais celui qui accomplit la volonté de Dieu demeure éternellement."
1JN.2.18,"Dear children, this is the last hour; and as you have heard that the antichrist is coming, even now many antichrists have come. This is how we know it is the last hour.","Bana bato, ubu n’igihe c’iherezo: kandi nk’uko mwumvise yuko Antikristo azoza, n’ubu hamaze guseruka ba Antikristo benshi: ni co gitumye tumenya kw ar’ igihe c’iherezo.","Mes enfants, c’est la dernière heure. Vous avez appris qu’un « anti-Christ » doit venir. Or, dès à présent, beaucoup d’antichrists sont là. Voilà pourquoi nous savons que nous sommes entrés dans la dernière heure."
1JN.2.19,"They went out from us, but they did not really belong to us. For if they had belonged to us, they would have remained with us; but their going showed that none of them belonged to us.","Bavuye muri twebge, ariko ntibar’ abacu: iyo baba bar’ abacu, baba baragumanye natwe: arikw icatumye batuvamwo kwar’ ukugira ngo bahinyuke bose kw atar’ abacu.","Ces adversaires de Christ sont sortis de chez nous mais, en réalité, ils n’étaient pas des nôtres. Car, s’ils avaient été des nôtres, ils seraient restés avec nous. Mais ils nous ont quittés pour qu’il soit parfaitement clair que tous ne sont pas des nôtres."
1JN.2.20,"But you have an anointing from the Holy One, and all of you know the truth.","Namwe mwarobanujwe amavuta n’Uwera, kandi muzi vyose.","Vous, au contraire, vous avez été oints du Saint-Esprit par celui qui est saint, et vous avez tous la connaissance ."
1JN.2.21,"I do not write to you because you do not know the truth, but because you do know it and because no lie comes from the truth.","Sindabandikiye kuko mutazi ukuri, ariko n’uko mukuzi, kandi kukw ata binyoma biva mu kuri.","Si je vous écris, ce n’est pas parce que vous ne connaissez pas la vérité, mais parce que vous la connaissez, et qu’aucun mensonge ne vient de la vérité."
1JN.2.22,Who is the liar? It is whoever denies that Jesus is the Christ. Such a person is the antichrist—denying the Father and the Son.,"Umubeshi ni nde, atar’ ūhakana ko Yesu ari Kristo? Ni we Antikristo, ahakana Data wa twese n’Umwana.","Alors qui est le menteur ? C’est celui qui nie que Jésus est Christ. Et « l’anti-Christ », c’est celui qui refuse de reconnaître le Père et le Fils."
1JN.2.23,No one who denies the Son has the Father; whoever acknowledges the Son has the Father also.,"Umuntu wese ahakana Umwana, na Data wa twese ntamufise: uwemera Umwana, afise na Data wa twese.",Tout homme qui nie que Jésus est le Fils de Dieu ne connaît pas non plus le Père. Celui qui reconnaît que Jésus est le Fils de Dieu connaît aussi le Père.
1JN.2.24,"As for you, see that what you have heard from the beginning remains in you. If it does, you also will remain in the Son and in the Father.","Mweho ico mwumvise uhereye mbere na mbere kigume muri mwebge. Ico mwumvise uhereye mbere na mbere ni caguma muri mwebge, namwe muzoguma mu Mwana no muri Se.","C’est pourquoi, tenez-vous soigneusement à l’enseignement que vous avez reçu dès le commencement. Si ce que vous avez entendu dès le commencement demeure en vous, vous demeurerez aussi unis au Fils et au Père."
1JN.2.25,And this is what he promised us—eternal life.,"Iri ni ryo sezerano yadusezeraniye, n’ubugingo budashira.",Et voici la promesse qu’il vous a faite : la vie éternelle.
1JN.2.26,I am writing these things to you about those who are trying to lead you astray.,Ivyo ni vyo mbandikiye ku vy’abobazimiza.,C’est au sujet de ceux qui vous entraînent dans l’erreur que je vous écris ces choses.
