,0,1,2
1PE.1.1,"Peter, an apostle of Jesus Christ, To God’s elect, exiles scattered throughout the provinces of Pontus, Galatia, Cappadocia, Asia and Bithynia,","Petero, intumwa ya Yesu Kristo, ndabandikiye abātoranijwe b’inyambukīra zo mu bāsanzariye i Ponto n’i Galatiya n’i Kapadokiya no muri Asiya n’i Bituniya,","Pierre, apôtre de Jésus-Christ, salue ceux que Dieu a choisis et qui vivent comme des résidents étrangers, dispersés dans les provinces du Pont, de Galatie, de Cappadoce, d’Asie et de Bithynie ."
1PE.1.2,"who have been chosen according to the foreknowledge of God the Father, through the sanctifying work of the Spirit, to be obedient to Jesus Christ and sprinkled with his blood: Grace and peace be yours in abundance.","mwatoranirijwe mu kweza kwa Mpwemu nk’ukw Imana Data wa twese yabamenye uhereye kera, kugira ngo mwumvire Imana, mucucagirwe amaraso ya Yesu Kristo. Ubuntu n’amahoro bigwire muri mwebge.","Dieu, le Père, vous a choisis d’avance , conformément à son plan, et vous avez été purifiés par l’Esprit, pour obéir à Jésus-Christ et bénéficier de l’aspersion de son sang . Que la grâce et la paix vous soient abondamment accordées."
1PE.1.3,"Praise be to the God and Father of our Lord Jesus Christ! In his great mercy he has given us new birth into a living hope through the resurrection of Jesus Christ from the dead,","Imana y’Umwami wacu Yesu Kristo, ari yo Se, iragahezagirwa, yatuvyaye ubga kabiri nk’ukw imbabazi zayo nyinshi ziri, kugira ngo tugire ivyizigiro bizima, ituvyaza ukuzuka mu bapfuye kwa Yesu Kristo,","Béni soit Dieu, le Père de notre Seigneur Jésus-Christ. Dans sa grande compassion, il nous a fait naître à une vie nouvelle, pour nous donner une espérance vivante par la résurrection de Jésus-Christ."
1PE.1.4,"and into an inheritance that can never perish, spoil or fade. This inheritance is kept in heaven for you,","ngo tuze twegukire umwandu utazobora, utanduye, udakabirana, mwabīkiwe mw ijuru,","Car il a préparé pour nous un héritage qui ne peut ni se détruire, ni se corrompre, ni perdre sa beauté. Il le tient en réserve pour vous dans les cieux,"
1PE.1.5,who through faith are shielded by God’s power until the coming of the salvation that is ready to be revealed in the last time.,"mwebge abazigamwa n’ubushobozi bg’Imana kubg’ ukwizera, muzigamirwa agakiza kāteguwe kuzohishurwa mu gihe c’iherezo.","vous qu’il garde, par sa puissance, au moyen de la foi, en vue du salut qui est prêt à être révélé au moment de la fin."
1PE.1.6,"In all this you greatly rejoice, though now for a little while you may have had to suffer grief in all kinds of trials.","Ivyo murabinezererwa cane, nah’ ubu ar’ igihe gito mubabazwa n’ibibagerageza vyinshi, kuko bitobura kuza:","Voilà ce qui fait votre joie, même si, actuellement, il faut que vous soyez attristés pour un peu de temps par diverses épreuves :"
1PE.1.7,"These have come so that the proven genuineness of your faith—of greater worth than gold, which perishes even though refined by fire—may result in praise, glory and honor when Jesus Christ is revealed.","kugira ngo kuramura kw’ukwizera kwanyu (kand’ ukwo kwizera kurusha igiciro izahabu ishira, nah’ ivugutirwa mu muriro ikaramura) kuze kuboneke kuri n’ishimwe n’ubgiza n’icubahiro mu guhishurwa kwa Yesu Kristo.","celles-ci servent à éprouver la valeur de votre foi. Le feu du creuset n’éprouve-t-il pas l’or qui pourtant disparaîtra un jour ? Pourtant, votre foi qui a résisté à l’épreuve a une valeur beaucoup plus précieuse. Elle vous vaudra louange, gloire et honneur, lorsque Jésus-Christ apparaîtra."
1PE.1.8,"Though you have not seen him, you love him; and even though you do not see him now, you believe in him and are filled with an inexpressible and glorious joy,","Uwo muramukunda naho mutigeze kumubona; kandi n’ubu, naho mutaramubona, muramwizera, bibatera kunezerwa akanyamuneza k’ubgiza katovugwa,","Jésus, vous ne l’avez pas vu, et pourtant vous l’aimez ; mais en plaçant votre confiance en lui sans le voir encore, vous êtes remplis d’une joie glorieuse et inexprimable,"
1PE.1.9,"for you are receiving the end result of your faith, the salvation of your souls.","mugahabga ikizanwa n’ukwizera kwanyu, ni co gakiza k’ubugingo bganyu.",car vous obtenez en retour votre salut qui est le but de votre foi.
1PE.1.10,"Concerning this salvation, the prophets, who spoke of the grace that was to come to you, searched intently and with the greatest care,","Ivy’ ako gakiza, abāvugishwa n’Imana, ari bo bāvuze ubuntu mwāgira muze muhabge, bārabirondera, bārabisesa,",Ce salut a fait l’objet des recherches et des investigations des prophètes qui ont annoncé d’avance la grâce qui vous était destinée.
1PE.1.11,trying to find out the time and circumstances to which the Spirit of Christ in them was pointing when he predicted the sufferings of the Messiah and the glories that would follow.,"basesa igihe ic’ ari co n’ibimenyetso vyaco, cerekanwa na Mpwemu wa Kristo yari muri bo, yavuga yātagura ivy’ imibabaro ya Kristo bitaribgabe, n’ivy’ ubgiza bg’uburyo bginshi bgagira buze buyiherukire.",Ils cherchaient à découvrir à quelle époque et à quels événements se rapportaient les indications données par l’Esprit de Christ. Cet Esprit était en eux et annonçait à l’avance les souffrances du Messie et la gloire dont elles seraient suivies.
1PE.1.12,"It was revealed to them that they were not serving themselves but you, when they spoke of the things that have now been told you by those who have preached the gospel to you by the Holy Spirit sent from heaven. Even angels long to look into these things.","Kandi bāhishurirwa yukw atari bo bavyikorera, ariko kw ari mwebge babikorera; ni vyo none mumaze kubarirwa n’abābabgiye ubutumwa bgiza, bāvugishijwe na Mpwemu Yera yatumwe ava mw ijuru: kand’ ivyo abamarayika bifuza kubirunguruka.","Il leur fut révélé que le message dont ils étaient chargés n’était pas pour eux, mais pour vous. Et ce message vous a été communiqué maintenant par ceux qui vous ont annoncé la Bonne Nouvelle sous l’action de l’Esprit Saint envoyé du ciel ; les anges eux-mêmes ne se lassent pas de le découvrir ."
1PE.1.13,"Therefore, with minds that are alert and fully sober, set your hope on the grace to be brought to you when Jesus Christ is revealed at his coming.","Nuko rero mukenyere mu mitima yanyu, mwirinde ibiboreza, mwizigire rwose ubuntu muzozanirwa mu kuzohishurwa kwa Yesu Kristo.","C’est pourquoi, tenez votre esprit en éveil et faites preuve de modération ; mettez toute votre espérance dans la grâce qui vous sera accordée le jour où Jésus-Christ apparaîtra."
