,0,1,2
1SA.1.1,"There was a certain man from Ramathaim, a Zuphite from the hill country of Ephraim, whose name was Elkanah son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite.","Hār’ umuntu w’i Ramatayimu‐sofimu, mu mugamba w’Abefurayimu, yitwa Elukana; yari mwene Yerohamu, Yerohamu wa Elihu, Elihu wa Tohu, Tohu wa Sufu, w’Umwefurayimu.","Un homme nommé Elqana vivait à Ramataïm-Tsophim , dans la région montagneuse d’Ephraïm ; il était fils de Yeroham et petit-fils d’Elihou, de la famille de Tohou, descendant de Tsouph, un Ephraïmite ."
1SA.1.2,"He had two wives; one was called Hannah and the other Peninnah. Peninnah had children, but Hannah had none.","Yar’ afise abagore babiri, umwe yitwa Hana, uwundi Penina; Penina ni we yavyara, ariko Hana yar’ ingumba.","Il avait épousé deux femmes : l’une s’appelait Anne et l’autre Peninna. Peninna avait des enfants, mais Anne n’en avait pas."
1SA.1.3,"Year after year this man went up from his town to worship and sacrifice to the Lord Almighty at Shiloh, where Hophni and Phinehas, the two sons of Eli, were priests of the Lord .","Uwo muntu yama ava mu gisagara c’i wabo uk’ umwaka utashe, akadūga i Shilo gusenga no gushikanira Uhoraho Nyen’ ingabo ibimazi. Kandi bene Eli bompi, Hofuni na Finehasi, bār’ abaherezi b’Uhoraho aho hantu.","Chaque année, Elqana se rendait de sa ville à Silo pour y adorer l’Eternel, le Seigneur des armées célestes, et pour lui offrir des sacrifices. Les deux fils d’Eli, Hophni et Phinéas, y officiaient comme prêtres de l’Eternel."
1SA.1.4,"Whenever the day came for Elkanah to sacrifice, he would give portions of the meat to his wife Peninnah and to all her sons and daughters.","Umusi Elukana yatangakw ikimazi, yahakw imitigiri Penina umugore wiwe, n’abahungu biwe n’abakobga biwe;","Le jour où Elqana offrait son sacrifice, il attribuait des parts de viande à sa femme Peninna et à tous ses enfants,"
1SA.1.5,"But to Hannah he gave a double portion because he loved her, and the Lord had closed her womb.","ariko Hana yamuha umutigiri ungana n’iyabo kabiri, kuko yamukunda; arik’ Uhoraho yari yaramuzivye inda.","et il donnait une double part à Anne parce qu’il l’aimait, bien que le Seigneur l’ait empêchée d’avoir des enfants."
1SA.1.6,"Because the Lord had closed Hannah’s womb, her rival kept provoking her in order to irritate her.","Kandi mukēba we yama amushinyagurira, akamutera intuntu, kuk’ Uhoraho yamuzivye inda.",Sa rivale ne cessait de la vexer pour l’irriter contre Dieu de ce qu’il l’ait rendue stérile.
1SA.1.7,"This went on year after year. Whenever Hannah went up to the house of the Lord , her rival provoked her till she wept and would not eat.","Uko ni ko vyāgenda, uk’ umwaka utashe: uko Hana yadūga aja mu ngoro y’Uhoraho, ni ko mukēba we yamushinyagurira. Ni co cātuma arira, akanka kurya.","Cela se reproduisait chaque année : toutes les fois qu’Anne se rendait au sanctuaire de l’Eternel, Peninna l’exaspérait. Alors Anne pleurait et restait sans manger."
1SA.1.8,"Her husband Elkanah would say to her, “Hannah, why are you weeping? Why don’t you eat? Why are you downhearted? Don’t I mean more to you than ten sons?”","Maz’ umugabo wiwe Elukana aramubaza, at’ Urizwa n’iki ga Hana? N’iki kikubuza kurya? Ubabajwe n’iki? Mbega sinkurutira abahungu cumi wovyaye?","Elqana lui demandait : Anne, pourquoi pleures-tu ? Pourquoi restes-tu sans manger ? Pourquoi es-tu si malheureuse ? Est-ce que je ne vaux pas mieux pour toi que dix fils ?"
1SA.1.9,"Once when they had finished eating and drinking in Shiloh, Hannah stood up. Now Eli the priest was sitting on his chair by the doorpost of the Lord ’s house.","Maze barangije kurya no kunywa aho bāri bari i Shilo, Hana ava hasi. Kandi Eli umuherezi yari yicaye ku ntebe yiwe ku gishimaryango mu rusengero rw’Uhoraho.","Cette fois-ci, après qu’on eut mangé et bu à Silo, Anne se leva et se rendit au sanctuaire de l’Eternel. Le prêtre Eli y était assis sur son siège près de la porte."
1SA.1.10,"In her deep anguish Hannah prayed to the Lord , weeping bitterly.","Maze Hana asenga Uhoraho afise intuntu, arira cane,","Très affligée, Anne pria l’Eternel en pleurant à chaudes larmes."
1SA.1.11,"And she made a vow, saying, “ Lord Almighty, if you will only look on your servant’s misery and remember me, and not forget your servant but give her a son, then I will give him to the Lord for all the days of his life, and no razor will ever be used on his head.”","asezerana isezerano, at’ Ewe Uhoraho Nyen’ ingabo, ni warāba umubabaro wanje incoreke yawe, ukanyibuka, ntunyibagire jewe incoreke yawe, ukantabaza umwana w’umuhungu, nanje nzomuguha, Uhoraho, abe uwawe kuzorinda apfa, kandi nta rupfuhe ruzomugera ku mutwe.","Alors elle fit le vœu suivant : Eternel, Seigneur des armées célestes, si tu veux bien considérer la misère de ta servante et si tu interviens en ma faveur, si tu ne délaisses pas ta servante et si tu me donnes un fils, alors je te le consacrerai pour toute sa vie ; ses cheveux et sa barbe ne seront jamais coupés ."
1SA.1.12,"As she kept on praying to the Lord , Eli observed her mouth.","Nukw akomeje artyo gusengera imbere y’Uhoraho, Eli yitegereza umunwa wiwe;","Comme elle priait longuement devant l’Eternel, Eli observait le mouvement de ses lèvres."
1SA.1.13,"Hannah was praying in her heart, and her lips were moving but her voice was not heard. Eli thought she was drunk","kuko Hana yavugira mu mutima, akubita umunwa gusa, arikw ijwi ryiwe ritumvikana; ni co catumye Eli yiyumvira kw aborewe.","Anne priait intérieurement : ses lèvres bougeaient, mais on n’entendait pas sa voix. Eli pensa qu’elle était ivre"
1SA.1.14,"and said to her, “How long are you going to stay drunk? Put away your wine.”","Nuko Eli aramubaza, at’ Uzogeza hehe kwama uborewe? Genda uhebe iyo vino yawe!",et il l’interpella : Combien de temps encore veux-tu étaler ton ivresse ? Va cuver ton vin ailleurs !
1SA.1.15,"“Not so, my lord,” Hannah replied, “I am a woman who is deeply troubled. I have not been drinking wine or beer; I was pouring out my soul to the Lord .","Ariko Hana aramwishura, at’ Oyaye mwami wanje, nd’ umuntu yabonye amahano! Nta vino nanyoye cank’ ikindi kiboreza, ariko nariko ndasuka amajojwa yanje imbere y’Uhoraho.","Anne lui répondit : Non, monseigneur, je ne suis pas ivre, je n’ai bu ni vin ni boisson alcoolisée, mais je suis très malheureuse et j’épanchais mon cœur devant l’Eternel."
1SA.1.16,Do not take your servant for a wicked woman; I have been praying here out of my great anguish and grief.”,"Ntugire ngo nd’ umuntu w’ umunyangeso mbi, kukw aka kanya kose namye mvugana umubabaro n’amaganya bindengeye.","Ne me juge pas mal et ne me considère pas comme une femme perverse. Si j’ai prié aussi longtemps, c’est parce que mon cœur débordait de chagrin et de douleur."
1SA.1.17,"Eli answered, “Go in peace, and may the God of Israel grant you what you have asked of him.”","Maze Eli aramwishura, ati Nuko ni wīgīre amahoro; Imana ya Isirayeli iguhe ico wayisavye.","– Dans ce cas, lui dit Eli, va en paix, et que le Dieu d’Israël exauce la requête que tu lui as adressée."
1SA.1.18,"She said, “May your servant find favor in your eyes.” Then she went her way and ate something, and her face was no longer downcast.","Na we aramwishura, ati N’ umpangaze, jewe incoreke yawe. Maz’ uwo mugore arīgīra; araheza ararya, ntiyasubira kwiraburanirwa ukundi.","Anne répondit : Je me recommande à ta bienveillance. Puis elle s’en alla, se restaura et son visage fut différent."
1SA.1.19,"Early the next morning they arose and worshiped before the Lord and then went back to their home at Ramah. Elkanah made love to his wife Hannah, and the Lord remembered her.","Bukeye barazinduka, baja imbere y’Uhoraho barasenga; bahejeje barataha, basubira i wabo i Rama. Maze Elukana arārira Hana umugore wiwe, Uhoraho aramwibuka.","Le lendemain, de bon matin, Elqana et sa famille se prosternèrent devant l’Eternel, puis ils rentrèrent chez eux à Rama. Elqana s’unit à Anne, sa femme, et l’Eternel intervint en sa faveur."
1SA.1.20,"So in the course of time Hannah became pregnant and gave birth to a son. She named him Samuel, saying, “Because I asked the Lord for him.”","Igihe kiragera, Hana asama inda, avyara umwana w’umuhungu, amwita Samweli, ati Kuko namusavye Uhoraho.","Elle fut enceinte et, au terme de sa grossesse, elle mit au monde un garçon auquel elle donna le nom de Samuel (Dieu a entendu) car, dit-elle, « je l’ai demandé à l’Eternel »."
1SA.1.21,"When her husband Elkanah went up with all his family to offer the annual sacrifice to the Lord and to fulfill his vow,","Maz’ uwo mugabo Elukana akora abo mu rugo rwiwe bose aradūga, aja gushikanira Uhoraho ikimazi c’uwo mwaka no gushitsa amasezerano yiwe.","L’année suivante, Elqana se rendit de nouveau à Silo avec toute sa famille pour offrir à l’Eternel le sacrifice annuel et pour accomplir le vœu qu’il avait fait."
1SA.1.22,"Hannah did not go. She said to her husband, “After the boy is weaned, I will take him and present him before the Lord , and he will live there always.”","Ariko Hana ntiyadūgayo, abarira umugabo wiwe, at’ Umwana ni yamara gucūka ni ho nzodūga, ndamujane, ashikirizwe Uhoraho, agumey’ igihe cose.","Mais Anne ne l’accompagna pas. Elle dit en effet à son mari : J’attends que l’enfant soit sevré , alors je l’emmènerai à Silo pour le présenter à l’Eternel et il restera là-bas pour toujours."
1SA.1.23,"“Do what seems best to you,” her husband Elkanah told her. “Stay here until you have weaned him; only may the Lord make good his word.” So the woman stayed at home and nursed her son until she had weaned him.","Maze Elukana umugabo wiwe aramwishura, ati N’ukore ico ushimye: wigumire aho gushitsa ah’uzomucūkiriza; arik’ Uhoraho n’ashitse ijambo ryiwe. Nuk’ uwo mugore yigumira ngaho, yonsa umwana wiwe, gushitsa aho yamucūkirije.",Son mari lui dit : Fais comme tu le juges bon et attends de l’avoir sevré. Que la promesse de l’Eternel se réalise. Anne resta donc à la maison pour allaiter son enfant jusqu’à ce qu’il soit sevré.
1SA.1.24,"After he was weaned, she took the boy with her, young as he was, along with a three-year-old bull, an ephah of flour and a skin of wine, and brought him to the house of the Lord at Shiloh.","Amaze kumucūtsa aramudūgana, ajana n’imasa imaze imyaka itatu, n’ingero yitwa efa y’ifu, n’umukuza w’urusato wa vino; nukw amujana i Shilo mu ngoro y’Uhoraho; kand’ uwo mwana yar’ akiri mutoya.","A ce moment-là, elle l’emmena avec elle au sanctuaire de l’Eternel à Silo, en apportant un taureau de trois ans , dix kilogrammes de farine et une outre de vin. Le garçon était encore tout jeune."
1SA.1.25,"When the bull had been sacrificed, they brought the boy to Eli,","Babāga nya masa, bazanira Eli uwo mwana.",Ils offrirent le taureau en sacrifice et présentèrent l’enfant à Eli.
1SA.1.26,"and she said to him, “Pardon me, my lord. As surely as you live, I am the woman who stood here beside you praying to the Lord .","Maze Hana aravuga, ati Mwami wanje, indahiro ni wewe nyene, erega ni jewe wa mugore nari mpagaze i ruhande yawe, mwami wanje, nsaba Uhoraho.","Anne lui dit : Excuse-moi, monseigneur, aussi vrai que tu vis, monseigneur, je suis cette femme qui se tenait près de toi, ici même, pour prier l’Eternel."
1SA.1.27,"I prayed for this child, and the Lord has granted me what I asked of him.","Uyu mwana ni we nasaba, kand’ Uhoraho yampaye ico namusavye.","C’était pour obtenir cet enfant que je priais, et l’Eternel m’a accordé ce que je lui demandais."
