,0,1,2
1TH.1.1,"Paul, Silas and Timothy, To the church of the Thessalonians in God the Father and the Lord Jesus Christ: Grace and peace to you.","Paulo na Siluwano na Timoteyo turabandikiye abo mw ishengero ry’i Tesalonike, bari mu Mana Data wa twese no mu Mwami Yesu Kristo: ubuntu bube muri mwebge n’amahoro.","Paul, Silvain et Timothée saluent l’Eglise des Thessaloniciens dans la communion avec Dieu le Père et avec le Seigneur Jésus-Christ. Que la grâce et la paix vous soient accordées."
1TH.1.2,We always thank God for all of you and continually mention you in our prayers.,"Mwese tubashimira Imana imisi yose, tubahoza mu kanwa uko dusenze,","Nous exprimons constamment notre reconnaissance à Dieu au sujet de vous tous lorsque, dans nos prières, nous faisons mention de vous :"
1TH.1.3,"We remember before our God and Father your work produced by faith, your labor prompted by love, and your endurance inspired by hope in our Lord Jesus Christ.","twibuka ubudasība ibikorwa vyanyu biva ku kwizera, n’ubutame buva mu rukundo, n’ukwihangana kuva ku kwizigira Umwami wacu Yesu Kristo, imbere y’Imana yacu, ni yo Data wa twese.","nous nous rappelons sans cesse, devant Dieu notre Père, votre foi agissante, votre amour actif, et votre persévérance soutenue par votre espérance en notre Seigneur Jésus-Christ ."
1TH.1.4,"For we know, brothers and sisters loved by God, that he has chosen you,","Bene Data bakundwa n’Imana, tuzi yuko mwatoranijwe na yo:","Car nous savons, frères et sœurs, que Dieu vous a choisis, vous qu’il aime."
1TH.1.5,"because our gospel came to you not simply with words but also with power, with the Holy Spirit and deep conviction. You know how we lived among you for your sake.","kuk’ ubutumwa bgacu butābashitseko ar’ amajambo yonyene ariko bgarimwo n’ubushobozi na Mpwemu Yera, no kumara amazinda rwose; namwe murazi ubugene twari tumeze hagati muri mwebge kubganyu.","En effet, l’Evangile que nous annonçons, nous ne vous l’avons pas apporté en paroles seulement, mais aussi avec puissance, par le Saint-Esprit et avec une pleine conviction. Et vous le savez bien, puisque vous avez vu comment nous nous sommes comportés parmi vous, pour votre bien."
1TH.1.6,"You became imitators of us and of the Lord, for you welcomed the message in the midst of severe suffering with the joy given by the Holy Spirit.","Namwe mwaratwīgānye, mwīgāna n’Umwami wacu, mumaze kwakīrira ijambo ry’Imana mu marushwa menshi, munezerejwe na Mpwemu Yera,","Quant à vous, vous avez suivi notre exemple et celui du Seigneur, car vous avez accueilli la Parole au milieu d’épreuves nombreuses, mais avec la joie que produit le Saint-Esprit."
1TH.1.7,And so you became a model to all the believers in Macedonia and Achaia.,bituma muba icitegererezo c’abizera bose bar’ i Makedoniya no muri Akaya.,"Aussi vous êtes devenus, à votre tour, des modèles pour tous les croyants de la Macédoine et de l’Achaïe ."
1TH.1.8,"The Lord’s message rang out from you not only in Macedonia and Achaia—your faith in God has become known everywhere. Therefore we do not need to say anything about it,","Kuko muri mwebge humvikanye ijambo ry’Umwami wacu, kandi ntiryumvikanye i Makedoniya no muri Akaya honyene, arik’ ukwizera Imana kwanyu kwaramamaye hose; bituma tutarinda kugira ico tuvuga mur’ ivyo.","Non seulement l’œuvre accomplie chez vous par la Parole du Seigneur a eu un grand retentissement jusqu’en Macédoine et en Achaïe, mais encore la nouvelle de votre foi en Dieu est parvenue en tout lieu , et nous n’avons même pas besoin d’en parler."
1TH.1.9,"for they themselves report what kind of reception you gave us. They tell how you turned to God from idols to serve the living and true God,","Kuko bose bīvugira ubgabo inkuru z’ingene twaje muri mwebge, kand’ ingene mwahindukiriye Imana, mugaheba ibigirwamana, ngo mukorere Imana nyakuri kandi nzima,","On raconte, en effet, à notre sujet, quel accueil vous nous avez réservé et comment vous vous êtes tournés vers Dieu en vous détournant des idoles pour servir le Dieu vivant et vrai"
1TH.1.10,"and to wait for his Son from heaven, whom he raised from the dead—Jesus, who rescues us from the coming wrath.","kandi ngo mwitege Umwana wayo kw ava mw ijuru, umwe yazura imukuye mu bapfuye, ni Yesu, adukiza uburake bugira buze.","et pour attendre que revienne du ciel son Fils qu’il a ressuscité, Jésus, qui nous délivre de la colère à venir ."
