,0,1,2
1TI.1.1,"Paul, an apostle of Christ Jesus by the command of God our Savior and of Christ Jesus our hope,","Paulo, intumwa ya Kristo Yesu, nk’uko vyagezwe n’Imana Umukiza wacu na Kristo Yesu ivyizigiro vyacu,","Paul, apôtre de Jésus-Christ, par ordre de Dieu notre Sauveur et de Jésus-Christ notre espérance,"
1TI.1.2,"To Timothy my true son in the faith: Grace, mercy and peace from God the Father and Christ Jesus our Lord.","ndakwandikiye Timoteyo, umwana wanje nyakuri mu kwizera. Ubuntu n’imbabazi n’amahoro bibe kuri wewe, biva ku Mana Data wa twese no kuri Kristo Yesu Umwami wacu.","salue Timothée, son véritable enfant dans la foi. Que Dieu le Père et Jésus-Christ notre Seigneur t’accordent grâce, compassion et paix."
1TI.1.3,"As I urged you when I went into Macedonia, stay there in Ephesus so that you may command certain people not to teach false doctrines any longer","Nuko guma muri Efeso, nk’uko nakugīriye inama hamwe naja i Makedoniya, kugira ng’ uteshe ba bandi ntibigishe ibiciye ukundi,","En partant pour la Macédoine, je t’ai encouragé à demeurer à Ephèse pour avertir certains de ne pas enseigner de doctrines étrangères à la foi."
1TI.1.4,or to devote themselves to myths and endless genealogies. Such things promote controversial speculations rather than advancing God’s work—which is by faith.,"ntibababare ivy’ imigani y’ibinyoma n’ivyo kuzīrōra ivy’ akārōnda katagira iherezo, bidafasha igikorwa c’Imana gikorera mu kwizera, ariko bizana impāri.",Qu’ils cessent de porter leur intérêt à des récits de pure invention et à des généalogies interminables . Des préoccupations comme celles-ci font naître des spéculations au lieu de nous aider dans les responsabilités que Dieu nous confie dans l’œuvre de la foi.
1TI.1.5,"The goal of this command is love, which comes from a pure heart and a good conscience and a sincere faith.","Arikw inyanduruko y’ukwigisha kwacu n’ukugira ngo bagire urukundo ruva mu mutima utanduye, utarimw’ ijwi ribāgiriza ikibi, no ku kwizera kutar’ ukw’ uburyarya.","Le but de cet avertissement est d’éveiller l’amour, un amour venant d’un cœur pur, d’une bonne conscience et d’une foi sincère."
1TI.1.6,Some have departed from these and have turned to meaningless talk.,"Ivyo bamwe bārabihushije, bata inzira, baja mu bitagira ikimazi kuba ari vyo bavuga,",Certains se sont écartés de ces principes et se sont égarés dans des argumentations sans aucune valeur.
1TI.1.7,"They want to be teachers of the law, but they do not know what they are talking about or what they so confidently affirm.","bagomba kuba abigisha b’ivyagezwe, ariko ntibatahura ivyo bavuga n’ivyo bashingira intahe babishimikiye.","Ils se posent en enseignants de la Loi mais, au fond, ils ne comprennent ni ce qu’ils disent, ni les sujets sur lesquels ils se montrent si sûrs d’eux-mêmes."
1TI.1.8,We know that the law is good if one uses it properly.,"Ariko turazi yukw ivyagezwe ari vyiza, iy’ umuntu abigenjeje nk’uko bikwiye ivyagezwe,","Nous savons que la Loi est bonne, mais à condition d’être utilisée en accord avec son but."
1TI.1.9,"We also know that the law is made not for the righteous but for lawbreakers and rebels, the ungodly and sinful, the unholy and irreligious, for those who kill their fathers or mothers, for murderers,","azi yukw ivyagezwe bitāshiriweh’ umugororotsi, ariko vyāshiriweh’ abagarariji n’ibigāba, abatubaha Imana n’abanyavyaha, abanegura ivyayo n’abakora ibizira, abica ba se na ba nyina, abicanyi,","Il faut savoir ceci : la Loi n’est pas faite pour les justes, mais pour les malfaiteurs et les rebelles, pour les gens qui méprisent Dieu et les pécheurs, pour ceux qui n’ont ni respect ni scrupule à l’égard de ce qui est sacré, ceux qui tueraient père et mère, les assassins,"
1TI.1.10,"for the sexually immoral, for those practicing homosexuality, for slave traders and liars and perjurers—and for whatever else is contrary to the sound doctrine","abashakanyi, abagabo bendana, abanyaga abantu bakabashōra, ababeshi, abarahira nabi, n’ibindi vyose birwanya ukwigisha kuzima,","les débauchés, les homosexuels, les marchands d’esclaves, les menteurs, les gens sans parole et, d’une manière générale, pour tous ceux qui commettent des actions contraires à l’enseignement sain que vous avez reçu."
