,0,1,2
2KI.1.1,"After Ahab’s death, Moab rebelled against Israel.","Ahabu amaze gutanga, Abanyamowabu bagarariza Abisirayeli.","Après la mort d’Achab , les Moabites se révoltèrent contre Israël ."
2KI.1.2,"Now Ahaziah had fallen through the lattice of his upper room in Samaria and injured himself. So he sent messengers, saying to them, “Go and consult Baal-Zebub, the god of Ekron, to see if I will recover from this injury.”","Umusi ur’ izina, Ahaziya akoroka aciye mu nshingo z’idirisha ryo mu cumba ciwe co hejuru, ah’ aba i Samariya, yenderamwo kurwara. Bukeye arungika intumwa, ati Ni mugende mundagurize Bayali‐zebubi, imana y’i Ekuroni, mumbarize ko nzokira iyi ndwara.","Le roi Ahazia tomba de sa chambre haute à Samarie par la fenêtre et se blessa grièvement. Il envoya des messagers consulter Baal-Zeboub , dieu d’Eqrôn , pour savoir s’il se remettrait de cet accident."
2KI.1.3,"But the angel of the Lord said to Elijah the Tishbite, “Go up and meet the messengers of the king of Samaria and ask them, ‘Is it because there is no God in Israel that you are going off to consult Baal-Zebub, the god of Ekron?’","Maz’ umumarayika w’Uhoraho abarira Eliya w’i Tishubi, ati Va hasi, uje guhūra n’intumwa z’umwami w’i Samariya, uzibaze, uti Mbeg’ icatumye muja kuri Bayali‐zebubi iyo mana y’i Ekuroni kuraguza, n’ ukw ata Mana yariho mu Bgisirayeli?","Mais l’ange de l’Eternel dit à Elie de Tishbé : Mets-toi en route, va à la rencontre des messagers du roi de Samarie et demande-leur : « N’y a-t-il pas de Dieu en Israël pour que vous alliez consulter Baal-Zeboub, le dieu d’Eqrôn ?"
2KI.1.4,Therefore this is what the Lord says: ‘You will not leave the bed you are lying on. You will certainly die!’ ” So Elijah went.,"Uti None rero, uku ni k’Uhoraho agize, uti Ntuzovyuka ku kirwa uryamyeko, ut’ Uzopfa nta kabuza. Nuko Eliya aragenda.","C’est pourquoi, voici ce que déclare l’Eternel à votre roi : Tu ne quitteras plus le lit sur lequel tu t’es couché et tu vas mourir. » Elie y alla."
2KI.1.5,"When the messengers returned to the king, he asked them, “Why have you come back?”","Maz’ izo ntumwa zigarutse ku mwami, arazibaza, ati Mugarukanywe n’iki?","Alors les messagers retournèrent auprès d’Ahazia, qui leur demanda : Pourquoi revenez-vous déjà ?"
2KI.1.6,"“A man came to meet us,” they replied. “And he said to us, ‘Go back to the king who sent you and tell him, “This is what the Lord says: Is it because there is no God in Israel that you are sending messengers to consult Baal-Zebub, the god of Ekron? Therefore you will not leave the bed you are lying on. You will certainly die!” ’ ”","Ziramwishura, ziti Twahūye n’umugabo, aratubarira, ngo Ni tugaruke ku mwami yadutumye, ngo Tukubarire, tut’ Uku ni k’Uhoraho agize, ngo Mbeg’ icatumye utuma kuri Bayali‐zebubi iyo mana y’i Ekuroni kuraguza, ngo N’ukw ata Mana yariho mu Bgisirayeli? ngo Nuko rero, ngo Ntuzovyuka ku kirwa uryamyeko, ng’ Uzopfa nta kabuza.","Ils lui répondirent : Un homme est venu à notre rencontre et nous a ordonné : Allez, retournez auprès du roi qui vous a envoyés et dites-lui : Voici ce que déclare l’Eternel : « N’y a-t-il pas de Dieu en Israël pour que tu envoies consulter Baal-Zeboub, le dieu d’Eqrôn ? C’est pourquoi tu ne quitteras plus le lit sur lequel tu t’es couché. Tu vas mourir. »"
2KI.1.7,"The king asked them, “What kind of man was it who came to meet you and told you this?”","Arababaza, at’ Uwo muntu yaje guhūra namwe, akababarira ayo magambo, asa ate?",Ahazia leur demanda : Quelle allure avait l’homme qui est venu à votre rencontre et qui vous a transmis ce message ?
2KI.1.8,"They replied, “He had a garment of hair and had a leather belt around his waist.” The king said, “That was Elijah the Tishbite.”","Baramwishura, bati Yar’ umuntu yakatse ivyoya, kandi yar’ akenyeje umukanda w’urusato. Aravuga, at’ Uwo ni Eliya w’i Tishubi.","Ils lui répondirent : C’était un homme habillé d’un vêtement en poil de chameau, noué d’une ceinture autour des reins. Alors Ahazia dit : C’est Elie, de Tishbé."
2KI.1.9,"Then he sent to Elijah a captain with his company of fifty men. The captain went up to Elijah, who was sitting on the top of a hill, and said to him, “Man of God, the king says, ‘Come down!’ ”","Umwami araheza atuma umugabisha agaba ingabo mirongwitanu, ari kumwe n’izo ngabo ziwe, ngo bamufate. Nukw adūga iyo Eliya ari, asanga yicaye ku mpinga y’umusozi. Aramubarira, ati Yewe muntu w’Imana, umwami aradutumye, ngo Manuka umwitabe.","Aussitôt, il envoya vers Elie un officier avec une cinquantaine d’hommes pour qu’ils le lui ramènent. L’officier monta vers Elie, qui se tenait sur le sommet de la montagne. Il lui dit : Homme de Dieu, le roi t’ordonne de descendre."
2KI.1.10,"Elijah answered the captain, “If I am a man of God, may fire come down from heaven and consume you and your fifty men!” Then fire fell from heaven and consumed the captain and his men.","Eliya yishura uwo mugabisha w’izo ngabo mirongwitanu, at’ Asangwa nd’ umuntu w’Imana, umuriro n’utibuke uve mw ijuru, ukuyigizanye n’izo ngabo zawe ukw ari mirongwitanu. Ako kanya umuriro uca utibuka uvuye mw ijuru, umuyigizanya n’ingabo ziwe ukw ari mirongwitanu.","Elie lui répondit : Si je suis un homme de Dieu, que le feu tombe du ciel et qu’il te foudroie, toi et ta « cinquantaine » ! Aussitôt, la foudre tomba du ciel et consuma l’officier et sa cinquantaine de soldats."
2KI.1.11,"At this the king sent to Elijah another captain with his fifty men. The captain said to him, “Man of God, this is what the king says, ‘Come down at once!’ ”","Umwami arongera atuma uwundi mugabisha w’ingabo mirongwitanu nyene, ari kumwe n’ izo ngabo ziwe, ngo bamufate. Araza aramubarira, ati Yewe muntu w’Imana, umwami aradutumye, ngo Manuka n’ingoga umwitabe.","Ahazia envoya un autre officier accompagné d’une « cinquantaine ». Celui-ci dit à Elie : Homme de Dieu, par ordre du roi : Dépêche-toi de descendre !"
2KI.1.12,"“If I am a man of God,” Elijah replied, “may fire come down from heaven and consume you and your fifty men!” Then the fire of God fell from heaven and consumed him and his fifty men.","Eliya arabishura, at’ Asangwa nd’ umuntu w’Imana, umuriro n’utibuke uve mw ijuru, ukuyigizanye n’izo ngabo zawe ukw ari mirongwitanu. Ako kanya umuriro w’Imana uca utibuka uvuye mw ijuru, umuyigizanya n’ingabo ziwe ukw ari mirongwitanu.","Elie lui répliqua : Si je suis un homme de Dieu, que le feu tombe du ciel et te foudroie, toi et tes hommes ! Aussitôt, la foudre tomba du ciel et consuma l’officier et sa cinquantaine de soldats."
2KI.1.13,"So the king sent a third captain with his fifty men. This third captain went up and fell on his knees before Elijah. “Man of God,” he begged, “please have respect for my life and the lives of these fifty men, your servants!","Umwami arongera atuma uwundi mugabisha w’ingabo mirongwitanu nyene, ari kumwe n’izo ngabo ziwe. Uwo mugabisha wa gatatu aradūga; ashitse apfukama imbere ya Eliya, aramwinginga, ati Yewe muntu w’Imana, ndakwinginze, amagara yanje bo n’ay’ aba basavyi bawe ukw ari mirongwitanu n’agutere imbabazi.","Ahazia envoya un troisième officier avec une « cinquantaine ». Cet officier-ci, après être monté, fléchit les genoux devant Elie et le supplia : Homme de Dieu, je te prie, aie égard à ma vie et à celle de cette cinquantaine d’hommes !"
2KI.1.14,"See, fire has fallen from heaven and consumed the first two captains and all their men. But now have respect for my life!”",Rāba umuriro uvuye mw ijuru uhejeje kuyigiza ba bagabisha ba mbere bompi bo n’ingabo zabo ukw ari mirongwitanu‐itanu; ariko noneh’ amagara yanje n’agutere imbabazi.,"Le feu est tombé du ciel et a foudroyé les deux premiers chefs et leur « cinquantaine » ; mais maintenant, aie égard à ma vie !"
2KI.1.15,"The angel of the Lord said to Elijah, “Go down with him; do not be afraid of him.” So Elijah got up and went down with him to the king.","Maz’ umumarayika w’Uhoraho abarira Eliya, ati Manukana na we, ntumutinye. Nukw ava hasi, amanukana na we, aja ku mwami.","L’ange de l’Eternel dit alors à Elie : Descends avec lui, ne crains rien de sa part ! Alors Elie se mit en route pour descendre avec l’officier chez le roi."
2KI.1.16,"He told the king, “This is what the Lord says: Is it because there is no God in Israel for you to consult that you have sent messengers to consult Baal-Zebub, the god of Ekron? Because you have done this, you will never leave the bed you are lying on. You will certainly die!”","Aramubarira, at’ Uku ni k’ Uhoraho abajije, ngo Mbeg’ icatumye utuma abantu kuri Bayali‐zebubi ya mana y’i Ekuroni kuraguza, ngo N’ukw ata Mana yariho mu Bgisirayeli wosiguje? Ngo Nuko rero, ngo Ntuzovyuka ku kirwa uryamyeko, ng’ Uzopfa nta kabuza.","Lorsqu’il fut arrivé, il lui dit : Voici ce que déclare l’Eternel : « Puisque tu as envoyé des messagers pour consulter Baal-Zeboub, le dieu d’Eqrôn, comme s’il n’y avait pas de Dieu en Israël que l’on puisse consulter, eh bien, tu ne quitteras plus le lit sur lequel tu t’es couché et tu vas mourir. »"
2KI.1.17,"So he died, according to the word of the Lord that Elijah had spoken. Because Ahaziah had no son, Joram succeeded him as king in the second year of Jehoram son of Jehoshaphat king of Judah.","Nuko Ahaziya aratanga, nk’ ukw ijambo Uhoraho yavugishije Eliya ryavuze. Maze kukw ata mwana w’umuhungu yagira, murumuna we Yehoramu asubira ku ngoma yiwe; hari mu mwaka ugira kabiri Yehoramu mwene Yehoshafati umwami w’Abayuda ari ku ngoma.","Ahazia mourut effectivement, comme l’Eternel l’avait annoncé par Elie. Comme il n’avait pas de fils, son frère Yoram lui succéda sur le trône, la deuxième année de Yoram, fils de Josaphat, roi de Juda ."
2KI.1.18,"As for all the other events of Ahaziah’s reign, and what he did, are they not written in the book of the annals of the kings of Israel?","Ibindi vyose vyadonzwe kuri Ahaziya, none ntivyanditswe mu gitabo c’ivyo ku ngoma z’abami b’Abisirayeli?",Les autres faits et gestes d’Ahazia sont cités dans le livre des Annales des rois d’Israël.
2KI.2.1,"When the Lord was about to take Elijah up to heaven in a whirlwind, Elijah and Elisha were on their way from Gilgal.","Igihe Uhoraho yagomba kujana Eliya mu gashururu ngw amudūgane mw ijuru, Eliya na Elisa bāri mu nzira bava i Gilugali.","Le jour où l’Eternel enleva Elie au ciel dans un tourbillon de vent, celui-ci partait de Guilgal avec Elisée."
2KI.2.2,"Elijah said to Elisha, “Stay here; the Lord has sent me to Bethel.” But Elisha said, “As surely as the Lord lives and as you live, I will not leave you.” So they went down to Bethel.","Maze Eliya abarira Elisa, at’ Enda sigara hano, kuk’ Uhoraho antumye i Beteli. Elisa aramwishura, ati Ndahiye uguhoraho kw’Uhoraho, nawe nyene ndakurahiye, sintandukana nawe. Nuko baramanuka baja i Beteli.","A un moment donné, il lui dit : Reste ici, je te prie, car l’Eternel m’ordonne d’aller jusqu’à Béthel . Elisée répondit : Aussi vrai que l’Eternel est vivant et que tu es toi-même en vie, je ne te quitterai pas. Ils se rendirent donc ensemble à Béthel."
2KI.2.3,"The company of the prophets at Bethel came out to Elisha and asked, “Do you know that the Lord is going to take your master from you today?” “Yes, I know,” Elisha replied, “so be quiet.”","Bashitseyo, abīgishirizwa i Beteli ivy’ ukuvugishwa baza gusanganira Elisa, baramubaza, bati Harya urazi yuk’ uyu musi Uhoraho agiye kukwaka shobuja? Arabishura, at’ Ego me ndabizi, ariko ni mupfe gucereza.","Les disciples des prophètes qui habitaient à Béthel sortirent au-devant d’Elisée et lui demandèrent : Sais-tu que l’Eternel va enlever aujourd’hui ton maître au-dessus de toi ? Il leur répondit : Oui, je le sais, moi aussi, mais ne parlez pas de cela !"
2KI.2.4,"Then Elijah said to him, “Stay here, Elisha; the Lord has sent me to Jericho.” And he replied, “As surely as the Lord lives and as you live, I will not leave you.” So they went to Jericho.","Maze Eliya yongera kumubarira, at’ Enda rero Elisa, sigara hano, kuk’ Uhoraho antumye i Yeriko. Aramwishura, ati Ndahiye uguhoraho kw’Uhoraho, nawe nyene ndakurahiye, sintandukana nawe. Nuko baja i Yeriko.","Elie lui dit de nouveau : Arrête-toi ici, car l’Eternel m’ordonne d’aller à Jéricho. Il répondit : Aussi vrai que l’Eternel est vivant et que tu es toi-même en vie, je ne te quitterai pas ! Ils allèrent donc ensemble à Jéricho."
2KI.2.5,"The company of the prophets at Jericho went up to Elisha and asked him, “Do you know that the Lord is going to take your master from you today?” “Yes, I know,” he replied, “so be quiet.”","Bashitseyo, abīgishirizwa i Yeriko ivy’ ukuvugishwa baza kuri Elisa baramubaza, bati Harya urazi yuk’ uyu musi Uhoraho agiye kukwaka shobuja? Arabishura, at’ Ego me ndabizi, ariko ni mupfe gucereza.","Les disciples des prophètes qui habitaient Jéricho vinrent au-devant d’Elisée et lui demandèrent : Sais-tu que l’Eternel va enlever aujourd’hui ton maître au-dessus de toi ? Il répondit : Oui, je le sais, moi aussi, mais ne parlez pas de cela !"
2KI.2.6,"Then Elijah said to him, “Stay here; the Lord has sent me to the Jordan.” And he replied, “As surely as the Lord lives and as you live, I will not leave you.” So the two of them walked on.","Eliya yongera kumubarira, at’ Enda sigara hano, kuk’ Uhoraho antumye kuri Yorodani. Na we aramwishura, ati Ndahiye uguhoraho kw’Uhoraho, nawe nyene ndakurahiye, sintandukana nawe. Nuko bompi barajana.","Elie lui dit : Reste ici, je te prie, car l’Eternel m’ordonne de me rendre jusqu’au Jourdain. Mais Elisée lui répondit : Aussi vrai que l’Eternel est vivant et que tu es toi-même en vie, je ne te quitterai pas. Ils poursuivirent donc tous deux leur chemin."
2KI.2.7,"Fifty men from the company of the prophets went and stood at a distance, facing the place where Elijah and Elisha had stopped at the Jordan.","Maz’ abantu mirongwitanu mu biga ivy’ ukuvugishwa baragenda bahagarara kure aharābana na bo, abo bompi bagihagaze kuri Yorodani.","Cinquante disciples des prophètes les suivirent et se postèrent en face d’eux à une certaine distance, lorsqu’ils s’arrêtèrent au bord du Jourdain."
2KI.2.8,"Elijah took his cloak, rolled it up and struck the water with it. The water divided to the right and to the left, and the two of them crossed over on dry ground.","Maze Eliya yābīra umutamana wiwe, arawuzinga, awukubitisha amazi, aca yigabanyamwo kubiri, amwe aja ukwayo ayandi ukwayo, nuko bompi bajabukira ahūmūtse.","Alors Elie enleva son manteau, le roula et en frappa l’eau du fleuve qui s’écarta de part et d’autre, de sorte qu’ils purent traverser tous deux à sec."
2KI.2.9,"When they had crossed, Elijah said to Elisha, “Tell me, what can I do for you before I am taken from you?” “Let me inherit a double portion of your spirit,” Elisha replied.","Bamaze kujabuka, Eliya abarira Elisa, ati Nsaba ico ugomba ko ndagukorera, ntaratandukanywa nawe. Elisa aramwishura, ati Ntabara umpe imigabane ibiri y’impwemu yawe, ngw imbeko.","Lorsqu’ils eurent passé, Elie dit à Elisée : Que voudrais-tu que je fasse pour toi ? Demande-le-moi avant que je sois enlevé loin de toi. Elisée répondit : J’aimerais recevoir une double part de l’Esprit qui réside en toi."
2KI.2.10,"“You have asked a difficult thing,” Elijah said, “yet if you see me when I am taken from you, it will be yours—otherwise, it will not.”","Aramwishura, at’ Unsavye ikigoye; mugabo ni wambona ngitandukanywa nawe, biza kukubera birtyo; na ho n’utambona, ntibiza kuba birtyo.","Elie répondit : Tu as exprimé une demande difficile à satisfaire, mais si tu me vois pendant que je serai enlevé d’auprès de toi, cela te sera accordé ; si tu ne me vois pas, il n’en sera rien."
2KI.2.11,"As they were walking along and talking together, suddenly a chariot of fire and horses of fire appeared and separated the two of them, and Elijah went up to heaven in a whirlwind.","Hanyuma bakiriko baragenda bayāga, bagize bartya, umukogote w’umuriro n’amafarasi y’umuriro birabatandukanya; Eliya adūganwa mw ijuru n’agashururu.","Pendant qu’ils continuaient à marcher tout en parlant, un char de feu tiré par des chevaux de feu vint entre eux et les sépara l’un de l’autre. Elie fut entraîné au ciel dans un tourbillon de vent."
2KI.2.12,"Elisha saw this and cried out, “My father! My father! The chariots and horsemen of Israel!” And Elisha saw him no more. Then he took hold of his garment and tore it in two.","Elisa abibonye, araboroga, ati Yewe ga data we, yewe ga data we, wabereye Abisirayeli imikogote n’abagendera ku mafarasi! Nuko ntiyongera kumubona ukundi. Maze yitantamurirakw impuzu ziwe, azigiramw’ ibitabu bibiri.","A cette vue, Elisée s’écria : Mon père ! Mon père ! Toi qui étais comme les chars d’Israël et ses équipages ! Puis il le perdit de vue. Saisissant alors ses vêtements, il les déchira en deux,"
2KI.2.13,Elisha then picked up Elijah’s cloak that had fallen from him and went back and stood on the bank of the Jordan.,"Araheza atora umutamana wa Eliya wamukorokanye, arahindukira; ashitse ku nkombe ya Yorodani, ahagararaho.",et ramassa le manteau qui était tombé des épaules d’Elie. Puis il revint sur ses pas et s’arrêta sur la rive du Jourdain ;
2KI.2.14,"He took the cloak that had fallen from Elijah and struck the water with it. “Where now is the Lord , the God of Elijah?” he asked. When he struck the water, it divided to the right and to the left, and he crossed over.","Yābīra wa mutamana wakorokanye Eliya, awukubitisha amazi, aravuga, at’ Uhoraho, Imana ya Eliya, ari hehe? Amaze gukubita amazi, aca yigabanyamwo kubiri, amwe aja ukwayo ayandi ukwayo; nuko Elisa arajabuka.","il prit le manteau d’Elie, en frappa les eaux du fleuve et s’écria : Où est l’Eternel, le Dieu d’Elie ? Ainsi il frappa lui aussi l’eau du fleuve qui s’écarta de part et d’autre, et il traversa à pied sec."
2KI.2.15,"The company of the prophets from Jericho, who were watching, said, “The spirit of Elijah is resting on Elisha.” And they went to meet him and bowed to the ground before him.","Maze bamwe b’i Yeriko biga ivy’ ukuvugishwa, bār’ aharābana na we, baravuga, bat’ Impwemu ya Eliya iri kuri Elisa. Nuko baraza, baramusanganira, bakubita inkoro hasi imbere yiwe.",Les disciples des prophètes de Jéricho qui le virent d’en face s’exclamèrent : L’esprit d’Elie repose maintenant sur Elisée ! Ils allèrent à sa rencontre et se prosternèrent jusqu’à terre devant lui.
2KI.2.16,"“Look,” they said, “we your servants have fifty able men. Let them go and look for your master. Perhaps the Spirit of the Lord has picked him up and set him down on some mountain or in some valley.” “No,” Elisha replied, “do not send them.”","Baramubarira, bati Twebge abasavyi bawe turi kumwe n’ abantu b’inkomezi mirongwitanu; nuko turakwinginze, reka bagende baje kurondera shobuja; kumbure Mpwemu w’Uhoraho yoba yamuteruye, akamuterera ku musozi muremure, canke mu mwonga. Aravuga, at’ Oya, ntimubarungike.","Ils lui proposèrent : Vois-tu, nous avons avec nous, tes serviteurs, cinquante hommes robustes. Permets qu’ils aillent à la recherche de ton maître ! Peut-être l’Esprit de l’Eternel n’a-t-il fait que l’emporter et le jeter sur quelque montagne ou dans quelque ravin. Il répondit : Non, ne les envoyez pas !"
