,0,1,2
ACT.1.1,"In my former book, Theophilus, I wrote about all that Jesus began to do and to teach","Ca gitabo ca mbere nanditse ga Teyofilo we, kivuga ivyo Yesu yatanguye gukora no kwigisha vyose,","Cher Théophile, Dans mon premier livre , j’ai exposé tout ce que Jésus a commencé de faire et d’enseigner"
ACT.1.2,"until the day he was taken up to heaven, after giving instructions through the Holy Spirit to the apostles he had chosen.","gushitsa ku musi yadūgijwe mw ijuru, ahejeje kugerera intumwa muri Mpwemu Yera, zimwe yatoranije.","jusqu’au jour où il fut enlevé au ciel après avoir donné, par le Saint-Esprit , ses instructions à ceux qu’il s’était choisis comme apôtres."
ACT.1.3,"After his suffering, he presented himself to them and gave many convincing proofs that he was alive. He appeared to them over a period of forty days and spoke about the kingdom of God.","Kand’ amaze kubabazwa, abiyereka ari muzima atanga ibimenyetso vyinshi, ababonekera imisi mirongwine, avuga ivy’ ubgami bg’Imana.","Après sa mort, il se présenta à eux vivant et leur donna des preuves nombreuses de sa résurrection. Il leur apparut pendant quarante jours et leur parla du royaume de Dieu."
ACT.1.4,"On one occasion, while he was eating with them, he gave them this command: “Do not leave Jerusalem, but wait for the gift my Father promised, which you have heard me speak about.","Maz’ akoranye na bo, arabihanikiriza ngo ntibave i Yerusalemu, at’ Ariko murorēre isezerano rya Data, iryo mwanyumvanye.","Or, un jour qu’il prenait un repas avec eux , il leur recommanda de ne pas quitter Jérusalem, mais d’y attendre que son Père leur accorde le don qu’il leur avait promis. – C’est le don que je vous ai annoncé, leur dit-il."
ACT.1.5,"For John baptized with water, but in a few days you will be baptized with the Holy Spirit.”","Kuko Yohana yabatirisha amazi, ariko mweho, mu misi itari myinshi, muzobatizwa na Mpwemu Yera.","Car Jean a baptisé dans l’eau, mais vous, c’est dans le Saint-Esprit que vous serez baptisés dans peu de jours."
ACT.1.6,"Then they gathered around him and asked him, “Lord, are you at this time going to restore the kingdom to Israel?”","Nuko bakoranye, baramubaza, bati Mwami, iki gihe ni co ugira ugarukane ingoma y’Abisirayeli?","Comme ils étaient réunis autour de lui, ils lui demandèrent : Seigneur, est-ce à ce moment-là que tu rendras le royaume à Israël ?"
ACT.1.7,He said to them: “It is not for you to know the times or dates the Father has set by his own authority.,"Arabishura, ati S’ivyanyu kumenya imisi cank’ ibihe Data yashinze n’ububasha bgiwe wenyene;",Il leur répondit : Il ne vous appartient pas de connaître les temps et les moments que le Père a fixés de sa propre autorité.
ACT.1.8,"But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth.”","ariko muzohabga ubushobozi, Mpwemu Yera ni yabazako, muzoba ivyabona vyo kunshingira intahe i Yerusalemu, n’i Yudaya hose, n’i Samariya, no gushitsa ku mpera y’isi.","Mais le Saint-Esprit descendra sur vous : vous recevrez sa puissance et vous serez mes témoins à Jérusalem, dans toute la Judée et la Samarie, et jusqu’au bout du monde ."
ACT.1.9,"After he said this, he was taken up before their very eyes, and a cloud hid him from their sight.","Amaze kuvuga artyo, adūzwa babona, igicu kimukūra mu maso yabo.","Après ces mots, ils le virent s’élever dans les airs et un nuage le cacha à leur vue."
ACT.1.10,"They were looking intently up into the sky as he was going, when suddenly two men dressed in white stood beside them.","Bagihanze amaso mw ijuru akigenda, abagabo babiri bambaye impuzu zera bahagarara i ruhande yabo;","Ils gardaient encore les yeux fixés au ciel pendant qu’il s’éloignait, quand deux hommes vêtus de blanc se présentèrent devant eux et leur dirent :"
ACT.1.11,"“Men of Galilee,” they said, “why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.”","barababaza, bati Yemwe bagabo b’i Galilaya, n’iki gitumye muhagaze murāba mw ijuru? Uyo Yesu, abakūwemwo, akadūzwa mw ijuru, azoza artyo, nk’uko mumubonye aja mw ijuru.","Hommes de Galilée, pourquoi restez-vous ainsi à regarder le ciel ? Ce Jésus qui a été enlevé au ciel du milieu de vous, en redescendra un jour de la même manière que vous l’avez vu y monter."
ACT.1.12,"Then the apostles returned to Jerusalem from the hill called the Mount of Olives, a Sabbath day’s walk from the city.","Buno basubira i Yerusalemu, bavuye ku musozi witwa Elayono, uri hafi y’i Yerusalemu nk’urugendo rwemewe kugendwa kw’ isabato.","Alors les apôtres quittèrent la colline qu’on appelle mont des Oliviers, située à environ un kilomètre de Jérusalem, et rentrèrent en ville."
ACT.1.13,"When they arrived, they went upstairs to the room where they were staying. Those present were Peter, John, James and Andrew; Philip and Thomas, Bartholomew and Matthew; James son of Alphaeus and Simon the Zealot, and Judas son of James.","Bashitseyo, barūrira baja mu nzu yo hejuru, aho bāri basembereye, ari Petero, na Yohana, na Yakobo, na Andereya, na Filipo, na Toma, na Barutolomayo, na Matayo, na Yakobo mwene Alufayo, na Simoni Zelote, na Yuda mwene Yakobo.","Dès leur arrivée, ils montèrent à l’étage supérieur de la maison où ils se tenaient d’habitude . C’étaient Pierre, Jean, Jacques et André, Philippe et Thomas, Barthélemy et Matthieu, Jacques, fils d’Alphée, Simon le Zélé , et Jude, fils de Jacques."
ACT.1.14,"They all joined together constantly in prayer, along with the women and Mary the mother of Jesus, and with his brothers.","Abo bose bāsenga badahumeka n’umutima uhūye, hamwe n’abagore, na Mariya nyina wa Yesu, na bene nyina.","Eux tous, d’un commun accord, se retrouvaient souvent pour prier, avec quelques femmes, avec Marie la mère de Jésus, et avec les frères de Jésus."
ACT.1.15,In those days Peter stood up among the believers (a group numbering about a hundred and twenty),"Mur’ iyo misi Petero ava hasi ahagarara hagati ya bene Data, (hāri hakoraniye ishengero ry’abantu nk’ijana na mirongwibiri), aravuga,","Un de ces jours-là, Pierre se leva au milieu des frères. Ils étaient là environ cent vingt."
ACT.1.16,"and said, “Brothers and sisters, the Scripture had to be fulfilled in which the Holy Spirit spoke long ago through David concerning Judas, who served as guide for those who arrested Jesus.","ati Bagabo bene Data, ivyanditswe ntivyobuze gushika, ivyo Mpwemu Yera yari yaravugiye mu kanwa ka Dawidi kuri Yuda, yarōngōye abaja gufata Yesu,","– Mes frères, dit-il, il fallait que les prophéties de l’Ecriture s’accomplissent : car le Saint-Esprit, par l’intermédiaire de David, a parlé à l’avance de Judas, qui a servi de guide à ceux qui ont arrêté Jésus."
ACT.1.17,He was one of our number and shared in our ministry.”,"kuko yari yaharūwe muri twebge, agahabga umugabane w’iki gikorwa.",Cet homme était l’un des nôtres et il a eu sa part dans le service qui nous avait été confié.
ACT.1.18,"(With the payment he received for his wickedness, Judas bought a field; there he fell headlong, his body burst open and all his intestines spilled out.","(Kand’ uwo muntu amaze kugura ubgatsi ku vyo yahawekw ibiguzi vyo kugabitanya kwiwe, agwa yubamye, araturika, amara yiwe yose arasēseka.","Avec l’argent qu’il a reçu en paiement de son crime, il a acheté un champ ; il y est tombé la tête la première, il s’est éventré, et ses intestins se sont répandus sur le sol."
ACT.1.19,"Everyone in Jerusalem heard about this, so they called that field in their language Akeldama, that is, Field of Blood.)","Bimenyekana mu baba i Yerusalemu bose, ni co catumye ubgo bgatsi mu rurimi rwabo babgita Akeludama, risobanurwa ng’ Ubgatsi bg’amaraso.)","Tous les habitants de Jérusalem l’ont appris : c’est pourquoi ils ont appelé ce champ : Akeldama , ce qui, dans leur langue, signifie : « le champ du sang »."
ACT.1.20,"“For,” said Peter, “it is written in the Book of Psalms: “ ‘May his place be deserted; let there be no one to dwell in it,’ and, “ ‘May another take his place of leadership.’","Kuko mu gitabo ca Zaburi handitswe, ngw I we hasigare umusaka, Kandi ntihakagire uwundi ahaba, kandi ng’ Ububgiriza bgiwe busubiremw’ uwundi.","Or, il est écrit dans le livre des Psaumes : Que sa maison reste vide et qu’elle soit privée d’habitants . Et plus loin : Qu’un autre prenne sa charge !"
ACT.1.21,"Therefore it is necessary to choose one of the men who have been with us the whole time the Lord Jesus was living among us,","Nuko mur’ abo bagabo twahora tugendana igihe cose Umwami Yesu yar’ akiri muri twebge amaja n’amaza,","Nous devons donc choisir l’un de ceux qui nous ont accompagnés durant tout le temps où le Seigneur Jésus sillonnait le pays avec nous,"
ACT.1.22,beginning from John’s baptism to the time when Jesus was taken up from us. For one of these must become a witness with us of his resurrection.”,"utanguriye ku kubatiza kwa Yohana ukageza ku musi yadukūriwemwo, adūganywe, umwe muri bo akwiye kuba icabona hamwe natwe co gushingira intahe ukuzuka kwiwe.","depuis le moment où Jean l’a baptisé jusqu’au jour où il a été enlevé du milieu de nous. Cet homme sera ainsi, avec nous, un témoin de sa résurrection."
ACT.1.23,So they nominated two men: Joseph called Barsabbas (also known as Justus) and Matthias.,"Bahagarika babiri, umwe ni Yosefu ari we Barusaba, irindi ni Yusito, uwundi na we ni Matiya.","On présenta deux hommes : Joseph, appelé Barsabbas, surnommé le Juste, et Matthias."
ACT.1.24,"Then they prayed, “Lord, you know everyone’s heart. Show us which of these two you have chosen","Barasenga, bati Mwami, ni wewe uzi imitima y’abantu bose, none werekane uwo utoranije mur’ aba bompi","Et l’on fit alors cette prière : Toi, Seigneur, tu connais le cœur de tous les hommes. Désigne toi-même celui de ces deux frères que tu as choisi"
ACT.1.25,"to take over this apostolic ministry, which Judas left to go where he belongs.”","gusubira mu kirenge ca Yuda mur’ iki gikorwa no kuba intumwa, ivyo yataye akaja ahiwe.","pour occuper, dans cette charge d’apôtre, la place que Judas a désertée afin d’aller à celle qui lui revenait."
ACT.1.26,"Then they cast lots, and the lot fell to Matthias; so he was added to the eleven apostles.","Barabapfindira, ubupfindo bgerekana Matiya, nukw aharūranwa n’intumwa cumi n’imwe.",Puis ils tirèrent au sort. Matthias fut désigné. C’est lui qui fut adjoint aux onze apôtres.
ACT.2.1,"When the day of Pentecost came, they were all together in one place.","Umusi wa Pentekote ushitse, bose bāri bakoraniye ahantu hamwe;","Quand le jour de la Pentecôte arriva, ils étaient tous rassemblés au même endroit."
ACT.2.2,Suddenly a sound like the blowing of a violent wind came from heaven and filled the whole house where they were sitting.,"haza igihinda kivuye mw ijuru giturumbuka, nk’uguhuhuta kw’umuyaga w’inkomezi, gikwira hose mu nzu bicayemwo.","Tout à coup, un grand bruit survint du ciel : c’était comme si un violent coup de vent s’abattait sur eux et remplissait toute la maison où ils se trouvaient assis."
ACT.2.3,They saw what seemed to be tongues of fire that separated and came to rest on each of them.,"Hababonekera ibirimi vyigabanije, nk’ivy’ umuriro; bibajak’ umwe‐umwe.","Au même moment, ils virent apparaître des sortes de langues qui ressemblaient à des flammèches. Elles se séparèrent et allèrent se poser sur la tête de chacun d’eux."
ACT.2.4,All of them were filled with the Holy Spirit and began to speak in other tongues as the Spirit enabled them.,"Bose buzuzwa Mpwemu Yera, batangura kuvuga izindi ndimi, uko Mpwemu abahaye kuzivuga.","Aussitôt, ils furent tous remplis du Saint-Esprit et commencèrent à parler dans différentes langues, chacun s’exprimant comme le Saint-Esprit lui donnait de le faire."
ACT.2.5,Now there were staying in Jerusalem God-fearing Jews from every nation under heaven.,"I Yerusalemu hār’ Abayuda bamyeho, abagabo bubaha Imana, bāri bāravuye mu mahanga yose yo musi y’ijuru.","Or, à ce moment-là, des Juifs pieux, venus de chez tous les peuples du monde, séjournaient à Jérusalem."
ACT.2.6,"When they heard this sound, a crowd came together in bewilderment, because each one heard their own language being spoken.","Ico gihinda cumvikanye, hakorana abantu benshi, barajorerwa, kuk’ umuntu wese yumvise ururimi rw’i wabo baruvuga.","En entendant ce bruit, ils accoururent en foule et furent saisis de stupeur. En effet, chacun d’eux les entendait parler dans sa propre langue."
ACT.2.7,"Utterly amazed, they asked: “Aren’t all these who are speaking Galileans?","Barumirwa bose, baratangara, bati Mbeg’ aba bose bavuga s’Abanyagalilaya?","Dans leur étonnement, ils n’en croyaient pas leurs oreilles et disaient : Voyons ! Ces gens qui parlent, ne viennent-ils pas tous de Galilée ?"
ACT.2.8,Then how is it that each of us hears them in our native language?,Kandi n’iki gitumye twese tubumva bavuga indimi z’i wacu izo twavukanye?,Comment se fait-il donc que nous les entendions s’exprimer chacun dans notre langue maternelle ?
ACT.2.9,"Parthians, Medes and Elamites; residents of Mesopotamia, Judea and Cappadocia, Pontus and Asia,","Tur’ Abapariti, n’Abamedi, n’Abelamiti, n’abamye i Mesopotamiya, n’i Yudaya, n’i Kapadokiya, n’i Ponto, no muri Asiya,","Nous sommes Parthes, Mèdes ou Elamites, nous habitons la Mésopotamie, la Judée, la Cappadoce, le Pont ou la province d’Asie,"
ACT.2.10,"Phrygia and Pamphylia, Egypt and the parts of Libya near Cyrene; visitors from Rome","n’i Furugiya, n’i Pamfiliya, no muri Egiputa, no mu bihugu vy’i Libuwa bihereranye n’i Kureni, n’ab’ i Roma bāgerereye ino, Abayuda, bo n’abātoye idini yabo,","la Phrygie ou la Pamphylie, l’Egypte ou le territoire de la Libye près de Cyrène , ou bien, nous vivons à Rome, nous sommes juifs de naissance ou par conversion,"
ACT.2.11,(both Jews and converts to Judaism); Cretans and Arabs—we hear them declaring the wonders of God in our own tongues!”,"Abakirete, n’Abarabo, tukabumva bavuga mu ndimi zacu ibitangaza vy’Imana.","nous venons de la Crète ou de l’Arabie, et pourtant chacun de nous les entend parler dans sa propre langue des choses merveilleuses que Dieu a accomplies !"
ACT.2.12,"Amazed and perplexed, they asked one another, “What does this mean?”","Bose barumirwa barazazanirwa, barabazanya, bat’ Ibi n’ibiki?","Ils n’en revenaient pas. Plongés dans la plus grande perplexité, ils se demandaient entre eux : « Qu’est-ce que cela peut bien vouloir dire ? »"
ACT.2.13,"Some, however, made fun of them and said, “They have had too much wine.”","Arikw abandi barabanegura, bati Baborewe igisāma.","Mais d’autres tournaient la chose en ridicule : « C’est le vin doux, disaient-ils. Ils ont trop bu ! »"
ACT.2.14,"Then Peter stood up with the Eleven, raised his voice and addressed the crowd: “Fellow Jews and all of you who live in Jerusalem, let me explain this to you; listen carefully to what I say.","Ariko Petero ahagararana na bamwe cumi n’umwe, ababariza ijwi rirenga, ati Yemwe Bayuda n’ababa i Yerusalemu mwese, ibi ni mubimenye, kandi ni mwumvirize amajambo yanje.","Alors Pierre se leva entouré des Onze et, d’une voix forte, il dit à la foule : Ecoutez-moi bien, vous qui habitez la Judée et vous tous qui séjournez à Jérusalem : comprenez ce qui se passe."
ACT.2.15,"These people are not drunk, as you suppose. It’s only nine in the morning!","Aba ntibaborewe nk’uko mwiyumvira, kuk’ ubu ar’ isaha zitatu z’umusi,",Certains d’entre vous insinuent que ces hommes seraient ivres. Pas du tout ! Il est à peine neuf heures du matin !
ACT.2.16,"No, this is what was spoken by the prophet Joel:","arikw ivyo n’ivyavuzwe n’uwavugishwa n’Imana Yoweli,",Mais maintenant se réalise ce qu’avait annoncé le prophète Joël :
ACT.2.17,"“ ‘In the last days, God says, I will pour out my Spirit on all people. Your sons and daughters will prophesy, your young men will see visions, your old men will dream dreams.","ati Bizoba mu misi y’iherezo, ni kw Imana yagize, Nzosuka Mpwemu wanje ku bari n’umubiri bose: Kand’ abahungu n’abakobga banyu bazovugishwa nanje, N’imisore yanyu izobona ivyo yeretswe, N’abatāma banyu bazorota inzozi.","Voici ce qui arrivera, dit Dieu, ╵ dans les jours de la fin des temps : Je répandrai de mon Esprit ╵ sur tout le monde. Vos fils, vos filles prophétiseront , vos jeunes gens, par des visions, vos vieillards, par des songes, recevront des révélations."
ACT.2.18,"Even on my servants, both men and women, I will pour out my Spirit in those days, and they will prophesy.","Mbere n’abagurano banje b’abahungu n’abakobga mur’ iyo misi Nzobasukako Mpwemu wanje, bavugishwe nanje.","Oui, sur mes serviteurs, ╵ comme sur mes servantes, je répandrai de mon Esprit, ╵ en ces jours-là : ils prophétiseront."
