,0,1,2
AMO.1.1,"The words of Amos, one of the shepherds of Tekoa—the vision he saw concerning Israel two years before the earthquake, when Uzziah was king of Judah and Jeroboam son of Jehoash was king of Israel.","Amajambo ya Amosi wo mu bungere b’i Tekowa, y’ivyo yeretswe ku Bisirayeli ku ngoma ya Uziya umwami w’i Buyuda, no ku ngoma ya Yerobowamu mwene Yehowasi, umwami w’Abisirayeli, avyeretswe, hashira imyaka ibiri kwa gutigita kw’isi kuraza.","Paroles d’Amos, l’un des éleveurs de Teqoa , qui lui furent révélées au sujet d’Israël , au temps d’Ozias, roi de Juda, et au temps de Jéroboam, fils de Joas, roi d’Israël, deux ans avant le tremblement de terre ."
AMO.1.2,"He said: “The Lord roars from Zion and thunders from Jerusalem; the pastures of the shepherds dry up, and the top of Carmel withers.”","Nuko yaravuze, at’ Uhoraho azokwivugira i Siyoni, arangurure ijwi ar’ i Yerusalemu; maz’ amaragiro y’abungere azosigara aganya, no ku gatwe k’i Karumeli hazokwuma.","Amos dit : De Sion, l’Eternel rugit et, de Jérusalem, ╵il donne de la voix. Les pâturages des bergers ╵se flétriront. Le sommet du Carmel ╵se desséchera."
AMO.1.3,"This is what the Lord says: “For three sins of Damascus, even for four, I will not relent. Because she threshed Gilead with sledges having iron teeth,","Uku ni k’Uhoraho agize, ati Kubg’ ibicumuro bitatu vy’i Damasiko, mbere ni bine, sinzovyirengagiza; kuko bāhūraguje i Gileyadi ibibando vy’ivyuma:","L’Eternel dit ceci : Damas a perpétré ╵de nombreux crimes ; il a dépassé les limites . ╵Voilà pourquoi ╵je ne reviendrai pas ╵sur l’arrêt que j’ai pris, car ils ont écrasé ╵sous des herses de fer ╵les gens de Galaad ."
AMO.1.4,I will send fire on the house of Hazael that will consume the fortresses of Ben-Hadad.,"nuko nzokwanda umuriro inzu ya Hazayeli, utongore ingoro za Beni‐hadadi.","Je mettrai donc le feu ╵au palais d’Hazaël , et il consumera ╵les palais du roi Ben-Hadad ."
AMO.1.5,"I will break down the gate of Damascus; I will destroy the king who is in the Valley of Aven and the one who holds the scepter in Beth Eden. The people of Aram will go into exile to Kir,” says the Lord .","Kandi nzovunagura ibihindizo vy’i Damasiko, mpenebereze ababa mu kiyaya c’i Aveni, bo n’uwitwaje icumu ry’ubugabe w’i Beti‐Edeni; kand’ ihanga ry’i Siriya rizokwambukanwa i Kiri ar’ inyagano, ni k’Uhoraho agize.","Oui, je ferai sauter ╵les verrous de Damas, je ferai disparaître ╵celui qui siège sur le trône ╵dans la vallée d’Aven et celui qui est au pouvoir ╵à Beth-Eden , et les Syriens ╵partiront en exil à Qir , l’Eternel le déclare."
AMO.1.6,"This is what the Lord says: “For three sins of Gaza, even for four, I will not relent. Because she took captive whole communities and sold them to Edom,","Uku ni k’Uhoraho agize, ati Kubg’ ibicumuro bitatu vy’i Gaza, mbere ni bine, sinzovyirengagiza; kuko bajanye ihanga ryose ar’ inyagano, bakabashora ku Banyedomu:","L’Eternel dit ceci : Gaza a perpétré ╵de nombreux crimes ; il a dépassé les limites. ╵Voilà pourquoi ╵je ne reviendrai pas ╵sur l’arrêt que j’ai pris, car ils ont déporté ╵des gens en masse ╵pour les livrer ╵à Edom comme esclaves."
AMO.1.7,I will send fire on the walls of Gaza that will consume her fortresses.,"nuko nzokwanda umuriro uruzitiro rw’i Gaza, utongore ingoro zaho;","Je mettrai donc le feu ╵aux remparts de Gaza, et il consumera ╵les palais qui s’y trouvent."
AMO.1.8,"I will destroy the king of Ashdod and the one who holds the scepter in Ashkelon. I will turn my hand against Ekron, till the last of the Philistines are dead,” says the Sovereign Lord .","kandi nzohenebereza ababa muri Ashidodi, bo n’uwitwaje icumu ry’ubugabe muri Ashikeloni; kandi nzotuma ukuboko kwanje ntere Ekuroni, maz’ amasigarira y’Abafilisitiya azohona, ni k’Umwami Uhoraho agize.","Je ferai disparaître ╵celui qui, dans Ashdod, ╵est assis sur le trône , et celui qui est au pouvoir ╵à Ashkelôn. Je me tournerai contre Eqrôn et ainsi périront ╵les derniers Philistins . Voici ce que déclare ╵le Seigneur, l’Eternel."
AMO.1.9,"This is what the Lord says: “For three sins of Tyre, even for four, I will not relent. Because she sold whole communities of captives to Edom, disregarding a treaty of brotherhood,","Uku ni k’Uhoraho agize, ati Kubg’ ibicumuro bitatu vy’i Tiro, mbere ni bine, sinzovyirengagiza; kuko bajanye ihanga ryose ar’ inyagano, bakabashora ku Banyedomu, ntibibuke isezerano ry’ umuvukano.","L’Eternel dit ceci : Tyr a commis ╵de nombreux crimes ; il a dépassé les limites. ╵Voilà pourquoi ╵je ne reviendrai pas ╵sur l’arrêt que j’ai pris, car ils ont livré à Edom ╵des déportés en masse , ils n’ont fait aucun cas ╵de l’alliance ╵qui les liait au peuple frère."
AMO.1.10,I will send fire on the walls of Tyre that will consume her fortresses.”,"Nuko nzokwanda umuriro uruzitiro rw’i Tiro, utongore ingoro zaho.","Je mettrai donc le feu ╵aux murailles de Tyr, et il consumera ╵les palais qui s’y trouvent."
