,0,1,2
COL.1.1,"Paul, an apostle of Christ Jesus by the will of God, and Timothy our brother,","Paulo, nagizwe intumwa ya Kristo Yesu n’ukw Imana yabigomvye, na Timoteyo mwene Data,","Paul, apôtre de Jésus-Christ par la volonté de Dieu, et le frère Timothée, saluent"
COL.1.2,"To God’s holy people in Colossae, the faithful brothers and sisters in Christ: Grace and peace to you from God our Father.","turabandikiye bene Data bo muri Kristo bera b’abizigirwa, mur’ i Kolosayi. Ubuntu n’amahoro bibe muri mwebge biva ku Mana Data wa twese.","ceux qui, à Colosses, font partie du peuple saint par leur union avec Christ et qui sont nos fidèles frères et sœurs en lui. Que la grâce et la paix vous soient accordées par Dieu notre Père ."
COL.1.3,"We always thank God, the Father of our Lord Jesus Christ, when we pray for you,","Dushima Imana Se w’Umwami wacu Yesu Kristo, twama tubasengera ubudasība,","Nous exprimons constamment à Dieu, le Père de notre Seigneur Jésus-Christ, notre reconnaissance à votre sujet dans nos prières pour vous."
COL.1.4,because we have heard of your faith in Christ Jesus and of the love you have for all God’s people—,"kuko twumvise ukwizera Kristo Yesu kwanyu, n’urukundo mufitiye abera bose,","En effet, nous avons entendu parler de votre foi en Jésus-Christ et de votre amour pour tous les membres du peuple saint."
COL.1.5,the faith and love that spring from the hope stored up for you in heaven and about which you have already heard in the true message of the gospel,"kubg’ ivyizigirwa mwabīkiwe mw ijuru, ivyo mwumvise kera, mw ijambo ry’ukuri kw’ ubutumwa bgiza,","Cette foi et cet amour se fondent sur ce qui fait votre espérance et que Dieu vous réserve dans les cieux. Cette espérance, vous l’avez connue par la prédication de la vérité, cet Evangile"
COL.1.6,"that has come to you. In the same way, the gospel is bearing fruit and growing throughout the whole world—just as it has been doing among you since the day you heard it and truly understood God’s grace.","bgābashitseko, nk’uko buri mw isi yose bgama imbuto bugwira: kandi no muri mwebge bugenza burtyo, uhereye wa musi mwumviye mukamenya ubuntu bg’Imana vy’ukuri:","qui est parvenu jusqu’à vous, comme il est aussi présent dans le monde entier où il porte du fruit et va de progrès en progrès – ce qui est également le cas parmi vous, depuis le jour où vous avez reçu et reconnu la grâce de Dieu dans toute sa vérité."
COL.1.7,"You learned it from Epaphras, our dear fellow servant, who is a faithful minister of Christ on our behalf,","nk’uko mwigishijwe na Epafura uwo dukunda, umugurano mugenzi wacu, ni we mukozi wa Kristo wo kwizigirwa abagaburira ivya Kristo mu gishingo cacu,","C’est Epaphras, notre cher collaborateur, qui vous en a instruits. Il est un fidèle serviteur de Christ auprès de vous"
COL.1.8,and who also told us of your love in the Spirit.,kandi ni we yatumenyesheje urukundo rwanyu muhabga na Mpwemu.,et il nous a appris quel amour l’Esprit vous inspire.
COL.1.9,"For this reason, since the day we heard about you, we have not stopped praying for you. We continually ask God to fill you with the knowledge of his will through all the wisdom and understanding that the Spirit gives,","Ni co gituma natwe, uhereye igihe twavyumviye, tudahengeshanya kubasengera, no kubasabira ngo mwuzuzwe ukumenya ivy’ igomba n’ubgenge bgose no kumenya ivy’ impwemu,","Aussi, depuis le jour où nous avons entendu parler de vous, nous aussi, nous ne cessons de prier Dieu pour vous. Nous lui demandons qu’il vous fasse connaître pleinement sa volonté, en vous donnant, par le Saint-Esprit, une entière sagesse et un parfait discernement."
COL.1.10,"so that you may live a life worthy of the Lord and please him in every way: bearing fruit in every good work, growing in the knowledge of God,","kugira ngo mugende nk’uko bibereye ab’ Umwami wacu, mumunezereza muri vyose, mwama imbuto mu bikorwa vyiza vyose, mugwizwa no kumenya Imana,",Ainsi vous pourrez avoir une conduite digne du Seigneur et qui lui plaise à tous égards. Car vous porterez comme fruit toutes sortes d’œuvres bonnes et vous ferez des progrès dans la connaissance de Dieu.
COL.1.11,"being strengthened with all power according to his glorious might so that you may have great endurance and patience,","mushobozwa n’ubushobozi bgose, nk’ukw inkomezi z’ubgiza bgayo ziri, ngo mwihangane rwose, ntimurambirwe, mubigiranye umunezero.","Dieu vous fortifiera pleinement à la mesure de sa puissance glorieuse, pour que vous puissiez tout supporter et persévérer jusqu’au bout – et cela avec joie ."
COL.1.12,"and giving joyful thanks to the Father, who has qualified you to share in the inheritance of his holy people in the kingdom of light.",Mushime Data wa twese yabashoboje kuraganwa n’abera umwandu wo mu muco;,Vous exprimerez votre reconnaissance au Père qui vous a rendus capables d’avoir part à l’héritage qu’il réserve dans la lumière aux membres de son peuple saint . Car :
COL.1.13,"For he has rescued us from the dominion of darkness and brought us into the kingdom of the Son he loves,","yadukijije ububasha bg’umwiza, atwimurira mu bgami bg’Umwana wiwe akunda.",Il nous a arrachés au pouvoir des ténèbres et nous a fait passer dans le royaume de son Fils bien-aimé.
COL.1.14,"in whom we have redemption, the forgiveness of sins.","Mur’ uwo ni ho dufise ugucungurwa, ni kwo guharirwa ivyaha vyacu.","Etant unis à lui, nous sommes délivrés, car nous avons reçu le pardon des péchés."
COL.1.15,"The Son is the image of the invisible God, the firstborn over all creation.","Ni we shusho y’Imana itaboneka, ni we mfura mu vyaremwe vyose:","Ce Fils, il est l’image du Dieu que nul ne voit, il est le Premier-né de toute création."
COL.1.16,"For in him all things were created: things in heaven and on earth, visible and invisible, whether thrones or powers or rulers or authorities; all things have been created through him and for him.","kuko muri we ari ho vyose vyaremewe, ivyo mw ijuru n’ivyo mw isi, ibiboneka n’ibitaboneka, ur’ intebe z’icubahiro, ur’ ubgami, ur’ ubukuru, ur’ ububasha: vyose vyaremwe na we, biremerwa kuba ivyiwe.","Car c’est en lui qu’ont été créées toutes choses dans les cieux comme sur la terre, les visibles, les invisibles, les Trônes et les Seigneuries, les Autorités, les Puissances. C’est par lui et pour lui que Dieu a tout créé."
COL.1.17,"He is before all things, and in him all things hold together.","We yabayeho vyose bitarabaho, kandi muri we vyose ni ho bifataniye.",Il est lui-même bien avant toutes choses et tout subsiste en lui.
COL.1.18,"And he is the head of the body, the church; he is the beginning and the firstborn from among the dead, so that in everything he might have the supremacy.","Ni we mutwe w’umubiri, ni wo shengero: kandi ni we tanguriro, ni we mfura mu kuva mu bapfuye, kugira ngw abe agaheta muri vyose.","Il est lui-même la tête de son corps qui est l’Eglise . Ce Fils est le commencement, le Premier-né de tous ceux qui sont morts, afin qu’en toutes choses il ait le premier rang."
COL.1.19,"For God was pleased to have all his fullness dwell in him,",Kukw Imana yahimbawe n’uk’ ukunengesera kwayo kwose kuba muri we:,Car c’est en lui que Dieu a désiré que toute plénitude ait sa demeure.
COL.1.20,"and through him to reconcile to himself all things, whether things on earth or things in heaven, by making peace through his blood, shed on the cross.","kandi yahimbawe no kumuha kwuzuza vyose na yo, ar’ ivyo mw isi, ar’ ivyo mw ijuru, izanishije impore amaraso yo ku musaraba wiwe.","Et c’est par lui qu’il a voulu réconcilier avec lui-même l’univers tout entier : ce qui est sur la terre et ce qui est au ciel, en instaurant la paix par le sang que son Fils a versé sur la croix."
COL.1.21,Once you were alienated from God and were enemies in your minds because of your evil behavior.,"Namwe abāri bāratandukanijwe n’Imana kera, mugahindurwa abansi bayo mu mitima yanyu n’ivyo mwakoze bibi,","Or vous, autrefois, vous étiez exclus de la présence de Dieu, vous étiez ses ennemis à cause de vos pensées qui vous amenaient à faire des œuvres mauvaises ;"
COL.1.22,"But now he has reconciled you by Christ’s physical body through death to present you holy in his sight, without blemish and free from accusation—","none yabuzurije na yo mu mubiri wiwe w’umuntu kubg’ urupfu yapfuye, ngw abashikane imbere yayo mur’ abera, mudafise agasembga, mutagira ico mwogawa;","mais maintenant, Dieu vous a réconciliés avec lui par le sacrifice de son Fils qui a livré à la mort son corps humain, pour vous faire paraître saints, irréprochables et sans faute devant lui."
COL.1.23,"if you continue in your faith, established and firm, and do not move from the hope held out in the gospel. This is the gospel that you heard and that has been proclaimed to every creature under heaven, and of which I, Paul, have become a servant.","asangwa muhora mwizeye, mushinzwe neza mutanyiganyiga, mudatirimuka mu vyizigiro biheshwa n’ubutumwa mwumvise, bgavuzwe mu bāremwe bose bo musi y’ijuru, ubgo jewe Paulo nacikiye umukozi wabgo.","Mais il vous faut, bien sûr, demeurer dans la foi, fermement établis sur ce fondement sans vous laisser écarter de l’espérance qu’annonce l’Evangile. Cet Evangile, vous l’avez entendu, il a été proclamé parmi toutes les créatures sous le ciel, et moi, Paul, j’en suis devenu le serviteur."
COL.1.24,"Now I rejoice in what I am suffering for you, and I fill up in my flesh what is still lacking in regard to Christ’s afflictions, for the sake of his body, which is the church.","None nnezererewe amagorwa yanje yo kubganyu, kand’ ivyasigaye ku marushwa ya Kristo nanje ndabishitsa mu mubiri wanje, kubg’ umubiri wiwe, ni wo shengero,","Maintenant, je me réjouis des souffrances que j’endure pour vous. Car, en ma personne, je complète, pour le bien de son corps – qui est l’Eglise – ce qui manque aux persécutions dirigées contre Christ ."
COL.1.25,I have become its servant by the commission God gave me to present to you the word of God in its fullness—,"iryo nacikiye umukozi, nk’uko nahawe n’Imana ububgiriza bgo kugaburira mwebge, kugira ngo nkwize ijambo ry’Imana rishitse,","C’est de cette Eglise que je suis devenu le serviteur, selon la responsabilité que Dieu m’a confiée à votre égard. Il m’a chargé d’annoncer sa Parole dans toute sa plénitude"
COL.1.26,"the mystery that has been kept hidden for ages and generations, but is now disclosed to the Lord’s people.","ni ryo banga ryari ryarahishijwe uhereye kera hose n’ibihe vyose, ariko noneho ryahishuriwe abera bayo,","en vous faisant connaître le secret de son plan tenu caché depuis toujours, de génération en génération, mais qui s’accomplit de façon manifeste pour les membres de son peuple saint."
COL.1.27,"To them God has chosen to make known among the Gentiles the glorious riches of this mystery, which is Christ in you, the hope of glory.","abo Imana yakunze kumenyesha itunga ry’ubgiza bg’iri banga, rivugwa mu banyamahanga, ni ryo Kristo ari muri mwebge, ivyizigiro vyo kuzoronka ubgiza.","Car Dieu a voulu leur faire connaître quelle est la glorieuse richesse que renferme le secret de son plan pour les non-Juifs. Et voici ce secret : Christ en vous , garantie de votre espérance de la gloire à venir."
