,0,1,2
DAN.1.1,"In the third year of the reign of Jehoiakim king of Judah, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it.","Mu mwaka ugira gatatu Yehoyakimu umwami w’Abayuda ari ku ngoma, Nebukadineza umwami w’i Babuloni yaje gutera i Yerusalemu, arahakikiza.","La troisième année du règne de Yehoyaqim, roi de Juda , Nabuchodonosor, roi de Babylone, vint assiéger Jérusalem."
DAN.1.2,"And the Lord delivered Jehoiakim king of Judah into his hand, along with some of the articles from the temple of God. These he carried off to the temple of his god in Babylonia and put in the treasure house of his god.","Umwami Imana agabura Yehoyakimu umwami w’Abayuda mu maboko yiwe, bo n’ibintu vy’imbombovu bimwe vyo mu ngoro y’Imana, abijana mu gihugu c’i Shinari mu nzu y’imana yiwe; ashira ivyo bintu mu nzu y’ ububiko bg’iyo mana.","Le Seigneur lui donna la victoire sur Yehoyaqim et lui livra une partie des objets du Temple. Nabuchodonosor les fit transporter en Babylonie, dans le temple de son dieu et il déposa ces objets dans la salle du trésor de son dieu ."
DAN.1.3,"Then the king ordered Ashpenaz, chief of his court officials, to bring into the king’s service some of the Israelites from the royal family and the nobility—","Nuk’ umwami abarira Ashipenazi, umukuru w’inkone ziwe, kuzana bamwe bo mu Bisirayeli bo mu nda y’ingoma, n’abo mu bapfasoni,","Le roi ordonna à Ashpenaz, chef de son personnel, de faire venir des Israélites de lignée royale ou de famille noble,"
DAN.1.4,"young men without any physical defect, handsome, showing aptitude for every kind of learning, well informed, quick to understand, and qualified to serve in the king’s palace. He was to teach them the language and literature of the Babylonians.","b’imisore batagira agasembga, ariko b’indanga, bar’ uburyo mu vy’ubgenge bgose, b’abahanga mu vyo kumenya, b’insorongozi mu vy’ubgenge, kandi babereye gukora i bgami; kugira ngw abigishe inyandiko y’Abakaludaya n’ururimi rwabo.","quelques jeunes gens sans défaut physique et de belle apparence. Ils devaient être doués d’intelligence, de sagesse dans tous les domaines, posséder de grandes connaissances, être capables d’apprendre la science et de bonne constitution pour entrer au service du palais royal et apprendre la langue et la littérature des Chaldéens."
DAN.1.5,"The king assigned them a daily amount of food and wine from the king’s table. They were to be trained for three years, and after that they were to enter the king’s service.","Nuk’ umwami agera ingaburo bahabga imisi yose ivuye ku vy’ umwami afūngura, no ku giturire yuhira, kandi ko bagaburirwa imyaka itatu; ngo ni yashira babone gukorera umwami.","Le roi leur prescrivit pour chaque jour une part des mets de la table royale et du vin dont il buvait lui-même. Leur formation devait durer trois ans, après quoi ils entreraient au service personnel du roi."
DAN.1.6,"Among those who were chosen were some from Judah: Daniel, Hananiah, Mishael and Azariah.","Nuko muri bo, mu bo mu muryango wa Yuda, hāri Daniyeli na Hananiya na Mishayeli na Azariya.","Parmi les Judéens qui furent sélectionnés se trouvaient Daniel, Hanania, Mishaël et Azaria."
DAN.1.7,"The chief official gave them new names: to Daniel, the name Belteshazzar; to Hananiah, Shadrach; to Mishael, Meshach; and to Azariah, Abednego.","Nuk’ uwo mukuru w’inkone abīta ayandi mazina: Daniyeli amwita Beluteshaza, Hananiya amwita Shaduraka, Mishayeli amwita Meshaki, Azariya amwita Abedunego.","Le chef du personnel leur attribua de nouveaux noms, il appela Daniel Beltshatsar, Hanania Shadrak, Mishaël Méshak et Azaria Abed-Nego ."
DAN.1.8,"But Daniel resolved not to defile himself with the royal food and wine, and he asked the chief official for permission not to defile himself this way.","Maze Daniyeli agira imigabo mu mutima kutazokwihumanisha ivyo kurya vy’umwami, cank’ igiturire yuhira: ni co catumye yinginga uwo mukuru w’inkone, kugira ngo ntiyihumanye.",Daniel prit dans son cœur la résolution de ne pas se rendre impur en consommant les mets du roi et en buvant de son vin. Il supplia le chef du personnel de ne pas l’obliger à se rendre impur .
DAN.1.9,"Now God had caused the official to show favor and compassion to Daniel,","Nukw Imana ituma Daniyeli akundwa n’umukuru w’inkone, amutera imbabazi.",Et Dieu lui accorda la faveur du chef du personnel et lui fit trouver en lui quelqu’un de compréhensif.
DAN.1.10,"but the official told Daniel, “I am afraid of my lord the king, who has assigned your food and drink. Why should he see you looking worse than the other young men your age? The king would then have my head because of you.”","Maz’ uwo mukuru w’inkone abgira Daniyeli, ati Ndatinya umwami segaba, yabagereye ingaburo z’ivyo murya n’ivyo munywa; vyomera bite ababonye mwonze mu maso mudasa n’abandi basore b’urunganwe rwanyu? Muzoba muncishije umutwe ku mwami.","Mais celui-ci dit à Daniel : Je crains mon seigneur le roi qui a prescrit ce que vous devez manger et boire. Si jamais il trouvait que vous avez l’air d’être en moins bonne santé que les autres jeunes gens de votre âge, à cause de vous, le roi me tiendrait pour coupable, au prix de ma tête."
