,0,1,2
DEU.1.1,"These are the words Moses spoke to all Israel in the wilderness east of the Jordan—that is, in the Arabah—opposite Suph, between Paran and Tophel, Laban, Hazeroth and Dizahab.","Aya ni yo majambo Mose yabaririye Abisirayeli bose hakuno ya Yorodani mu bugaragwa, mu kiyaya citwa Araba, aharābana n’i Sufu, hagati y’i Parani n’i Tofeli n’i Labani n’i Haseroti n’i Di‐zahabu.","Voici les paroles que Moïse adressa à tout Israël à l’est du Jourdain, dans le désert, dans la plaine qui fait face à Souph, entre Parân et Tophel, et entre Labân, Hatséroth et Di-Zahab ."
DEU.1.2,(It takes eleven days to go from Horeb to Kadesh Barnea by the Mount Seir road.),"Uvuye i Horebu, ukaja ī Kadeshi‐baruneya, uciye ku musozi Seyiri, n’urugendo rw’ imisi cumi n’umwe.","Il y a onze journées de marche depuis Horeb , par le chemin de la montagne de Séir, jusqu’à Qadesh-Barnéa."
DEU.1.3,"In the fortieth year, on the first day of the eleventh month, Moses proclaimed to the Israelites all that the Lord had commanded him concerning them.","Mu mwaka wa mirongwine, mu kwezi kw’icumi na rimwe, ku musi wakwo wa mbere, ni ho Mose yabaririye Abisirayeli ivyo Uhoraho yamugeze kubabgira vyose;","Le premier jour du onzième mois de la quarantième année après la sortie d’Egypte, Moïse communiqua aux Israélites tout ce que l’Eternel lui ordonna pour eux."
DEU.1.4,"This was after he had defeated Sihon king of the Amorites, who reigned in Heshbon, and at Edrei had defeated Og king of Bashan, who reigned in Ashtaroth.","amaze gutsinda Sihoni umwami w’Abamori yaba i Heshiboni, na Ogi umwami w’i Bashani yaba ahitwa Ashitaroti n’ahitwa Edireyi.","Cela se passait après leur victoire sur Sihôn, roi des Amoréens, dont la capitale était Heshbôn, et sur Og, roi du Basan, qui résidait à Ashtaroth et à Edréi ."
DEU.1.5,"East of the Jordan in the territory of Moab, Moses began to expound this law, saying:","Hakuno ya Yorodani, mu gihugu c’i Mowabu, ni ho Mose yatanguriye gusobanura ibi vyagezwe,","C’est au-delà du Jourdain, au pays de Moab, que Moïse se mit à leur exposer cette Loi. Il leur dit :"
DEU.1.6,"The Lord our God said to us at Horeb, “You have stayed long enough at this mountain.","at’ Uhoraho Imana yacu yatubaririye i Horebu, at’ Igihe mumaze kur’ uyu musozi kirahāgīje:",L’Eternel notre Dieu nous a parlé au mont Horeb en ces termes : « Vous avez assez longtemps séjourné près de cette montagne .
DEU.1.7,"Break camp and advance into the hill country of the Amorites; go to all the neighboring peoples in the Arabah, in the mountains, in the western foothills, in the Negev and along the coast, to the land of the Canaanites and to Lebanon, as far as the great river, the Euphrates.","ni mukebanuke, mufate inzira, muje mu mugamba w’Abamori n’ahandi hose hahereranye na ho mu kiyaya citwa Araba, hose mu mugamba n’ahaciye bugufi, n’i Negebu, no mu kiyaya c’ikiyaga mu gihugu c’Abanyakanani, n’i Lebanoni, muze murinde mushitsa ku ruzi runini Efurate.","Levez le camp et partez, rendez-vous dans la région montagneuse des Amoréens et dans toutes les contrées voisines, la steppe, la montagne et la plaine côtière, le Néguev et les côtes de la mer, dans le pays des Cananéens et le Liban jusqu’au grand fleuve, l’Euphrate."
DEU.1.8,"See, I have given you this land. Go in and take possession of the land the Lord swore he would give to your fathers—to Abraham, Isaac and Jacob—and to their descendants after them.”","Ati Nuko rāba, igihugu ndakibashize imbere, ni mucinjire, mucegukire, igihugu jewe Uhoraho narahiye ba sogokuruza banyu, Aburahamu na Isaka na Yakobo, ko nzobaha, bo n’uruvyaro rwabo ruzobakurikira.","Voyez, je vous donne cette terre, entrez-y et prenez possession du pays que l’Eternel a promis par serment à vos ancêtres Abraham, Isaac et Jacob, de leur donner, à eux et à leurs descendants. »"
DEU.1.9,"At that time I said to you, “You are too heavy a burden for me to carry alone.","Maze nanje ico gihe narababgiye, nti Sinshobora kubaterura jenyene.","A cette époque-là, je vous ai dit : « Je ne peux pas, à moi seul, assumer la responsabilité de vous tous ."
DEU.1.10,The Lord your God has increased your numbers so that today you are as numerous as the stars in the sky.,"Nt’ Uhoraho Imana yanyu yarabagwije, non’ ehe rāba munganya ubginshi n’inyenyeri zo kw ijuru.","L’Eternel votre Dieu vous a multipliés, au point que vous êtes aujourd’hui aussi nombreux que les étoiles du ciel."
