,0,1,2
ECC.1.1,"The words of the Teacher, son of David, king in Jerusalem:","Amajambo y’Umusiguzi, ni we mwene Dawidi, umwami aba i Yerusalemu.","Voici ce que dit le Maître , fils de David, roi à Jérusalem."
ECC.1.2,“Meaningless! Meaningless!” says the Teacher. “Utterly meaningless! Everything is meaningless.”,"N’ubusa gusa, ni k’Umusiguzi agize; n’ubusa gusa, vyose n’ubusa.","Dérisoire, absolument dérisoire , dit le Maître, oui dérisoire, absolument dérisoire, tout est dérisoire !"
ECC.1.3,What do people gain from all their labors at which they toil under the sun?,Mbeg’ umuntu aronka inyungu ki mu butame bgiwe bgose ubg’ atamira musi y’izuba?,Quel avantage l’homme retire-t-il de tout le labeur pour lequel il trime sous le soleil ?
ECC.1.4,"Generations come and generations go, but the earth remains forever.","Urwaruka rumwe ruragenda, rukabisa urundi; isi igahorah’ ibihe vyose.","Une génération s’en va, une autre vient, et la terre est toujours là."
ECC.1.5,"The sun rises and the sun sets, and hurries back to where it rises.","Izuba na ryo rikarasa, hanyuma rikarenga, rikihutira gusubira ahantu haryo rizorasira.","Le soleil se lève, le soleil se couche, et il aspire à se retrouver à l’endroit d’où il devra de nouveau se lever."
ECC.1.6,"The wind blows to the south and turns to the north; round and round it goes, ever returning on its course.","Umuyaga ushira i bumanuko, ugahindura ushira i burārūko; uhindagura akanya kose mu rugendo rwawo, maz’ ugasubira mu gushira irya n’ino kwawo.","Il va vers le sud, puis il tourne vers le nord, il tourne et tourne encore : ainsi va le vent. Et il reprend les mêmes tours, le vent."
ECC.1.7,"All streams flow into the sea, yet the sea is never full. To the place the streams come from, there they return again.","Inzūzi zose zitembera mu kiyaga, yamar’ ikiyaga nticuzura; ahantu inzūzi zija ni ho zama zishishikara.","Tous les fleuves vont se jeter dans la mer, mais la mer n’est pas remplie. Les fleuves ne cessent de couler toujours vers le même endroit en suivant leur cours."
ECC.1.8,"All things are wearisome, more than one can say. The eye never has enough of seeing, nor the ear its fill of hearing.","Ibintu vyose vyuzuye uburuhe; n’ubg’ umuntu atovuga: ijisho ntirihāga kurāba, n’ugutwi ntiguhāga kwumva.","Tout est en travail , plus qu’on ne peut le dire. L’œil n’est jamais rassasié de voir. L’oreille n’est jamais remplie de ce qu’elle entend."
ECC.1.9,"What has been will be again, what has been done will be done again; there is nothing new under the sun.","Icāhozeho ni co kizobaho, kand’ icākozwe ni co kizokorwa: kandi nta kintu gisha kiriho musi y’izuba.","Ce qui a été, c’est ce qui sera, et ce qui s’est fait, c’est ce qui se fera : il n’y a rien de nouveau sous le soleil."
ECC.1.10,"Is there anything of which one can say, “Look! This is something new”? It was here already, long ago; it was here before our time.","Mbega har’ ikintu abantu bavuga, bat’ Ehe rāba, iki ni gisha? Erega kiba carabayeho kera, mu bihe tutaribgabeho.","Si l’on dit : « Tenez ! Voilà quelque chose de nouveau », en fait, cela a déjà existé dans les temps qui nous ont précédés depuis longtemps."
