,0,1,2
EPH.1.1,"Paul, an apostle of Christ Jesus by the will of God, To God’s holy people in Ephesus, the faithful in Christ Jesus:","Paulo, nagizwe intumwa ya Kristo Yesu n’ukw Imana yabigomvye, ndabandikiye abera bari muri Efeso, b’abizigirwa bo muri Kristo Yesu.","Paul, apôtre de Jésus-Christ par la volonté de Dieu, salue ceux qui [à Ephèse ] font partie du peuple saint, et croient en Jésus-Christ."
EPH.1.2,Grace and peace to you from God our Father and the Lord Jesus Christ.,"Ubuntu bube muri mwebge n’amahoro, biva ku Mana Data wa twese no ku Mwami Yesu Kristo.",Que la grâce et la paix vous soient accordées par Dieu notre Père et par le Seigneur Jésus-Christ.
EPH.1.3,"Praise be to the God and Father of our Lord Jesus Christ, who has blessed us in the heavenly realms with every spiritual blessing in Christ.","Imana y’Umwami wacu Yesu Kristo, ari yo Se, iragahezagirwa, yaduhezagiriye imihezagiro yose y’impwemu ahantu ho mw ijuru muri Kristo:","Béni soit Dieu, le Père de notre Seigneur Jésus-Christ, car il nous a comblés de toute bénédiction de l’Esprit dans le monde céleste en raison de notre union avec Christ."
EPH.1.4,For he chose us in him before the creation of the world to be holy and blameless in his sight. In love,"nk’uko yadutoranirije muri we, itanguriro ry’isi ritarashirwaho, kugira ngo tube abera tutagira agasembga imbere yayo, turi mu rukundo.","En lui, bien avant de poser les fondations du monde, il nous avait choisis pour que nous soyons saints et sans reproche devant lui. Puisqu’il nous a aimés,"
EPH.1.5,"he predestined us for adoption to sonship through Jesus Christ, in accordance with his pleasure and will—","Kuko yagabiye kera ko duheshwa na Yesu Kristo gucika abana bayo kubgayo, nk’uko yabigomvye bikayihimbara:","il nous a destinés d’avance à être ses enfants qu’il voulait adopter par Jésus-Christ. Voilà ce que, dans sa bonté, il a voulu pour nous"
EPH.1.6,"to the praise of his glorious grace, which he has freely given us in the One he loves.","kugira ng’ubgiza bg’ubuntu bgayo bushimwe, ubgo yatugabiriye mu wo ikunda.",afin que nous célébrions la gloire de sa grâce qu’il nous a accordée en son Fils bien-aimé.
EPH.1.7,"In him we have redemption through his blood, the forgiveness of sins, in accordance with the riches of God’s grace","Muri we ni ho duhērwa gucungurwa n’amaraso yiwe, ni kwo guharirwa ibicumuro vyacu, nk’ukw itunga ry’ubuntu bgayo riri,","En Christ, parce qu’il s’est offert en sacrifice, nous avons obtenu la délivrance, le pardon de nos fautes. Dieu a ainsi manifesté sa grâce dans toute sa richesse,"
EPH.1.8,"that he lavished on us. With all wisdom and understanding,",ubgo yadusēsekarije mu bgenge bgose no kumenya:,"et il l’a répandue sur nous avec surabondance, en nous donnant pleine sagesse et pleine intelligence,"
EPH.1.9,"he made known to us the mystery of his will according to his good pleasure, which he purposed in Christ,","itwātiye ibanga ry’ivy’ igomba, nk’uko vyayihimbaye, ibigabiye kera muri we,","nous ayant fait connaître le secret de son plan. Ce plan, il l’a fixé d’avance, dans sa bonté, en Christ,"
EPH.1.10,to be put into effect when the times reach their fulfillment—to bring unity to all things in heaven and on earth under Christ.,"vy’ingene izogenza vyose, igihe gikwiye gishitse, gukoraniriza vyose muri Kristo, ibiri mw ijuru n’ibiri mw isi.","pour conduire les temps vers l’accomplissement. Selon ce plan, tout ce qui est au ciel et tout ce qui est sur la terre doit être harmonieusement réuni en Christ."
EPH.1.11,"In him we were also chosen, having been predestined according to the plan of him who works out everything in conformity with the purpose of his will,","Kuba mur’ uwo kwaduhesheje gucika ishamvu yayo, twashiriweho kera nk’ukw Iyo yabigabiye, ikora vyose nk’ukw imigabo yo mu mutima wayo iri,","Et c’est aussi en Christ qu’il nous a accordé notre part d’héritage conformément à ce qu’avait fixé celui qui met en œuvre toutes choses, selon l’intention qui inspire sa décision. Ainsi, nous avons été destinés d’avance"
EPH.1.12,"in order that we, who were the first to put our hope in Christ, might be for the praise of his glory.","kuzoba abo guhesha icubahiro ubgiza bgayo, twebge abizigiye Kristo kera.","à célébrer sa gloire nous qui, les tout premiers, avons placé notre espérance dans le Messie."
EPH.1.13,"And you also were included in Christ when you heard the message of truth, the gospel of your salvation. When you believed, you were marked in him with a seal, the promised Holy Spirit,","Muri we namwe mumaze kwumva ijambo ry’ukuri, ni ryo butumwa bgiza bg’agakiza kanyu, mumaze no kumwizera, ni ho mwashiriwekw ikimenyetso, ni co Mpwemu Yera yasezeranywe,","Et en Christ, vous aussi, vous avez entendu le message de vérité, cet Evangile qui vous apportait le salut ; oui, c’est aussi en Christ que vous qui avez cru, vous avez obtenu de Dieu l’Esprit Saint qu’il avait promis et par lequel il vous a marqués de son sceau en signe que vous lui appartenez."
EPH.1.14,who is a deposit guaranteeing our inheritance until the redemption of those who are God’s possession—to the praise of his glory.,"ni we ngwati y’umwandu tuzohabga, kugira ngw abo Imana yaronse ibacungure, ng’ubgiza bgayo bushimwe.",Cet Esprit constitue l’acompte de notre héritage en attendant la délivrance du peuple que Dieu s’est acquis . Ainsi tout aboutit à célébrer sa gloire.
EPH.1.15,"For this reason, ever since I heard about your faith in the Lord Jesus and your love for all God’s people,","Ni co gituma nanje, numvise ukwizera Umwami Yesu kuri muri mwebge, n’urukundo mukunda abera bose,","Pour toutes ces raisons, moi aussi, après avoir entendu parler de votre foi au Seigneur Jésus et de votre amour pour tous les membres du peuple saint,"
EPH.1.16,"I have not stopped giving thanks for you, remembering you in my prayers.","ntahengeshanya kubashimira Imana, mbahoza mu kanwa uko nsenze,",je ne cesse de dire ma reconnaissance à Dieu à votre sujet quand je fais mention de vous dans mes prières.
EPH.1.17,"I keep asking that the God of our Lord Jesus Christ, the glorious Father, may give you the Spirit of wisdom and revelation, so that you may know him better.","ngw Imana y’Umwami wacu Yesu Kristo, Data wa twese w’ubgiza, ibahe umutima w’ubgenge no guhishurirwa mu kuyimenya;","Je demande que le Dieu de notre Seigneur Jésus-Christ, le Père qui possède la gloire, vous donne, par son Esprit, sagesse et révélation, pour que vous le connaissiez ;"
EPH.1.18,"I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people,","ngw amaso y’imitima yanyu yihweze, kugira ngo mumenye ivyo mwizigizwa n’uguhamagara kwayo ivy’ ari vyo, mumenye n’itunga ry’ubgiza bg’ishamvu ifise mu bera,","qu’il illumine ainsi votre intelligence afin que vous compreniez en quoi consiste l’espérance à laquelle vous avez été appelés, quelle est la glorieuse richesse de l’héritage que Dieu vous fera partager avec les membres du peuple saint,"
