,0,1,2
EST.1.1,"This is what happened during the time of Xerxes, the Xerxes who ruled over 127 provinces stretching from India to Cush :","Ku ngoma ya Ahasuwerusi, (Ahasuwerusi uyo, ni we yaganza ibihugu ijana na mirongwibiri n’indwi, uhereye i Buhindi ugashitsa Etiyopiya),","Cette histoire se passait du temps de Xerxès , celui dont l’empire s’étendait depuis l’Inde jusqu’à l’Ethiopie et comprenait cent vingt-sept districts ."
EST.1.2,"At that time King Xerxes reigned from his royal throne in the citadel of Susa,",ico gihe umwami Ahasuwerusi yar’ ahangamye ku ngoma yiwe ku murwa i Shushani;,"En ce temps-là, quand l’empereur Xerxès vint prendre place sur son trône impérial dans la citadelle de Suse ,"
EST.1.3,"and in the third year of his reign he gave a banquet for all his nobles and officials. The military leaders of Persia and Media, the princes, and the nobles of the provinces were present.","mu mwaka ugira gatatu ari ku ngoma atumirira amazimano abaganwa biwe bose n’abamenyekana biwe; abahambaye b’i Buperesi n’i Bumedi, na ba segaba n’abaganwa b’ibihugu bakoranira imbere yiwe.","la troisième année de son règne, il organisa un grand festin pour tous ses ministres, ses hauts fonctionnaires, les officiers de l’armée des Perses et des Mèdes, ainsi que pour les nobles et les gouverneurs des provinces."
EST.1.4,For a full 180 days he displayed the vast wealth of his kingdom and the splendor and glory of his majesty.,"Amara imisi myinshi yerekana ubutunzi bg’ ubgami bgiwe bg’icubahiro, n’ igitinyiro c’ubugabe bgiwe bg’ agahebuza; ashitsa imisi ijana na mirongumunani.",Il voulait montrer devant eux la richesse et la gloire de son règne et la splendeur de sa grande magnificence. Les festivités durèrent très longtemps ; cent quatre-vingts jours.
EST.1.5,"When these days were over, the king gave a banquet, lasting seven days, in the enclosed garden of the king’s palace, for all the people from the least to the greatest who were in the citadel of Susa.","Nukw iyo misi ishize, umwami atumira abantu bose bari ku murwa i Shushani, abahambaye n’ aboroshe; bamara imisi ndwi mu nyubakwa yo mu rugo rwo ku ngoro y’umwami.","A la fin de cette période, l’empereur offrit à toute la population de Suse, riches ou pauvres, un banquet qui eut lieu pendant sept jours dans les jardins du palais impérial."
EST.1.6,"The garden had hangings of white and blue linen, fastened with cords of white linen and purple material to silver rings on marble pillars. There were couches of gold and silver on a mosaic pavement of porphyry, marble, mother-of-pearl and other costly stones.","Hāri hakinze impuzu zera n’izisa n’akatsi gatoto n’iz’ amasufe, zimanikishijwe imigozi y’ibitambara vyera vyiza n’iy’ inyambarabami, ifashwe n’impeta z’ifeza ku nkingi z’amabuye yitwa marimari; hāri n’imisegamuro yakozwe mw izahabu n’ifeza, iteretse ku musezero wa marimari nyene y’amabara y’ agahama n’ayera n’ay’ umuhondo n’ayirabura.","Des tentures de lin blanches et bleu ciel étaient fixées à des colonnes de marbre par des cordelières blanches et pourpres passées dans des anneaux d’argent. Des divans d’or et d’argent étaient disposés sur des dallages de mosaïques faits avec du porphyre, du marbre, de la nacre et de l’agathe."
EST.1.7,"Wine was served in goblets of gold, each one different from the other, and the royal wine was abundant, in keeping with the king’s liberality.","Babahēra ivyo kunywa mu mabakure y’izahabu — kand’ ayo mabakure amwe yasa ukwayo ayandi ukwayo — babaha ku biturire vy’i bgami, nk’ukw ikiganza ciza c’umwami cari kiri.","On servait des boissons dans des coupes d’or, toutes différentes de formes ; le vin de l’empereur coulait avec une générosité tout impériale."
EST.1.8,"By the king’s command each guest was allowed to drink with no restrictions, for the king instructed all the wine stewards to serve each man what he wished.",Kandi mur’ ukwo kunywa vyashinzwe ngo ntihagire ūgōbērwa; kuk’ umwami yari yageze abasuku biwe ng’ umuntu wese agire ukw agomba.,"Il avait été ordonné que chacun puisse boire à volonté sans aucune contrainte, car l’empereur avait donné des instructions à tous les intendants du palais pour qu’ils satisfassent les désirs de chacun de ses hôtes."
EST.1.9,Queen Vashti also gave a banquet for the women in the royal palace of King Xerxes.,Kandi n’umwamikazi Vashiti atumirira abagore amazimano mu ngoro y’umwami Ahasuwerusi nyene.,L’impératrice Vasthi organisa de son côté un banquet pour les femmes dans le palais de l’empereur Xerxès.
EST.1.10,"On the seventh day, when King Xerxes was in high spirits from wine, he commanded the seven eunuchs who served him—Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar and Karkas—","Nuko ku musi ugira indwi umutima w’umwami umaze gukankamurwa na vino, abarira Mehumani na Bizita na Haribona na Bigita na Abaguta na Zetari na Karukasi, abo ukw ar’ indwi bār’ inkone zihēreza uwo mwami Ahasuwerusi,","Le septième jour du banquet, comme l’empereur était égayé par le vin, il ordonna aux sept eunuques spécialement attachés à son service : Mehoumân, Biztha, Harbona, Bigtha, Abagtha, Zéthar et Karkas,"
