,0,1,2
EXO.1.1,"These are the names of the sons of Israel who went to Egypt with Jacob, each with his family:","Aya ni yo mazina ya bene Isirayeli bagiye muri Egiputa, bajanye na Yakobo, umuntu wese ajana n’abo mu rugo rwiwe:","Voici la liste des fils d’Israël qui ont accompagné Jacob en Egypte, chacun avec sa famille :"
EXO.1.2,"Reuben, Simeon, Levi and Judah;","Reyubeni, na Simeyoni, na Lewi, na Yuda,","Ruben, Siméon, Lévi et Juda ;"
EXO.1.3,"Issachar, Zebulun and Benjamin;","na Isakari, na Zebuloni, na Benyamini,","Issacar, Zabulon et Benjamin ;"
EXO.1.4,Dan and Naphtali; Gad and Asher.,"na Dani, na Nafutali, na Gadi, na Asheri.","Dan et Nephtali, Gad et Aser."
EXO.1.5,The descendants of Jacob numbered seventy in all; Joseph was already in Egypt.,"Abantu bose bāndurutse mu rura rwa Yakobo bari mirongwirindwi, hakora Yosefu yar’ asanzwe ari muri Egiputa.","Les descendants de Jacob étaient au nombre de soixante-dix en tout , Joseph étant déjà en Egypte à ce moment-là."
EXO.1.6,"Now Joseph and all his brothers and all that generation died,","Nuko Yosefu arapfa, n’abo bavukana bose barapfa, bo n’ urunganwe rwose rw’ico gihe.","Joseph mourut, ainsi que tous ses frères et toute leur génération ."
EXO.1.7,"but the Israelites were exceedingly fruitful; they multiplied greatly, increased in numbers and became so numerous that the land was filled with them.","Abisirayeli bararondoka, baravyara cane, baragwira, baba igisata; buzura ico gihugu.","Les Israélites furent féconds, proliférèrent, se multiplièrent et devinrent de plus en plus puissants, si bien que le pays en fut rempli ."
EXO.1.8,"Then a new king, to whom Joseph meant nothing, came to power in Egypt.","Nuko muri Egiputa hima uwundi mwami, atigeze kumenya ivya Yosefu.",Un nouveau roi vint au pouvoir en Egypte ; il ne connaissait pas Joseph.
EXO.1.9,"“Look,” he said to his people, “the Israelites have become far too numerous for us.","Maz’ abarira abantu biwe, ati Rāba Abisirayeli bahindutse ihanga rituruta mu bginshi riturusha n’inkomezi.","Il dit à ses sujets : Voyez, le peuple des Israélites est plus nombreux et plus puissant que nous."
EXO.1.10,"Come, we must deal shrewdly with them or they will become even more numerous and, if war breaks out, will join our enemies, fight against us and leave the country.”","Enda tubaronderere inama y’ubgenge, kugira ngo boye kugwira, bakazohava bīfatanya n’abansi bacu, haramutse habaye intambara, bakaturwanya, bakava mur’ iki gihugu.","Il est temps d’aviser à son sujet, pour qu’il cesse de se multiplier. Sinon, en cas de guerre, il risque de se ranger aux côtés de nos ennemis et de combattre contre nous pour quitter ensuite le pays."
