,0,1,2
EZK.1.1,"In my thirtieth year, in the fourth month on the fifth day, while I was among the exiles by the Kebar River, the heavens were opened and I saw visions of God.","Mu mwaka wa mirongwitatu, mu kwezi kwa kane, ku musi ugira gatanu w’ukwo kwezi, nari kumwe n’abājanywe ar’ inyagano turi ku ruzi Kebari; ijuru riruguruka, maze mbona ivyo neretswe bivuye ku Mana.","Le cinquième jour du quatrième mois de la trentième année , je me trouvais parmi les déportés, près du canal du Kebar . Le ciel s’ouvrit et Dieu m’envoya des visions."
EZK.1.2,On the fifth of the month—it was the fifth year of the exile of King Jehoiachin—,"Kur’ uwo musi ugira gatanu w’ukwo kwezi, hāri mu mwaka ugira gatanu umwami Yehoyakina yambukanywe ar’ inyagano,","Le cinquième jour du mois de cette année-là, c’est-à-dire la cinquième année de la captivité du roi Yehoyakîn ,"
EZK.1.3,"the word of the Lord came to Ezekiel the priest, the son of Buzi, by the Kebar River in the land of the Babylonians. There the hand of the Lord was on him.","ijambo ry’ Uhoraho ryanjeko jewe umuherezi Ezekiyeli mwene Buzi, ndi mu gihugu c’Abakaludaya ku ruzi Kebari; kand’ aho hantu nyene ni ho ukuboko kw’Uhoraho kwaziye kuri jewe.","l’Eternel adressa la parole à Ezéchiel, fils du prêtre Bouzi, au pays des Chaldéens, près du canal du Kebar. Là, la main de l’Eternel reposa sur lui."
EZK.1.4,"I looked, and I saw a windstorm coming out of the north—an immense cloud with flashing lightning and surrounded by brilliant light. The center of the fire looked like glowing metal,","Ngize ntya, mbona umuyaga w’ikirura uje uturutse i burārūko, igicu kininiya kirabagizamw’ umuriro, gikikijwe n’ibibatsi bituruka hagati muri wo, biboneka nk’ umuringa w’umujumbu, bituruka hagati mur’ uwo muriro.","Je vis soudain un vent de tempête venant du nord qui poussait devant lui un énorme nuage sillonné d’éclairs. Ce nuage était entouré d’une clarté éblouissante. En son centre, il y avait l’éclat d’un métal au milieu du feu ."
EZK.1.5,"and in the fire was what looked like four living creatures. In appearance their form was human,",Kandi muri wo hagati havamw’ ishusho y’ibinyabugingo bine. Kand’ uku ni ko vyasa: vyari bifise ishusho y’umuntu.,"En son milieu, je distinguais quelque chose qui ressemblait à quatre êtres vivants ; par leur aspect, ils ressemblaient à des hommes ."
EZK.1.6,but each of them had four faces and four wings.,"Kimwe‐kimwe cari gifise mu maso hane, kandi kimwe‐kimwe nyene cari gifise amababa ane.",Chacun d’eux avait quatre faces et quatre ailes.
EZK.1.7,Their legs were straight; their feet were like those of a calf and gleamed like burnished bronze.,Kand’ ibirenge vyavyo vyar’ inambi; mu bgōro bg’ ibirenge vyavyo hari hameze nk’ imbere mu nzāra z’inyana: kandi vyakayangana nk’umuringa w’ umwakaka.,Leurs jambes étaient droites ; leurs pieds étaient comme ceux d’un taureau et brillaient comme du bronze poli.
EZK.1.8,"Under their wings on their four sides they had human hands. All four of them had faces and wings,","Kandi vyari bifise amaboko nk’ay’ umuntu musi y’amababa yavyo mu mpande zavyo ukw ari zine; ivyo ukw ari bine, uku ni ko mu maso havyo n’ amababa yavyo vyari bimeze:","Sous leurs ailes, et à leurs quatre côtés, apparaissaient des mains humaines, et chacun des quatre avait ses faces et ses ailes."
EZK.1.9,and the wings of one touched the wings of another. Each one went straight ahead; they did not turn as they moved.,amababa yavyo yar’ asomanye; nta ho vyahindukira iyo bigenda; vyose vyagenda bibanze.,"Leurs ailes se touchaient l’une l’autre par leurs extrémités. Quand ils se déplaçaient, ils ne se tournaient pas, mais chacun avançait droit devant soi."
EZK.1.10,"Their faces looked like this: Each of the four had the face of a human being, and on the right side each had the face of a lion, and on the left the face of an ox; each also had the face of an eagle.","Mu maso havyo uko hāsa, vyari bifise mu maso nk’ah’ umuntu; kand’ ukw ari bine, vyari bifise mu maso nk’ah’ intambge mu ruhande rw’i buryo; kand’ ukw ari bine, vyari bifise mu maso nk’ah’ inka mu ruhande rw’i bumoso; kand’ ukw ari bine, vyari bifise mu maso nk’ ah’ inkukuma.","Leurs faces ressemblaient à celle d’un homme, et ils avaient tous les quatre une face de lion à droite, une face de taureau à gauche, et une face d’aigle."
