,0,1,2
EZR.1.1,"In the first year of Cyrus king of Persia, in order to fulfill the word of the Lord spoken by Jeremiah, the Lord moved the heart of Cyrus king of Persia to make a proclamation throughout his realm and also to put it in writing:","Mu mwaka wa mbere Kuro umwami w’i Buperesi agiye ku ngoma, Uhoraho akangura umutima wiwe kugira ngw ijambo yavugiye mu kanwa ka Yeremiya ribone gushika. Nuko Kuro uwo mwami w’i Buperesi ashinga ko babitangaza mu gihugu ciwe cose, aranavyandika,","La première année du règne de Cyrus de Perse , l’Eternel, pour accomplir la parole qu’il avait prononcée par le prophète Jérémie , agit sur l’esprit de Cyrus, empereur de Perse. Alors Cyrus fit faire, oralement et par écrit, la proclamation suivante à travers tout son empire :"
EZR.1.2,"“This is what Cyrus king of Persia says: “ ‘The Lord , the God of heaven, has given me all the kingdoms of the earth and he has appointed me to build a temple for him at Jerusalem in Judah.","ngo Kuro, umwami w’i Buperesi aravuze, at’ Uhoraho Imana Nyen’ ijuru yangabiye ibihugu vyose vyo mw isi. Kandi yangeze ngo ndamwubakire ingoro i Yerusalemu mu Buyuda.","Voici ce que déclare Cyrus, empereur de Perse : « L’Eternel, le Dieu du ciel, m’a donné tous les royaumes de la terre , et il m’a chargé de lui construire un temple à Jérusalem en Juda ."
EZR.1.3,"Any of his people among you may go up to Jerusalem in Judah and build the temple of the Lord , the God of Israel, the God who is in Jerusalem, and may their God be with them.","Non’ umuntu wese muri mwebge wo mu bantu biwe bose, Imana yiwe n’ibane na we, adūge i Yerusalemu mu Buyuda, yubake ingoro y’Uhoraho Imana y’Abisirayeli, ari yo Mana iba i Yerusalemu.","Quels sont ceux d’entre vous qui font partie de son peuple ? Que leur Dieu soit avec eux, et qu’ils partent à Jérusalem, en Juda, pour reconstruire le temple de l’Eternel, le Dieu d’Israël. C’est le Dieu qui réside à Jérusalem ."
EZR.1.4,"And in any locality where survivors may now be living, the people are to provide them with silver and gold, with goods and livestock, and with freewill offerings for the temple of God in Jerusalem.’ ”","Kand’ ahantu hose hasigaye umuntu w’inyambukīra, abantu baho ni bamufashishe ifeza n’ izahabu n’ibintu n’ibitungano, bamuhe n’amashikanwa bashikanye kubg’ iyo ngoro y’Imana y’i Yerusalemu bivuye ku mitima ikunze.","Que partout où résident ceux qui restent de son peuple, les gens de l’endroit leur apportent des dons d’argent et d’or, de divers biens, du bétail ainsi que des offrandes volontaires pour le temple du Dieu qui est à Jérusalem. »"
EZR.1.5,"Then the family heads of Judah and Benjamin, and the priests and Levites—everyone whose heart God had moved—prepared to go up and build the house of the Lord in Jerusalem.","Nuko, abakuru b’amazu ya ba sekuruza b’Abayuda n’ab’ Ababenyamini, bo n’abaherezi n’ Abalewi n’abandi bose Imana yateye umwete, bava hasi kugira ngo baje gusubira kwubaka ingoro y’Uhoraho i Yerusalemu.","Alors les chefs des groupes familiaux de Juda et de Benjamin, les prêtres et les lévites, et tous ceux en qui Dieu avait agi, se préparèrent à partir afin de reconstruire le temple de l’Eternel à Jérusalem ."
EZR.1.6,"All their neighbors assisted them with articles of silver and gold, with goods and livestock, and with valuable gifts, in addition to all the freewill offerings.","Ababanyi babo bose babaha intererano z’ibintu vy’amafeza n’amazahabu n’ibindi, bo n’ibitungano n’ibintu vy’igiciro kinini, ukūyemw’ ivyo bashikanye vyose bivuye ku mitima ikunze.","Tous leurs voisins leur vinrent en aide en leur donnant des objets d’argent et d’or, divers biens, du bétail et des objets précieux, sans compter leurs offrandes volontaires."
EZR.1.7,"Moreover, King Cyrus brought out the articles belonging to the temple of the Lord , which Nebuchadnezzar had carried away from Jerusalem and had placed in the temple of his god.","Kandi n’umwami Kuro asohora ibintu vy’imbombovu vyakoreshwa mu ngoro y’Uhoraho, ivyo Nebukadineza yari yaranyaze i Yerusalemu, akabishira mu kinyabugoro c’imana ziwe;","De son côté, l’empereur Cyrus fit chercher les ustensiles du Temple que Nabuchodonosor avait emportés de Jérusalem pour les placer dans le sanctuaire de son dieu ."
EZR.1.8,"Cyrus king of Persia had them brought by Mithredath the treasurer, who counted them out to Sheshbazzar the prince of Judah.","izo mbombovu Kuro umwami w’i Buperesi mu kuzisohora atuma Mitiredati umuzezwabintu wiwe, na we aziharūrira imbere ya Sheshibazari umuganwa wo mu Bayuda.","Sur ordre de l’empereur perse, Mitredath le trésorier alla les chercher et les remit, après les avoir comptés, à Sheshbatsar, le chef de Juda ."
EZR.1.9,"This was the inventory: gold dishes 30 silver dishes 1,000 silver pans 29","Kand’ igitigiri cavyo ngiki: amasahani y’izahabu mirongwitatu, n’ay’ ifeza igihumbi, n’ imbugita mirongwibiri n’icenda,","En voici la liste : 30 plats en or, 1 000 en argent, 29 couteaux ,"
EZR.1.10,"gold bowls 30 matching silver bowls 410 other articles 1,000","n’amabakure y’izahabu mirongwitatu, n’amabakure y’ifeza y’uburyo bga kabiri amajana ane n’icumi, n’ibikoreshwa bindi igihumbi.","30 coupes en or, 410 coupes doubles en argent et 1 000 autres ustensiles."
