,0,1,2
GAL.1.1,"Paul, an apostle—sent not from men nor by a man, but by Jesus Christ and God the Father, who raised him from the dead—","Paulo, intumwa itātumwe n’abantu, kandi nta muntu yabariwe kuntuma, ariko natumwe na Yesu Kristo, n’Imana Data wa twese yamuzuye mu bapfuye,","Cette lettre vous est adressée par Paul, apôtre, non par une autorité humaine, ni par l’intermédiaire d’un homme, mais par Jésus-Christ et par Dieu, le Père, qui l’a ressuscité."
GAL.1.2,"and all the brothers and sisters with me, To the churches in Galatia:","mfatanije na bene Data turi kumwe bose kubandikira, abo mu mashengero y’i Galatiya.","Avec tous les frères et sœurs qui sont avec moi, je salue les Eglises de la Galatie."
GAL.1.3,"Grace and peace to you from God our Father and the Lord Jesus Christ,","Ubuntu bube muri mwebge n’amahoro biva ku Mana Data wa twese, no ku Mwami wacu Yesu Kristo,",Que la grâce et la paix vous soient accordées par Dieu notre Père et par le Seigneur Jésus-Christ.
GAL.1.4,"who gave himself for our sins to rescue us from the present evil age, according to the will of our God and Father,","yitangiye ivyaha vyacu, ngw aturokore mur’ iki gihe kibi ca none, nk’ukw Imana yacu yagomvye, ni yo Data we twese.","Christ s’est offert lui-même en sacrifice pour expier nos péchés, afin de nous délivrer du monde présent dominé par le mal : il a ainsi accompli la volonté de Dieu, notre Père,"
GAL.1.5,to whom be glory for ever and ever. Amen.,Icubahiro kibe icayo ibihe bitazoshira. Amen.,à qui soit la gloire pour l’éternité ! Amen !
GAL.1.6,I am astonished that you are so quickly deserting the one who called you to live in the grace of Christ and are turning to a different gospel—,"Ndatangaye yuko muriko murareka vuba murtyo Iyabahamagaye kubg’ ubuntu bga Kristo, mukemera ubutumwa bunyuranye n’ubgo,","Je m’étonne de la rapidité avec laquelle vous abandonnez celui qui vous a appelés par la grâce de Christ, pour vous tourner vers un autre Evangile ."
GAL.1.7,which is really no gospel at all. Evidently some people are throwing you into confusion and are trying to pervert the gospel of Christ.,"kand’ ata bundi buriho; ariko harih’ abantu babahagarika imitima, bakagomba guhindura ukundi ubutumwa bga Kristo.",Comme s’il pouvait y avoir un autre Evangile ! Mais il y a des gens qui sèment le trouble parmi vous et qui veulent renverser l’Evangile de Christ.
GAL.1.8,"But even if we or an angel from heaven should preach a gospel other than the one we preached to you, let them be under God’s curse!","Ariko naho yoba ari twebge cank’ umumarayika avuye mw ijuru, ababarira ubutumwa bunyuranye n’ubgo twababariye, arakavumwa.","Eh bien, si quelqu’un – même nous, même un ange du ciel – vous annonçait un Evangile différent de celui que nous vous avons annoncé, qu’il soit maudit !"
GAL.1.9,"As we have already said, so now I say again: If anybody is preaching to you a gospel other than what you accepted, let them be under God’s curse!","Nk’uko twāvuze ubga mbere, na none nongeye kubivuga, nti Ni hagira umuntu ababarira ubutumwa bunyuranye n’ubgo mwemeye, arakavumwa.","Je l’ai déjà dit et je le répète maintenant : si quelqu’un vous prêche un autre Evangile que celui que vous avez reçu, qu’il soit maudit !"
GAL.1.10,"Am I now trying to win the approval of human beings, or of God? Or am I trying to please people? If I were still trying to please people, I would not be a servant of Christ.","Mbeg’ ubu n’ishimwe ry’abantu ngomba, canke n’iry’ Imana? Canke se ndondera kunezereza abantu? Iyo mba nkinezereza abantu, simba nd’umugurano wa Kristo.","Qu’en pensez-vous maintenant ? Est-ce la faveur des hommes que je recherche ou celle de Dieu ? Mon désir est-il de plaire aux hommes ? Si je cherchais encore à plaire aux hommes, je ne serais pas serviteur de Christ."
GAL.1.11,"I want you to know, brothers and sisters, that the gospel I preached is not of human origin.","Ku vy’ ubutumwa navuze, ndabamenyesha bene Data, yukw atar’ ubg’ abantu:","Je veux que vous le sachiez, frères et sœurs : l’Evangile que je vous ai annoncé n’est pas le fruit d’une pensée humaine."
GAL.1.12,"I did not receive it from any man, nor was I taught it; rather, I received it by revelation from Jesus Christ.","kuko nanje ntābuhawe n’umuntu, kandi sinabgigishijwe, ariko ni Yesu Kristo yabumpishuriye.","Car je ne l’ai reçu d’aucun homme, personne ne me l’a enseigné ; c’est Jésus-Christ lui-même qui me l’a fait connaître, par une révélation."
GAL.1.13,"For you have heard of my previous way of life in Judaism, how intensely I persecuted the church of God and tried to destroy it.","Mwumvise ingeso zanje nari mfise kera, nkiri mw idini y’Abayuda, ingene nahīga ishengero ry’Imana birengereje, nkaritikiza.","Vous avez entendu parler de ma conduite passée quand j’étais adepte du judaïsme. Vous savez avec quel fanatisme je persécutais l’Eglise de Dieu, dans le but de la détruire."
