,0,1,2
GEN.1.1,In the beginning God created the heavens and the earth.,Ubga mbere na mbere Imana yaremye ijuru n’isi.,"Au commencement, Dieu créa le ciel et la terre."
GEN.1.2,"Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters.","Isi yar’ ikir’ i buziba, yarik’ ubusa gusa, kand’ umwiza war’ upfutse idamba: kandi Mpwemu w’Imana yatambatamba hejuru y’amazi.","Or, la terre était chaotique et vide. Les ténèbres couvraient l’abîme, et l’Esprit de Dieu planait au-dessus des eaux."
GEN.1.3,"And God said, “Let there be light,” and there was light.","Imana iravuga, iti Ni habeh’ umuco: umuco ubaho.",Et Dieu dit alors : Que la lumière soit ! Et la lumière fut .
GEN.1.4,"God saw that the light was good, and he separated the light from the darkness.",Imana ibona umuco kw ari mwiza: iraheza itandukanya umuco n’umwiza.,"Dieu vit que la lumière était bonne, et il sépara la lumière des ténèbres."
GEN.1.5,"God called the light “day,” and the darkness he called “night.” And there was evening, and there was morning—the first day.","Imana yita umuco umurango, umwiza iwita ijoro. Buragoroba, buraca: uwo n’umusi wa mbere.","Il appela la lumière : « jour » et les ténèbres : « nuit ». Il y eut un soir, il y eut un matin. Ce fut le premier jour."
GEN.1.6,"And God said, “Let there be a vault between the waters to separate water from water.”","Imana iravuga, iti Ni habeh’ itāzānure hagati y’amazi, ritandukanye amazi n’ayandi.",Puis Dieu dit : Qu’il y ait une étendue entre les eaux pour les séparer.
GEN.1.7,So God made the vault and separated the water under the vault from the water above it. And it was so.,"Imana iraritāzānura, itandukanya amazi yo musi y’itāzānure n’ayo hejuru yaryo: biba kuno.",Dieu fit l’étendue. Il sépara les eaux qui étaient sous l’étendue des eaux qui étaient au-dessus. Et ce fut ainsi.
GEN.1.8,"God called the vault “sky.” And there was evening, and there was morning—the second day.","Maz’ iryo tāzānure Imana iryita Ijuru. Buragoroba, buraca: uwo n’umusi ugira kabiri.","Dieu appela cette étendue : « ciel ». Il y eut un soir, il y eut un matin : ce fut le deuxième jour."
GEN.1.9,"And God said, “Let the water under the sky be gathered to one place, and let dry ground appear.” And it was so.","Imana iravuga, it’ Amazi yo musi y’ijuru n’akoranire hamwe, i musozi na ho ni haboneke: biba kuno.",Puis Dieu dit : Que les eaux d’au-dessous du ciel se rassemblent en un seul endroit pour que la terre ferme paraisse. Et ce fut ainsi.
GEN.1.10,"God called the dry ground “land,” and the gathered waters he called “seas.” And God saw that it was good.","Maz’ i musozi Imana ihita Isi, ikoraniro ry’amazi na ryo iryita Ibiyaga: Imana ibona kw ari vyiza.","Dieu appela « terre » la terre ferme, et « mer » l’amas des eaux. Dieu vit que c’était bon."
GEN.1.11,"Then God said, “Let the land produce vegetation: seed-bearing plants and trees on the land that bear fruit with seed in it, according to their various kinds.” And it was so.","Imana iravuga, it’ Isi n’imere ivyatsi, n’ibimera vyose vyama utubuto, n’ibiti vyama ivyamwa vyavyo ukw amoko yavyo ari, birimw’ imbuto zavyo, kw isi nyene: biba kuno.","Puis Dieu dit : Que la terre se couvre de verdure, de l’herbe portant sa semence, et de chaque espèce d’arbre produisant du fruit, portant chacun sa semence, partout sur la terre. Et ce fut ainsi."
GEN.1.12,The land produced vegetation: plants bearing seed according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good.,"Nukw isi imera ivyatsi n’ibimera vyose vyama utubuto ukw amoko yavyo ari, n’ibiti vyama ivyamwa birimw’ imbuto zavyo, ukw amoko yavyo ari: nukw Imana ibona kw ari vyiza.","La terre fit germer de la verdure, chaque espèce d’herbe portant sa semence et chaque espèce d’arbre produisant du fruit, portant chacun sa semence. Dieu vit que c’était bon."
GEN.1.13,"And there was evening, and there was morning—the third day.","Buragoroba, buraca: uwo n’umusi ugira gatatu.","Il y eut un soir, il y eut un matin : ce fut le troisième jour."
GEN.1.14,"And God said, “Let there be lights in the vault of the sky to separate the day from the night, and let them serve as signs to mark sacred times, and days and years,","Imana iravuga, iti Mw itāzānure ry’ijuru ni habeh’ ivyāka vyo gutandukanya umurango n’ijoro; bibēreho kuba ibimenyetso, no kwerekana ibihe, n’imisi n’imyaka:","Puis Dieu dit : Que, dans l’étendue du ciel, il y ait des luminaires pour distinguer le jour de la nuit, et pour qu’ils marquent les saisons, les jours et les années."
GEN.1.15,and let them be lights in the vault of the sky to give light on the earth.” And it was so.,kandi bibe ivyāka vyo mw itāzānure ry’ ijuru vyo kwākira isi: biba kuno.,"Que, dans l’étendue du ciel, ils servent de luminaires pour illuminer la terre. Et ce fut ainsi."
GEN.1.16,God made two great lights—the greater light to govern the day and the lesser light to govern the night. He also made the stars.,"Imana irema ivyāka bibiri binini, icaka kinini co kuganza umurango, n’icaka gitoya co kuganza ijoro, bo n’inyenyeri.","Dieu fit deux grands luminaires, le plus grand pour qu’il préside au jour, et le plus petit pour qu’il préside à la nuit. Il fit aussi les étoiles."
GEN.1.17,"God set them in the vault of the sky to give light on the earth,","Imana ibishira mw itāzānure ry’ijuru kugira ngo vyākire isi,","Il les plaça dans l’étendue du ciel pour illuminer la terre,"
GEN.1.18,"to govern the day and the night, and to separate light from darkness. And God saw that it was good.","biganze umurango n’ijoro, bitandukanye umuco n’umwiza; Imana ibona kw ari vyiza.","pour présider au jour ainsi qu’à la nuit, et séparer la lumière des ténèbres. Dieu vit que c’était bon."
GEN.1.19,"And there was evening, and there was morning—the fourth day.","Buragoroba, buraca: uwo n’umusi ugira kane.","Il y eut un soir, il y eut un matin : ce fut le quatrième jour."
GEN.1.20,"And God said, “Let the water teem with living creatures, and let birds fly above the earth across the vault of the sky.”","Imana iravuga, iti Mu mazi ni hasegenyuke isegenya ry’ibifise ubugingo, kand’ ibiguruka ni biguruke hejuru y’isi mu kirere c’ijuru.","Puis Dieu dit : Que les eaux foisonnent d’une multitude d’êtres vivants, et que des oiseaux volent au-dessus de la terre dans l’étendue du ciel !"
GEN.1.21,"So God created the great creatures of the sea and every living thing with which the water teems and that moves about in it, according to their kinds, and every winged bird according to its kind. And God saw that it was good.","Imana irema ibifi binini‐binini, n’ibifise ubugingo vyose bigendagenda, ivyasegenyutse mu mazi, nk’ukw amoko yavyo ari, n’ibiguruka vyose bifise ivyubi, ukw amoko yavyo ari: Imana ibona kw ari vyiza.","Alors Dieu créa chaque espèce de grands animaux marins et chaque espèce d’êtres vivants qui se meuvent et foisonnent dans les eaux, et chaque espèce d’oiseaux ailés. Dieu vit que c’était bon."
GEN.1.22,"God blessed them and said, “Be fruitful and increase in number and fill the water in the seas, and let the birds increase on the earth.”","Imana irabihezagira, iti Ni murondoke, mugwire, mwuzure mu mazi yo mu biyaga, n’ ibiguruka ni bigwire mw isi.","Et il les bénit, en ces termes : Soyez féconds, multipliez-vous, remplissez les eaux des mers, et que les oiseaux aussi se multiplient sur la terre."
GEN.1.23,"And there was evening, and there was morning—the fifth day.","Buragoroba, buraca: uwo n’ umusi ugira gatanu.","Il y eut un soir, il y eut un matin : ce fut le cinquième jour."
