,0,1,2
HAB.1.1,The prophecy that Habakkuk the prophet received.,Imbūri uwavugishwa n’Imana Habakuki yeretswe.,"Proclamation dont Habaquq, le prophète, a reçu la révélation."
HAB.1.2,"How long, Lord , must I call for help, but you do not listen? Or cry out to you, “Violence!” but you do not save?","Uhoraho we, nzogeza ryari kugutakambira, ntunyumve? Kandi nkuborogera kubg’ umuryano uriho, nawe ntuwunkize?","Jusques à quand, ô Eternel, appellerai-je à l’aide sans que tu ne m’entendes ? Jusques à quand devrai-je ╵crier vers toi ╵au sujet de la violence sans que tu sauves ?"
HAB.1.3,"Why do you make me look at injustice? Why do you tolerate wrongdoing? Destruction and violence are before me; there is strife, and conflict abounds.","N’iki gituma unyereka ibigabitanyo, ukitegereza ivy’ inzigo? Kuk’ ubugesera n’umuryano bir’ imbere yanje, hakaba n’imitongano, kandi havyutse n’ibihāri.","Pourquoi me fais-tu voir ╵de telles injustices ? Comment peux-tu te contenter ╵d’observer les méfaits ╵qui se commettent ? Je ne vois devant moi ╵que ravage et violence, il y a des querelles, et des conflits surgissent."
HAB.1.4,"Therefore the law is paralyzed, and justice never prevails. The wicked hem in the righteous, so that justice is perverted.","Ni co gituma amabgirizwa asigaye yāfōrorotse, akaba ata manza ziroranye zikiboneka na mba: kuk’ umunyakibi atangatanze umugororotsi irya n’ino, bigatuma imanza ziboneka zigoramye.","A cause de cela, ╵on ne respecte plus la loi, et le droit ne triomphe pas. Car les méchants ╵empêchent les justes d’agir , les jugements qui sont rendus ╵sont corrompus."
HAB.1.5,"“Look at the nations and watch— and be utterly amazed. For I am going to do something in your days that you would not believe, even if you were told.","Enda ni murābe mu mahanga, muvyitegereze; mutangare, mwumirwe: kuko mu gihe canyu ngira nkore igikorwa mutokwemera naho mwokibarirwa.","– Regardez, traîtres , ╵et observez ! Vous serez stupéfaits, ╵vous serez ébahis, car je vais accomplir ╵en votre temps une œuvre ; vous ne le croiriez pas ╵si on vous en parlait."
HAB.1.6,"I am raising up the Babylonians, that ruthless and impetuous people, who sweep across the whole earth to seize dwellings not their own.","Kukw ehe rāba, ngira nkakamure Abakaludaya, rya hanga ry’inkazi kandi ry’inkuba, bagenda batera isi iyo iva ikagera, bakikeberezako ingo zitar’ izabo.","Je vais faire venir ╵les Chaldéens , peuple féroce ╵et déchaîné, qui parcourt les étendues de la terre pour prendre possession ╵des demeures d’autrui."
HAB.1.7,They are a feared and dreaded people; they are a law to themselves and promote their own honor.,"Abo n’ibirara vy’inkazi, kandi bateye ubgoba: uguhana no gutikiza ni bo bivako.","Il est terrible et redoutable, il impose lui-même ╵son droit et son pouvoir."
HAB.1.8,"Their horses are swifter than leopards, fiercer than wolves at dusk. Their cavalry gallops headlong; their horsemen come from afar. They fly like an eagle swooping to devour;","Amafarasi yabo arusha ingwe ubukuba, kand’ arusha ubukazi amabingira agenda ijoro: abagendera ku mafarasi yabo baza bihaya: mber’ abagendera ku mafarasi yabo baza bavuye kure; baguruka nk’inkukuma yihutira ico irotsa.","Ses chevaux sont agiles, ╵plus que des léopards, et ils ont du mordant, ╵plus que les loups du soir. Ses coursiers se déploient, ils arrivent de loin, ils volent comme l’aigle lorsqu’il fond sur sa proie."
HAB.1.9,they all come intent on violence. Their hordes advance like a desert wind and gather prisoners like sand.,Bose bazanwa n’umuryano; amaso yabo bayahangana igihababu imbere yabo; bakumakuma imbohe nk’ umusenyi.,"Oui, les voilà qui viennent ╵tous adonnés à la violence ; le visage tendu, ╵ils foncent en avant. Voilà les prisonniers ╵rassemblés, innombrables ╵comme les grains de sable."
HAB.1.10,They mock kings and scoff at rulers. They laugh at all fortified cities; by building earthen ramps they capture them.,"Mbere bacōkōra abami, bagatwenga abaganwa, ibihome vyose barabitwenga gusa, kuko babirundira ibigūngūzi vy’ ivu vyo kwuririrako, bakabinesha.","Partout, ce peuple traite ╵les rois avec mépris, et il se rit des princes, il se rit de toutes leurs forteresses ; il élève contre elles ╵des terrasses de siège et s’en empare."
HAB.1.11,"Then they sweep past like the wind and go on— guilty people, whose own strength is their god.”","Bagaheza bagahita nk’umuyaga, bagakomeza inzira, ar’ abanyabicumuro; kand’ inkomezi zabo bāzigize imana yabo.","Puis il change d’avis ╵et il passe plus loin . Il se charge de crimes, lui qui voue sa force à son dieu ."
HAB.1.12,"Lord , are you not from everlasting? My God, my Holy One, you will never die. You, Lord , have appointed them to execute judgment; you, my Rock, have ordained them to punish.","Mbega ntiwamyeho uhereye kera hose, Uhoraho Mana yanje, Uwera wanje? Ntituzopfa. Uhoraho, wabashizeho ng’ ubacishe amateka; Gitandara we, wabashiriyeho guhana.","– N’es-tu pas depuis l’origine, ╵ô Eternel ? Tu es mon Dieu, mon Saint, tu ne meurs pas . O Eternel, ╵toi le rocher, ╵c’est pour exécuter ╵le jugement ╵que tu as suscité ce peuple, et tu l’as rendu fort ╵pour qu’il soit l’instrument ╵du châtiment."
HAB.1.13,Your eyes are too pure to look on evil; you cannot tolerate wrongdoing. Why then do you tolerate the treacherous? Why are you silent while the wicked swallow up those more righteous than themselves?,"Wewe w’inyonga zitunganye zitorāba ikibi, kand’ utoshobora kwitegereza ivy’ inzigo, n’iki gituma none witegereza abaryarukanyi, ukiyihorerera igihe umunyakibi arotsa umuntu amurusha ubugororotsi;","Tes yeux sont bien trop purs ╵pour supporter la vue du mal, tu ne peux accepter ╵de voir des méfaits se commettre. Pourquoi supportes-tu ╵la vue des traîtres ? Pourquoi gardes-tu le silence ╵quand l’impie engloutit ╵un plus juste que lui ?"
HAB.1.14,"You have made people like the fish in the sea, like the sea creatures that have no ruler.","ugahwanya abantu n’amafi yo mu kiyaga, canke n’ivyikwega hasi, bitagira ikibiganza?",Tu traites les humains ╵tout comme des poissons ou comme des bestioles ╵qui sont sans maître.
HAB.1.15,"The wicked foe pulls all of them up with hooks, he catches them in his net, he gathers them up in his dragnet; and so he rejoices and is glad.","Bose babarobesha igera, bakabafatisha urusenga rwabo, bakabegeraniriza mu mukwabu wabo; ni co gituma banezerwa bagahimbarwa.","Car le Chaldéen les prend tous ╵à l’hameçon, il les drague dans son filet et les entasse dans sa nasse. Alors il se réjouit ╵et il exulte."
HAB.1.16,"Therefore he sacrifices to his net and burns incense to his dragnet, for by his net he lives in luxury and enjoys the choicest food.","Ni co gituma urusenga rwabo baruha ikimazi, n’ umukwabu wabo bakawosereza imibavu; kukw ari vyo bibahesheje kwidibamira, bigatuma ivyo kurya vyabo bigwira.","Alors il offre ╵à son filet des sacrifices, il brûle de l’encens ╵en l’honneur de sa nasse, car il obtient, par eux, ╵une pêche abondante, des repas plantureux."
HAB.1.17,"Is he to keep on emptying his net, destroying nations without mercy?","Mbega none bazohora bacurānura urusenga rwabo, bakāma bica amahanga ata kagongwe?",Continuera-t-il donc toujours ╵à dégainer son glaive pour égorger les autres peuples ╵sans aucune pitié ?
HAB.2.1,"I will stand at my watch and station myself on the ramparts; I will look to see what he will say to me, and what answer I am to give to this complaint.","Nzohagarara nshibamye, nje ku munara wo gushibamako, nkenguze ndābe ico aribumbarire, n’ico ndibumwishure, ku vy’ amaganya yanje.","Je me tiendrai ╵à mon poste de garde, je resterai debout ╵sur le fort du guetteur et je guetterai pour savoir ╵ce que Dieu me dira, ce que je répondrai ╵à ma protestation."
HAB.2.2,Then the Lord replied: “Write down the revelation and make it plain on tablets so that a herald may run with it.,"Maz’ Uhoraho aranyishura, at’ Andika ivyo weretswe, uvyandike ku bisate mu nyuguti zisomeka, kugira ng’ ūbisoma anyarutse.","Et l’Eternel me répondit : Ecris cette révélation, et grave-la sur les tablettes, de sorte que chaque lecteur ╵la lise couramment."
