,0,1,2
HAG.1.1,"In the second year of King Darius, on the first day of the sixth month, the word of the Lord came through the prophet Haggai to Zerubbabel son of Shealtiel, governor of Judah, and to Joshua son of Jozadak, the high priest:","Mu mwaka ugira kabiri umwami Dariyo ari ku ngoma, mu kwezi kwa gatandatu, ku musi wakwo wa mbere, ijambo ry’Uhoraho ryavugiye muri Hagayi uwavugishwa na we, ritumwe kuri Zerubabeli icēgēra c’uwo mwami i Buyuda, mwene Sheyalitiyeli, no kuri Yosuwa umuherezi mukuru, mwene Yehozadaki,","La deuxième année du règne du roi Darius, le premier jour du sixième mois , l’Eternel adressa la parole à Zorobabel, fils de Shealtiel, gouverneur de Juda, et à Josué, fils de Yehotsadaq , le grand-prêtre, par l’intermédiaire du prophète Aggée. Voici les termes de ce message :"
HAG.1.2,"This is what the Lord Almighty says: “These people say, ‘The time has not yet come to rebuild the Lord ’s house.’ ”","rit’ Uku ni k’Uhoraho Nyen’ ingabo agize, at’ Iri hanga rivuga ngw Igihe ntikiragera, igihe co kwongera kwubaka ingoro y’Uhoraho.","Voici ce que déclare le Seigneur des armées célestes : Les gens de ce peuple prétendent : « Le temps n’est pas venu encore, le temps de rebâtir le temple de l’Eternel . »"
HAG.1.3,Then the word of the Lord came through the prophet Haggai:,"Maz’ ijambo ry’Uhoraho rivugira muri Hagayi uwavugishwa na we,",Alors la parole de l’Eternel leur fut adressée par l’intermédiaire du prophète Aggée :
HAG.1.4,"“Is it a time for you yourselves to be living in your paneled houses, while this house remains a ruin?”","riti Mbeg’ iki n’igihe kibereye c’uko mwebge mwokwibera mu mazu yanyu ajererenze amagarwe, na yo iyi ngoro igihomvaguritse?","Est-il temps pour vous-mêmes d’habiter à votre aise des maisons lambrissées, alors que ce temple est en ruine ?"
HAG.1.5,Now this is what the Lord Almighty says: “Give careful thought to your ways.,"None rero, uku ni k’Uhoraho Nyen’ ingabo agize, ati Ni mwitegereze uko mumeze!","Maintenant, voici ce que déclare le Seigneur des armées célestes : Considérez donc bien ce qui vous arrive :"
HAG.1.6,"You have planted much, but harvested little. You eat, but never have enough. You drink, but never have your fill. You put on clothes, but are not warm. You earn wages, only to put them in a purse with holes in it.”","Mubiba vyinshi, mukimbura bike; kurya murarya, ariko ntimushira inzara; kunywa muranywa, ariko ntimushira inyota; kwambara murambara, ariko ntimushira imbeho; kand’ ūca amahera ayacira mu mupfuko utobotse.","vous semez largement mais vous récoltez peu, vous mangez, sans être rassasiés et vous buvez, sans étancher votre soif. Vous vous couvrez d’habits sans être réchauffés, et le salaire que gagne l’ouvrier va dans une bourse trouée."
HAG.1.7,This is what the Lord Almighty says: “Give careful thought to your ways.,"Uku ni k’Uhoraho Nyen’ ingabo agize, ati Ni mwitegereze uko mumeze!",Voici ce que déclare le Seigneur des armées célestes : Réfléchissez donc bien à ce qui vous arrive.
HAG.1.8,"Go up into the mountains and bring down timber and build my house, so that I may take pleasure in it and be honored,” says the Lord .","Enda ni mudūge mu mugamba muzane ibiti, mwubake iyo ngoro; nanje nzoyinezererwa, bimpeshe icubahiro, ni k’Uhoraho agize.","Allez à la montagne, rapportez-en du bois et bâtissez le Temple. J’y trouverai plaisir, j’en serai glorifié , déclare l’Eternel."
HAG.1.9,"“You expected much, but see, it turned out to be little. What you brought home, I blew away. Why?” declares the Lord Almighty. “Because of my house, which remains a ruin, while each of you is busy with your own house.","Mwaziga vyinshi, mugize murtya musanga ni bike; kandi n’iyo mubizanye i muhira ndabitūvya. Biva ku ki? ni k’ Uhoraho Nyen’ ingabo abajije. Biva ku ngoro yanje irekewe ngaho igihomvaguritse, namwe mweho umuntu wese agakobereza inzu yiwe ubgiwe.","Vous comptiez sur beaucoup, mais vous avez obtenu peu ; vous aviez engrangé ce que vous aviez récolté, et j’ai soufflé dessus. Pourquoi donc l’ai-je fait ? demande l’Eternel, le Seigneur des armées célestes. Parce que mon temple est en ruine, tandis que chacun de vous s’affaire pour sa propre maison."
HAG.1.10,"Therefore, because of you the heavens have withheld their dew and the earth its crops.","Ni co gituma ata n’akame ijuru rikibarekurira, n’isi ikabima ivyimburo vyayo.","Voilà pourquoi le ciel a retenu la pluie, voilà pourquoi la terre a refusé ses produits : c’est à cause de vous."
