,0,1,2
HEB.1.1,"In the past God spoke to our ancestors through the prophets at many times and in various ways,","Kera Imana yabaririye ba sogokuruza mu kanwa k’abavugishwa na yo mu bihe vyinshi no mu buryo bginshi,","A bien des reprises et de bien des manières, Dieu a parlé autrefois à nos ancêtres par les prophètes."
HEB.1.2,"but in these last days he has spoken to us by his Son, whom he appointed heir of all things, and through whom also he made the universe.","mur’ iyi misi y’iherezo yabaririye twebge mu kanwa k’Umwana wayo, uwo yashiriyeho kuba samuragwa wa vyose, ni we yahaye kurema isi.","Et maintenant, dans ces jours qui sont les derniers , il nous a parlé par le Fils. Il a fait de lui l’héritier de toutes choses et c’est aussi par lui qu’il a créé l’univers."
HEB.1.3,"The Son is the radiance of God’s glory and the exact representation of his being, sustaining all things by his powerful word. After he had provided purification for sins, he sat down at the right hand of the Majesty in heaven.","Uwo, kukw ar’ ugukayangana kw’ubgiza bgayo, n’ishusho y’akameremere kayo, kand’ ashigikiza vyose ijambo ry’ubushobozi bgiwe, ahejeje gushirah’ umwuhagiro w’ivyaha, avyagira i buryo bg’icubahiro c’ubgami bgo mw ijuru:","Ce Fils est le rayonnement de la gloire de Dieu et l’expression parfaite de son être. Il soutient toutes choses par sa parole puissante et, après avoir accompli la purification des péchés, il s’est assis dans les cieux à la droite du Dieu majestueux."
HEB.1.4,So he became as much superior to the angels as the name he has inherited is superior to theirs.,"amaze kuba ūhambaye kurusha abamarayika, nk’ukw izina yarazwe rirengeye ayabo.","Il a ainsi acquis un rang bien plus éminent que celui des anges, dans la mesure où le titre que Dieu lui a donné est incomparablement supérieur au leur."
HEB.1.5,"For to which of the angels did God ever say, “You are my Son; today I have become your Father” ? Or again, “I will be his Father, and he will be my Son” ?","Ni nde wo mu bamarayika yigeze kubarira, it’ Ur’ Ubura bganje, Uyu musi ndakuvyaye? Kandi iti Nzoba Se, Na we azoba Umwana wanje?","En effet, auquel des anges Dieu a-t-il jamais dit ceci : Tu es mon Fils ; aujourd’hui, je fais de toi mon enfant . Et encore : Je serai pour lui un Père et lui sera pour moi un Fils ."
HEB.1.6,"And again, when God brings his firstborn into the world, he says, “Let all God’s angels worship him.”","Kand’ ah’ izokwongera kuzana imfura yayo mw isi, it’ Abamarayika b’Imana bose bamusenge.","Mais lorsqu’il introduit de nouveau le Premier-né dans le monde , il dit : Que tous les anges de Dieu ╵ se prosternent devant lui ."
HEB.1.7,"In speaking of the angels he says, “He makes his angels spirits, and his servants flames of fire.”","Kand’ ivy’ abamarayika yarabivuze, it’ Ihindura abamarayika bayo imiyaga, Abasavyi bayo ibahindura imbeya z’umuriro.","Au sujet des anges, il dit : Il utilise ses anges comme des vents, et ses serviteurs comme des flammes de feu ."
HEB.1.8,"But about the Son he says, “Your throne, O God, will last for ever and ever; a scepter of justice will be the scepter of your kingdom.","Ariko, ivy’ Umwana wayo yabivuze, it’ Ingoma yawe, Mana, ihangamye ibihe bidashira, Icumu ry’ubugabe bgawe n’icumu ry’ūganza atunganye.","Mais au sujet du Fils, il dit : Ton trône, ô Dieu, subsiste ╵ pour toute éternité, le sceptre de ton règne ╵ est sceptre d’équité."
HEB.1.9,"You have loved righteousness and hated wickedness; therefore God, your God, has set you above your companions by anointing you with the oil of joy.”","Wakunze ukugororoka, wanka ubugarariji, Ni co catumye Imana, ni yo Mana yawe, ikurobanuza amavuta y’umunezero, ikakurutisha bagenzi bawe.","Tu aimes la justice, ╵ et tu détestes la méchanceté. Aussi, ô Dieu, ton Dieu ╵ t’a oint d’une huile d’allégresse et t’a ainsi fait roi, de préférence à tous tes compagnons ."
HEB.1.10,"He also says, “In the beginning, Lord, you laid the foundations of the earth, and the heavens are the work of your hands.","Kandi iti Ni wewe, Uhoraho, mbere na mbere washizeh’ itanguriro ry’isi, Kand’ amajuru n’igikorwa c’intoke zawe.","Il dit aussi : C’est toi, Seigneur, ╵ qui, au commencement, ╵ as posé les fondations de la terre. Le ciel est l’œuvre de tes mains."
