,0,1,2
HOS.1.1,"The word of the Lord that came to Hosea son of Beeri during the reigns of Uzziah, Jotham, Ahaz and Hezekiah, kings of Judah, and during the reign of Jeroboam son of Jehoash king of Israel:","Ijambo ry’Uhoraho ryaje kuri Hoseya mwene Beyeri, ku ngoma ya Uziya no ku ya Yotamu no ku ya Ahazi no ku ya Hezekiya, abami b’i Buyuda, hāri no ku ngoma ya Yerobowamu mwene Yehowasi, umwami w’Abisirayeli.","L’Eternel adressa la parole à Osée, fils de Beéri, sous les règnes d’Ozias, de Yotam, d’Ahaz et d’Ezéchias, rois de Juda, et sous le règne de Jéroboam, fils de Joas, roi d’Israël ."
HOS.1.2,"When the Lord began to speak through Hosea, the Lord said to him, “Go, marry a promiscuous woman and have children with her, for like an adulterous wife this land is guilty of unfaithfulness to the Lord .”","Igihe Uhoraho yatangura kuvugisha Hoseya ubga mbere, aramubarira, ati Genda, wābīre umugore maraya afise abana b’abasambanano: kukw iki gihugu cagize ubumaka bukomeye bgo kureka Uhoraho.","Première partie des paroles que l’Eternel prononça par Osée : L’Eternel dit à Osée : Va, prends une femme qui se livre à la prostitution, et des enfants nés de la prostitution, car le pays se vautre dans la prostitution en se détournant de l’Eternel ."
HOS.1.3,"So he married Gomer daughter of Diblaim, and she conceived and bore him a son.","Nukw aragenda, yābīra Gomeri mwene Dibulayimu; asama inda, avyara umuhungu.","Alors Osée alla prendre Gomer, de Diblaïm. Elle devint enceinte et lui donna un fils."
HOS.1.4,"Then the Lord said to Hosea, “Call him Jezreel, because I will soon punish the house of Jehu for the massacre at Jezreel, and I will put an end to the kingdom of Israel.","Maz’ Uhoraho aramubarira, at’ Izina ryiwe n’umwite Yezireli; kuko hasigaye igihe gito ngahōra ab’ inzu ya Yehu amaraso yaviriye i Yezireli, kandi nzohenebereza ingoma y’inzu ya Isirayeli.","L’Eternel lui dit : Appelle-le Jizréel, car d’ici peu de temps, je ferai rendre compte à la dynastie de Jéhu des meurtres commis à Jizréel et je mettrai fin à la royauté d’Israël."
HOS.1.5,In that day I will break Israel’s bow in the Valley of Jezreel.”,Maze kur’ uwo musi nzovunagurira umuheto wa Isirayeli mu kiyaya c’i Yezireli.,"En ce jour-là, je briserai l’arc d’Israël dans la vallée de Jizréel."
HOS.1.6,"Gomer conceived again and gave birth to a daughter. Then the Lord said to Hosea, “Call her Lo-Ruhamah (which means “not loved”), for I will no longer show love to Israel, that I should at all forgive them.","Nukw arongera asama inda, avyara umukobga. Uhoraho yongera kumubarira, at’ Izina ryiwe n’umwite Ntambabazi, kuko ntazosubira kugirira imbabazi inzu ya Isirayeli, ngo ndabaharire na gatoya.","Gomer fut de nouveau enceinte et mit au monde une fille. L’Eternel dit à Osée : Appelle-la Lo-Rouhama (la Non-Aimée), car, à l’avenir, je ne manifesterai plus d’amour à la communauté d’Israël, et je ne lui accorderai plus mon pardon."
HOS.1.7,"Yet I will show love to Judah; and I will save them—not by bow, sword or battle, or by horses and horsemen, but I, the Lord their God, will save them.”","Ariko nzogirira ikigongwe inzu ya Yuda, mbakize jewe Uhoraho Imana yabo; kandi sinzobakirisha umuheto, cank’ inkota, cank’ intambara, cank’ amafarasi, cank’ abayagenderako.","Cependant, je manifesterai de l’amour à la communauté de Juda, et moi, l’Eternel son Dieu, je la sauverai. Je la sauverai moi-même – et non pas par l’arc, par l’épée ou la guerre, par les chevaux et les équipages de chars."
HOS.1.8,"After she had weaned Lo-Ruhamah, Gomer had another son.","Nukw acukije Ntambabazi, arongera asama inda, avyara umuhungu.","Après avoir sevré Lo-Rouhama, Gomer fut encore enceinte et elle donna naissance à un fils."
HOS.1.9,"Then the Lord said, “Call him Lo-Ammi (which means “not my people”), for you are not my people, and I am not your God.","Uhoraho aravuga, at’ Izina ryiwe n’umwite Sabantubanje: kuko mutar’ abantu banje, nanje sinzoba Imana yanyu.","L’Eternel dit à Osée : Appelle-le Lo-Ammi (Pas mon peuple) car vous n’êtes pas mon peuple, et moi, Je suis, je ne suis rien pour vous ."
HOS.1.10,"“Yet the Israelites will be like the sand on the seashore, which cannot be measured or counted. In the place where it was said to them, ‘You are not my people,’ they will be called ‘children of the living God.’","Yamar’ amaherezo, igitigiri c’Abisirayeli kizongana nk’umusenyi wo ku kiyaga, udashobora kugerwa ku ngero canke guharūrika. Kand’ ahantu bābgiriwe, ngo Ntimur’ abantu banje, ni ho nyene bazobgirirwa, ngo Mur’ abana b’Imana nzima.",
HOS.1.11,"The people of Judah and the people of Israel will come together; they will appoint one leader and will come up out of the land, for great will be the day of Jezreel.","Kand’ Abayuda n’Abisirayeli bazokoranira hamwe, bitoranirize segaba umwe, badūge bave mu gihugu; kuk’ uwo musi w’i Yezireli uzoba uhambaye.",
HOS.2.1,"“Say of your brothers, ‘My people,’ and of your sisters, ‘My loved one.’","Mwite barumuna banyu, Bantubanje, na bashiki banyu, ba Inambabazi.","Mais, un jour, les Israélites ╵seront nombreux comme les grains de sable ╵sur le bord de la mer, que nul ne peut compter ╵ni mesurer. Et, au lieu même ╵où on leur avait dit : « Vous n’êtes pas mon peuple », on leur dira : « Vous êtes les enfants ╵du Dieu vivant . »"
HOS.2.2,"“Rebuke your mother, rebuke her, for she is not my wife, and I am not her husband. Let her remove the adulterous look from her face and the unfaithfulness from between her breasts.","Ni mwībūranire na nyoko, ni mwībūranire; kukw atar’ umugore wanje, nanje sind’ umugabo wiwe: n’akūre ubushegabo bgiwe mu maso hiwe, n’ubumaka bgiwe abukūre hagati y’amabere yiwe;","Alors, les Judéens ╵et les Israélites ╵du royaume du Nord seront unis et ils établiront sur eux ╵un chef unique, ils sortiront ╵du pays de l’exil, car il sera très grand, ╵le jour de Jizréel ."
HOS.2.3,"Otherwise I will strip her naked and make her as bare as on the day she was born; I will make her like a desert, turn her into a parched land, and slay her with thirst.","kugira ngo sinze ndamusige amēnya, akamera nk’umusi yavutseko, nkamuhindura nk’ubugaragwa, nkamusiga ngaho ameze nk’ ubgeranyange, nkamwicisha inyota.","Vous direz à vos frères ╵qu’ils seront appelés : « Mon peuple », et à vos sœurs : « les Bien-Aimées »."
HOS.2.4,"I will not show my love to her children, because they are the children of adultery.","Mbere sinzogirira abana biwe imbabazi, kukw ar’ abana b’abasambanano,","Intentez un procès ╵à votre mère , ╵faites-lui un procès, car elle n’est pas mon épouse et je ne suis pas son mari. Qu’elle ôte de sa face ╵les marques des prostitutions ╵qu’elle a commises, d’entre ses seins ╵les signes de ses adultères."
HOS.2.5,"Their mother has been unfaithful and has conceived them in disgrace. She said, ‘I will go after my lovers, who give me my food and my water, my wool and my linen, my olive oil and my drink.’","nyina akaba yarīhinduye maraya, uwabavyaye akaba yarakoze ibiteye isoni: kuko yavuze, ati Ndikurikirira abūzure banje, bampa ivyo ndya n’ivyo nnywa, bakampa ubgoya bg’intama n’ipampa, bo n’amavuta n’ibinyobga.","Sinon, je la dévêtirai, ╵et je la mettrai toute nue, comme elle était au jour de sa naissance ; je la transformerai en un désert, je ferai d’elle un pays desséché, je la ferai mourir de soif."
HOS.2.6,Therefore I will block her path with thornbushes; I will wall her in so that she cannot find her way.,"Ni co gituma ngira nsākize amahwa inzira yiwe, ndamuzitirire uruzitiro rwo kumubuza, ngo yoye kubona ah’ aca.","Et quant à ses enfants, ╵je n’aurai plus d’amour pour eux, car ce sont des enfants ╵prostitués ."
HOS.2.7,"She will chase after her lovers but not catch them; she will look for them but not find them. Then she will say, ‘I will go back to my husband as at first, for then I was better off than now.’","Azokwirukira abūzure biwe, ariko ntabahamvye, azobarondera, ariko ntababone. Ni ho azovuga, ati Hinge nsubire ku mugabo wanje wa mbere, kuk’ ubga mbere nari mmerewe neza kuruta ubu.","Oui, leur mère s’est adonnée ╵à la prostitution, la femme qui les a conçus ╵s’est couverte de honte, puisqu’elle a affirmé : ╵« Moi, j’irai après mes amants qui me fournissent ╵mon pain, mon eau, mon lin, ma laine, mon huile et mes boissons. »"
HOS.2.8,"She has not acknowledged that I was the one who gave her the grain, the new wine and oil, who lavished on her the silver and gold— which they used for Baal.","Erega ntiyamenye kw ari jewe namuha za ngano na vino n’amavuta, nkamusenyurirakw ifeza n’izahabu, ivyo bākoreshereje Bayali.","Voilà pourquoi je vais barrer ╵son chemin avec des épines, je l’obstrue par un mur, et elle ne trouvera plus sa route."
HOS.2.9,"“Therefore I will take away my grain when it ripens, and my new wine when it is ready. I will take back my wool and my linen, intended to cover her naked body.","Ni co gituma nzosubira ku ngano zanje mu gihe zokweze, no kuri vino yanje mu gihe yoganiwe, kandi nzomushikura bga bgoya bganje bg’intama n’ipampa yanje, vyari kumumara ubgambure bgiwe.","Elle poursuivra ses amants sans pouvoir les atteindre, elle les cherchera ╵sans pouvoir les trouver. Puis elle se dira : « Je vais m’en retourner ╵chez mon premier mari, car j’étais alors plus heureuse ╵que maintenant. »"
HOS.2.10,So now I will expose her lewdness before the eyes of her lovers; no one will take her out of my hands.,"Noneho ngira ngaragarize ibiteye isoni vyiwe imbere y’abūzure biwe, kandi nta n’umwe azomurokora ngw amunkūre mu maboko.","Or, elle n’avait pas compris ╵que c’était moi qui lui donnais le blé, le vin nouveau et l’huile, et de l’argent en abondance, ╵ainsi que l’or dont ils ont fait ╵une offrande à Baal ."
HOS.2.11,"I will stop all her celebrations: her yearly festivals, her New Moons, her Sabbath days—all her appointed festivals.","Nzomucakw ibitwengo, n’imisi mikuru yaziririza, bo n’ imboneko z’amezi n’amasabato n’ imisi mikuru yose yashinzwe.","C’est pourquoi je viendrai reprendre mon blé au temps de la moisson, mon vin au temps de la vendange, je leur retirerai ╵ma laine avec mon lin dont elle s’habillait."
