,0,1,2
ISA.1.1,"The vision concerning Judah and Jerusalem that Isaiah son of Amoz saw during the reigns of Uzziah, Jotham, Ahaz and Hezekiah, kings of Judah.","Ivyo Yesaya mwene Amosi yeretswe, ivyo yabonye ku b’i Buyuda n’i Yerusalemu, ku ngoma ya Uziya no ku ya Yotamu no ku ya Ahazi no ku ya Hezekiya, abami b’i Buyuda.","Révélations reçues par Esaïe, fils d’Amots, au sujet de Juda et de Jérusalem, sous les règnes d’Ozias, de Yotam, d’Ahaz et d’Ezéchias, rois de Juda ."
ISA.1.2,"Hear me, you heavens! Listen, earth! For the Lord has spoken: “I reared children and brought them up, but they have rebelled against me.","Ni mwumve, mwa majuru, tega amatwi, wa si we, kuk’ Uhoraho abivuze: ati Narakujije abana, ndabarera, maze barampinduka.","Vous, les cieux, écoutez, toi, terre, tends l’oreille, c’est l’Eternel qui parle : J’ai élevé des enfants, et j’ai pris soin d’eux, mais ils se sont révoltés contre moi."
ISA.1.3,"The ox knows its master, the donkey its owner’s manger, but Israel does not know, my people do not understand.”","Inka irazi nyeneyo, n’indogoba irazi ubgato bga shebuja: arikw Abisirayeli bo nta co bazi, abantu banje nta co batahura.","Le bœuf sait bien ╵à qui il appartient, et l’âne connaît la mangeoire ╵où le nourrit son maître. Israël ne veut rien savoir, et mon peuple ne comprend pas."
ISA.1.4,"Woe to the sinful nation, a people whose guilt is great, a brood of evildoers, children given to corruption! They have forsaken the Lord ; they have spurned the Holy One of Israel and turned their backs on him.","Ewe wa hanga rikora icaha, ubgoko buremerewe n’ukugabitanya, uruvyaro rw’inkozi z’ibibi, abana b’ivyanke! Barantaye, jewe Uhoraho, barankengēra, jewe Uwera w’Abisirayeli; twārahubanywe, bāsubiye inyuma.","Malheur à toi, nation coupable, peuple chargé de fautes, race adonnée au mal et enfants corrompus ! Vous avez abandonné l’Eternel, méprisé le Saint d’Israël, vous lui avez tourné le dos."
ISA.1.5,"Why should you be beaten anymore? Why do you persist in rebellion? Your whole head is injured, your whole heart afflicted.","Mbega n’ubu muracadaramīra ngo mukubitwe, ko mwiyongeranya kugarariza? Umutwe wose urarwaye, umutima wose uradendebukiwe.","Où vous frapper encore, puisque vous persistez ╵dans votre rébellion ? Car, déjà, votre tête ╵tout entière est malade, votre cœur est tout affligé."
ISA.1.6,"From the sole of your foot to the top of your head there is no soundness— only wounds and welts and open sores, not cleansed or bandaged or soothed with olive oil.","Uhereye mu bgoro bg’ikirenge ugashitsa ku mutwe nta hazima hariho, atar’ inguma n’ibipfupfuri n’imishishagu, bitigeze gukandwa canke gupfukwa canke kubombekeshwa amavuta.","De la plante des pieds ╵jusqu’à la tête, rien n’est en bon état, ce ne sont que blessures, ╵contusions et plaies vives que l’on n’a pas pansées ╵ni bandées, ni soignées avec de l’huile."
ISA.1.7,"Your country is desolate, your cities burned with fire; your fields are being stripped by foreigners right before you, laid waste as when overthrown by strangers.","Igihugu canyu n’amatongo, ibisagara vyanyu vyakomvomvowe n’umuriro, abanyamahanga babaryana igihugu canyu mubona, kandi cacitse amatongo nk’ahakomvomvowe n’abanyamahanga koko.","Le pays que vous habitez ╵est dévasté , vos villes sont détruites par le feu, vos campagnes sont ravagées ╵sous vos yeux par des étrangers. Oui, tout est dévasté, ╵détruit par des envahisseurs ."
ISA.1.8,"Daughter Zion is left like a shelter in a vineyard, like a hut in a cucumber field, like a city under siege.","Umukobga w’i Siyoni asigaye ameze nk’umutara uri mu ruzabibu, ameze nk’urusago ruri mu ndimiro y’imyungu, ameze nk’igisagara gitawe hagati n’abansi.","Et Sion est restée comme une hutte ╵au milieu d’une vigne, comme un abri ╵dans un champ de concombres, comme une ville ╵entourée d’armées ennemies."
ISA.1.9,"Unless the Lord Almighty had left us some survivors, we would have become like Sodom, we would have been like Gomorrah.","Iyaba Uhoraho Nyen’ ingabo atadushigarije amasigarira na makeya, tuba twarabaye nk’i Sodomu, tukamera nk’i Gomora.","Si l’Eternel, ╵le Seigneur des armées célestes, ne nous avait laissé ╵un faible reste, nous ressemblerions à Sodome et nous serions comme Gomorrhe ."
ISA.1.10,"Hear the word of the Lord , you rulers of Sodom; listen to the instruction of our God, you people of Gomorrah!","Ni mwumve ijambo ry’Uhoraho, mwebge abaganza i Sodomu; mutegere amatwi ivyagezwe vy’Imana yacu, mwa bantu b’i Gomora.","Vous, les chefs de Sodome, écoutez bien ╵ce que dit l’Eternel, vous, peuple de Gomorrhe , écoutez bien ╵la Loi de notre Dieu."
