,0,1,2
JAS.1.1,"James, a servant of God and of the Lord Jesus Christ, To the twelve tribes scattered among the nations: Greetings.","Yakobo, umugurano w’Imana n’uw’ Umwami Yesu Kristo, ndabandikiye abo mu miryango cumi n’ibiri y’abāsābagiye: muganuke.","Jacques, serviteur de Dieu et du Seigneur Jésus-Christ, salue les douze tribus dispersées du peuple de Dieu ."
JAS.1.2,"Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds,","Mwiyumvire kw ar’ ivyo kunezererwa rwose, bene Data, ni mwagwa mu bibagerageza bitari bimwe,","Mes frères et sœurs, quand vous passez par toutes sortes d’épreuves , considérez-vous comme heureux."
JAS.1.3,because you know that the testing of your faith produces perseverance.,mumenye yukw ibigeza ukwizera kwanyu bitera ukwihangana.,Car vous le savez : la mise à l’épreuve de votre foi produit l’endurance.
JAS.1.4,"Let perseverance finish its work so that you may be mature and complete, not lacking anything.","Arik’ ukwihangana gukwiye guhīngūra igikorwa cakwo, ngo mubone gutungana rwose muhīngūwe, mudahajije na kamwe.","Mais il faut que votre endurance aille jusqu’au bout de ce qu’elle peut faire pour que vous parveniez à l’état d’adultes et soyez pleins de force, des hommes auxquels il ne manque rien."
JAS.1.5,"If any of you lacks wisdom, you should ask God, who gives generously to all without finding fault, and it will be given to you.","Arikw asangwa har’ uwo muri mwebge akennye ubgenge, n’abusabe Imana, igabira bose ata kinūbge, idaterana imirarwe, azobuhabga.","Si l’un de vous manque de sagesse , qu’il la demande à Dieu qui la lui donnera, car il donne à tous généreusement et sans faire de reproche."
JAS.1.6,"But when you ask, you must believe and not doubt, because the one who doubts is like a wave of the sea, blown and tossed by the wind.","Arikw asabe yizeye, ata co akekeranya, kuk’ ūkekeranya ameze nk’umupfunda wo mu kiyaga, utwarwa n’umuyaga, usimbaguritswa.","Il faut cependant qu’il la demande avec foi, sans douter, car celui qui doute ressemble aux vagues de la mer agitées et soulevées par le vent."
JAS.1.7,That person should not expect to receive anything from the Lord.,"Uyo muntu yoye kwiyumvira kw ari n’ic’ azohabga n’Umwami Imana,",Qu’un tel homme ne s’imagine pas obtenir quoi que ce soit du Seigneur :
JAS.1.8,Such a person is double-minded and unstable in all they do.,"kukw ar’ umuntu w’imitima ibiri, adāguza mu nzira ziwe zose.","son cœur est partagé, il est inconstant dans toutes ses entreprises."
JAS.1.9,Believers in humble circumstances ought to take pride in their high position.,"Ariko, mwene Data w’umufafara ni yirate kw ashizwe hejuru,","Que le frère ou la sœur pauvre soit fier de ce que Dieu l’élève,"
JAS.1.10,But the rich should take pride in their humiliation—since they will pass away like a wild flower.,"umutunzi na we, ni yirate kw acishijwe bugufi, kukw azoyoka nk’amashurwe y’ivyatsi.","et le riche de ce que Dieu l’abaisse. En effet, il passera comme la fleur des champs."
