,0,1,2
JDG.1.1,"After the death of Joshua, the Israelites asked the Lord , “Who of us is to go up first to fight against the Canaanites?”","Yosuwa amaze gupfa, Abisirayeli babaza Uhoraho, bati Muri twebge ni nde azobanza kuja gutera Abanyakanani ngw abarwanye?","Après la mort de Josué, les Israélites consultèrent l’Eternel pour savoir quelle tribu devait aller la première attaquer les Cananéens."
JDG.1.2,"The Lord answered, “Judah shall go up; I have given the land into their hands.”","Uhoraho arishura, at’ Abayuda ni bo bazobanza gutera: kand’ ico gihugu ndakigabuye mu maboko yabo.",L’Eternel répondit : C’est Juda qui ira la première : je livre le pays en son pouvoir.
JDG.1.3,"The men of Judah then said to the Simeonites their fellow Israelites, “Come up with us into the territory allotted to us, to fight against the Canaanites. We in turn will go with you into yours.” So the Simeonites went with them.","Nukw Abayuda babarira ab’i wabo b’Abasimeyoni, bati Ni muze mufatanye natwe dutere Abanyakanani, dushikīre umugabane wacu twaheshejwe n’ubupfindo; natwe tuzofatanya namwe ngo mushikīre uwanyu. Nukw Abasimeyoni bajana na bo.","Alors les hommes de Juda dirent à ceux de Siméon, frère de Juda : Venez avec nous à la conquête du territoire qui nous a été attribué. Nous combattrons ensemble les Cananéens. Ensuite, nous vous aiderons également à conquérir le territoire qui vous est échu. Les gens de Siméon se joignirent donc à eux,"
JDG.1.4,"When Judah attacked, the Lord gave the Canaanites and Perizzites into their hands, and they struck down ten thousand men at Bezek.","Nukw Abayuda badūga gutera, maz’ Uhoraho agabura Abanyakanani n’Abaferizi mu maboko yabo, i Bezeki bahatsinda ibihumbi cumi mu ngabo zabo.","et Juda se mit en campagne. L’Eternel leur donna la victoire sur les Cananéens et les Phéréziens . A Bézeq, ils battirent dix mille hommes."
JDG.1.5,"It was there that they found Adoni-Bezek and fought against him, putting to rout the Canaanites and Perizzites.","Basanga Adoni‐bezeki i Bezeki nyene, baramurwanya, banesha Abanyakanani n’Abaferizi.","En effet, ils tombèrent là sur le roi Adoni-Bézeq et l’attaquèrent. Ils battirent les Cananéens et les Phéréziens."
JDG.1.6,"Adoni-Bezek fled, but they chased him and caught him, and cut off his thumbs and big toes.","Ariko Adoni‐bezeki arahunga, baramukinagiza, baramufata, bamuca intoke z’ibikumu n’amano manini.","Adoni-Bézeq s’enfuit, mais ils le poursuivirent, s’emparèrent de lui et lui coupèrent les pouces des mains et des pieds ."
JDG.1.7,"Then Adoni-Bezek said, “Seventy kings with their thumbs and big toes cut off have picked up scraps under my table. Now God has paid me back for what I did to them.” They brought him to Jerusalem, and he died there.","Adoni‐bezeki aravuga, at’Abami mirongwirindwi naciye ibikumu n’amano manini bāhora batoragura utwo barya musi y’ameza yanje: uko nabagiriye ni kw Imana inshubirije mu nkōko. Nuko bamujana i Yerusalemu, agwayo.","Adoni-Bézeq s’exclama : Soixante-dix rois , dont on avait coupé les pouces des mains et des pieds, ramassaient les miettes qui tombaient sous ma table. Dieu m’a rendu ce que j’ai fait. On l’emmena à Jérusalem et c’est là qu’il mourut."
JDG.1.8,The men of Judah attacked Jerusalem also and took it. They put the city to the sword and set it on fire.,"Maz’ Abayuda batera Yerusalemu, barahatsinda, baharanduza inkota; ico gisagara bagiha impumbi.",Les hommes de Juda attaquèrent Jérusalem et s’en emparèrent. Ils massacrèrent ses habitants et mirent le feu à la ville.
JDG.1.9,"After that, Judah went down to fight against the Canaanites living in the hill country, the Negev and the western foothills.","Maze baramanuka, batera Abanyakanani, uhereye ku baba mu mugamba n’ababa i bumanuko n’ababa mu gihugu c’ imisozi iciye bugufi.","Ensuite, ils partirent combattre les Cananéens qui occupaient la région montagneuse, le Néguev et le Bas-Pays."
JDG.1.10,"They advanced against the Canaanites living in Hebron (formerly called Kiriath Arba) and defeated Sheshai, Ahiman and Talmai.",Baraheza baja gutera Abanyakanani baba i Heburoni; Heburoni kera hitwa Kiriyati‐Araba: maze bica Sheshayi na Ahimanu na Talumayi.,"Juda marcha aussi contre les Cananéens qui habitaient Hébron, dont le nom était autrefois Qiryath-Arba. Ils battirent Shéshaï, Ahimân et Talmaï ."
JDG.1.11,From there they advanced against the people living in Debir (formerly called Kiriath Sepher).,"Nuko bavayo, baja gutera ab’i Debira; Debira kera hitwa Kiriyati‐seferi.","De là, ils partirent attaquer les habitants de Debir, appelée autrefois Qiryath-Sépher ."
JDG.1.12,"And Caleb said, “I will give my daughter Aksah in marriage to the man who attacks and captures Kiriath Sepher.”","Kalebu aravuga, at’ Umuntu azotera i Kiriyati‐seferi akahanesha, nzomushingira umwana wanje Akisa.",Caleb promit sa fille Aksa en mariage à celui qui battrait et prendrait Qiryath-Sépher.
JDG.1.13,"Othniel son of Kenaz, Caleb’s younger brother, took it; so Caleb gave his daughter Aksah to him in marriage.","Otiniyeli mwene Kenazi, murumuna wa Kalebu, arahanesha; araheza amushingira umukobga wiwe Akisa.","Ce fut son neveu Otniel, fils de Qenaz, le frère cadet de Caleb, qui s’en empara ; et Caleb lui donna sa fille Aksa en mariage."
JDG.1.14,"One day when she came to Othniel, she urged him to ask her father for a field. When she got off her donkey, Caleb asked her, “What can I do for you?”","Maz’ agishika i w’umugabo wiwe, aramwinginga ngw asabe se itongo; Akisa ava ku ndogoba yiwe, Kalebu aramubaza, at’ Ugomba iki?","Dès son arrivée auprès de son mari, elle l’engagea à demander un champ à son père Caleb. Puis elle sauta de son âne et Caleb lui demanda : Quel est ton désir ?"
JDG.1.15,"She replied, “Do me a special favor. Since you have given me land in the Negev, give me also springs of water.” So Caleb gave her the upper and lower springs.","Aramwishura, ati Ntabara ungabire: ko wandungitse mu gihugu cumye , mpa n’amariba y’amazi. Nuko Kalebu amuha amariba yo haruguru n’ayo hepfo.","Elle lui répondit : Accorde-moi un cadeau. Puisque tu m’as établie dans une terre aride, donne-moi aussi des points d’eau. Et Caleb lui donna les sources supérieures et les sources inférieures."
JDG.1.16,"The descendants of Moses’ father-in-law, the Kenite, went up from the City of Palms with the people of Judah to live among the inhabitants of the Desert of Judah in the Negev near Arad.","Maz’ abo mu ruvyaro rwa wa Munyakeni, muramu wa Mose, badūgana n’Abayuda bavuye mu gisagara co mu bigazi, baja mu bugaragwa bg’i Buyuda, ahahera i bumanuko bg’i Arada, babanayo na bene ho.","Les descendants du Qénien, beau-père de Moïse, quittèrent la ville des palmiers avec les hommes de Juda pour aller s’installer parmi le peuple dans les territoires désertiques de Juda qui se situent au sud d’Arad."
JDG.1.17,"Then the men of Judah went with the Simeonites their fellow Israelites and attacked the Canaanites living in Zephath, and they totally destroyed the city. Therefore it was called Hormah.","Bukeye Abayuda bafatanya n’ab’i wabo b’Abasimeyoni, banesha Abanyakanani bāba i Sefati, barahageseza; ni kwo kwita ico gisagara Horuma.","Les hommes de Juda se joignirent à ceux de Siméon, frère de Juda, pour battre les Cananéens qui habitaient Tsephath, ils en exterminèrent la population et détruisirent entièrement la ville, pour la vouer à l’Eternel, et on lui donna le nom de Horma."
JDG.1.18,"Judah also took Gaza, Ashkelon and Ekron—each city with its territory.","Abayuda banesha i Gaza n’impande zaho zose, na Ashikeloni n’impande zaho zose, na Ekuroni n’impande zaho zose.","Les gens de Juda s’emparèrent également de Gaza, d’Ashkelôn et d’Eqrôn ainsi que des territoires voisins de ces villes."
JDG.1.19,"The Lord was with the men of Judah. They took possession of the hill country, but they were unable to drive the people from the plains, because they had chariots fitted with iron.","Uhoraho yari kumwe n’Abayuda; birukana ababa mu gihugu c’umugamba, ariko ntibashobora kwirukana ababa mu biyaya, kuko bari bafise imikogote y’ivyuma.","L’Eternel lui-même était avec eux, et c’est ainsi que les hommes de Juda purent conquérir la région montagneuse. Ils ne réussirent pas à déposséder les habitants de la vallée, car ceux-ci disposaient de chars de combat bardés de fer."
JDG.1.20,"As Moses had promised, Hebron was given to Caleb, who drove from it the three sons of Anak.",Kalebu bamuha Heburoni nk’uko Mose yari yaravuze; ahirukana bene Anaki ukw ari batatu.,"On attribua Hébron à Caleb, comme Moïse l’avait dit. Il en expulsa les trois descendants d’Anaq ."
JDG.1.21,"The Benjamites, however, did not drive out the Jebusites, who were living in Jerusalem; to this day the Jebusites live there with the Benjamites.",Arikw Ababenyamini ntibirukanye Abayebusi bāba i Yerusalemu; nukw Abayebusi babana n’Ababenyamini i Yerusalemu gushitsa na bugingo n’ubu.,Les descendants de Benjamin ne dépossédèrent pas les Yebousiens qui habitaient Jérusalem ; ceux-ci y vivent encore aujourd’hui avec les Benjaminites.
JDG.1.22,"Now the tribes of Joseph attacked Bethel, and the Lord was with them.",Ab’ umuryango wa Yosefu na bo baradūga ngo batere i Beteli; kand’ Uhoraho yari kumwe na bo.,Les descendants de Joseph partirent de leur côté attaquer Béthel et l’Eternel fut avec eux.
JDG.1.23,"When they sent men to spy out Bethel (formerly called Luz),",Batuma abaja gutata i Beteli; ico gisagara kera citwa Luzi.,Ils envoyèrent d’abord des hommes en reconnaissance à Béthel qui s’appelait autrefois Louz.
JDG.1.24,"the spies saw a man coming out of the city and they said to him, “Show us how to get into the city and we will see that you are treated well.”","Abo batasi babona umuntu avuye mur’ ico gisagara, baramubarira, bat’ Enda se twereke akanyuro twocamwo ngo dushike mur’ iki gisagara, natwe tuzokwibuka.","Les envoyés virent un homme sortir de la ville et ils lui dirent : Montre-nous par où on peut pénétrer dans la ville, et nous te traiterons avec bonté."
JDG.1.25,"So he showed them, and they put the city to the sword but spared the man and his whole family.","Aca abereka aho baca ngo bagishikemwo; ni kwo kuranduza inkota ico gisagara, ariko wa mugabo n’abo mu rugo rwiwe bose barabareka.","L’homme leur montra donc comment pénétrer dans la ville. Ils massacrèrent tous les habitants, mais laissèrent partir cet homme avec toute sa famille."
JDG.1.26,"He then went to the land of the Hittites, where he built a city and called it Luz, which is its name to this day.","Uwo muntu araheza aragenda, aja mu gihugu c’Abaheti, yubakay’ igisagara, acita Luzi: ni ryo zina ryaco na bugingo n’ubu.",L’homme émigra dans le pays des Hittites ; il y construisit une ville à laquelle il donna le nom de Louz qu’elle porte encore aujourd’hui.
JDG.1.27,"But Manasseh did not drive out the people of Beth Shan or Taanach or Dor or Ibleam or Megiddo and their surrounding settlements, for the Canaanites were determined to live in that land.","Arikw Abamanase ntibirukanye ab’i Beti‐sheyani cank’ ab’i Tanaki cank’ ababa i Dori, cank’ ababa Ibuleyamu, cank’ ababa i Megido, cank’ abo mu dusagara twagenda tuhakūkira, kukw Abanyakanani bāgataye kuva mur’ ico gihugu.","Les hommes de Manassé ne dépossédèrent pas les habitants de Beth-Sheân, de Taanak, de Dor, de Yibleam, de Meguiddo et des localités qui dépendaient de ces villes. Les Cananéens continuèrent donc à se maintenir dans cette région."
JDG.1.28,"When Israel became strong, they pressed the Canaanites into forced labor but never drove them out completely.","Maz’ Abisirayeli bamaze guhama, bashinga Abanyakanani ibikebere, ntibabirukana ngo babaherengeteze.","Lorsque les Israélites furent devenus plus forts, ils leur imposèrent des corvées, mais ils ne les dépossédèrent pas."
JDG.1.29,"Nor did Ephraim drive out the Canaanites living in Gezer, but the Canaanites continued to live there among them.","Abefurayimu na bo ntibirukanye Abanyakanani baba i Gezeri, arikw Abanyakanani babana na bo ngaho nyene i Gezeri.","Les gens d’Ephraïm ne dépossédèrent pas les Cananéens établis à Guézer, et ceux-ci continuèrent à y vivre au milieu des Ephraïmites."
JDG.1.30,"Neither did Zebulun drive out the Canaanites living in Kitron or Nahalol, so these Canaanites lived among them, but Zebulun did subject them to forced labor.","N’Abazebuloni na bo ntibirukanye ababa i Kitironi cank’ ababa i Nahalolo; arikw abo Banyakanani babana na bo, bashingwa ibikebere.",Ceux de Zabulon ne dépossédèrent pas non plus les habitants de Qitrôn et de Nahalol ; les Cananéens habitèrent donc au milieu des gens de Zabulon qui leur imposèrent des corvées.
JDG.1.31,Nor did Asher drive out those living in Akko or Sidon or Ahlab or Akzib or Helbah or Aphek or Rehob.,"N’Abasheri na bo ntibirukanye ababa ahitwa Ako, cank’ ababa i Sidoni, cank’ ab’i Ahulaba, cank’ ab’i Akuziba, cank’ ab’i Heliba, cank’ ab’i Afeka, cank’ ab’i Rehobu;","Les gens d’Aser ne dépossédèrent pas les habitants d’Akko , de Sidon, d’Ahlab, d’Akzib, de Helba, d’Aphiq et de Rehob."
JDG.1.32,The Asherites lived among the Canaanite inhabitants of the land because they did not drive them out.,"arikw Abasheri babana n’Abanyakanani, ben’ ico gihugu, ntibabirukana.","Les descendants d’Aser s’établirent donc au milieu des Cananéens qui occupaient le pays, car ils ne les dépossédèrent pas."
JDG.1.33,"Neither did Naphtali drive out those living in Beth Shemesh or Beth Anath; but the Naphtalites too lived among the Canaanite inhabitants of the land, and those living in Beth Shemesh and Beth Anath became forced laborers for them.","N’Abanafutali na bo ntibirukanye ababa i Beti‐shemeshi, cank’ ababa i Beti‐anati, arikw Abanafutali babana n’Abanyakanani, ben’ ico gihugu; mugabo, ababa i Beti‐shemeshi n’i Beti‐anati bashingwa ibikebere.",Les gens de Nephtali ne dépossédèrent pas les habitants de Beth-Shémesh ni ceux de Beth-Anath. Ils s’installèrent au milieu des Cananéens qui habitaient le pays et ils soumirent à des corvées les habitants de ces deux villes.
JDG.1.34,"The Amorites confined the Danites to the hill country, not allowing them to come down into the plain.","Abamori bagenda barasegenya, basunika Abadani gushitsa mu gihugu c’umugamba, ntibābakundira kumanuka mu kiyaya,",Les Amoréens refoulèrent les Danites dans la région montagneuse et les empêchèrent de descendre dans la vallée.
JDG.1.35,"And the Amorites were determined also to hold out in Mount Heres, Aijalon and Shaalbim, but when the power of the tribes of Joseph increased, they too were pressed into forced labor.",arikw abo Bamori bāgataye kuva ku musozi Heresi n’i Ayaloni n’i Shalubimu; arikw ab’ inzu ya Yosefu bamaze gukomera bashinga abo Bamori ibikebere.,"Les Amoréens continuèrent donc à se maintenir à Har-Hérès, à Ayalôn et à Shaalbim, mais les descendants de Joseph furent de plus en plus puissants et leur imposèrent des corvées."
JDG.1.36,The boundary of the Amorites was from Scorpion Pass to Sela and beyond.,Kand’ urubibe rw’Abamori rwāhēra ku mudūgo w’i Akurabimu rugashitsa i Sela rugasubiza amajaruguru.,"Le territoire des Amoréens s’étendait de la montée des Scorpions, depuis Séla et en remontant."
JDG.2.1,"The angel of the Lord went up from Gilgal to Bokim and said, “I brought you up out of Egypt and led you into the land I swore to give to your ancestors. I said, ‘I will never break my covenant with you,","Umumarayika w’Uhoraho ava i Gilugali aradūga, aja i Bokimu. Arababarira, ati Nabadūganye mbakūye muri Egiputa, mbashikana mu gihugu nasezeraniye ba sogokuruza, nkavuga, nti Nta ho nzova mw isezerano nabasezeraniye;",L’ange de l’Eternel monta de Guilgal à Bokim et déclara au peuple d’Israël : Je vous ai fait sortir d’Egypte et je vous ai amenés dans le pays que j’ai solennellement promis à vos ancêtres. J’ai déclaré que je ne romprais jamais mon alliance avec vous.
JDG.2.2,"and you shall not make a covenant with the people of this land, but you shall break down their altars.’ Yet you have disobeyed me. Why have you done this?","nti Namwe ntimuze musezerane na ben’ iki gihugu, ariko muze musangangure ibicaniro vyabo. Yamara ntimwanyumviye. N’iki catumye mukora murtyo?","Et vous de même, vous ne conclurez pas d’alliance avec les habitants de ce pays et vous démolirez leurs autels . Or, vous ne m’avez pas obéi. Pourquoi avez-vous fait cela ?"
JDG.2.3,"And I have also said, ‘I will not drive them out before you; they will become traps for you, and their gods will become snares to you.’ ”","None nanje hinge ndababarire: Abo sinzobirukana ngo bababise, ariko bazobabera ibibahanda mu mbavu, n’imana zabo zizobabera umutego.",Aussi ai-je résolu de ne pas déposséder les habitants du pays en votre faveur. Ils resteront pour vous des adversaires et leurs dieux seront un piège pour vous.
JDG.2.4,"When the angel of the Lord had spoken these things to all the Israelites, the people wept aloud,","Maz’ umumarayika w’Uhoraho amaze kubgira Abisirayeli bose ayo majambo, abantu baraturikisha bararira.","Lorsque l’ange de l’Eternel eut adressé ces paroles au peuple d’Israël, tous se mirent à se lamenter et à pleurer."
JDG.2.5,and they called that place Bokim. There they offered sacrifices to the Lord .,"Aho hantu baca bahita i Bokimu; bahatangira ibimazi, babishikanira Uhoraho.",Ils appelèrent l’endroit Bokim (Les pleureurs) et ils offrirent des sacrifices à l’Eternel.
JDG.2.6,"After Joshua had dismissed the Israelites, they went to take possession of the land, each to their own inheritance.","Kandi Yosuwa igihe yar’ amaze gusēzera abantu, umuntu wese aja mw ishamvu yiwe, ngo begukire ico gihugu.","Après que Josué eut congédié le peuple, les Israélites se rendirent chacun dans son patrimoine pour prendre possession du pays ."
JDG.2.7,The people served the Lord throughout the lifetime of Joshua and of the elders who outlived him and who had seen all the great things the Lord had done for Israel.,"Yosuwa akiriho, abantu bāgumye k’Uhoraho, no mu gihe cose c’abakuru bāsigaye Yosuwa amaze gupfa, abāri bārabonye ibikorwa vyose bihambaye Uhoraho yakoreye Abisirayeli.","Ils servirent l’Eternel pendant toute la vie de Josué et, après sa mort, tant que vécurent les responsables qui avaient vu toute l’œuvre de l’Eternel en faveur d’Israël."
JDG.2.8,"Joshua son of Nun, the servant of the Lord , died at the age of a hundred and ten.",Yosuwa mwene Nuni umusavyi w’Uhoraho ahwera amaze imyaka ijana n’icumi.,"Josué, fils de Noun, serviteur de l’Eternel, mourut à l’âge de 110 ans."
JDG.2.9,"And they buried him in the land of his inheritance, at Timnath Heres in the hill country of Ephraim, north of Mount Gaash.","Bāmuhamvye mw ishamvu yiwe bgite i Timunati‐sera mu mugamba w’Abefurayimu, ku ruhande rw’i burārūko rw’ umusozi Gashi.","On l’enterra dans le domaine qu’il avait reçu pour propriété à Timnath-Hérès, dans la région montagneuse d’Ephraïm, au nord du mont Gaash."
JDG.2.10,"After that whole generation had been gathered to their ancestors, another generation grew up who knew neither the Lord nor what he had done for Israel.","Hanyuma ab’ urwo runganwe bose na bo barapfa, bahamvya ababo; bakurikirwa n’urundi runganwe, abo bo bakura batazi Uhoraho, canke ngo bamenye igikorwa yakoreye Abisirayeli.","Tous ceux de sa génération disparurent à leur tour. Une nouvelle génération se leva, qui ne connaissait pas l’Eternel, et n’avait pas vu les œuvres qu’il avait accomplies en faveur d’Israël."
JDG.2.11,Then the Israelites did evil in the eyes of the Lord and served the Baals.,"Maz’ Abisirayeli bakora ivyo Uhoraho abona kw ari bibi, basaba za Bayali;","Alors les Israélites firent ce que l’Eternel considère comme mal, et ils se mirent à rendre un culte aux dieux Baals."
JDG.2.12,"They forsook the Lord , the God of their ancestors, who had brought them out of Egypt. They followed and worshiped various gods of the peoples around them. They aroused the Lord ’s anger","bava k’Uhoraho Imana ya ba sekuruza yabakūye mu gihugu ca Egiputa, bakurikira izindi mana zo mu mana z’abanyamahanga babakikije, bakazūnamira, bakaratsa Uhoraho.","Ils abandonnèrent l’Eternel, le Dieu de leurs ancêtres qui les avait fait sortir d’Egypte, et se rallièrent à d’autres dieux, à ceux des peuples qui vivaient autour d’eux. Ils se prosternèrent devant ces dieux et irritèrent l’Eternel."
JDG.2.13,because they forsook him and served Baal and the Ashtoreths.,"Uko ni ko bātaye Uhoraho, bagasaba Bayali na Ashitaroti.","Ainsi, ils abandonnèrent l’Eternel pour rendre un culte aux Baals et aux Astartés."
JDG.2.14,"In his anger against Israel the Lord gave them into the hands of raiders who plundered them. He sold them into the hands of their enemies all around, whom they were no longer able to resist.","Uburake bg’ Uhoraho buca buziriringira Abisirayeli, abagabura mu maboko y’ abanyazi, barabanyaga, abatanga mu maboko y’abansi babo babakikije, bituma batagishobora guhagarara imbere y’abansi babo.","Alors l’Eternel se mit en colère contre les Israélites et il les abandonna aux violences de pillards qui les dépouillèrent ; il les livra au pouvoir de leurs ennemis d’alentour, de sorte qu’ils ne furent plus capables de leur résister."
JDG.2.15,"Whenever Israel went out to fight, the hand of the Lord was against them to defeat them, just as he had sworn to them. They were in great distress.","Aho bāja gutera hose, Uhoraho yarabarwanya, nk’uko yari yaravuze akabarahira; bituma baja mu vyago bikomeye.","Chaque fois qu’ils entreprenaient une campagne, l’Eternel intervenait contre eux pour leur malheur, comme il le leur avait déclaré, et même annoncé par serment. Ainsi ils furent réduits à la plus grande détresse."
JDG.2.16,"Then the Lord raised up judges, who saved them out of the hands of these raiders.","Maz’ Uhoraho akabahagurukiriza abacamanza, bakabakiza bakabakūra mu maboko y’abābanyaga.",Alors l’Eternel leur suscita des chefs qui les délivrèrent des pillards.
JDG.2.17,"Yet they would not listen to their judges but prostituted themselves to other gods and worshiped them. They quickly turned from the ways of their ancestors, who had been obedient to the Lord ’s commands.","Ariko bakanka kwumvira abo bacamanza babo, bakagenda bahurumbira izindi mana nk’ibimaka, bakazūnamira, bagata vuba inzira ba sekuruza bāhora bagenderamwo, ntibumvira ivyagezwe vy’ Uhoraho nk’ukw abo bāvyumvira.","Mais les Israélites n’obéirent pas non plus à ces chefs, ils se prostituaient avec d’autres dieux et se prosternaient devant eux. Ils s’écartèrent très vite du chemin qu’avaient suivi leurs ancêtres qui obéissaient aux commandements de l’Eternel ; ils ne suivirent pas leur exemple."
JDG.2.18,"Whenever the Lord raised up a judge for them, he was with the judge and saved them out of the hands of their enemies as long as the judge lived; for the Lord relented because of their groaning under those who oppressed and afflicted them.","Kand’ uk’ Uhoraho yabaha umucamanza, yaba kumwe n’uwo mucamanza, akabakiza, akabakūra mu maboko y’abansi babo igihe cose uwo mucamanza akiriho, kuko vyamutera akagongwe kwumva iminiho yabo banihishwa n’ababahahaza bakabacuranguza.","Chaque fois que l’Eternel leur suscitait un chef, il aidait cet homme, et il délivrait les Israélites de leurs ennemis pendant toute la vie de ce chef. En effet, lorsque l’Eternel entendait son peuple gémir sous le joug de ses oppresseurs et de ceux qui le maltraitaient, il avait pitié d’eux."
JDG.2.19,"But when the judge died, the people returned to ways even more corrupt than those of their ancestors, following other gods and serving and worshiping them. They refused to give up their evil practices and stubborn ways.","Ariko hanyuma, uwo mucamanza amaze gupfa, bagasubira inyuma, bagakora ibibi birengeye ivya ba sekuruza, bagakurikira izindi mana bakazisaba, bakazūnamira; mu ngeso zabo mbi bakanka kugira n’imwe bata, canke ngo bareke no gukomantaza imitima.","Mais après la mort du chef, le peuple recommençait à se corrompre encore plus que les générations précédentes, en se ralliant à d’autres dieux pour leur rendre un culte et se prosterner devant eux ; ils refusaient d’abandonner leurs pratiques et s’obstinaient dans leur conduite."
JDG.2.20,"Therefore the Lord was very angry with Israel and said, “Because this nation has violated the covenant I ordained for their ancestors and has not listened to me,","Maz’ uburake bg’Uhoraho buziriringira Abisirayeli, akavuga, at’ Iri hanga ko ryishe isezerano ryanje nasezeranye na ba sekuruza, ntibanyumvire,","L’Eternel se mit donc en colère contre Israël et déclara : Puisque ce peuple a violé l’alliance que j’avais conclue avec leurs ancêtres et qu’il ne m’écoute pas,"
JDG.2.21,I will no longer drive out before them any of the nations Joshua left when he died.,"nanje guhēra ubu sinzokwongera kwirukana ihanga na rimwe ngo ribabise, mu yo Yosuwa yasizeho igihe yapfa,","désormais, je ne déposséderai plus devant eux un seul des peuples qui subsistaient dans le pays à la mort de Josué."
JDG.2.22,I will use them to test Israel and see whether they will keep the way of the Lord and walk in it as their ancestors did.”,"kugira ngw Abisirayeli ndabageragereshe ayo mahanga, ndābe ko boruha bakagumya inzira yanje, bakayigenderamwo, nk’uko ba sekuruza bāyigenderamwo, canke ko bazokwanka.",Je me servirai d’eux pour éprouver les Israélites pour voir si oui ou non ils suivent la voie que je leur ai prescrite et m’obéissent comme l’ont fait leurs ancêtres.
JDG.2.23,The Lord had allowed those nations to remain; he did not drive them out at once by giving them into the hands of Joshua.,"Ni co catumye Uhoraho areka ayo mahanga, ntayirukane n’ingoga na n’ingoga; kandi ntiyayagomoreye Yosuwa.","L’Eternel laissa donc subsister, sans se presser de les déposséder, ces peuples qu’il n’avait pas livrés au pouvoir de Josué."
JDG.3.1,These are the nations the Lord left to test all those Israelites who had not experienced any of the wars in Canaan,"Aya ni yo mahanga Uhoraho yaretse, kugira ngw ayageragereshe Abisirayeli, cane‐cane abatigeze kubona intambara zabaye i Kanani;",Voici quels peuples l’Eternel laissa subsister pour mettre à l’épreuve les Israélites qui n’avaient pas participé aux guerres pour la conquête de Canaan.
JDG.3.2,(he did this only to teach warfare to the descendants of the Israelites who had not had previous battle experience):,"ico yagomba gusa kwar’ ukugira ngw abārutse hanyuma bo mu Bisirayeli bamenyerezwe ivy’ intambara, avyigishe abatigeze kubimenya ubga mbere.","Il voulait que les nouvelles générations d’Israélites, qui n’avaient pas connu la guerre, apprennent ce qu’est la guerre."
JDG.3.3,"the five rulers of the Philistines, all the Canaanites, the Sidonians, and the Hivites living in the Lebanon mountains from Mount Baal Hermon to Lebo Hamath.","Hār’ abaganwa batanu b’Abafilisitiya, n’Abanyakanani bose, n’Abasidoni, n’Abahiwi bo ku musozi Lebanoni, uhereye ku musozi Bayali‐Herumoni ugashitsa ahafata i Hamati.","L’Eternel laissa donc dans le pays les cinq principautés philistines, tous les Cananéens et les Sidoniens , les Héviens qui habitaient la chaîne du Liban depuis la montagne de Baal-Hermon jusqu’à Lebo-Hamath."
JDG.3.4,"They were left to test the Israelites to see whether they would obey the Lord ’s commands, which he had given their ancestors through Moses.","Abo ni bo Uhoraho yaretse, kugira ngw abageragereshe Abisirayeli, arābe ko bokwitondera ivyagezwe vyiwe, ivyo yageze ba sekuruza abitumye Mose.",Ces peuples servirent à éprouver les Israélites pour savoir s’ils obéiraient aux commandements que l’Eternel avait donnés à leurs ancêtres par Moïse.
JDG.3.5,"The Israelites lived among the Canaanites, Hittites, Amorites, Perizzites, Hivites and Jebusites.",Nukw Abisirayeli baba hagati y’Abanyakanani n’Abaheti n’Abamori n’Abaferizi n’Abahiwi n’Abayebusi.,"Ainsi les Israélites habitèrent au milieu des Cananéens, des Hittites, des Amoréens, des Phéréziens, des Héviens et des Yebousiens."
JDG.3.6,"They took their daughters in marriage and gave their own daughters to their sons, and served their gods.","Barashingirana, batako basaba imana zabo.","Ils épousèrent leurs filles, donnèrent leurs propres filles à leurs fils et adorèrent leurs dieux."
JDG.3.7,The Israelites did evil in the eyes of the Lord ; they forgot the Lord their God and served the Baals and the Asherahs.,"Maz’ Abisirayeli bakora ivyo Uhoraho abona kw ari bibi, bibagira Uhoraho Imana yabo, basaba za Bayali na za Ashera.",Les Israélites firent ce que l’Eternel considère comme mal : ils oublièrent l’Eternel leur Dieu et rendirent un culte aux dieux Baals et Ashéras.
JDG.3.8,"The anger of the Lord burned against Israel so that he sold them into the hands of Cushan-Rishathaim king of Aram Naharaim, to whom the Israelites were subject for eight years.","Bituma uburake bg’Uhoraho buziriringira Abisirayeli, abagabura mu maboko ya Kushani‐rishatayimu umwami w’i Aramu‐naharayimu; Abisirayeli baganzwa na Kushani‐rishatayimu imyaka munani.","L’Eternel se mit en colère contre Israël et il les livra au pouvoir de Koushân-Risheatayim, roi de Mésopotamie. Les Israélites lui furent assujettis pendant huit ans."
