,0,1,2
JER.1.1,"The words of Jeremiah son of Hilkiah, one of the priests at Anathoth in the territory of Benjamin.","Amajambo ya Yeremiya mwene Hilukiya, wo mu baherezi bāba muri Anatoti mu ntāra ya Benyamini.","Ce livre contient les paroles de Jérémie, fils de Hilqiya, l’un des prêtres, qui habitait à Anatoth , dans le territoire de Benjamin."
JER.1.2,"The word of the Lord came to him in the thirteenth year of the reign of Josiah son of Amon king of Judah,","Ijambo ry’Uhoraho riza kuri we mu mwaka ugira icumi na gatatu Yosiya mwene Amoni, umwami w’i Buyuda, ari ku ngoma.","L’Eternel lui a parlé la treizième année du règne de Josias , fils d’Amôn et roi de Juda,"
JER.1.3,"and through the reign of Jehoiakim son of Josiah king of Judah, down to the fifth month of the eleventh year of Zedekiah son of Josiah king of Judah, when the people of Jerusalem went into exile.","Kandi ryongera kuza no ku ngoma ya Yehoyakimu mwene Yosiya, umwami w’i Buyuda, gushitsa no kw iherezo ry’umwaka ugira icumi na rimwe Zedekiya mwene Yosiya, umwami w’i Buyuda, ari ku ngoma; rishitsa n’igihe ab’ i Yerusalemu bājanywe kw inyagano mu kwezi kwa gatanu.","et sous le règne de Yehoyaqim, fils de Josias, roi de Juda, et jusqu’à la fin de la onzième année du règne de Sédécias, fils de Josias, roi de Juda, jusqu’à la déportation des habitants de Jérusalem au cinquième mois ."
JER.1.4,"The word of the Lord came to me, saying,","Nukw ijambo ry’Uhoraho rinzako,",L’Eternel m’adressa la parole en ces termes :
JER.1.5,"“Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations.”","riti Ntarakubumbira mu nda nari ndakuzi, kand’ utarava muri yo nari narakurobanuye; nagushizeho kuba ūvugishwa nanje mu mahanga.","Avant de t’avoir formé dans le sein de ta mère, je t’ai choisi ; et avant ta naissance, je t’ai consacré : je t’ai destiné à être prophète pour les peuples."
JER.1.6,"“Alas, Sovereign Lord ,” I said, “I do not know how to speak; I am too young.”","Maze ndavuga, nti Yō, erega Mwami Uhoraho, sinzi kuvuga, kuko nkiri muto.","Je répondis : Hélas, Seigneur Eternel, je ne sais pas m’exprimer, car je suis un adolescent."
JER.1.7,"But the Lord said to me, “Do not say, ‘I am too young.’ You must go to everyone I send you to and say whatever I command you.","Arik’ Uhoraho arambarira, ati Nta co uvuga, ngo Ndacari muto; kuk’ uwo nzogutumako wese ari we uzojako, kand’ ico nzokubarira cose akaba ari co ukwiye kuvuga.","Mais l’Eternel me répondit : Ne dis pas : « Je suis un adolescent » ; tu iras trouver tous ceux auprès de qui je t’enverrai, et tu leur diras tout ce que je t’ordonnerai."
JER.1.8,"Do not be afraid of them, for I am with you and will rescue you,” declares the Lord .","Ntuz’ ugire ubgoba kubgabo, kuko nzoba ndi kumwe nawe ngo nkurokore, ni jewe Uhoraho mbivuze.","N’aie pas peur de ces gens, car je suis avec toi pour te délivrer, l’Eternel le déclare."
JER.1.9,"Then the Lord reached out his hand and touched my mouth and said to me, “I have put my words in your mouth.","Maz’ Uhoraho arāmvura ukuboko ankora ku munwa; Uhoraho arambarira, at’ Ehe nshize amajambo yanje mu kanwa kawe.","Alors l’Eternel tendit la main et me toucha la bouche, et il me dit : Tu vois : je mets mes paroles dans ta bouche."
JER.1.10,"See, today I appoint you over nations and kingdoms to uproot and tear down, to destroy and overthrow, to build and to plant.”","Rāba uyu musi ngushizeho kugira ubushobozi ku mahanga no ku bihugu vy’abami, bgo kurandura no gusangangura, guhonnya no gukomvomvora, bo n’ukwubaka no guteragira.","Sache que je te confie aujourd’hui une mission envers les peuples et les royaumes : celle d’arracher et de renverser, de ruiner et de détruire, de construire et de planter ."
JER.1.11,"The word of the Lord came to me: “What do you see, Jeremiah?” “I see the branch of an almond tree,” I replied.","Maz’ ijambo ry’Uhoraho rinzako, rirambaza, rit’ Ubonye iki ga Yeremiya? Ndavuga, nti Mbona ishami ry’umurinzi.","L’Eternel m’adressa encore la parole en ces termes : Que vois-tu, Jérémie ? Je répondis : Je vois une branche d’amandier."
JER.1.12,"The Lord said to me, “You have seen correctly, for I am watching to see that my word is fulfilled.”","Maz’ Uhoraho aranyishura, ati Witegereje neza: kuko ndinda ijambo ryanje kugira ngo ndarishitse.","– Tu as bien vu, me dit l’Eternel. Eh bien, je veille sur ma parole pour accomplir ce que j’ai dit."
JER.1.13,"The word of the Lord came to me again: “What do you see?” “I see a pot that is boiling,” I answered. “It is tilting toward us from the north.”","Maz’ ijambo ry’Uhoraho rinzako ubugira kabiri, rit’ Ubonye iki? Ndavuga, nti Mbona inkono ibiragira; kand’ umuhuro w’imbere werekeye i burārūko.",Puis l’Eternel m’adressa une seconde fois la parole : Que vois-tu encore ? Et je répondis : Je vois un chaudron en train de bouillir et qui se trouve au nord.
JER.1.14,"The Lord said to me, “From the north disaster will be poured out on all who live in the land.","Nuk’ Uhoraho arambarira, at’ I burārūko hazoturuka ivyago bizoza biziye ababa mu gihugu bose.","Et l’Eternel me dit : C’est, en effet, du nord ╵que le malheur viendra se déverser ╵sur tous les habitants de ce pays."
JER.1.15,"I am about to summon all the peoples of the northern kingdoms,” declares the Lord . “Their kings will come and set up their thrones in the entrance of the gates of Jerusalem; they will come against all her surrounding walls and against all the towns of Judah.","Kuko rāba, nzohamagara imiryango yose yo mu bihugu vy’abami b’i burārūko, ni jewe Uhoraho mbivuze; bazoza, umuntu wese ashinge intebe yiwe y’ubgami mw ishikiro ku marembo y’i Yerusalemu, ahaherereye ku nzitiro zaho zose zihazitiriye, n’ahaherereye ku bisagara vyose vy’i Buyuda.","Car je vais appeler ╵tous les peuples des royaumes du Nord, l’Eternel le déclare. Ils viendront, et chacun ╵installera son trône devant les portes de Jérusalem, face à tous ses remparts, et à tous ceux ╵des villes de Juda."
