,0,1,2
JOB.1.1,In the land of Uz there lived a man whose name was Job. This man was blameless and upright; he feared God and shunned evil.,"Mu gihugu c’i Uzi hār’ umuntu yitwa Yobu; kand’ uwo muntu yar’ umuntu atunganye w’umugororotsi, yubaha Imana, akitandukanya n’ikibi.","Il y avait, au pays d’Outs , un homme appelé Job. C’était un homme intègre et droit, un homme qui craignait Dieu et qui évitait de faire le mal."
JOB.1.2,"He had seven sons and three daughters,",Yar’ afise abahungu ndwi n’abakobga batatu.,Il avait sept fils et trois filles.
JOB.1.3,"and he owned seven thousand sheep, three thousand camels, five hundred yoke of oxen and five hundred donkeys, and had a large number of servants. He was the greatest man among all the people of the East.","Itunga ryiwe ryar’ intama ibihumbi ndwi, n’ingamiya ibihumbi bitatu, n’inka igihumbi zirima, n’indogoba zivyara amajana atanu, n’abahinda mu rugo benshi cane; nuk’ uwo muntu yar’ ūhambaye gusumba abantu bose b’i burasirazuba.","De plus, ses troupeaux comptaient : sept mille moutons et chèvres, trois mille chameaux, cinq cents paires de bœufs, et cinq cents ânesses. Il possédait aussi des serviteurs en très grand nombre. Cet homme était le personnage le plus important des régions de l’est du Jourdain."
JOB.1.4,"His sons used to hold feasts in their homes on their birthdays, and they would invite their three sisters to eat and drink with them.","Kand’ abahungu biwe bāhora barondera amazimano mu nzu y’ umuntu wese muri bo ku musi ashinze, bagatumira bashiki babo ukw ari batatu ngo baze gusangira na bo.","Or, chacun de ses fils recevait à tour de rôle ses frères pour un festin. Ils invitaient leurs trois sœurs à manger et à boire avec eux."
JOB.1.5,"When a period of feasting had run its course, Job would make arrangements for them to be purified. Early in the morning he would sacrifice a burnt offering for each of them, thinking, “Perhaps my children have sinned and cursed God in their hearts.” This was Job’s regular custom.","Nuk’ ukw imisi y’amazimano yabo yahera, Yobu yabatumako ngw abeze, akavyuka kare mu gatondo, agatanga ibimazi vyoswa bihwanye n’igitigiri ca bose: kuko Yobu yavuga, ati Kumbure abahungu banje bācumuye, barogota ku Mana mu mitima yabo. Uko ni ko Yobu yahora agenza ubudasiba.","Quand ces jours de festin étaient achevés, Job faisait venir ses enfants, afin d’accomplir pour eux les rites de purification. Il se levait de grand matin et offrait un holocauste pour chacun d’eux. Car il se disait : Peut-être mes fils ont-ils commis quelque faute et dit du mal de Dieu dans leur cœur. Job agissait toujours ainsi."
JOB.1.6,"One day the angels came to present themselves before the Lord , and Satan also came with them.","Umusi ur’ izina abana b’Imana baje bashengereye Uhoraho, kandi na Satani yazananye na bo.","Or, un jour, les anges de Dieu se rendirent au conseil de l’Eternel. L’Accusateur (Satan) vint aussi parmi eux."
JOB.1.7,"The Lord said to Satan, “Where have you come from?” Satan answered the Lord , “From roaming throughout the earth, going back and forth on it.”","Uhoraho abaza Satani, at’ Uvuye hehe? Satani yishura Uhoraho, ati Mvuye gukwiragira mw isi no kuyigendagendamwo.",L’Eternel dit à l’Accusateur : D’où viens-tu donc ? Celui-ci lui répondit : Je viens de parcourir la terre et de la sillonner.
JOB.1.8,"Then the Lord said to Satan, “Have you considered my servant Job? There is no one on earth like him; he is blameless and upright, a man who fears God and shuns evil.”","Uhoraho abaza Satani, ati Mbega witegereje umusavyi wanje Yobu, yukw ata wuhwanye na we mw isi, ar’ umuntu atunganye w’umugororotsi, anyubaha, akitandukanya n’ikibi?","Alors l’Eternel demanda à l’Accusateur : As-tu remarqué mon serviteur Job ? Il n’y a personne comme lui sur la terre : c’est un homme intègre et droit, un homme qui craint Dieu et qui évite de mal faire."
JOB.1.9,“Does Job fear God for nothing?” Satan replied.,"Maze Satani yishura Uhoraho, ati Mbeg’ ugira ngo Yobu yubahira Imana ubusa?",L’Accusateur lui répondit : Est-ce vraiment pour rien que Job craint Dieu ?
JOB.1.10,"“Have you not put a hedge around him and his household and everything he has? You have blessed the work of his hands, so that his flocks and herds are spread throughout the land.","Ntiwamuzitiriye uruzitiro rumukikije, bo n’inzu yiwe, n’ivy’ atunze vyose? Wahezagiye igikorwa c’amaboko yiwe, kand’ itunga ryiwe ryagwiriye mu gihugu.","N’as-tu pas élevé comme un rempart de protection autour de lui, autour de sa maison, et autour de tous ses biens ? Tu as fait réussir ses entreprises : ses troupeaux se sont multipliés dans le pays !"
