,0,1,2
JOL.1.1,The word of the Lord that came to Joel son of Pethuel.,Ijambo ry’Uhoraho ryaje kuri Yoweli mwene Petuweli.,"Parole que l’Eternel a adressée à Joël, fils de Petouël."
JOL.1.2,"Hear this, you elders; listen, all who live in the land. Has anything like this ever happened in your days or in the days of your ancestors?","Ati Ni mwumve ibi, yemwe batāma, kandi mutege amatwi, namwe ababa mu gihugu mwese! Mbega har’ ibimeze nk’ibi vyigeze kubaho mu bihe vyanyu, canke mu bihe vya ba sogokuruza?","Ecoutez ceci, vous, ╵responsables du peuple , vous tous, habitants du pays, ╵prêtez l’oreille. Est-il, de votre temps, ou bien du temps de vos ancêtres, ╵survenu rien de tel ?"
JOL.1.3,"Tell it to your children, and let your children tell it to their children, and their children to the next generation.","Mubidondere abana banyu, na bo baze babidondere abana babo, abana babo na bo baze babidondere abuzukuruza.","Racontez-le à vos enfants, qu’eux-mêmes le racontent ╵à leurs propres enfants, qui, eux, le transmettront ╵à leurs propres enfants."
JOL.1.4,What the locust swarm has left the great locusts have eaten; what the great locusts have left the young locusts have eaten; what the young locusts have left other locusts have eaten.,Imiranga y’inzige zikegeta yariwe n’izāraraye; imiranga y’izāraraye yariwe n’izitaragurika; imiranga y’izitaragurika yariwe n’iziyigiza.,"Ce qu’a laissé le vol de sauterelles, d’autres sauterelles l’ont dévoré ; ce que les sauterelles ont laissé, les criquets l’ont mangé ; ce que les criquets ont laissé, les grillons l’ont mangé ."
JOL.1.5,"Wake up, you drunkards, and weep! Wail, all you drinkers of wine; wail because of the new wine, for it has been snatched from your lips.","Ni mwikangure, yemwe mborerwa, murire; namwe abakāmīra vino, muboroge, muririre vino ziryoshe, kuko zikūwe mu kanwa kanyu.","Réveillez-vous, ivrognes, ╵pleurez ! Hurlez, tous les buveurs de vin, oui, car le vin nouveau ╵est ôté de vos bouches."
JOL.1.6,"A nation has invaded my land, a mighty army without number; it has the teeth of a lion, the fangs of a lioness.","Kukw ihanga rikomeye kandi ry’isinzi riteye igihugu canje; amenyo yabo ni nk’imikāka y’intambge, kandi bafise amajigo nk’ay’ intambge y’ingore.","Un peuple attaque mon pays, il est puissant, ╵on ne peut le compter. Il a des crocs de lion, il a des dents de lion."
JOL.1.7,"It has laid waste my vines and ruined my fig trees. It has stripped off their bark and thrown it away, leaving their branches white.","Bononye umuzabibu wanje, kand’ umusukoni wanje barawuvunnye, barawushishuye rwose, bawutsinda hasi; amashami yawo asigaye ar’ igihororo c’imitonore.","Il a fait de mes vignes ╵une dévastation, et mes figuiers, ╵il les a mis en pièces, il a complètement ╵pelé leurs troncs ╵et jonché le sol de débris, leurs rameaux sont tout blancs."
JOL.1.8,Mourn like a virgin in sackcloth grieving for the betrothed of her youth.,Boroga nk’inkumi ikenyeye amagunira iririra uwar’ ayikoye.,"Lamente-toi, mon peuple, ╵comme une jeune femme ╵qui aurait revêtu ╵le vêtement de deuil pour pleurer le mari ╵de sa jeunesse."
JOL.1.9,"Grain offerings and drink offerings are cut off from the house of the Lord . The priests are in mourning, those who minister before the Lord .","Amafu y’amashikanwa n’ibiturire vyabuze mu ngoro y’Uhoraho; abaherezi, ari bo basuku b’Uhoraho, basigaye baganya.","Quant au temple de l’Eternel, ╵libations et offrandes ╵lui font défaut ; les prêtres qui font le service ╵de l’Eternel, ╵sont dans le deuil."
JOL.1.10,"The fields are ruined, the ground is dried up; the grain is destroyed, the new wine is dried up, the olive oil fails.","Imirima irononekaye, n’igihugu kiraganya; kukw amasaka yononekaye, na vino z’umubira zikamye akagīrīre, kand’ amavuta ya elayo na yo aherengeteye.","Les champs sont ravagés, la terre est dans le deuil, car le blé est détruit, le vin nouveau est dans la honte, l’huile fraîche a tari."
JOL.1.11,"Despair, you farmers, wail, you vine growers; grieve for the wheat and the barley, because the harvest of the field is destroyed.","Ni mujorerwe, yemwe barimyi, namwe abarimyi b’uruzabibu, ni muboroge, muririre ingano na sayiri; kukw ivyimburwa vyo mu ndimiro bibuze.","Les laboureurs sont dans la honte, les cultivateurs des vergers ╵et les vignerons hurlent, à cause du blé et de l’orge, car il ne reste rien ╵de la moisson des champs."
JOL.1.12,"The vine is dried up and the fig tree is withered; the pomegranate, the palm and the apple tree— all the trees of the field—are dried up. Surely the people’s joy is withered away.","Umuzabibu urakabiranye, umusukoni urahondobereye; umukomamanga bo n’ikigazi n’umucungwa, mbere n’ibiti vyose vyo mu ndimiro birakabiranye: kuk’ umunezero uherengeteye mu bantu.","Les vignes sont honteuses et les figuiers s’étiolent, le grenadier et le palmier, ╵ainsi que le pommier, tous les arbres des champs ╵sont desséchés. La joie est dans la honte ╵parmi les hommes."
JOL.1.13,"Put on sackcloth, you priests, and mourn; wail, you who minister before the altar. Come, spend the night in sackcloth, you who minister before my God; for the grain offerings and drink offerings are withheld from the house of your God.","Yemwe baherezi, mukenyere amagunira, murire; namwe abasukūra ku gicaniro, ni muboroge; enda ni muze mukēshe ijoro mwubaraye, mwambaye amagunira, yemwe basuku b’Imana yanje: kukw ishikanwa ry’ifu n’ibiturire vyimanywe ngo ntibize mu ngoro y’Imana yanyu.","Ceignez-vous, vous, les prêtres, ╵d’une toile de sac, lamentez-vous ! ╵Hurlez, vous tous qui officiez ╵devant l’autel ! Venez passer la nuit ╵vêtus d’un habit de toile de sac , vous qui servez mon Dieu, parce qu’il n’y a plus d’offrandes, ╵ni de libations qui arrivent ╵dans le temple de votre Dieu."
JOL.1.14,"Declare a holy fast; call a sacred assembly. Summon the elders and all who live in the land to the house of the Lord your God, and cry out to the Lord .","Mushinge igihe co kwisonzesha, mutāngāze hose habe ikoraniro ry’agahebuza; mwa bashingantahe, ni mukoranye ababa mu gihugu bose, baze mu ngoro y’Uhoraho Imana yanyu, mutakambire Uhoraho.","Publiez donc un jeûne, ╵et convoquez ╵une réunion cultuelle, rassemblez les responsables du peuple ╵avec tous les habitants du pays au temple ╵de l’Eternel, de votre Dieu. Suppliez l’Eternel !"
JOL.1.15,Alas for that day! For the day of the Lord is near; it will come like destruction from the Almighty.,Ewe wa musi mubi! Kuk’ umusi w’Uhoraho uri hafi; uzoza ar’ umusi wo guhonnya uvuye kw Īshobora vyose.,"Hélas, quel jour ! Le jour de l’Eternel approche ! Comme un fléau dévastateur ╵déchaîné par le Tout-Puissant, ╵il va venir."
JOL.1.16,Has not the food been cut off before our very eyes— joy and gladness from the house of our God?,Mbeg’ ivyo kurya ntivyavumbuwe twirorērera? Mbere n’umunezero n’ibihimbaro ntivyakūwe mu ngoro y’Imana yacu?,Car ne nous a-t-on pas ôté ╵la nourriture sous nos yeux ? Et du temple de notre Dieu n’a-t-on pas retiré ╵la joie et l’allégresse ?
JOL.1.17,"The seeds are shriveled beneath the clods. The storehouses are in ruins, the granaries have been broken down, for the grain has dried up.","Imbuto zumiye mu masīze; ibigega birasivye, n’ivya nyamugari birasambuwe; kukw amasaka arumbiranye.","Les graines répandues ╵pourrissent sous les mottes, les greniers sont en ruine, les silos démolis, car le blé fait défaut ."
JOL.1.18,How the cattle moan! The herds mill about because they have no pasture; even the flocks of sheep are suffering.,"Ewe kuntu amatungo yābagirana! Amasho y’inka aragangaraye, kukw ahebuye ubgatsi; mbere n’imikuku y’intama iragowe.","Ecoutez le bétail, ╵comme il gémit ! Les troupeaux de bovins ╵ne savent où aller , car ils ne trouvent plus ╵de pâturages et les troupeaux de moutons et de chèvres ╵sont atteints eux aussi."
JOL.1.19,"To you, Lord , I call, for fire has devoured the pastures in the wilderness and flames have burned up all the trees of the field.","Ewe Uhoraho, ni wewe ntakambiye: kuk’ umuriro waturiye ubgatsi bgo mu bgeranyange, kand’ ibirimi vyawo vyaturiye ibiti vyose vyo ku misozi.","C’est vers toi, Eternel, ╵que je pousse des cris. Oui, car le feu dévore ╵les pâturages de la steppe, et la flamme consume ╵tous les arbres des champs."
