,0,1,2
JON.1.1,The word of the Lord came to Jonah son of Amittai:,"Ijambo ry’Uhoraho ryaje kuri Yona mwene Amitayi, riramubgira,","L’Eternel adressa la parole à Jonas , fils d’Amittaï, en ces termes :"
JON.1.2,"“Go to the great city of Nineveh and preach against it, because its wickedness has come up before me.”","riti Va hasi uje i Ninewe, ca gisagara kinini, ukibūrire; kukw ivyaha vy’abaho vyarundanye, bigashika imbere yanje.","Mets-toi en route, va à Ninive la grande ville et proclame des menaces contre ses habitants, car l’écho de leur méchanceté est parvenu jusqu’à moi."
JON.1.3,"But Jonah ran away from the Lord and headed for Tarshish. He went down to Joppa, where he found a ship bound for that port. After paying the fare, he went aboard and sailed for Tarshish to flee from the Lord .","Ariko Yona ava hasi ngw ahungire Uhoraho i Tarushishi, ave mu nyonga ziwe. Amanuka i Yopa, abona ubgato buja i Tarushishi: atanga ikibuguro, atambukira muri bgo, ngw ajane n’abagiye i Tarushishi, ave mu nyonga z’Uhoraho.","Jonas se mit en route pour s’enfuir à Tarsis , loin de la présence de l’Eternel. Il descendit au port de Jaffa , où il trouva un navire en partance pour Tarsis. Il paya le prix de la traversée et descendit dans le bateau pour aller avec l’équipage à Tarsis, loin de la présence de l’Eternel."
JON.1.4,"Then the Lord sent a great wind on the sea, and such a violent storm arose that the ship threatened to break up.","Maz’ Uhoraho asuka umuyaga ukomeye mu kiyaga; haba igihuhuta c’inkomezi mu kiyaga, ubgato bushaka kumeneka.",Mais l’Eternel fit souffler un grand vent sur la mer et déchaîna une si grande tempête que le navire menaçait de se briser.
JON.1.5,"All the sailors were afraid and each cried out to his own god. And they threw the cargo into the sea to lighten the ship. But Jonah had gone below deck, where he lay down and fell into a deep sleep.","Abasoza baratinya, umuntu wese yambaza imana yiwe; baterera mu kiyaga ibintu vyari mu bgato ngo baburemurure. Ariko Yona we yari yamanutse mu gafuruka ko mu bgato gahera epfo, yigaramiye yisinziriye.","Les marins furent saisis de crainte, et chacun se mit à implorer son dieu. Puis ils jetèrent la cargaison par-dessus bord pour alléger le navire. Quant à Jonas, il était descendu dans la cale du bateau, il s’était couché et dormait profondément."
JON.1.6,"The captain went to him and said, “How can you sleep? Get up and call on your god! Maybe he will take notice of us so that we will not perish.”","Nuk’ umukuru w’ubgato aja ah’ ari, aramubaza, ati Wabaye ute ga wa gikazatiro we? Vyuka wambaze Imana yawe; kumbure Imana yodusubizak’ umutima, ntidupfe.",Le capitaine s’approcha de lui et l’interpella : Hé quoi ! Tu dors ! Mets-toi debout et prie ton Dieu. Peut-être Dieu se souciera-t-il de nous et nous ne périrons pas.
JON.1.7,"Then the sailors said to each other, “Come, let us cast lots to find out who is responsible for this calamity.” They cast lots and the lot fell on Jonah.","Bose baravugana, bati Ni muze dupfinde, tumenye ūtumye duterwa ibi vyago uw’ari we. Nuko barapfinda, ubupfindo bgerekana Yona.","Pendant ce temps, les matelots se dirent entre eux : Allons, tirons au sort pour savoir qui nous attire ce malheur. Ils tirèrent donc au sort et Jonas fut désigné."
JON.1.8,"So they asked him, “Tell us, who is responsible for making all this trouble for us? What kind of work do you do? Where do you come from? What is your country? From what people are you?”","Baca baramubaza, bat’ Enda utubarire ūtumye duterwa ibi vyago; ukora igikorwa ki? ur’ uwa hehe? ur’ uwo mu kihe gihugu? ur’ ubgoko ki?",Alors ils lui demandèrent : Fais-nous savoir qui nous attire ce malheur ! Quelles sont tes occupations ? D’où viens-tu ? De quel pays ? Et de quel peuple es-tu ?
JON.1.9,"He answered, “I am a Hebrew and I worship the Lord , the God of heaven, who made the sea and the dry land.”","Arabishura, ati Nd’ Umuheburayo, nubaha Uhoraho, Imana Nyen’ ijuru, yaremye ikiyaga n’i musozi.","Jonas leur répondit : Je suis hébreu et je crains l’Eternel, le Dieu du ciel qui a fait la mer et la terre."
JON.1.10,"This terrified them and they asked, “What have you done?” (They knew he was running away from the Lord , because he had already told them so.)","Maz’ abo bantu bafatwa n’ubgoba bginshi, baramubaza, bat’ Ivyo ukoze ibi n’ibiki? Kukw abo bantu bāri bamenye kw ahunze Uhoraho, kuko yari yabibabgiye.",Il leur apprit qu’il s’enfuyait loin de la présence de l’Eternel. Aussi ces hommes furent-ils saisis d’une grande crainte et lui dirent : Pourquoi as-tu fait cela ?
JON.1.11,"The sea was getting rougher and rougher. So they asked him, “What should we do to you to make the sea calm down for us?”","Baramubaza, bati Tukugire dute, ngw ikiyaga kitureke, kibe agahwekere? Kukw ikiyaga ciyongeranya gusuriranya.","Comme la mer se démontait de plus en plus, ils lui demandèrent : Que te ferons-nous pour que la mer se calme et cesse de nous être contraire ?"
JON.1.12,"“Pick me up and throw me into the sea,” he replied, “and it will become calm. I know that it is my fault that this great storm has come upon you.”","Arabishura, ati Ni munterure, munte mu kiyaga, ni ho ikiyaga cobabera agahwekere; kuko nzi yukw iki gihuhuta c’inkomezi kibahōra jewe.","Il leur répondit : Prenez-moi et jetez-moi à la mer, et la mer se calmera, car je sais bien que c’est à cause de moi que cette grande tempête s’est déchaînée contre vous."
