,0,1,2
JOS.1.1,"After the death of Moses the servant of the Lord , the Lord said to Joshua son of Nun, Moses’ aide:","Mose umusavyi w’Uhoraho amaze gupfa, Uhoraho abarira Yosuwa mwene Nuni umufasha wa Mose,","Après la mort de Moïse, serviteur de l’Eternel, l’Eternel dit à Josué, fils de Noun, l’assistant de Moïse :"
JOS.1.2,"“Moses my servant is dead. Now then, you and all these people, get ready to cross the Jordan River into the land I am about to give to them—to the Israelites.","ati Mose umusavyi wanje yāpfuye; none rero va hasi, ujabukane aba bantu bose urwo ruzi Yorodani, muje mu gihugu mbahaye, mwebge Abisirayeli.","Mon serviteur Moïse est mort. Maintenant donc, dispose-toi à traverser le Jourdain avec tout ce peuple, pour entrer dans le pays que je donne aux Israélites."
JOS.1.3,"I will give you every place where you set your foot, as I promised Moses.","Ahantu hose muzokandagiza ibirenge ndahabahaye, nk’uko nabariye Mose.","Comme je l’ai promis à Moïse, je vous donne tout endroit où vous poserez vos pieds."
JOS.1.4,"Your territory will extend from the desert to Lebanon, and from the great river, the Euphrates—all the Hittite country—to the Mediterranean Sea in the west.","Uhereye mu bugaragwa no kur’ uriya musozi Lebanoni, ugashitsa ku ruzi runini, ari rwo Efurate, ugahitana igihugu cose c’Abaheti, ukageza ku kiyaga kinini gihera i burengerazuba, ni rwo ruzoba urugabano rwanyu.","Votre territoire s’étendra du désert jusqu’aux montagnes du Liban et du grand fleuve, l’Euphrate, à travers tout le pays des Hittites jusqu’à la mer Méditerranée, à l’ouest ."
JOS.1.5,"No one will be able to stand against you all the days of your life. As I was with Moses, so I will be with you; I will never leave you nor forsake you.","Nta muntu n’umwe azoshobora kuguhagarara imbere imisi yose uzomara ukiriho: nk’uko nabanye na Mose ni ko nzobana nawe; sinzoguhemukira, sinzoguta.","Tant que tu vivras, personne ne pourra te résister, car je serai avec toi comme j’ai été avec Moïse, je ne te délaisserai pas et je ne t’abandonnerai pas ."
JOS.1.6,"Be strong and courageous, because you will lead these people to inherit the land I swore to their ancestors to give them.","Shikama, ushire amanga, kukw ari wewe uzoshikiriza abo bantu igihugu narahiye ba sekuruza ko nzokibaha.","Prends courage et tiens bon, car c’est toi qui feras entrer ce peuple en possession du pays que j’ai promis par serment à leurs ancêtres de leur donner."
JOS.1.7,"“Be strong and very courageous. Be careful to obey all the law my servant Moses gave you; do not turn from it to the right or to the left, that you may be successful wherever you go.","Mugabo shikama, ushire amanga cane, kugira ngo witondere ivy’ ivyagezwe vyose bivuga, ubishitse, ivyo Mose umusavyi wanje yakugeze; ntuz’ utambamire i buryo cank’ i bumoso, kugira ng’ ugire ukuboko kwiza ah’ uja hose.","Simplement, prends courage et tiens bon pour veiller à obéir à toute la Loi que mon serviteur Moïse t’a prescrite, sans t’en écarter ni d’un côté ni de l’autre. Alors tu réussiras dans tout ce que tu entreprendras."
JOS.1.8,"Keep this Book of the Law always on your lips; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful.","Ibiri mur’ ico gitabo c’ivyagezwe ntuz’ ubikūre mu kanwa kawe; arik’ uze wame ubirīmbūra ku murango no mw ijoro, kugira ng’ubone kwitondera ivyanditswemwo vyose; ni ho ivyawe bizogenda neza, ukagira amahirwe.","Aie soin de répéter sans cesse les paroles de ce livre de la Loi, médite-les jour et nuit afin d’y obéir et d’appliquer tout ce qui y est écrit, car alors tu auras du succès dans tes entreprises, alors tu réussiras."
JOS.1.9,"Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.”","None si jewe nkwibaririye, nti Shikama, ushire amanga? Nuko ntutinye, nturanduke umutima, kuko jewe Uhoraho Imana yawe ndi kumwe nawe ah’ uzoja hose.","Je t’ai donné cet ordre : Prends courage et tiens bon, ne crains rien et ne te laisse pas effrayer, car moi, l’Eternel ton Dieu, je serai avec toi pour tout ce que tu entreprendras."
JOS.1.10,So Joshua ordered the officers of the people:,"Maze Yosuwa abarira abagaba abantu,",Josué donna aux chefs du peuple les ordres suivants :
JOS.1.11,"“Go through the camp and tell the people, ‘Get your provisions ready. Three days from now you will cross the Jordan here to go in and take possession of the land the Lord your God is giving you for your own.’ ”","ati Ni mugende munyuranganye aho mushagaje, mubarire abantu, muti Ni murondere impamba, kuko mu misi itatu muzojabuka rurya ruzi Yorodani, kugira ngo mwinjire ico gihugu Uhoraho Imana yanyu yabahaye ngo mucegukire.","Parcourez le camp et ordonnez au peuple : Préparez-vous des provisions, car dans trois jours vous franchirez le Jourdain que voici pour aller prendre possession du pays que l’Eternel votre Dieu vous donne."
JOS.1.12,"But to the Reubenites, the Gadites and the half-tribe of Manasseh, Joshua said,","Kandi Yosuwa abarira Abareyubeni n’Abagadi n’igice c’umuryango wa Manase,","Aux tribus de Ruben, de Gad et à la demi-tribu de Manassé, Josué s’adressa ainsi :"
JOS.1.13,"“Remember the command that Moses the servant of the Lord gave you after he said, ‘The Lord your God will give you rest by giving you this land.’","ati Ni mwibuke rya jambo Mose umusavyi w’Uhoraho yababariye, at’ Uhoraho Imana yanyu arabaruhuye, abahaye iki gihugu.","Rappelez-vous ce que vous a ordonné Moïse, le serviteur de l’Eternel. Il vous a dit : « L’Eternel votre Dieu vous a donné ce pays et vous a accordé une existence paisible . »"
JOS.1.14,"Your wives, your children and your livestock may stay in the land that Moses gave you east of the Jordan, but all your fighting men, ready for battle, must cross over ahead of your fellow Israelites. You are to help them","Nukw abagore banyu n’abana banyu n’amasho yanyu bize bisigare mur’ iki gihugu Mose yabahaye co hakuno ya’Yorodani; ariko mwebge mwese abahizi, muze mujabuke imbere ya bagenzi banyu, mwitwaje ibirwanishwa, kugira ngo mubatabare,","Vos femmes, vos enfants et vos troupeaux peuvent donc rester dans le pays que Moïse vous a donné au-delà du Jourdain, mais vous tous qui êtes des hommes de guerre, vous passerez en ordre de bataille en tête de vos frères et vous leur prêterez main-forte,"
JOS.1.15,"until the Lord gives them rest, as he has done for you, and until they too have taken possession of the land the Lord your God is giving them. After that, you may go back and occupy your own land, which Moses the servant of the Lord gave you east of the Jordan toward the sunrise.”","gushitsa ah’ Uhoraho azoruhurira bagenzi banyu nk’uko namwe yabaruhuye, na bo bakegukira igihugu Uhoraho Imana yanyu yabahaye; hanyuma mubone kugaruka mur’ iki gihugu mwegukiye, mukigerēre, ico Mose umusavyi w’Uhoraho yabahaye gihera i burasirazuba, hakuno ya Yorodani.","jusqu’à ce que l’Eternel votre Dieu leur ait accordé une existence paisible, comme à vous, et qu’eux aussi soient entrés en possession du pays qu’il leur donne. Ensuite, vous retournerez au pays qui vous appartient et vous occuperez cette contrée que Moïse, le serviteur de l’Eternel, vous a accordée à l’est du Jourdain."
JOS.1.16,"Then they answered Joshua, “Whatever you have commanded us we will do, and wherever you send us we will go.","Na bo bishura Yosuwa, bat’ Ivy’ utubariye vyose tuzobikora, kand’ ah’ uzodutuma hose tuzojayo.",Ils répondirent à Josué : Nous ferons tout ce que tu nous as ordonné et nous irons partout où tu nous enverras.
JOS.1.17,"Just as we fully obeyed Moses, so we will obey you. Only may the Lord your God be with you as he was with Moses.","Nk’uko twahora twumvira Mose muri vyose, ni ko nawe tuzokwumvira; mugabo rero, Uhoraho Imana yawe az’ abane nawe nk’uko yabana na Mose.","Nous voulons t’obéir en toute chose, comme nous avons obéi à Moïse. Que l’Eternel ton Dieu soit avec toi, comme il a été avec Moïse."
JOS.1.18,"Whoever rebels against your word and does not obey it, whatever you may command them, will be put to death. Only be strong and courageous!”","Umuntu wese azogarariza, akanka icagezwe cawe, ntiyumvire ic’ umubariye cose, azokwicwa. Mugabo, shikama, ushire amanga.","Celui qui s’opposera à ton autorité et désobéira à tes ordres sera mis à mort, quelle que soit la chose que tu auras ordonnée. Prends donc courage et tiens bon !"
