,0,1,2
JUD.1.1,"Jude, a servant of Jesus Christ and a brother of James, To those who have been called, who are loved in God the Father and kept for Jesus Christ:","Yuda, umugurano wa Yesu Kristo, kandi mwene nyina wa Yakobo, ndabandikiye abahamagawe, bakundwa kuko muri mu Mana Data wa twese, mukazigamirwa Yesu Kristo.","Jude, serviteur de Jésus-Christ et frère de Jacques, salue ceux que Dieu a appelés à lui, qui sont aimés de Dieu le Père et gardés pour Jésus-Christ."
JUD.1.2,"Mercy, peace and love be yours in abundance.",Imbabazi n’amahoro n’urukundo bigwire muri mwebge.,"Que la compassion, la paix et l’amour de Dieu vous soient pleinement accordés !"
JUD.1.3,"Dear friends, although I was very eager to write to you about the salvation we share, I felt compelled to write and urge you to contend for the faith that was once for all entrusted to God’s holy people.","Bakundwa, hamwe nashiruka umwete wo kubandikira ivy’ agakiza dusangiye, nari numvise ikingōbēra kubandikira ivyo kubahanūra kurwanira cane ukwizera abera bahawe rimwe gusa.","Mes chers amis, j’avais le vif désir de vous écrire au sujet du salut qui nous est commun. J’ai vu la nécessité de le faire maintenant afin de vous recommander de lutter pour la foi qui a été transmise une fois pour toutes à ceux qui font partie du peuple saint."
JUD.1.4,"For certain individuals whose condemnation was written about long ago have secretly slipped in among you. They are ungodly people, who pervert the grace of our God into a license for immorality and deny Jesus Christ our only Sovereign and Lord.","Kuko hariho bamwe bābājemwo binyegeteza, bandikiwe kera gucirwakw iryo teka, batubaha Imana, bahindura ubuntu bg’Imana yacu isoni nke, bakīhakana Yesu Kristo, ni we wenyene Databuja n’Umwami wacu.","Car des hommes dont la condamnation est depuis longtemps annoncée dans l’Ecriture se sont infiltrés parmi nous. Ce sont des impies qui travestissent en débauche la grâce de notre Dieu en reniant Jésus-Christ, notre seul Maître et Seigneur."
JUD.1.5,"Though you already know all this, I want to remind you that the Lord at one time delivered his people out of Egypt, but later destroyed those who did not believe.","Ndagomba kubibutsa, naho vyose musanzwe mubizi, yuk’ Umwami Imana, imaze gukirisha bga bgoko kubakūra mu gihugu ca Egiputa, hanyuma yahoneje abatizeye.","Laissez-moi vous rappeler des faits que vous connaissez bien. Après avoir délivré son peuple de l’esclavage en Egypte, le Seigneur a fait périr ceux qui avaient refusé de lui faire confiance."
JUD.1.6,"And the angels who did not keep their positions of authority but abandoned their proper dwelling—these he has kept in darkness, bound with everlasting chains for judgment on the great Day.","N’abamarayika batāgumye mu bukuru bgabo, ariko bātaye ahantu habo, ibarindira kuzocirwakw iteka ryo ku musi uhambaye, bari mu minyororo idashira no mu mwiza.","Dieu a gardé, enchaînés à perpétuité dans les ténèbres pour le jugement du grand Jour , les anges qui ont abandonné leur demeure au lieu de conserver leur rang."
JUD.1.7,"In a similar way, Sodom and Gomorrah and the surrounding towns gave themselves up to sexual immorality and perversion. They serve as an example of those who suffer the punishment of eternal fire.","Kandi n’abantu b’i Sodomu n’i Gomora bo n’ibisagara vyari bihereranye na ho, kuko bitanze bakīha ubusambanyi nka ba bandi, n’ukwendana, ukw imibiri itaremewe, ivyo bisagara vyashiriweho kuba akabarore, bibabazwa n’igihano c’umuriro utazima.","Les habitants de Sodome, de Gomorrhe et des villes voisines se sont livrés de la même manière à la débauche et ont recherché des relations sexuelles contre nature. C’est pourquoi ces villes ont été condamnées à un feu éternel, elles aussi, et servent ainsi d’exemple ."
JUD.1.8,"In the very same way, on the strength of their dreams these ungodly people pollute their own bodies, reject authority and heap abuse on celestial beings.","Ariko na barya nyene bahwanye na bo, inzozi zabo zibatera kwōnōna imibiri yabo, no gukēngēra ukuganzwa no gutuka abanyacubahiro.","Eh bien, malgré cela, ces individus font de même : leurs rêveries les entraînent à souiller leur propre corps, à rejeter l’autorité du Seigneur et à insulter les êtres glorieux du ciel."
JUD.1.9,"But even the archangel Michael, when he was disputing with the devil about the body of Moses, did not himself dare to condemn him for slander but said, “The Lord rebuke you!”","Ariko na Mikayeli, umumarayika mukuru, hamwe yatongana na wa Murwanizi, ahārīra na we bapfa umuvyimba wa Mose, ntiyubahutse kumuhinyura ngw amucokore, ariko yamubgiye, at’ Uhoraho aguhane.","Pourtant, l’archange Michel lui-même, lorsqu’il contestait avec le diable et lui disputait le corps de Moïse , se garda bien de proférer contre lui un jugement insultant. Il se contenta de dire : Que le Seigneur te réprimande !"
JUD.1.10,"Yet these people slander whatever they do not understand, and the very things they do understand by instinct—as irrational animals do—will destroy them.","Arikw abo bantu batuka ivyo batazi: kandi n’ivyo bamenyeshwa n’akameremere kabo, nk’ukw ibikōko bimeze bitagira ubgenge, na vyo nyene baravyiyonōnesha.","Mais ces gens-là insultent ce qu’ils ne connaissent pas. Quant à ce qu’ils connaissent par instinct, comme les bêtes privées de raison, cela ne sert qu’à leur perte."
