,0,1,2
LAM.1.1,"How deserted lies the city, once so full of people! How like a widow is she, who once was great among the nations! She who was queen among the provinces has now become a slave.","Ewe kuntu igisagara cari cuzuye abantu gisigaye cicaye ubusa! Ukuntu cahindutse nk’umupfakazi! Icar’ agakomeye mu mahanga, kikaba umwamikazi mu ntāra, Ukuntu gisigaye gishikanira abandi!","Comme elle reste solitaire la cité qui, naguère, ╵était si populeuse ! Elle est comme une veuve ! Elle qui était importante ╵au milieu des nations, princesse des provinces, elle est astreinte à la corvée !"
LAM.1.2,"Bitterly she weeps at night, tears are on her cheeks. Among all her lovers there is no one to comfort her. All her friends have betrayed her; they have become her enemies.","Kirāra kirarira mw ijoro, amosozi agacunduguta ku matama; Mu bakunzi baho bose ntihafise uwo kuhirura: Abagenzi baho bose bāraharyarutse, Bahindutse abansi baho.","Tout au long de la nuit, ╵elle pleure, et ses larmes ╵ruissellent sur ses joues. De tous ceux qui l’aimaient, aucun ne la console : tous ses compagnons l’ont trahie et ils sont devenus ses ennemis."
LAM.1.3,"After affliction and harsh labor, Judah has gone into exile. She dwells among the nations; she finds no resting place. All who pursue her have overtaken her in the midst of her distress.","Abayuda bajanywe ar’ inyagano, bitewe n’agahahazo no kuja mu buja bukomeye; Baba mu banyamahanga, ntibahabona uburuhukiro: Ababadendereza bose bābahambirije ahantu h’inkōnywa.","Juda s’en est allé ╵dans un pays d’exil, ╵accablé de misère, soumis à un dur esclavage. Le voici qui habite ╵au sein de peuples étrangers sans trouver la tranquillité. Tous ceux qui le pourchassent ╵l’atteignent au milieu des détresses."
LAM.1.4,"The roads to Zion mourn, for no one comes to her appointed festivals. All her gateways are desolate, her priests groan, her young women grieve, and she is in bitter anguish.","Inzira z’i Siyoni ziraboroga, kukw ata wukiruha aza mu misi mikuru yashinzwe; Amarembo yaho yose arasivye, abaherezi baho baraniha: Inkumi zaho zifise umubabaro, na ho ubgaho hari n’ intuntu.","Les chemins de Sion ╵sont plongés dans le deuil parce qu’il ne vient plus personne ╵pour célébrer les fêtes. Ses portes sont en pièces, ses prêtres se lamentent, ses jeunes filles ╵sont affligées, la ville est remplie d’amertume."
LAM.1.5,"Her foes have become her masters; her enemies are at ease. The Lord has brought her grief because of her many sins. Her children have gone into exile, captive before the foe.","Abarwanizi baho bahagiye hejuru, abansi baho bararoraniwe; Kuk’ Uhoraho yahababaje ahahōye ibicumuro vyaho vy’isinzi: Abana baho bashorewe ar’ inyagano imbere y’abarwanizi.","Ses oppresseurs ╵font peser leur domination sur elle, ses ennemis prospèrent, car l’Eternel l’a affligée pour ses nombreux péchés, et ses petits enfants ╵sont partis en captivité poussés par l’ennemi."
LAM.1.6,All the splendor has departed from Daughter Zion. Her princes are like deer that find no pasture; in weakness they have fled before the pursuer.,"Icubahiro cose c’umukobga ari we Siyoni camuvuyeko: Abaganwa baho bahindutse nk’impongo zibuze ubgatsi, Bānyavūse batagifise intege imbere y’ababirukana.","La communauté de Sion ╵a été dépouillée de toute sa splendeur. Ses ministres sont devenus ╵semblables à des cerfs qui ne trouvent pas de pâture, qui fuient à bout de forces devant ceux qui les traquent."
LAM.1.7,"In the days of her affliction and wandering Jerusalem remembers all the treasures that were hers in days of old. When her people fell into enemy hands, there was no one to help her. Her enemies looked at her and laughed at her destruction.","Mu gihe c’umubabaro waho n’ivyago, Yerusalemu hibutse Ibihimbaro vyaho vyose hāhoranye uhereye kuva kera. Hamwe abantu baho bākorokeye mu maboko y’umurwanizi, ntihabone ūhatabara, Abarwanizi bārahabona, bakahatwengera mw ijigo ko habaye imisaka.","Aux jours de son humiliation et de sa vie errante, Jérusalem ╵se souvient des trésors qu’elle avait autrefois, maintenant que son peuple ╵est, tout entier, tombé ╵aux mains de l’oppresseur sans qu’il y ait personne ╵qui vienne à son secours. Les ennemis la voient et font des gorges chaudes ╵au sujet de sa destruction."
LAM.1.8,"Jerusalem has sinned greatly and so has become unclean. All who honored her despise her, for they have all seen her naked; she herself groans and turns away.","Yerusalemu hakoze ivyaha birengereje; ni co catumye hahinduka nk’ikintu giteye iseseme: Abāhora bahubaha bose basigaye bahakēngēra, kuko babonye ubgambure bgaho: N’ukuri haraniha, hakarora irya.","Voici Jérusalem ╵a gravement péché, c’est pourquoi elle est devenue ╵comme un déchet . Tous ceux qui l’honoraient, ╵maintenant la méprisent, car ils ont vu sa nudité. Elle-même en gémit ╵et se détourne."
LAM.1.9,"Her filthiness clung to her skirts; she did not consider her future. Her fall was astounding; there was none to comfort her. “Look, Lord , on my affliction, for the enemy has triumphed.”","Ibiteye isoni vyaho vyashitse no ku myambaro yaho; ntihāri hārībajije ivy’ amaherezo yaho; Ni co catumye hacishwa bugufi bitangaje; ntihagira ūhahūmuriza. Uhoraho we, itegereze umubabaro wanje; kuk’ umwansi yishize hejuru.","Son impureté apparaît ╵sur les pans de sa robe. Elle n’a pas songé ╵à ce qui s’ensuivrait. Elle est tombée, ╵sa chute est étonnante et nul ne la console. « O Eternel, dit-elle, ╵vois mon humiliation, car l’ennemi triomphe. »"
LAM.1.10,The enemy laid hands on all her treasures; she saw pagan nations enter her sanctuary— those you had forbidden to enter your assembly.,"Umurwanizi yashingirije ukuboko kwiwe ibintu vyaho vyose bihimbara: Kandi hitegereje ingen’ abanyamahanga binjiye ahantu haho hēra, Abo wari warahakaniye ko badakwiye kwinjira mw ikoraniro ryawe.","L’ennemi a pillé tous ses objets précieux, elle a vu des gens d’autres peuples pénétrer dans son sanctuaire. Pourtant, tu avais dit : « Ceux-là ne devront pas faire partie ╵de ta communauté. »"
LAM.1.11,"All her people groan as they search for bread; they barter their treasures for food to keep themselves alive. “Look, Lord , and consider, for I am despised.”","Abantu baho bose baraniha, bayerera utwo kurya; Ibintu vyabo vyābahimbara bābitanze ku two kurya ngo basame amagara yabo: Uhoraho we, rāba witegereze: nahindutse ikigawa.","Tout son peuple gémit en recherchant du pain. Il donne ses trésors ╵contre des aliments pour reprendre des forces. « Vois, Eternel, dit-elle, ╵et considère l’abjection où je suis. »"
LAM.1.12,"“Is it nothing to you, all you who pass by? Look around and see. Is any suffering like my suffering that was inflicted on me, that the Lord brought on me in the day of his fierce anger?","Yemwe mwese abīhitira, mbega nta co murushe muvyibazako? Enda ni mwitegereze, murābe ko hoba umubabaro uhwanye n’uyu wanje wanshitseko, Uwo Uhoraho yambabarishije ku musi w’uburake bgiwe bg’inkazi.","N’êtes-vous pas touchés, ô vous tous qui passez par là ? Regardez et voyez s’il est une douleur ╵comparable à la mienne qui me fait tant souffrir. L’Eternel me l’a infligée au jour de sa colère ardente."
LAM.1.13,"“From on high he sent fire, sent it down into my bones. He spread a net for my feet and turned me back. He made me desolate, faint all the day long.","Yarungitse umuriro mu magufa yanje uvuye iyo hejuru, urayayigiza: Yateze ibirenge vyanje umutego, ansubiza inyuma; Yangize inkōkōre, anca intege umusi urīra.","D’en haut, il a lancé un feu qui m’a pénétré jusqu’aux os, il a tendu ╵un filet sous mes pieds : il m’a fait reculer et il a fait de moi ╵une désolation, dans la souffrance tout le jour."
LAM.1.14,"“My sins have been bound into a yoke ; by his hands they were woven together. They have been hung on my neck, and the Lord has sapped my strength. He has given me into the hands of those I cannot withstand.","Ukuboko kwiwe kwamboheyekw ingōgo y’ibicumuro vyanje; Vyarasobekeranye, binshika mw izosi; yacobogoje inkomezi zanje: Umwami Imana yangabuye mu maboko y’abo ntashoboye kurindana na bo.","Il a lié le joug ╵que composent mes transgressions , sa main les a nouées ensemble, et elles pèsent sur mon cou. Il a sapé ma force. Le Seigneur m’a livrée ╵au pouvoir d’hommes auxquels je ne peux résister."
LAM.1.15,“The Lord has rejected all the warriors in my midst; he has summoned an army against me to crush my young men. In his winepress the Lord has trampled Virgin Daughter Judah.,"Umwami Imana yatītūye abahizi banje bose bāba i wanje; Yarungitse abaza kungirirak’ umusi mukuru ngo bafyonyagure imisore yanje: Umwami Imana yahonyanze umukobga w’inkumi w’i Buyuda, nk’ūganira vino mu bgato.","Oui, le Seigneur a repoussé ╵tous les puissants guerriers qui étaient dans mes murs, et il a fixé contre moi ╵un rendez-vous dans le but de briser ╵mes jeunes gens. Le Seigneur a foulé ╵comme dans un pressoir la population de Juda."
LAM.1.16,"“This is why I weep and my eyes overflow with tears. No one is near to comfort me, no one to restore my spirit. My children are destitute because the enemy has prevailed.”","Ivyo ni vyo bindiza; amaso yanje, amaso yanje yisuka amosozi; Kuk’ uwompūmurije akandemesha umutima ambaye kure: Abana banje barapfapfanye, kuk’ umwansi yanyigamvye.","Je pleure donc sur eux ; j’éclate en longs sanglots, car le consolateur ╵qui ranimerait mon courage est loin de moi. Mes fils sont tous plongés ╵dans la désolation, car l’ennemi ╵a été le plus fort."
LAM.1.17,"Zion stretches out her hands, but there is no one to comfort her. The Lord has decreed for Jacob that his neighbors become his foes; Jerusalem has become an unclean thing among them.","Siyoni hata amaboko, ntihabona uwohahūmuriza; Uhoraho yashinze ivya Yakobo, kw abamukikije bose bamubera abarwanizi: Yerusalemu habamereye nk’ ikintu giteye iseseme hagati muri bo.","Sion étend les mains, mais nul ne la console. L’Eternel a donné des ordres, aux adversaires de Jacob, ╵pour qu’ils l’encerclent. Jérusalem est devenue un déchet à leurs yeux."
LAM.1.18,"“The Lord is righteous, yet I rebelled against his command. Listen, all you peoples; look on my suffering. My young men and young women have gone into exile.","Uhoraho aragororotse, ariko jeho nagararije ivyagezwe vyiwe: Ni mwumve ndabinginze, mwebge mwa mahanga yose, mwitegereze umubabaro wanje: Abakobga banje n’abahungu banje bagiye ar’ inyagano.","Mais l’Eternel est juste, car j’ai été rebelle ╵à ses commandements. Ecoutez, je vous prie, ╵vous, tous les peuples, et voyez ma douleur : mes jeunes filles, ╵mes jeunes gens sont partis en captivité."
LAM.1.19,“I called to my allies but they betrayed me. My priests and my elders perished in the city while they searched for food to keep themselves alive.,"Natabaje abūzure banje, ariko barampemukira: Abaherezi banje n’abashingantahe banje bahwerereye mu gisagara, Bakiriko barayerera utwo kurya two gusama amagara yabo.","J’ai fait appel à mes amants, mais eux ils m’ont trahie. Mes prêtres et mes dirigeants ont péri dans la ville en cherchant de la nourriture pour reprendre des forces."
LAM.1.20,"“See, Lord , how distressed I am! I am in torment within, and in my heart I am disturbed, for I have been most rebellious. Outside, the sword bereaves; inside, there is only death.","Uhoraho we, ni witegereze, kuko ndi mu magorwa; amara yanje aradobangana; Umutima wanje urandida mu nda; kuko nagararije birengereje: Hanze inkota iraririka, no mu nzu na ho har’ urupfu.","Regarde, ô Eternel, ╵comme je suis dans la détresse ; tout mon être intérieur ╵est en bouillonnement. Mon cœur chavire en moi parce que je me suis ╵gravement révoltée. Tandis qu’à l’extérieur ╵l’épée me prive ╵de mes enfants, à l’intérieur ╵c’est comme chez la mort."
LAM.1.21,"“People have heard my groaning, but there is no one to comfort me. All my enemies have heard of my distress; they rejoice at what you have done. May you bring the day you have announced so they may become like me.","Ni wumve ingene nniha; nta wo kumpūmuriza ngira; Abansi banje bose bumvise ivyago mbonye; baranezerwa kukw ari wewe wabikoze: Uzotuma umusi washinze ushika, na bo bamere nkanje.","On entend mes gémissements, mais nul ne me console et tous mes ennemis, ╵apprenant mon malheur, sont dans la joie, ╵car c’est toi qui as fait cela. Fais donc venir le jour ╵que tu as annoncé, et que mes ennemis ╵deviennent comme moi !"
LAM.1.22,“Let all their wickedness come before you; deal with them as you have dealt with me because of all my sins. My groans are many and my heart is faint.”,"Ububi bgabo bgose ni bushike imbere yawe; Ubagirire nk’uko wangiriye umpōra ibicumuro vyanje vyose: Kuko kuniha kwanje ari kwinshi, kand’ umutima wanje ukaba udendebutse.","Oh oui, tiens compte ╵de leur méchanceté, et traite-les comme tu m’as traitée pour punir mes forfaits, car il n’y a de cesse ╵à mes gémissements, mon cœur est affligé."
LAM.2.1,How the Lord has covered Daughter Zion with the cloud of his anger ! He has hurled down the splendor of Israel from heaven to earth; he has not remembered his footstool in the day of his anger.,"Ewe kuntu Umwami Imana yaratse, akūbikiza igicu ku mukobga w’i Siyoni! Yatsinze hasi ubgiza bg’ Abisirayeli abuhanuye kw ijuru, Kandi ntiyibutse indava y’ ibirenge vyiwe kur’ uwo musi w’uburake bgiwe.","Comment ! Dans sa colère, ╵le Seigneur a couvert par les ténèbres ╵Dame Sion. Il a précipité ╵du ciel jusque sur terre la splendeur d’Israël. Il a même oublié ╵son marchepied au jour de sa colère."
LAM.2.2,Without pity the Lord has swallowed up all the dwellings of Jacob; in his wrath he has torn down the strongholds of Daughter Judah. He has brought her kingdom and its princes down to the ground in dishonor.,Umwami Imana asanganguye amazu yose ya Yakobo ata kagongwe; Yahenuranye uburake ibihome vy’umukobga w’i Buyuda; Arabitsinda gushitsa hasi: Abami n’abaganwa babo yabahinduye ibihumane.,"Le Seigneur, sans pitié, ╵a englouti tous les habitats de Jacob. Dans son indignation, ╵il a démantelé les villes fortifiées ╵du peuple de Juda, il a jeté à terre et il a profané ╵le royaume et ses princes."
LAM.2.3,In fierce anger he has cut off every horn of Israel. He has withdrawn his right hand at the approach of the enemy. He has burned in Jacob like a flaming fire that consumes everything around it.,"Kubg’ uburake bgiwe bg’inkazi yakondoye ihembe ryose ry’Abisirayeli; Yapfunye ukuboko kwiwe kw’i buryo imbere y’abansi: Kandi yaturiye Yakobo, amumerera nk’umuriro w’ikibengebenge utongora impande zose.","Dans sa colère ardente, ╵il a brisé entièrement la force d’Israël. Il lui a retiré ╵le secours de sa droite quand venait l’ennemi. Il a allumé en Jacob ╵comme un brasier ardent qui consume tout à l’entour."
LAM.2.4,Like an enemy he has strung his bow; his right hand is ready. Like a foe he has slain all who were pleasing to the eye; he has poured out his wrath like fire on the tent of Daughter Zion.,"Yamufōreye umuheto nk’ umwansi, yahagaze abanguye ukuboko kw’i buryo nk’umurwanizi, Yishe abanyagikundiro bose: Yasutse ubushangashirwe bgiwe mw ihema ry’umukobga w’i Siyoni nk’umuriro.",Il a bandé son arc ╵tout comme un ennemi. Il a brandi sa droite ╵tout comme un assaillant et il a massacré ╵tout ce qui charmait le regard. Il a déversé son courroux ╵comme un feu sur la tente dans laquelle vivait ╵la population de Sion.
LAM.2.5,The Lord is like an enemy; he has swallowed up Israel. He has swallowed up all her palaces and destroyed her strongholds. He has multiplied mourning and lamentation for Daughter Judah.,"Umwami Imana yahindukiye i Bgisirayeli nk’umwansi, arahayongobeza; Yayongobeje ingoro zaho zose, yasanganguye ibihome vyaho: Yongerekanije akabonge n’ ugucura intimba vy’umukobga w’i Buyuda.","Le Seigneur a agi ╵en ennemi. Il a englouti Israël, a englouti tous ses palais, et a détruit ses forteresses. Et pour le peuple de Juda, ╵il a multiplié les douleurs et les plaintes."
