,0,1,2
LEV.1.1,"The Lord called to Moses and spoke to him from the tent of meeting. He said,","Uhoraho ari mw ihema ry’ibonaniro ahamagara Mose, aramubarira,",L’Eternel appela Moïse et lui dit depuis la tente de la Rencontre :
LEV.1.2,"“Speak to the Israelites and say to them: ‘When anyone among you brings an offering to the Lord , bring as your offering an animal from either the herd or the flock.","ati Barira Abisirayeli, uti Ni haramuka hagize ūmuha ikimazi, muze mukūre ivyo bimazi mu vyo mutunze, ari mu masho canke mu mikuku.","Parle aux Israélites en ces termes : Lorsque l’un d’entre vous offrira un animal en sacrifice à l’Eternel, il apportera un animal pris parmi le gros ou le petit bétail."
LEV.1.3,"“ ‘If the offering is a burnt offering from the herd, you are to offer a male without defect. You must present it at the entrance to the tent of meeting so that it will be acceptable to the Lord .","Ikimazi c’umuntu co kwoswa, ni cāba ar’ ico mu busho, az’ atange imasa itagira agasembga: ayitangire ku muryango w’ihema ry’ibonaniro, kugira ngo yemerwe imbere yanje.","Si c’est du gros bétail qu’on offre en holocauste , on apportera un mâle sans défaut et on l’offrira à l’entrée de la tente de la Rencontre afin qu’il soit agréé par l’Eternel."
LEV.1.4,"You are to lay your hand on the head of the burnt offering, and it will be accepted on your behalf to make atonement for you.","Maz’ arambike ikiganza mu ruhanga rw’ico kimazi co kwoswa, ni ho kizokwemerwa kumubera impongano.",Celui qui l’offre posera sa main sur la tête de l’animal et celui-ci sera accepté comme victime expiatoire pour lui.
LEV.1.5,"You are to slaughter the young bull before the Lord , and then Aaron’s sons the priests shall bring the blood and splash it against the sides of the altar at the entrance to the tent of meeting.","Aheze akererere iyo masa imbere yanje, bene Aroni abaherezi bazane amaraso yayo, bayahereze, bayamijagire impande zose ku gicaniro co ku muryango w’ihema ry’ibonaniro.","Il égorgera le jeune taureau devant l’Eternel, et les descendants d’Aaron, les prêtres, en présenteront le sang . Ils en aspergeront tous les côtés de l’autel qui se trouve à l’entrée de la tente de la Rencontre."
LEV.1.6,You are to skin the burnt offering and cut it into pieces.,"Aheze abāge ico kimazi co kwoswa, akijanjagure, agishire mu bikenye vyaco.","Après lui avoir enlevé la peau, on découpera la victime en quartiers."
LEV.1.7,The sons of Aaron the priest are to put fire on the altar and arrange wood on the fire.,"Bene Aroni abaherezi bashire umuriro kur’ ico gicaniro, bawurundekw inkwi:",Puis les descendants du prêtre Aaron allumeront le feu sur l’autel et empileront des bûches sur le feu.
LEV.1.8,"Then Aaron’s sons the priests shall arrange the pieces, including the head and the fat, on the wood that is burning on the altar.",bene Aroni abaherezi bagereke ivyo bikenye n’umutwe n’ibinure ku nkwi ziri ku muriro kur’ ico gicaniro;,"Ensuite, les prêtres disposeront les quartiers de viande, la tête et les parties grasses sur le bois du foyer qui est sur l’autel."
LEV.1.9,"You are to wash the internal organs and the legs with water, and the priest is to burn all of it on the altar. It is a burnt offering, a food offering, an aroma pleasing to the Lord .","arikw amara yayo n’ibikenye vyayo vy’amaguru abanze abironge mu mazi; maz’ umuherezi avyosereze vyose ku gicaniro, bibe ikimazi coshejwe, ikimazi gitōngōwe n’umuriro, umubabge ummotera neza.","On lavera à l’eau les entrailles et les pattes, puis le prêtre brûlera le tout sur l’autel. C’est un holocauste, un sacrifice consumé par le feu, à l’odeur apaisante pour l’Eternel ."
LEV.1.10,"“ ‘If the offering is a burnt offering from the flock, from either the sheep or the goats, you are to offer a male without defect.","Kand’ ikimazi ciwe co kwoswa ni caba ar’ ico mu mukuku, ar’ intama cank’ impene, az’ atange isuguru itagira agasembga.","Si c’est du petit bétail qu’on offre en holocauste, on présentera un agneau ou un chevreau mâle sans défaut."
LEV.1.11,"You are to slaughter it at the north side of the altar before the Lord , and Aaron’s sons the priests shall splash its blood against the sides of the altar.","Az’ agikererere i ruhande y’igicaniro, ahahera i burārūko, imbere yanje; bene Aroni abaherezi bamijagire amaraso yaco ku gicaniro impande zose.","On l’égorgera devant l’Eternel, du côté nord de l’autel, et les prêtres, descendants d’Aaron, aspergeront de son sang tous les côtés de l’autel."
LEV.1.12,"You are to cut it into pieces, and the priest shall arrange them, including the head and the fat, on the wood that is burning on the altar.","Ayijanjagure, ayishire mu bikenye vyayo, ashireko n’ umutwe wayo n’ibinure vyayo; umuherezi aheze abigereke ku nkwi ziri ku muriro kur’ ico gicaniro:","On découpera la victime en quartiers, et le prêtre les disposera avec la tête et les parties grasses sur le bois du foyer qui est sur l’autel."
LEV.1.13,"You are to wash the internal organs and the legs with water, and the priest is to bring all of them and burn them on the altar. It is a burnt offering, a food offering, an aroma pleasing to the Lord .","arikw amara n’ibikenye vy’amaguru abanze abironge mu mazi; maz’ umuherezi abihereze vyose, avyosereze kur’ ico gicaniro. Kizoba ar’ ikimazi coshejwe, ikimazi gitōngōwe n’umuriro, umubabge ummotera neza.","On lavera à l’eau les entrailles et les pattes, et le prêtre offrira le tout et le brûlera sur l’autel. C’est un holocauste, un sacrifice consumé par le feu, à l’odeur apaisante pour l’Eternel."
LEV.1.14,"“ ‘If the offering to the Lord is a burnt offering of birds, you are to offer a dove or a young pigeon.","Kand’ ikimazi ciwe co kwoswa azompa ni caba ar’ inyoni, az’ atange intunguru cank’ ivyana vy’ inuma.","Si ce sont des oiseaux qu’on offre comme holocauste à l’Eternel, on apportera des tourterelles ou des pigeonneaux."
LEV.1.15,"The priest shall bring it to the altar, wring off the head and burn it on the altar; its blood shall be drained out on the side of the altar.","Umuherezi az’ akizane ku gicaniro, akinuse umutwe, awosereze ku gicaniro; amaraso yaco amiminukire ku gicaniro ku ruhande rwaco rumwe;","Le prêtre présentera la victime devant l’autel, lui détachera la tête qu’il brûlera sur l’autel ; il fera couler le sang contre la paroi de l’autel."
LEV.1.16,He is to remove the crop and the feathers and throw them down east of the altar where the ashes are.,"agikūrekw agatorero kaco n’amoya yaco, abiterere hambavu y’igicaniro ahahera i burasirazuba, ku gikuburiro c’umunyota.","Il enlèvera le jabot avec son contenu et le jettera près de l’autel, du côté est, dans le dépôt des cendres."
LEV.1.17,"He shall tear it open by the wings, not dividing it completely, and then the priest shall burn it on the wood that is burning on the altar. It is a burnt offering, a food offering, an aroma pleasing to the Lord .","Aheze afate amababa yaco agitānye, ariko ntacahukanye: maz’ uwo muherezi acosereze ku gicaniro, akigeretse ku nkwi ziri ku muriro. Kizoba ar’ ikimazi coshejwe, ikimazi gitōngōwe n’umuriro, umubabge ummotera neza.","Il ouvrira l’oiseau entre les ailes sans les détacher. Ensuite il le brûlera sur le bois qui est sur le foyer. C’est un holocauste, un sacrifice consumé par le feu, à l’odeur apaisante pour l’Eternel."
LEV.2.1,"“ ‘When anyone brings a grain offering to the Lord , their offering is to be of the finest flour. They are to pour olive oil on it, put incense on it","Ni hagira umuntu azonshikanira ishikanwa ry’ifu, az’ ashikane īgogōretse; ayisukekw amavuta ya elayo, ayishireko n’ imibavu.","Lorsque quelqu’un apportera à l’Eternel une offrande , elle consistera en fleur de farine qu’il arrosera d’huile et sur laquelle il mettra de l’encens."
LEV.2.2,"and take it to Aaron’s sons the priests. The priest shall take a handful of the flour and oil, together with all the incense, and burn this as a memorial portion on the altar, a food offering, an aroma pleasing to the Lord .","Aheze ayizanire bene Aroni abaherezi; akamate urushi rumwe kur’ iyo fu n’ayo mavuta, akūraneko n’iyo mibavu yose; umuherezi aheze avyosereze ku gicaniro, bibe icibutso c’iryo shikanwa, bibe ishikanwa ritōngōrwa n’umuriro, umubabge ummotera neza.","Il l’apportera aux prêtres, descendants d’Aaron. Le prêtre prendra une pleine poignée de la farine arrosée d’huile, avec tout l’encens, et la fera brûler pour servir de mémorial sur l’autel. C’est une offrande consumée par le feu, à l’odeur apaisante pour l’Eternel."
