,0,1,2
LUK.1.1,"Many have undertaken to draw up an account of the things that have been fulfilled among us,","Abantu benshi bāgerageje kwandika amajambo adonda ivyābaye muri twebge,","Plusieurs personnes ont entrepris de composer un récit des événements qui se sont passés parmi nous,"
LUK.1.2,just as they were handed down to us by those who from the first were eyewitnesses and servants of the word.,nk’uko twabirazwe n’abāhereye ubga mbere ar’ivyabona vyavyo n’abasuku b’ijambo ry’Imana.,d’après ce que nous ont transmis ceux qui en ont été les témoins oculaires depuis le début et qui sont devenus des serviteurs de la Parole de Dieu.
LUK.1.3,"With this in mind, since I myself have carefully investigated everything from the beginning, I too decided to write an orderly account for you, most excellent Theophilus,","Nuko nanje, mpejeje gukurikiranya vyose neza mpereye ku vya mbere, nabonye kw ari vyiza kubikwandikira uko bikurikirana, wewe Teyofilo umwubahwa,","J’ai donc décidé à mon tour de m’informer soigneusement sur tout ce qui est arrivé depuis le commencement, et de te l’exposer par écrit de manière suivie, très honorable Théophile ;"
LUK.1.4,so that you may know the certainty of the things you have been taught.,kugira ng’ umenye neza yukw amajambo wigishijwe ar’ ay’ ukuri adakekeranywa.,"ainsi, tu pourras reconnaître l’entière véracité des enseignements que tu as reçus."
LUK.1.5,"In the time of Herod king of Judea there was a priest named Zechariah, who belonged to the priestly division of Abijah; his wife Elizabeth was also a descendant of Aaron.","Ku ngoma ya Herode, umwami w’i Yudaya, hārih’ umuherezi yitwa Zakariya, wo mu mutigiri wa Abiya, kandi yar’ afise umugore wo mu nzu ya Aroni, yitwa Elisabeti.","Il y avait, à l’époque où Hérode était roi de Judée , un prêtre nommé Zacharie, qui appartenait à la classe sacerdotale d’Abiya. Sa femme était une descendante d’Aaron ; elle s’appelait Elisabeth."
LUK.1.6,"Both of them were righteous in the sight of God, observing all the Lord’s commands and decrees blamelessly.","Bompi bāgororoka imbere y’Imana, bāgendera mu vyagezwe n’amabgirizwa vy’Umwami Imana vyose, batagawa.",Tous deux étaient justes aux yeux de Dieu et observaient tous les commandements et toutes les lois du Seigneur de façon irréprochable.
LUK.1.7,"But they were childless because Elizabeth was not able to conceive, and they were both very old.","Ariko ntibagira umwana, kuko Elisabeti yar’ ingumba, kandi bompi bāri bageze mu zabukuru.","Ils n’avaient pas d’enfant, car Elisabeth était stérile et tous deux étaient déjà très âgés."
LUK.1.8,"Once when Zechariah’s division was on duty and he was serving as priest before God,","Maze yarikw arakora igikorwa c’ubuherezi imbere y’Imana, ukw imbu zabo zikurikirana;","Un jour, Zacharie assurait son service devant Dieu : c’était le tour de sa classe sacerdotale."
LUK.1.9,"he was chosen by lot, according to the custom of the priesthood, to go into the temple of the Lord and burn incense.","kandi nk’uk’ umugenzo w’abaherezi war’ uri, ni we yari yatoranijwe n’ubupfindo kwinjira ahēra h’urusengero rw’Umwami Imana, kwosa imibavu:","Suivant la coutume des prêtres, il avait été désigné par le sort pour entrer dans le sanctuaire du Seigneur et y offrir l’encens."
LUK.1.10,"And when the time for the burning of incense came, all the assembled worshipers were praying outside.",kand’ ishengero ryose ry’ubgo bgoko ryariko rirasengera hanze mu gihe co kwosa.,"A l’heure de l’offrande des parfums, toute la multitude du peuple se tenait en prière à l’extérieur."
