,0,1,2
MAL.1.1,A prophecy: The word of the Lord to Israel through Malachi.,"Imbūri y’ijambo ry’Uhoraho yo ku Bisirayeli, yatumwe Malaki.","Proclamation, parole que l’Eternel a adressée à Israël par l’intermédiaire de Malachie ."
MAL.1.2,"“I have loved you,” says the Lord . “But you ask, ‘How have you loved us?’ “Was not Esau Jacob’s brother?” declares the Lord . “Yet I have loved Jacob,","Narabakunze, ni k’Uhoraho agize. Yamara muravuga, muti Wadukunze mu biki? Mbega Esau ntiyari mukuru wa Yakobo? ni k’Uhoraho abaza; ariko rero nakunze Yakobo,","Moi, je vous ai aimés, déclare l’Eternel. Et vous me demandez : « En quoi donc nous as-tu aimés ? » Esaü n’est-il pas le frère de Jacob ? demande l’Eternel. Or, j’ai aimé Jacob,"
MAL.1.3,"but Esau I have hated, and I have turned his hill country into a wasteland and left his inheritance to the desert jackals.”","Esau na we naramwanse, mpindura imisozi yiwe amatongo, ishamvu yiwe ndayiha imbgebge zo mu bugaragwa.","et j’ai écarté Esaü : j’ai fait de ses montagnes un pays désolé, et j’ai livré son patrimoine aux chacals du désert."
MAL.1.4,"Edom may say, “Though we have been crushed, we will rebuild the ruins.” But this is what the Lord Almighty says: “They may build, but I will demolish. They will be called the Wicked Land, a people always under the wrath of the Lord .","Naho Edomu yavuga, ati Dutsinzwe hasi, ariko tuzosubira kwubaka ahāsanganguwe; uku ni k’Uhoraho Nyen’ ingabo agize, ati Bazokwubaka, ariko nanje nzosambura. Abantu bazobīta intāra y’ibigabitanyo, babīte n’ubgoko Uhoraho yama arakiye ibihe bidashira.","Edom peut bien dire : « Nous avons été démolis, mais nous rebâtirons ce qui n’est plus que ruines. » Mais le Seigneur des armées célestes déclare : Eux, ils rebâtiront, moi, je démolirai. On appellera leur pays : « le territoire de la méchanceté, le peuple contre qui, toujours, l’Eternel sera en colère »."
MAL.1.5,"You will see it with your own eyes and say, ‘Great is the Lord —even beyond the borders of Israel!’","Kand’ amaso yanyu azovyibonera, namwe muvuge, mut’ Uhoraho arahambaye no hirya y’urugabano rw’i Bgisirayeli.","Et vous le verrez de vos yeux, et vous direz : « L’Eternel est très grand, même au-delà du territoire d’Israël. »"
MAL.1.6,"“A son honors his father, and a slave his master. If I am a father, where is the honor due me? If I am a master, where is the respect due me?” says the Lord Almighty. “It is you priests who show contempt for my name. “But you ask, ‘How have we shown contempt for your name?’","Umwana arubaha se, n’umushumba akubaha shebuja; non’ asangwa ndi So, kunyubaha kwanyu kuri hehe? Cank’ asangwa ndi Shobuja, igitinyiro canje kiri hehe ga yemwe baherezi bakēngēra izina ryanje? ni k’Uhoraho Nyen’ ingabo ababaza. Yamara muravuga, mut’ Izina ryawe twarikēngereye dute?","Le Seigneur des armées célestes s’adresse à vous les prêtres, vous qui me méprisez : Un fils honore un père, un serviteur son maître. Si je suis votre père, où donc sont les honneurs qui me sont dus ? Si je suis votre maître, où est la crainte qui m’est due ? Et puis vous demandez : « En quoi t’avons-nous méprisé ? »"
MAL.1.7,"“By offering defiled food on my altar. “But you ask, ‘How have we defiled you?’ “By saying that the Lord ’s table is contemptible.","Ni kuko mwashikanye ivyo kurya bihumanye ku gicaniro canje. Maze mukavuga, muti Twaguhumanishije iki? Ni kuko mwavuze yukw ameza y’Uhoraho ar’ igikēngēretse.",Vous apportez sur mon autel des aliments impurs et puis vous demandez : « En quoi t’avons-nous profané ? » C’est en disant : « La table de l’Eternel est chose méprisable. »
MAL.1.8,"When you offer blind animals for sacrifice, is that not wrong? When you sacrifice lame or diseased animals, is that not wrong? Try offering them to your governor! Would he be pleased with you? Would he accept you?” says the Lord Almighty.","Ereg’ iyo mutanze impumyi kw ikimazi, mugira ngo Nta co biriko! N’iyo mutanze iyicumbagira n’iyirwaye, na ho nyene ngo Nta co biriko! Genda uyishikanire icēgēra c’umwami: mbeg’ ubgo yogushimira, canke yokwemera n’uko mubonana? ni k’Uhoraho Nyen’ ingabo abaza.","Quand, pour le sacrifice, vous venez présenter un animal aveugle, n’y a-t-il rien de mal ? Et quand vous présentez une bête éclopée ou malade, n’y a-t-il rien de mal ? Offrez-le donc à votre gouverneur ! Sera-t-il content de vous ? Ou vous fera-t-il bon accueil ? dit l’Eternel, le Seigneur des armées célestes."
MAL.1.9,"“Now plead with God to be gracious to us. With such offerings from your hands, will he accept you?”—says the Lord Almighty.","Enda rero, ni mwinginge Imana idutunge, itugirire ikigongwe, kukw ivyo vyabaye kubganyu: mbega nyene, hari n’umwe muri mwebge yokwemerera ko babonana? ni k’Uhoraho Nyen’ ingabo abaza.","Ensuite, après avoir agi ainsi, vous venez supplier Dieu d’avoir pitié de vous ! Vous fera-t-il bon accueil ? demande le Seigneur des armées célestes."
MAL.1.10,"“Oh, that one of you would shut the temple doors, so that you would not light useless fires on my altar! I am not pleased with you,” says the Lord Almighty, “and I will accept no offering from your hands.","Icompa hakagira n’umwe muri mwebge yugara inzugi, ngo mureke gucanira ubusa ku gicaniro canje! Simbanezererwa na gatoya, ni k’Uhoraho Nyen’ ingabo agize, kandi sinzokwemera ishikanwa munshikaniye.","Qui enfin, parmi vous, se décidera à fermer les portes de mon temple, pour que vous n’allumiez plus inutilement le feu sur mon autel ? Je n’ai aucun plaisir en vous, dit l’Eternel, le Seigneur des armées célestes. Je n’agrée pas l’offrande de vos mains."
