,0,1,2
MAT.1.1,"This is the genealogy of Jesus the Messiah the son of David, the son of Abraham:","Igitabo kidondora ukuvuka kwa Yesu Kristo, umwana wa Dawidi, Dawidi wa Aburahamu.","Voici la généalogie de Jésus-Christ, de la descendance de David et d’Abraham."
MAT.1.2,"Abraham was the father of Isaac, Isaac the father of Jacob, Jacob the father of Judah and his brothers,","Aburahamu yavyaye Isaka, Isaka yavyaye Yakobo, Yakobo yavyaye Yuda n’abandi bavukana,",Abraham eut pour descendant Isaac. Isaac eut pour descendant Jacob. Jacob eut pour descendant Juda et ses frères.
MAT.1.3,"Judah the father of Perez and Zerah, whose mother was Tamar, Perez the father of Hezron, Hezron the father of Ram,","Yuda yavyaye Peresi na Zera kuri Tamari, Peresi yavyaye Hesironi, Hesironi yavyaye Ramu,","De Thamar, Juda eut pour descendant Pérets et Zérah. Pérets eut pour descendant Hetsrôn. Hetsrôn eut pour descendant Aram."
MAT.1.4,"Ram the father of Amminadab, Amminadab the father of Nahshon, Nahshon the father of Salmon,","Ramu yavyaye Aminadabu, Aminadabu yavyaye Nahasoni, Nahasoni yavyaye Salumoni,","Aram eut pour descendant Amminadab. Amminadab eut pour descendant Nahshôn, Nahshôn eut pour descendant Salma."
MAT.1.5,"Salmon the father of Boaz, whose mother was Rahab, Boaz the father of Obed, whose mother was Ruth, Obed the father of Jesse,","Salumoni yavyaye Bowazi kuri Rahabu, Bowazi yavyaye Obedi kuri Rusi, Obedi yavyaye Isayi,","De Rahab, Salma eut pour descendant Booz. De Ruth, Booz eut pour descendant Obed."
MAT.1.6,"and Jesse the father of King David. David was the father of Solomon, whose mother had been Uriah’s wife,","Isayi yavyaye umwami Dawidi. Dawidi yavyaye Salomo kuri muka Uriya,","Obed eut pour descendant Isaï. Isaï eut pour descendant le roi David. De la femme d’Urie, David eut pour descendant Salomon."
MAT.1.7,"Solomon the father of Rehoboam, Rehoboam the father of Abijah, Abijah the father of Asa,","Salomo yavyaye Rehobowamu, Rehobowamu yavyaye Abiya, Abiya yavyaye Asa,",Salomon eut pour descendant Roboam. Roboam eut pour descendant Abiya. Abiya eut pour descendant Asa.
MAT.1.8,"Asa the father of Jehoshaphat, Jehoshaphat the father of Jehoram, Jehoram the father of Uzziah,","Asa yavyaye Yehoshafati, Yehoshafati yavyaye Yoramu, Yoramu yavyaye Uziya,",Asa eut pour descendant Josaphat. Josaphat eut pour descendant Yoram. Yoram eut pour descendant Ozias.
MAT.1.9,"Uzziah the father of Jotham, Jotham the father of Ahaz, Ahaz the father of Hezekiah,","Uziya yavyaye Yotamu, Yotamu yavyaye Ahazi, Ahazi yavyaye Hezekiya,",Ozias eut pour descendant Yotam. Yotam eut pour descendant Ahaz. Ahaz eut pour descendant Ezéchias.
MAT.1.10,"Hezekiah the father of Manasseh, Manasseh the father of Amon, Amon the father of Josiah,","Hezekiya yavyaye Manase, Manase yavyaye Amoni, Amoni yavyaye Yosiya,",Ezéchias eut pour descendant Manassé. Manassé eut pour descendant Amôn. Amôn eut pour descendant Josias.
MAT.1.11,and Josiah the father of Jeconiah and his brothers at the time of the exile to Babylon.,"Yosiya yavyaye Yekoniya n’abandi bavukana, mu gihe co kwambukanwa i Babuloni.","A l’époque de la déportation à Babylone, Josias eut pour descendant Yekonia et ses frères."
MAT.1.12,"After the exile to Babylon: Jeconiah was the father of Shealtiel, Shealtiel the father of Zerubbabel,","Kuva mu gihe co kwambukanwa i Babuloni Yekoniya yavyaye Shalutiyeli, Shalutiyeli yavyaye Zerubabeli,","Après la déportation à Babylone, Yekonia eut pour descendant Shealtiel. Shealtiel eut pour descendant Zorobabel."
MAT.1.13,"Zerubbabel the father of Abihud, Abihud the father of Eliakim, Eliakim the father of Azor,","Zerubabeli yavyaye Abihudi, Abihudi yavyaye Eliyakimu, Eliyakimu yavyaye Azori,",Zorobabel eut pour descendant Abioud. Abioud eut pour descendant Eliaqim. Eliaqim eut pour descendant Azor.
MAT.1.14,"Azor the father of Zadok, Zadok the father of Akim, Akim the father of Elihud,","Azori yavyaye Sadoki, Sadoki yavyaye Akimu, Akimu yavyaye Elihudi,",Azor eut pour descendant Sadoq. Sadoq eut pour descendant Ahim. Ahim eut pour descendant Elioud.
MAT.1.15,"Elihud the father of Eleazar, Eleazar the father of Matthan, Matthan the father of Jacob,","Elihudi yavyaye Eleyazari, Eleyazari yavyaye Matani, Matani yavyaye Yakobo,",Elioud eut pour descendant Eléazar. Eléazar eut pour descendant Matthan. Matthan eut pour descendant Jacob.
MAT.1.16,"and Jacob the father of Joseph, the husband of Mary, and Mary was the mother of Jesus who is called the Messiah.","Yakobo yavyaye Yosefu, umugabo wa Mariya nyina wa Yesu yitwa Kristo.","Jacob eut pour descendant Joseph, l’époux de Marie, de laquelle est né Jésus, appelé Christ."
MAT.1.17,"Thus there were fourteen generations in all from Abraham to David, fourteen from David to the exile to Babylon, and fourteen from the exile to the Messiah.","Nuko ba sekuruza bose guhera kuri Aburahamu gushitsa kuri Dawidi n’icumi na bane, kandi guhera kuri Dawidi gushitsa ku gihe co kwambukanwa i Babuloni n’icumi na bane, kandi guhera ku gihe co kwambukanwa i Babuloni gushitsa kuri Kristo n’icumi na bane nyene.","Il y eut donc en tout quatorze générations d’Abraham à David, quatorze de David jusqu’à la déportation à Babylone, et quatorze de cette déportation jusqu’à Christ."
MAT.1.18,"This is how the birth of Jesus the Messiah came about : His mother Mary was pledged to be married to Joseph, but before they came together, she was found to be pregnant through the Holy Spirit.",Ukuvuka kwa Yesu Kristo kwabaye gurtya: nyina Mariya yar’ akowe na Yosefu ataramurongora bamubona afise inda yavuye kuri Mpwemu Yera.,"Voici dans quelles circonstances Jésus-Christ vint au monde : Marie, sa mère, était liée par fiançailles à Joseph ; or elle se trouva enceinte par l’action du Saint-Esprit, avant qu’ils aient vécu ensemble ."
MAT.1.19,"Because Joseph her husband was faithful to the law, and yet did not want to expose her to public disgrace, he had in mind to divorce her quietly.","Ariko Yosefu, umugabo wiwe, kukw ar’ umugororotsi, kandi kukw atagomvye kumutetereza, yiyumvira kumubengera mu mpisho.","Joseph, son futur mari, était un homme juste. Il ne voulait pas la livrer au déshonneur. C’est pourquoi il se proposa de rompre ses fiançailles sans en ébruiter la raison."
MAT.1.20,"But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit.","Akivyiyumvira, umumarayika w’Umwami Imana amwiyerekera mu nzozi, aramubarira, ati Yosefu, mwana wa Dawidi, ntutinye kurongora Mariya umugeni wawe, kukw atwaye inda ya Mpwemu Yera.","Il réfléchissait à ce projet quand un ange du Seigneur lui apparut en rêve et lui dit : Joseph, descendant de David, ne crains pas de prendre Marie pour femme, car l’enfant qu’elle porte vient de l’Esprit Saint."
MAT.1.21,"She will give birth to a son, and you are to give him the name Jesus, because he will save his people from their sins.”","Azovyara umwana w’umuhungu, nawe uz’ umwite YESU, kukw ari we azokiza abantu biwe ivyaha vyabo.","Elle donnera naissance à un fils, tu l’appelleras Jésus. C’est lui, en effet, qui sauvera son peuple de ses péchés ."
MAT.1.22,All this took place to fulfill what the Lord had said through the prophet:,"Ivyo vyose vyabaye birtyo ngw ivyo Umwami Imana yavugiye mu kanwa k’uwavugishwa na we biboneke,",Tout cela arriva pour que s’accomplisse cette parole du Seigneur transmise par le prophète :
