,0,1,2
MIC.1.1,"The word of the Lord that came to Micah of Moresheth during the reigns of Jotham, Ahaz and Hezekiah, kings of Judah—the vision he saw concerning Samaria and Jerusalem.","Ijambo ry’Uhoraho ryaje kuri Mika w’i Moresheti, ku ngoma ya Yotamu no ku ya Ahazi no ku ya Hezekiya, abami b’i Buyuda, amajambo y’ivyo yeretswe kuri Samariya n’i Yerusalemu.","Voici les paroles que l’Eternel a adressées à Michée de Morésheth sous les règnes de Yotam, Ahaz et Ezéchias, rois de Juda . Cette révélation reçue par Michée concerne les villes de Samarie et de Jérusalem ."
MIC.1.2,"Hear, you peoples, all of you, listen, earth and all who live in it, that the Sovereign Lord may bear witness against you, the Lord from his holy temple.","Ni mwumve, mwa moko yose mwe; tega amatwi nawe wa si, n’ibiri muri wewe vyose! Umwami Uhoraho n’abe icagiriza canyu, Umwami ari mu rusengero rwiwe rwera.","Ecoutez vous tous, peuples ! Prête attention, ô terre, ╵et vous tous qui vivez sur elle : le Seigneur, l’Eternel ╵sera témoin à charge contre vous ; oui, le Seigneur, ╵depuis son sanctuaire."
MIC.1.3,Look! The Lord is coming from his dwelling place; he comes down and treads on the heights of the earth.,"Kukw ehe rāba, Uhoraho ahagurutse ava i we, agira amanuke, atambagire ku mpinga z’imisozi yo mw isi.",Voici que l’Eternel ╵sort de sa résidence. Il descend et il marche ╵sur les lieux élevés ╵que présente la terre.
MIC.1.4,"The mountains melt beneath him and the valleys split apart, like wax before the fire, like water rushing down a slope.","Imisozi izoshongera musi yiwe, n’imyonga isaduke, bibe nk’ishashara ir’ imbere y’umuriro, canke nk’amazi arindimuka ku gatembge.","Sous ses pas les montagnes fondent, et le fond des vallées se fend comme la cire au feu, comme de l’eau versée ╵coulant sur une pente."
MIC.1.5,"All this is because of Jacob’s transgression, because of the sins of the people of Israel. What is Jacob’s transgression? Is it not Samaria? What is Judah’s high place? Is it not Jerusalem?","Ivyo vyose vyatewe n’igicumuro ca Yakobo, n’ivyaha vy’inzu ya Isirayeli. Non’ igicumuro ca Yakobo n’iki? Mbega s’i Samariya? Kand’ ibitabo vyatabge i Buyuda n’ibiki? S’i Yerusalemu?","Et pourquoi tout cela ? ╵A cause de la transgression ╵des enfants de Jacob , à cause des péchés ╵du peuple d’Israël. Qui incita Jacob ╵à cette transgression ? N’est-ce pas Samarie ? Et qui donc a promu ╵ces hauts lieux en Juda ? N’est-ce pas toi, ╵Jérusalem ?"
MIC.1.6,"“Therefore I will make Samaria a heap of rubble, a place for planting vineyards. I will pour her stones into the valley and lay bare her foundations.","Ni co gituma igisagara c’i Samariya nzogihindura nk’ikigūngūzi c’amabuye co mu ndimiro, habe aho gutera imizabibu; kand’ amabuye yaho nzoyahondoganiriza mu mwonga, n’amatanguriro y’amazu yaho nzoyaserura ahabona.","Aussi vais-je réduire Samarie ╵à un monceau de pierres ╵dans la campagne, et l’on y plantera des vignes ; je précipiterai ses pierres ╵au fond de la vallée et je la raserai ╵jusqu’à ses fondations."
MIC.1.7,"All her idols will be broken to pieces; all her temple gifts will be burned with fire; I will destroy all her images. Since she gathered her gifts from the wages of prostitutes, as the wages of prostitutes they will again be used.”","Ibishushanyo vyaho vyose bibajwe bizojanjagurwa bicike ubunywenywe, n’impēra zaho zose z’ivy’ isoni nke zizoturirwa n’umuriro, kand’ ibigirwamana vyaho vyose nzobihonnya; kuko habirundanije ar’ impēra z’ubumaraya, kandi bizosubira kuba impēra nyene za maraya wundi.","Les statues de ses dieux ╵seront toutes brisées, et tous ses gains impurs ╵seront livrés au feu. Oui, toutes ses idoles, ╵je les mettrai en pièces : elles ont été faites ╵grâce au salaire ╵de ses prostitutions. Aussi serviront-elles ╵comme salaire ╵d’autres prostitutions ."
MIC.1.8,Because of this I will weep and wail; I will go about barefoot and naked. I will howl like a jackal and moan like an owl.,"Kubg’ ivyo nzorira mboroge, ngende nambaye ubusa, ata n’ inkweto: nzorira nk’imbgebge, mboroge nk’ igisīga citwa imbuni.","Voilà pourquoi ╵je vais mener le deuil, ╵je vais me lamenter, je vais marcher pieds nus, ╵sans vêtements. Je pousserai des cris, ╵comme ceux du chacal, et des gémissements ╵comme font les autruches."
MIC.1.9,"For Samaria’s plague is incurable; it has spread to Judah. It has reached the very gate of my people, even to Jerusalem itself.","Kuk’ uruguma rwaho rutazovūrika: mbere rwashitse n’i Buyuda; rushika kw irembo ry’ abantu banje, mbere rurinda rushika n’i Yerusalemu.",La plaie de Samarie ╵est incurable et elle atteint même Juda. La voilà qui s’avance ╵jusqu’à la porte de mon peuple : jusqu’à Jérusalem.
MIC.1.10,Tell it not in Gath ; weep not at all. In Beth Ophrah roll in the dust.,"Ntimukabikerukirize i Gati, ntimuzirukanye ngo murire; i Beti‐Leyafura abe ari ho mwikumbagariza mu mukungugu.","Ne le proclamez pas ╵dans la ville de Gath , ne pleurez pas . Gens de Beth-Leaphra , ╵couvrez-vous de poussière !"
