,0,1,2
MRK.1.1,"The beginning of the good news about Jesus the Messiah, the Son of God,","Itanguriro ry’ubutumwa bgiza bga Yesu Kristo, Umwana w’Imana.","Ici commence l’Evangile de Jésus-Christ, le Fils de Dieu ,"
MRK.1.2,"as it is written in Isaiah the prophet: “I will send my messenger ahead of you, who will prepare your way” —","Nk’uko vyanditswe na Yesaya yavugishwa n’Imana, Ng’ Umve, ngira ntume integuza yanje imbere y’amaso yawe, Ikuroranirize inzira.","selon ce qui est écrit dans le livre du prophète Esaïe : J’enverrai mon messager devant toi, il te préparera le chemin ."
MRK.1.3,"“a voice of one calling in the wilderness, ‘Prepare the way for the Lord, make straight paths for him.’ ”","Ijwi ry’ūsemererera mu bugaragwa, Ati Ni mutegure inzira y’Uhoraho, Mugorore iz’ ibihamo ziwe.","On entend la voix de quelqu’un ╵ qui crie dans le désert : Préparez le chemin pour le Seigneur, faites-lui des sentiers droits ."
MRK.1.4,"And so John the Baptist appeared in the wilderness, preaching a baptism of repentance for the forgiveness of sins.","Ni ko Yohana yaje, abatiriza mu bugaragwa, yigisha ukubatizwa kwo kwihana, ngo babohorwe ivyaha.","Jean parut. Il baptisait dans le désert. Il appelait les gens à se faire baptiser en signe d’un profond changement , afin de recevoir le pardon de leurs péchés."
MRK.1.5,"The whole Judean countryside and all the people of Jerusalem went out to him. Confessing their sins, they were baptized by him in the Jordan River.","Igihugu c’i Yudaya cose n’ab’i Yerusalemu bose bava i wabo, baza kuri we: ababatiriza mu ruzi Yorodani, bātuye ivyaha vyabo.","Tous les habitants de la Judée et de Jérusalem se rendaient auprès de lui. Ils se faisaient baptiser par lui dans le Jourdain, en reconnaissant publiquement leurs péchés."
MRK.1.6,"John wore clothing made of camel’s hair, with a leather belt around his waist, and he ate locusts and wild honey.","Kandi Yohana yambara ubgoya bg’ingamiya, akabukenyeza umukanda w’urusato mu rukenyerero, kandi yarya inzige n’ubūki bgo mw ishamba.",Jean était vêtu d’un vêtement de poils de chameau maintenu autour de la taille par une ceinture de cuir. Il se nourrissait de sauterelles et de miel sauvage.
MRK.1.7,"And this was his message: “After me comes the one more powerful than I, the straps of whose sandals I am not worthy to stoop down and untie.","Yaravuga, at’ Ūndusha ubushobozi azoza mu nyuma yanje, ntibimbereye no kwunama ngo mpfundurure utugozi tw’inkweto ziwe.",Et voici le message qu’il proclamait : Après moi va venir quelqu’un qui est plus puissant que moi. Je ne suis pas digne de me baisser devant lui pour dénouer la lanière de ses sandales.
MRK.1.8,"I baptize you with water, but he will baptize you with the Holy Spirit.”","Jeho ndababatirishije amazi, ariko we azobabatirisha Mpwemu Yera.","Moi, je vous ai baptisés dans l’eau, mais lui, il vous baptisera dans le Saint-Esprit."
MRK.1.9,At that time Jesus came from Nazareth in Galilee and was baptized by John in the Jordan.,"Mur’ iyo misi Yesu ava i Nazareti i Galilaya, araza, abatizwa na Yohana muri Yorodani.","Or, en ce temps-là, Jésus vint de Nazareth, un village de Galilée. Il fut baptisé par Jean dans le Jourdain."
MRK.1.10,"Just as Jesus was coming up out of the water, he saw heaven being torn open and the Spirit descending on him like a dove.","Avuye mu mazi, aca abona ijuru ritandukanye, Mpwemu aramanuka amugwako, asa n’inuma.","Au moment où il sortait de l’eau, il vit le ciel se déchirer et l’Esprit descendre sur lui comme une colombe."
