,0,1,2
NAM.1.1,A prophecy concerning Nineveh. The book of the vision of Nahum the Elkoshite.,Imbūri yo kuri Ninewe. Igitabo c’ivyo Nahumu Umwelekoshi yeretswe.,"Proclamation sur Ninive . Livre de la révélation reçue par Nahoum, d’Elqosh ."
NAM.1.2,The Lord is a jealous and avenging God; the Lord takes vengeance and is filled with wrath. The Lord takes vengeance on his foes and vents his wrath against his enemies.,"Uhoraho n’Imana ifūha kandi ni we ahōra; Uhoraho arahōra kandi yuzuye uburake; Uhoraho yihōra abarwanizi biwe, kand’ abansi biwe ababīkira uburake.","L’Eternel est un Dieu ╵qui ne tolère pas le mal ╵et qui le fait payer. L’Eternel fait payer, ╵sa fureur est terrible. Il fait payer ses adversaires, il garde son ressentiment ╵contre ses ennemis."
NAM.1.3,"The Lord is slow to anger but great in power; the Lord will not leave the guilty unpunished. His way is in the whirlwind and the storm, and clouds are the dust of his feet.","Uhoraho ateba kuraka, kand’ afise ububasha bginshi, ntatsindanishiriza na gatoya abo gutsindwa; inzira y’Uhoraho ica mu gashururu no mu kirura, kand’ ibicu ni wo mukungugu utumurwa n’ibirenge vyiwe.","D’un côté, l’Eternel ╵est lent à la colère, sa puissance est immense, mais il ne laisse pas ╵le coupable impuni. L’Eternel fraie sa route ╵dans l’ouragan et la tempête, et les nuées sont la poussière ╵que soulèvent ses pieds."
NAM.1.4,He rebukes the sea and dries it up; he makes all the rivers run dry. Bashan and Carmel wither and the blossoms of Lebanon fade.,"Akankamira ikiyaga akagikamya, agakamya n’ inzūzi zose; Bashani na Karumeli harahondobereye, n’amashurwe y’i Lebanoni arahondobereye.","Il menace la mer ╵et il la met à sec, il fait tarir les fleuves. Le Basan et le Carmel dépérissent, la flore du Liban se fane ."
NAM.1.5,"The mountains quake before him and the hills melt away. The earth trembles at his presence, the world and all who live in it.","Imisozi ishizwe mu gatengo na we, n’uturambi turashonze; isi isebagizwa imbere yiwe, isi n’abayibako bose.","Les montagnes vacillent ╵à son approche, les collines s’effondrent, la terre se soulève ╵devant ses pas, tout l’univers est bouleversé ╵avec ceux qui l’habitent."
NAM.1.6,Who can withstand his indignation? Who can endure his fierce anger? His wrath is poured out like fire; the rocks are shattered before him.,"Ni nde yoshobora guhagarara imbere y’ ubushangashirwe bgiwe? Kandi ni nde yoshobora kwihanganira uburake bgiwe bukaze? Uburake bgiwe busukwa nk’umuriro, kandi ni we amenagura ibitandara.","S’il se met en colère, ╵qui pourra subsister ? Et qui tiendra ╵quand son courroux s’enflamme ? Car sa fureur ╵se répand comme un incendie, les rochers se renversent ╵à son approche."
NAM.1.7,"The Lord is good, a refuge in times of trouble. He cares for those who trust in him,","Uhoraho ni mwiza, n’ubuhungiro bgo ku musi w’amagorwa; kand’ arazi abamwizigira.","Mais l’Eternel est bon, il est un sûr abri ╵au jour de la détresse, et il prend soin de ceux ╵qui se confient en lui."
NAM.1.8,but with an overwhelming flood he will make an end of Nineveh; he will pursue his foes into the realm of darkness.,"Arikw abarwanizi biwe azotuma batwarwa n’uruzi rusendanisha, kand’ abansi biwe azobakinagiza abashitse mu mwiza.","Par un flot qui déborde, il détruira Ninive ╵totalement, et il repoussera ╵ses ennemis dans les ténèbres."
NAM.1.9,Whatever they plot against the Lord he will bring to an end; trouble will not come a second time.,Ivyo muja imigabo k’Uhoraho n’ibiki? Azobageseza rwose: ubgo buyobe ntibuzorinda guhaguruka ubugira kabiri.,"Que complotez-vous donc ╵à l’encontre de l’Eternel ? C’est lui qui est l’auteur ╵de destructions totales, et la détresse ╵ne reparaîtra pas ╵une seconde fois."
NAM.1.10,They will be entangled among thorns and drunk from their wine; they will be consumed like dry stubble.,"Kuko naho bomera nk’amahwa azitanye, canke bagahindurwa iveve n’inyobga, bazotōngōrwa rwose nk’ibirararara vyumye.","Ils sont pareils ╵à un fourré d’épines ╵enchevêtrées. Tout imbibés qu’ils sont de vin, ils seront consumés totalement ╵comme du chaume sec."
