,0,1,2
NEH.1.1,"The words of Nehemiah son of Hakaliah: In the month of Kislev in the twentieth year, while I was in the citadel of Susa,","Amajambo ya Nehemiya mwene Hakaliya. Mu kwezi kwa Kisilevu, mu mwaka ugira mirongwibiri, nari nsanzwe ndi ku murwa i Shushani.","Histoire de Néhémie, fils de Hakalia. La vingtième année du règne d’Artaxerxès , au mois de Kislev , je me trouvais dans la citadelle de Suse ."
NEH.1.2,"Hanani, one of my brothers, came from Judah with some other men, and I questioned them about the Jewish remnant that had survived the exile, and also about Jerusalem.","Maze Hanani, umwe wo muri bene wacu, araza azananye n’abantu bamwe bavuye i Buyuda. Mbabaza inkuru z’amasigarira y’ Abayuda, abāri barasigaye batajanywe ar’ inyagano, mbabaza n’ inkuru z’i Yerusalemu.","Hanani, l’un de mes parents, arriva avec un groupe d’hommes de Juda. Je leur demandai des nouvelles du reste des Juifs revenus d’exil, et de Jérusalem."
NEH.1.3,"They said to me, “Those who survived the exile and are back in the province are in great trouble and disgrace. The wall of Jerusalem is broken down, and its gates have been burned with fire.”","Barambgira, bat’ Abāri barasigaye mur’ ico gihugu batājanywe ar’ inyagano bari n’amarushwa menshi n’ibitētērwa, kand’ inzitiro z’ amabuye z’i Yerusalemu zarasenyutse, n’amarembo yaho yarahiye.",Ils me répondirent : Ceux qui ont survécu à la captivité et qui vivent dans le district de Juda se trouvent dans une grande misère et dans une situation très humiliante ; il y a des brèches dans la muraille de Jérusalem et ses portes ont été détruites par le feu.
NEH.1.4,"When I heard these things, I sat down and wept. For some days I mourned and fasted and prayed before the God of heaven.","Nuko mmaze kwumva izo nkuru nca nicara ngaho ndarira, mmara imisi mbabaye nisonzesha, nsengera imbere y’Imana Nyen’ ijuru.","Lorsque j’entendis ces nouvelles, je m’assis et me mis à pleurer. Pendant plusieurs jours, je restai abattu. Je jeûnai et je priai constamment devant le Dieu du ciel."
NEH.1.5,"Then I said: “ Lord , the God of heaven, the great and awesome God, who keeps his covenant of love with those who love him and keep his commandments,","Ndavuga, nti Ndakwinginze, ewe Uhoraho, Mana Nyen’ ijuru, Mana nkuru uteye ubgoba, ukagumya isezerano n’ imbabazi ugirira abagukunda bakitondera ivyagezwe vyawe.","Je suppliai : Ah ! Eternel, Dieu du ciel, Dieu grand et redoutable, toi qui restes fidèle à ton alliance et qui conserves ta bienveillance à ceux qui t’aiment et qui obéissent à tes commandements,"
NEH.1.6,"let your ear be attentive and your eyes open to hear the prayer your servant is praying before you day and night for your servants, the people of Israel. I confess the sins we Israelites, including myself and my father’s family, have committed against you.","None tega ugutwi kwawe wumvirize, tereza n’inyonga zawe witegereze, kugira ngo wumve ugusenga kwanje, jewe umusavyi wawe nsengera imbere yawe mur’ iyi misi ku murango no mw ijoro, nkwingingira abasavyi bawe b’ Abisirayeli, nātura ivyaha twebge Abisirayeli twagucumuyeko; mbere twe n’inzu ya data twaracumuye.","prête attention à la prière de ton serviteur ! Que tes yeux soient ouverts pour voir que je suis en prière devant toi en ce moment, jour et nuit, pour intercéder en faveur de tes serviteurs les Israélites et pour confesser leurs péchés. Car nous avons péché contre toi. Oui, moi et mon peuple, nous avons péché."
NEH.1.7,"We have acted very wickedly toward you. We have not obeyed the commands, decrees and laws you gave your servant Moses.","Eka twaragucumuyeko bikomeye, ntitwitondeye ivyagezwe vyawe n’ivyo washinze n’amabgirizwa yawe, ivyo wageze umusavyi wawe Mose.","Nous sommes vraiment coupables envers toi, car nous avons désobéi aux commandements, aux ordonnances et aux lois que tu as donnés à Moïse, ton serviteur."
NEH.1.8,"“Remember the instruction you gave your servant Moses, saying, ‘If you are unfaithful, I will scatter you among the nations,","Ni wibuke ijambo wabariye umusavyi wawe Mose, uti Ni mwandyaruka nzobashwiragiriza mu mahanga;","Souviens-toi, cependant, je te prie, de ces paroles que tu as ordonné à ton serviteur Moïse de prononcer : « Lorsque vous serez infidèles, je vous disperserai parmi d’autres peuples ."
NEH.1.9,"but if you return to me and obey my commands, then even if your exiled people are at the farthest horizon, I will gather them from there and bring them to the place I have chosen as a dwelling for my Name.’","ut’ Ariko ni mwampindukirira, mukitondera ivyagezwe vyanje mukabishitsa, nah’ abirukanywe bo muri mwebge bazoba bar’ iy’ ijuru riherera, uti Sinobura kubakūrayo nkabēgeranya, nkabazana ha hantu nitoranirije ngw izina ryanje rihabe.","Mais si vous revenez à moi pour obéir à mes commandements et les appliquer, alors, même si vous vous trouvez éloignés jusqu’aux extrémités de la terre, je vous rassemblerai, et je vous ramènerai de là au lieu que j’ai choisi pour y établir ma présence. »"
NEH.1.10,"“They are your servants and your people, whom you redeemed by your great strength and your mighty hand.","None rero, abo ni bo basavyi bawe, kandi n’abantu bawe wacunguje ububasha bgawe bginshi bo n’ukuboko kwawe kw’ inkomezi.","Ils sont tes serviteurs et ton peuple, que tu as délivrés par ta grande force et par tes interventions puissantes."
NEH.1.11,"Lord, let your ear be attentive to the prayer of this your servant and to the prayer of your servants who delight in revering your name. Give your servant success today by granting him favor in the presence of this man.” I was cupbearer to the king.","Bgirukiro, ndakwinginze, tega ugutwi wumve ugusenga kwanje, jewe umusavyi wawe, wumve n’ugusenga kw’ abasavyi bawe bakunda kwubaha izina ryawe, untabare jewe umusavyi wawe, umpe kugira amahirwe uyu musi, no guhangazwa n’uwo muntu nsavye. Kuko nari nsanzwe nd’ umukevyi mpereza umwami igiturire.","Je t’en prie, Seigneur, veuille prêter attention à la prière de ton serviteur et à celle de tes autres serviteurs qui désirent te craindre ! De grâce, fais réussir aujourd’hui la démarche que je vais entreprendre et que cet homme m’accueille avec compassion ! Or, à cette époque, j’étais chargé de servir les boissons à la table de l’empereur."
NEH.2.1,"In the month of Nisan in the twentieth year of King Artaxerxes, when wine was brought for him, I took the wine and gave it to the king. I had not been sad in his presence before,","Nuko mu mwaka ugira mirongwibiri umwami Aritazeruzi ari ku ngoma, mu kwezi kwa Nisani, umusi ur’ izina vino yar’ iteretse imbere y’umwami, maze ndayābira, ndayimuhēreza. Kandi sinaribgagire umubabaro nd’ imbere yiwe.","Durant le mois de Nisân, la vingtième année du règne de l’empereur Artaxerxès, je pris du vin qui était devant l’empereur pour lui en servir. Jamais auparavant, je n’avais paru triste en sa présence."
NEH.2.2,"so the king asked me, “Why does your face look so sad when you are not ill? This can be nothing but sadness of heart.” I was very much afraid,","Nuk’ umwami arambaza, ati Mbega k’ubabaye, wiraburaniwe mu maso, kand’ utarwaye? Ivyo ntibiterwa n’ikindi, atar’ umubabaro wo mu mutima. Ndaheza ngira ubgoba bginshi;","Alors l’empereur me demanda : Pourquoi as-tu mauvaise mine ? Tu ne me sembles pourtant pas malade ; ce ne peut être qu’un chagrin de cœur ! Je fus saisi d’une grande crainte,"
NEH.2.3,"but I said to the king, “May the king live forever! Why should my face not look sad when the city where my ancestors are buried lies in ruins, and its gates have been destroyed by fire?”","ndamwishura, nti Mwami nyaguhora ku ngoma, mbega nobura kwiraburanirwa, igisagara ca ba sogokuruza, aho bāhambge, carabaye amatongo kand’ amarembo yaco yarahiye?",mais je lui dis : Que l’empereur vive toujours ! Comment n’aurais-je pas un air triste alors que la ville où sont enterrés mes ancêtres est en ruine et que ses portes ont été détruites par le feu ?
NEH.2.4,"The king said to me, “What is it you want?” Then I prayed to the God of heaven,","Nuk’ umwami arambaza, ati Non’ ugomba iki? Nca nsenga Imana Nyen’ ijuru.","Alors l’empereur me demanda : Que veux-tu donc ? J’adressai une prière au Dieu du ciel,"
NEH.2.5,"and I answered the king, “If it pleases the king and if your servant has found favor in his sight, let him send me to the city in Judah where my ancestors are buried so that I can rebuild it.”","Maze nishura umwami, nti Ni wabishima ga mugenzi, nkagira ubutoni imbere yawe, ico ngusaba n’ukugira ng’ undungike i Buyuda, mu gisagara kirimw’ imva za ba sogokuruza, nsubire ndacubake.","et je répondis à l’empereur : Si tel est le bon plaisir de l’empereur et si tu agrées ton serviteur, veuille m’envoyer en Juda, dans la ville où mes ancêtres sont enterrés, pour que je puisse la rebâtir."
NEH.2.6,"Then the king, with the queen sitting beside him, asked me, “How long will your journey take, and when will you get back?” It pleased the king to send me; so I set a time.","Kand’ umwami yar’ avyagiye ngaho ari kumwe n’umwamikazi wiwe; nukw arambaza, at’ Urugendo rwawe ruzoba urw’ imisi ingahe kand’ uzogaruka ryari? Nuk’ umwami yemera kundekura, nanje nca ndamubgira igihe.","L’empereur, qui avait l’impératrice assise à ses côtés, me demanda alors : Combien de temps durera ton voyage et quand seras-tu de retour ? L’empereur accepta donc de me laisser partir, et je lui indiquai un délai."
NEH.2.7,"I also said to him, “If it pleases the king, may I have letters to the governors of Trans-Euphrates, so that they will provide me safe-conduct until I arrive in Judah?","Ndaheza ndamubarira, nti Ni wabishima ga mugenzi, mpabge ivyete nshīra ivyēgēra vyawe vyo hakurya y’ uruzi, kugira ngo bemere kumpa inzira nshike i Buyuda,","Puis j’ajoutai : Si l’empereur le trouve bon, pourrait-on me donner des lettres pour les gouverneurs de la province à l’ouest de l’Euphrate, pour qu’ils me laissent passer jusqu’au pays de Juda,"
NEH.2.8,"And may I have a letter to Asaph, keeper of the royal park, so he will give me timber to make beams for the gates of the citadel by the temple and for the city wall and for the residence I will occupy?” And because the gracious hand of my God was on me, the king granted my requests.","bo n’ icete nshira Asafu, umurinzi arinda icibare cawe, kugira ngw ampe ibiti vyo kubāza ibikingi vy’amarembo y’igihome c’abashibamyi co ku ngoro, bo n’ivy’ uruzitiro rw’igisagara n’ivy’ inzu nzobamwo. Nuk’ umwami arabinyemerera, abitewe n’ikiganza ciza c’Imana cari kuri jewe.","ainsi qu’une lettre pour Asaph, l’intendant des forêts impériales, afin qu’il me fournisse du bois de charpente pour reconstruire les portes de la citadelle , près du Temple, et les murailles de la ville, et pour bâtir la maison où je m’installerai. L’empereur me procura ces lettres, car mon Dieu agissait avec bonté en ma faveur."
NEH.2.9,So I went to the governors of Trans-Euphrates and gave them the king’s letters. The king had also sent army officers and cavalry with me.,"Maze ngenda njanye n’abagabisha b’ingabo bo n’abagendera ku mafarasi umwami yampaye, nshikīra ivyēgēra vyiwe vyo hakurya y’uruzi, mbahēreza ivyete umwami yandungikanye.",Je me rendis auprès des gouverneurs des provinces à l’ouest de l’Euphrate et je leur remis les lettres de l’empereur. L’empereur m’avait fait escorter par des officiers de l’armée et par des cavaliers.
NEH.2.10,"When Sanballat the Horonite and Tobiah the Ammonite official heard about this, they were very much disturbed that someone had come to promote the welfare of the Israelites.","Buno Sanibalati Umuhoroni bo na Tobiya Umwamoni w’umugurano bavyumvise, bibamerera nabi cane yuko haje umuntu ababaye Abisirayeli.","Quand Sanballat, le Horonite, et Tobiya, le fonctionnaire ammonite , apprirent mon arrivée, ils furent très mécontents que quelqu’un soit venu pour œuvrer au bien des Israélites."
NEH.2.11,"I went to Jerusalem, and after staying there three days",Nuko nshitse i Yerusalemu mmaray’ imisi itatu.,"Une fois arrivé à Jérusalem, j’y restai trois jours."
NEH.2.12,I set out during the night with a few others. I had not told anyone what my God had put in my heart to do for Jerusalem. There were no mounts with me except the one I was riding on.,"Ndaheza mpenga mw ijoro mvyukana n’ abantu bake, kandi sinagize umuntu n’umwe mbgira ivyo Imana yashize mu mutima wanje ngo ndabikorere Yerusalemu; kandi nta mafarasi twajanye atar’ iyo nagenderako.","Puis je sortis de nuit, accompagné de quelques hommes, sans avoir dit à personne ce que mon Dieu m’avait mis à cœur d’entreprendre en faveur de Jérusalem. Je ne disposais pas d’autre bête que de ma propre monture."
NEH.2.13,"By night I went out through the Valley Gate toward the Jackal Well and the Dung Gate, examining the walls of Jerusalem, which had been broken down, and its gates, which had been destroyed by fire.","Nukw iryo joro nca mw irembo rija ku mwonga, nkomeza inzira y’isōko y’ikiyoka, nshika no kw irembo bācishamw’ umwavu, ngenda nitegereza inzitiro z’amabuye z’i Yerusalemu ukuntu zāsenyutse, n’amarembo yaho ingene yahiye.","Je sortis cette nuit-là par la porte de la Vallée , et je me dirigeai vers la source du Dragon et vers la porte du Fumier . J’examinai les remparts de Jérusalem. Je constatai qu’il y avait des brèches presque partout et que les portes avaient été détruites par le feu."
NEH.2.14,"Then I moved on toward the Fountain Gate and the King’s Pool, but there was not enough room for my mount to get through;","Maze nkomeza inzira nshika kw irembo rija kw iriba, nshika no ku kidengeri c’umwami, ariko ntihaboneka inzira ifarasi nagenderako icamwo.","Je poursuivis vers la porte de la Source et passai près de l’étang du Roi , mais il n’y avait plus de passage pour ma monture."
NEH.2.15,"so I went up the valley by night, examining the wall. Finally, I turned back and reentered through the Valley Gate.","Nukw iryo joro nyene nsubira kudūgana akagezi, nkomeza kugenda nitegereza inzitiro, ndaheza ndakevya nsubira guca muri rya rembo rija ku mwonga; nuko ndataha.","Je remontai, toujours de nuit, par la vallée du Cédron en continuant d’examiner la muraille. Puis je fis demi-tour et je rentrai par la porte de la Vallée."
NEH.2.16,"The officials did not know where I had gone or what I was doing, because as yet I had said nothing to the Jews or the priests or nobles or officials or any others who would be doing the work.","Arikw abakuru ntibari bazi iyo nagiye cank’ ico nakoze, kandi nta co naribgabarire Abayuda, ar’ abaherezi cank’ abanyacubahiro cank’ abakuru cank’ abandi bose bazokorana nanje ico gikorwa.","Les chefs de la ville ignoraient où j’étais allé et ce que j’avais fait. Jusque-là, je n’avais informé ni les Juifs, ni les prêtres, ni les notables, ni les chefs, ni les autres responsables qui s’occupaient des travaux."
NEH.2.17,"Then I said to them, “You see the trouble we are in: Jerusalem lies in ruins, and its gates have been burned with fire. Come, let us rebuild the wall of Jerusalem, and we will no longer be in disgrace.”","Maze ndababarira, nti Mbega ntimubona ayo twabonye, ingen’ i Yerusalemu hahindutse imisaka, n’amarembo yaho akaba yarahīye! Enda ni muze dusubire twubake uruzitiro rwaho, kugira ngo twoye kwama tur’ agatwengo.","C’est alors seulement que je leur dis : Vous voyez vous-mêmes quel est notre malheur ! Jérusalem est en ruine et ses portes ont été détruites par le feu ! Allez, reconstruisons le rempart de Jérusalem pour que nous ne soyons plus dans cette situation humiliante !"
NEH.2.18,"I also told them about the gracious hand of my God on me and what the king had said to me. They replied, “Let us start rebuilding.” So they began this good work.","Ndaheza mbiganira ingen’ ikiganza ciza c’Imana yanje cabaye kuri jewe, mbiganira n’amajambo umwami yambgiye; na bo baravuga, bati Ni tuve hasi twubake. Nuko bariyungunganya, bashirako bakora ico gikorwa ciza.","Je leur racontai ensuite comment la main bienveillante de mon Dieu avait agi pour moi avec bonté, et je leur rapportai ce que l’empereur m’avait dit. Ils s’écrièrent aussitôt : Levons-nous et effectuons les travaux de reconstruction. Ainsi ils prirent courage pour réaliser cette belle œuvre."
NEH.2.19,"But when Sanballat the Horonite, Tobiah the Ammonite official and Geshem the Arab heard about it, they mocked and ridiculed us. “What is this you are doing?” they asked. “Are you rebelling against the king?”","Ariko Sanibalati Umuhoroni, na Tobiya Umwamoni w’umugurano, na Geshemu Umwarabo, bavyumvise baradushinyagurira, batubarirana agakengerwe, bat’ Ivyo mukora n’ibiki? Mbega s’ uko mugomba kugarariza umwami?","Lorsque Sanballat, le Horonite, Tobiya, son adjoint ammonite, et Guéshem, l’Arabe, l’apprirent, ils se moquèrent de nous, et vinrent nous dire d’un ton méprisant : Qu’êtes-vous en train de faire ? Vous voulez vous révolter contre l’empereur ?"
