,0,1,2
NUM.1.1,The Lord spoke to Moses in the tent of meeting in the Desert of Sinai on the first day of the second month of the second year after the Israelites came out of Egypt. He said:,"Ku musi wa mbere w’ukwezi kwa kabiri kw’umwaka ugira kabiri bavuye mu gihugu ca Egiputa, Uhoraho abaririra Mose mw ihema ry’ibonaniro, bari mu bugaragwa bg’i Sinayi,","Le premier jour du deuxième mois de la deuxième année après la sortie d’Egypte , l’Eternel s’adressa à Moïse dans le désert du Sinaï dans la tente de la Rencontre. Il lui dit :"
NUM.1.2,"“Take a census of the whole Israelite community by their clans and families, listing every man by name, one by one.","ati Muharūre igitigiri c’ishengero ryose ry’Abisirayeli, nk’ukw imiryango yabo iri, nk’ukw amazu ya ba sekuruza ari, muharūre amazina y’abagabo bose umwe‐umwe,","Faites le recensement de toute la communauté des Israélites selon leurs familles et leurs groupes familiaux, en comptant tous les hommes"
NUM.1.3,You and Aaron are to count according to their divisions all the men in Israel who are twenty years old or more and able to serve in the army.,"muhēreye ku bamaze imyaka mirongwibiri no kuja hejuru, abo mu Bisirayeli bose bashobora kurwana mu ntambara, mwe na Aroni mubaharūre, nk’ukw imice yabo iri.","âgés de vingt ans et plus, tous ceux qui sont aptes à servir dans l’armée d’Israël. Toi et Aaron, vous les dénombrerez par corps d’armée."
NUM.1.4,"One man from each tribe, each of them the head of his family, is to help you.","Kandi muze mufatanye n’umuntu umwe‐umwe wo mu miryango yose, asanzwe ar’ umukuru mu nzu ya ba sekuruza.",Vous vous adjoindrez un homme par tribu ; vous prendrez celui qui se trouve à la tête de son groupe familial.
NUM.1.5,"These are the names of the men who are to assist you: from Reuben, Elizur son of Shedeur;",Aya ni yo mazina y’abo bantu bazofatanya namwe: mu ba Reyubeni ni Esisuri mwene Shedeyuri;,"Voici le nom des hommes qui vous assisteront : – pour Ruben : Elitsour, fils de Shedéour ; –"
NUM.1.6,"from Simeon, Shelumiel son of Zurishaddai;",mu ba Simeyoni ni Shelumiyeli mwene Surishadayi;,"pour Siméon : Sheloumiel, fils de Tsourishaddaï ; –"
NUM.1.7,"from Judah, Nahshon son of Amminadab;",mu ba Yuda ni Nahashoni mwene Aminadabu;,"pour Juda : Nahshôn, fils d’Amminadab ; –"
NUM.1.8,"from Issachar, Nethanel son of Zuar;",mu ba Isakari ni Netaneli mwene Suwari;,"pour Issacar : Netanéel, fils de Tsouar ; –"
NUM.1.9,"from Zebulun, Eliab son of Helon;",mu ba Zebuloni ni Eliyabu mwene Heloni;,"pour Zabulon : Eliab, fils de Hélôn ; –"
NUM.1.10,"from the sons of Joseph: from Ephraim, Elishama son of Ammihud; from Manasseh, Gamaliel son of Pedahzur;","muri bene Yosefu, uwo mu ba Efurayimu ni Elishama mwene Amihudi, uwo mu ba Manase ni Gamaliyeli mwene Pedasuri;","pour les fils de Joseph : pour Ephraïm : Elishama, fils d’Ammihoud ; pour Manassé : Gamliel, fils de Pédahtsour ; –"
