,0,1,2
OBA.1.1,"The vision of Obadiah. This is what the Sovereign Lord says about Edom— We have heard a message from the Lord : An envoy was sent to the nations to say, “Rise, let us go against her for battle”—","Ivyo Obadiya yeretswe. Uku ni k’Umwami Uhoraho agize ku vy’Abanyedomu. Twumvise inkuru zivuye k’Uhoraho, kandi har’ intumwa itumwe ku mahanga, ngo Ni muhaguruke, natwe nyene dukūre hasi, tubatere, tuje mu ntambara.","Révélation reçue par Abdias. Le Seigneur, l’Eternel ╵déclare sur Edom : j’ai entendu ╵une nouvelle venant de l’Eternel, et un héraut ╵a été envoyé ╵parmi les autres peuples : Levez-vous, leur dit-il. Partons en guerre contre Edom ."
OBA.1.2,"“See, I will make you small among the nations; you will be utterly despised.","Rāba, nakugize ritoya ku yandi mahanga: uba inkengerwa rwose.",Je vais te rendre ╵petit parmi les peuples et tu seras très méprisé.
OBA.1.3,"The pride of your heart has deceived you, you who live in the clefts of the rocks and make your home on the heights, you who say to yourself, ‘Who can bring me down to the ground?’","Ubgibone bgo mu mutima wawe bgaraguhenze, wewe uba mu bitandara vyacitsemw’ ibihoro, ukīvyagirira hejuru iyo bigwa; wewe uvugira mu mutima wawe, uti Ni nde yonkororera hasi?","Car ton orgueil t’égare, toi qui as ta demeure ╵dans les creux du rocher . Toi dont l’habitation ╵est haut perchée, tu te dis en toi-même : « Qui m’en fera descendre ? »"
OBA.1.4,"Though you soar like the eagle and make your nest among the stars, from there I will bring you down,” declares the Lord .","Naho wodūga intumbgejuru nk’inkukuma, kandi naho wokwārika icāri cawe hagati y’inyenyeri, nzogukorora ngukūreyo, ni k’Uhoraho agize.","Si comme l’aigle ╵tu t’élevais, et quand bien même ╵ton nid serait placé ╵au milieu des étoiles, je t’en ferais descendre, l’Eternel le déclare."
OBA.1.5,"“If thieves came to you, if robbers in the night— oh, what a disaster awaits you!— would they not steal only as much as they wanted? If grape pickers came to you, would they not leave a few grapes?","Ewe kuntu ugeseye! Ibisuma vyokūzira, cank’ abambuzi mw ijoro, mbega ntibogusahura kugeza bīhāgije gusa? Cank’ abāmūzi b’inzabibu boza kuri wewe, mbega ntibosigaza uduhūmbga tw’inzabibu?","Si des voleurs ╵ou des pillards ╵viennent chez toi ╵pendant la nuit, ils saccageront tout. Ne s’empareront-ils pas de tes biens ╵jusqu’à ce qu’ils en aient assez ? Si des vendangeurs pénètrent chez toi, ne laisseront-ils pas ╵que ce qui se grappille ?"
OBA.1.6,"But how Esau will be ransacked, his hidden treasures pillaged!",Ewe kuntu ivya Esau bisesanguwe! Itunga ryiwe ryari rinyegejwe ukuntu risokorowe!,"O ! Esaü, ╵comme on te fouille ! On met à jour ╵tous tes trésors cachés."
OBA.1.7,"All your allies will force you to the border; your friends will deceive and overpower you; those who eat your bread will set a trap for you, but you will not detect it.","Abo mwari mwifatanije bose bāragusohoye, bagushitsa no ku rubibe: abo mwari mwuzuye baragusutse, none barakunesheje; abo wagaburira bāguteze umutego: ariko ntiwabimenye.",Tous tes alliés ╵t’ont refoulé ╵jusque sur ta frontière. Tous tes amis te trompent ╵et te réduisent ╵en leur pouvoir. Tes associés ╵tendent des pièges sous tes pas. Il n’y a en Edom ╵aucun discernement.
OBA.1.8,"“In that day,” declares the Lord , “will I not destroy the wise men of Edom, those of understanding in the mountains of Esau?","Mbega kur’ uwo musi sinzorandura abanyabgenge bo muri Edomu, ngaherengeteza amakenga ku musozi wa Esau? ni k’Uhoraho abaza.","En ce jour-là, l’Eternel le déclare, je vais faire périr ╵tous les sages d’Edom, je ferai disparaître ╵tout le discernement ╵de la montagne d’Esaü."
OBA.1.9,"Your warriors, Teman, will be terrified, and everyone in Esau’s mountains will be cut down in the slaughter.","Ewe Temani, abahizi bawe bazogwa igihumura, bitume abantu bose iyo bava bakagera baririkwa, bashire ku musozi wa Esau.","Tes guerriers, ô Témân , ╵seront pris de panique si bien qu’au grand massacre, tout homme sera retranché ╵de la montagne d’Esaü."
OBA.1.10,"Because of the violence against your brother Jacob, you will be covered with shame; you will be destroyed forever.","Kubg’ inabi wagiriye mwene nyoko Yakobo uzomāramāra, uzorandurwa uheneberezwe.","Tu t’es montré violent ╵envers Jacob ton frère, c’est pourquoi tu seras ╵couvert de honte et tu disparaîtras ╵à tout jamais ."
OBA.1.11,"On the day you stood aloof while strangers carried off his wealth and foreigners entered his gates and cast lots for Jerusalem, you were like one of them.","Kuri wa musi wari wihagarariye urāba utw’ ininga, umusi ab’ akavantara bāsahura ibintu vyiwe, abanyamahanga bakamūzira mu marembo, bagapfindira i Yerusalemu, nawe wari nk’uwo muri bo.","Car tu étais présent en ce jour où des étrangers ╵emportaient ses richesses, lorsque des étrangers ╵pénétraient dans sa ville, et, en tirant au sort, ╵se partageaient entre eux ╵le butin de Jérusalem. Oui, toi aussi, ╵tu as agi comme eux."
OBA.1.12,"You should not gloat over your brother in the day of his misfortune, nor rejoice over the people of Judah in the day of their destruction, nor boast so much in the day of their trouble.","Yamara ntiwar’ ukwiye kurāba utw’ ininga umusi wa mwene nyoko ugeze, ku musi yashikiweko n’ivyago; umusi Abayuda bagesezwa, ntivyari bikwiye kukunezereza; ntiwari gutwengera mw ijigo ku musi w’amazigirizwa yabo.","Non, tu n’aurais pas dû ╵te complaire au spectacle ╵au jour du malheur de ton frère, au jour de sa détresse. Non, tu n’aurais pas dû ╵te réjouir ╵au détriment des Judéens au jour de leur désastre, ni ouvrir grand la bouche ╵pour insulter et te moquer au jour de leur angoisse."
