,0,1,2
PHM.1.1,"Paul, a prisoner of Christ Jesus, and Timothy our brother, To Philemon our dear friend and fellow worker—","Paulo, imbohe ya Kristo Yesu, na Timoteyo mwene Data, turakwandikiye Filemoni uwo dukunda, dusangiye igikorwa,","Paul, le prisonnier de Jésus-Christ, et Timothée, notre frère, saluent Philémon , notre cher ami et notre collaborateur,"
PHM.1.2,also to Apphia our sister and Archippus our fellow soldier—and to the church that meets in your home:,"na Apiya mushiki wacu, na Arukipo turwanana, n’ishengero ryo mu nzu yawe:","ainsi qu’Appia notre sœur, Archippe notre compagnon d’armes, et l’Eglise qui s’assemble dans ta maison."
PHM.1.3,Grace and peace to you from God our Father and the Lord Jesus Christ.,"ubuntu bube muri mwebge n’amahoro biva ku Mana, Data wa twese, no ku Mwami Yesu Kristo.",Que Dieu notre Père et le Seigneur Jésus-Christ vous accordent la grâce et la paix.
PHM.1.4,"I always thank my God as I remember you in my prayers,","Nshima Imana yanje ubudasība, nguhoza mu kanwa uko nsenze,","Je ne cesse d’exprimer ma reconnaissance à Dieu lorsque je fais mention de toi dans mes prières,"
PHM.1.5,because I hear about your love for all his holy people and your faith in the Lord Jesus.,"kuko numvise urukundo rwawe n’ukwizera Umwami Yesu kwawe, ukwo wereka abera bose:",car j’entends parler de l’amour et de la foi dont tu fais preuve envers le Seigneur Jésus et envers tous les membres du peuple saint.
PHM.1.6,I pray that your partnership with us in the faith may be effective in deepening your understanding of every good thing we share for the sake of Christ.,"kugira ng’ ugufataniriza mu kwizera kwawe gushobore vyinshi kubga Kristo, mu kumenyekanisha ivyiza vyose vyo muri twebge.",Je demande à Dieu que la solidarité qui nous unit à cause de ta foi se traduise en actes et qu’ainsi tout le bien que nous t’aurons amené à faire pour Christ soit rendu manifeste .
PHM.1.7,"Your love has given me great joy and encouragement, because you, brother, have refreshed the hearts of the Lord’s people.","Kuk’ urukundo rwawe rwanteye umunezero mwinshi rukandemesha, kand’ imitima y’abera warayiruhuye, mwene Data.","Car j’ai éprouvé une grande joie et un grand encouragement en apprenant comment tu mets ton amour en pratique. Frère, tu as en effet réconforté le cœur de ceux qui font partie du peuple saint."
PHM.1.8,"Therefore, although in Christ I could be bold and order you to do what you ought to do,","Kubg’ ivyo, naho mfise ubushizi bg’amanga bgose muri Kristo bgo kukugerakw ibikwiye,","C’est pourquoi, malgré toute la liberté que Christ me donne de te prescrire ton devoir,"
PHM.1.9,yet I prefer to appeal to you on the basis of love. It is as none other than Paul—an old man and now also a prisoner of Christ Jesus—,"mpisemwo kukwinginga kubg’ urukundo, uko ndi kose Paulo umutāma, kandi none nd’imbohe ya Kristo Yesu.","je préfère t’adresser cette demande au nom de l’amour, étant ce que je suis : moi, Paul, un vieillard, et de plus, maintenant, un prisonnier à cause de Jésus-Christ."
PHM.1.10,"that I appeal to you for my son Onesimus, who became my son while I was in chains.","Ndakwitwayeko ku mwana wanje Onesimo uwo navyariye mu minyororo yanje,","Je t’adresse cette demande au sujet de mon enfant, Onésime, dont je suis devenu le père spirituel ici, en prison."
PHM.1.11,"Formerly he was useless to you, but now he has become useful both to you and to me.","atākugirira ikimazi kera, ariko noneh’ atugirira ikimazi twempi.","Autrefois il t’était inutile, mais maintenant il est utile , à toi comme à moi."
PHM.1.12,I am sending him—who is my very heart—back to you.,"Ni we nyene nkurungikiye, ni we mutima wanje.","Je te le renvoie donc, lui qui est devenu comme une partie de moi-même ."
PHM.1.13,I would have liked to keep him with me so that he could take your place in helping me while I am in chains for the gospel.,"Mba ndamugumije kugira ngw ankorere mu gishingo cawe, mboshwe n’iminyororo y’ubutumwa bgiza.","Personnellement, je l’aurais volontiers gardé auprès de moi : il aurait pu ainsi me rendre service à ta place alors que je suis en prison à cause de l’Evangile."
PHM.1.14,"But I did not want to do anything without your consent, so that any favor you do would not seem forced but would be voluntary.","Ariko nta co ngomba gukora ntakugishije inama, kugira ngw iciza ukora ntikibe ic’ ugōberewe, arik’ ugikore ubikunze.","Je n’ai cependant rien voulu entreprendre sans ton assentiment, pour que le bienfait que tu m’aurais ainsi accordé ne soit pas forcé, même en apparence, mais entièrement volontaire."
PHM.1.15,Perhaps the reason he was separated from you for a little while was that you might have him back forever—,Kumbure icatumye atandukanywa nawe igihe gito kwar’ ukugira ng’ uz’ umwamane imisi yose:,"D’ailleurs, qui sait, peut-être Onésime a-t-il été séparé de toi pour un temps afin que tu le retrouves pour toujours,"
PHM.1.16,"no longer as a slave, but better than a slave, as a dear brother. He is very dear to me but even dearer to you, both as a fellow man and as a brother in the Lord.","atakir’ umugurano wawe, arikw aruta umugurano, ari mwene So, akundwa: akundwa nanje cane, arikw arushiriza gukundwa nawe, mu vy’umubiri no mu Mwami wacu.","non plus comme un esclave, mais bien mieux qu’un esclave : comme un frère très cher. Il l’est tellement pour moi ; combien plus le sera-t-il pour toi, en tant qu’homme et en tant que frère dans le Seigneur."
PHM.1.17,"So if you consider me a partner, welcome him as you would welcome me.","Nuko namb’ unyiyumvira ko dusangiye igikorwa, umwākīre nk’uko nanje wonyakiriye.","Par solidarité envers moi, accueille-le comme s’il s’agissait de moi-même."
PHM.1.18,"If he has done you any wrong or owes you anything, charge it to me.","Arikw asangwa har’ ico yaguhemukiyeko, canke har’ umwenda agufitiye, ubimparūreko.","Si tu as été lésé par lui ou s’il te doit quelque chose, porte cela sur mon compte ."
PHM.1.19,"I, Paul, am writing this with my own hand. I will pay it back—not to mention that you owe me your very self.","Ni jewe Paulo nandikishije ukwanje kuboko yuko nzovyishura: reka noye kukubgira yuk’ uri n’umwenda wanje, uwo mwenda ni wewe ubgawe.","J’écris ce qui suit de ma propre main : « Moi Paul, je te rembourserai ses dettes » – et je ne veux pas te rappeler ici que toi aussi, tu as une dette à mon égard : c’est ta propre personne."
PHM.1.20,"I do wish, brother, that I may have some benefit from you in the Lord; refresh my heart in Christ.","Ego, mwene Data, nkubonemw’ ikimazi mu Mwami wacu: unduhure umutima muri Kristo.","Oui, frère, fais-moi cette faveur à cause du Seigneur : réconforte mon cœur pour l’amour de Christ."
PHM.1.21,"Confident of your obedience, I write to you, knowing that you will do even more than I ask.","Nkwandikiye nizigiye k’uzonyumvira, nzi yuk’ uzokora n’ibiruta ivyo mvuze.","Je t’adresse cette lettre avec la certitude que tu répondras à mon attente. Et même, je le sais, tu feras encore plus que je ne demande ."
PHM.1.22,"And one thing more: Prepare a guest room for me, because I hope to be restored to you in answer to your prayers.","Kandi n’ikindi, untegurire indāro; kuko nizigiye yuko muzompabga kubg’ amasengesho yanyu.","En même temps, prépare-moi une chambre ; j’ai bon espoir de vous être rendu bientôt, en réponse à vos prières."
PHM.1.23,"Epaphras, my fellow prisoner in Christ Jesus, sends you greetings.","Epafura, mugenzanje tubohanywe muri Kristo, aragutasha,","Epaphras, qui est en prison avec moi à cause de Jésus-Christ, te fait bien saluer,"
PHM.1.24,"And so do Mark, Aristarchus, Demas and Luke, my fellow workers.","na Mariko, na Arisitariko, na Dema, na Luka, abo dusangiye igikorwa, baragutasha.","de même que Marc, Aristarque, Démas et Luc, mes collaborateurs."
PHM.1.25,The grace of the Lord Jesus Christ be with your spirit.,Ubuntu bg’Umwami Yesu Kristo bubane n’imitima yanyu. Amen.,Que le Seigneur Jésus-Christ vous accorde sa grâce.
