,0,1,2
PHP.1.1,"Paul and Timothy, servants of Christ Jesus, To all God’s holy people in Christ Jesus at Philippi, together with the overseers and deacons :","Paulo na Timoteyo, abagurano ba Kristo Yesu, turabandikiye abera bose bo muri Kristo Yesu b’i Filipi, hamwe n’abazezwashengero n’abakozi baryo.","Paul et Timothée , serviteurs de Jésus-Christ, saluent tous ceux qui, par leur union à Jésus-Christ, sont membres du peuple saint, et qui vivent à Philippes , ainsi que les dirigeants de l’Eglise et les diacres ."
PHP.1.2,Grace and peace to you from God our Father and the Lord Jesus Christ.,"Ubuntu bube muri mwebge n’amahoro, biva ku Mana Data wa twese no ku Mwami Yesu Kristo.",Que la grâce et la paix vous soient accordées par Dieu notre Père et par le Seigneur Jésus-Christ.
PHP.1.3,I thank my God every time I remember you.,"Nshima Imana yanje, uko mbibutse kwose,",J’exprime à mon Dieu ma reconnaissance chaque fois que je pense à vous ;
PHP.1.4,"In all my prayers for all of you, I always pray with joy","kand’ uko nsenze kwose mbasengera mwese nnezerewe,","je prie pour vous tous en toute occasion, et c’est toujours avec joie que je le fais."
PHP.1.5,"because of your partnership in the gospel from the first day until now,","kuko mwafatanije nanje gukwiza ubutumwa bgiza, muhereye ku musi wa mbere, mugashitsa n’ubu.","Oui, je remercie Dieu pour votre solidarité qui, depuis le premier jour jusqu’à maintenant, a contribué à l’annonce de l’Evangile."
PHP.1.6,"being confident of this, that he who began a good work in you will carry it on to completion until the day of Christ Jesus.","Kand’ ico nizigiye ntakekeranya, n’uk’ uwatanguye igikorwa ciza muri mwebge azogiheraheza gushitsa ku musi wa Yesu Kristo.","Et, j’en suis fermement persuadé : celui qui a commencé en vous son œuvre bonne la poursuivra jusqu’à son achèvement au jour de Jésus-Christ."
PHP.1.7,"It is right for me to feel this way about all of you, since I have you in my heart and, whether I am in chains or defending and confirming the gospel, all of you share in God’s grace with me.","Nanje birambereye kubiyumvirako ntyo mwese, kuko mbafise mu mutima, kuko mu ngoyi zanje, no mu gukiranira ubutumwa bgiza no kubucimbataza, mwese musangiye nanje ubuntu bg’Imana.","Tels sont mes sentiments envers vous tous ; et il est juste que je les éprouve ; en effet, vous occupez une place particulière dans mon cœur, car vous prenez tous une part active à la grâce que Dieu m’accorde, aussi bien quand je suis enchaîné dans ma cellule que lorsque je défends l’Evangile et que je l’établis fermement."
PHP.1.8,God can testify how I long for all of you with the affection of Christ Jesus.,"Imana ni yo ntanzekw icabona c’ingene mbagirira igishika mwese, mfise imbabazi za Kristo Yesu.","Oui, Dieu m’en est témoin : je vous aime tous de l’affection que vous porte Jésus-Christ ."
PHP.1.9,"And this is my prayer: that your love may abound more and more in knowledge and depth of insight,","Kand’ ico nsengera, n’ukugira ng’urukundo rwanyu rugwire rwongerekane mu bgenge no mu kumenya kwose,",Et voici ce que je demande dans mes prières : c’est que votre amour gagne de plus en plus en pleine connaissance et en parfait discernement
PHP.1.10,"so that you may be able to discern what is best and may be pure and blameless for the day of Christ,","murobanure ibidahwana, muhore mutagira ubupfunya cank’ ibigwisha gushitsa ku musi wa Kristo,","pour que vous puissiez discerner ce qui est important. Ainsi vous serez purs et irréprochables au jour de Christ,"
PHP.1.11,filled with the fruit of righteousness that comes through Jesus Christ—to the glory and praise of God.,"mwuzuye imbuto zo kugororoka ziheshwa na Yesu Kristo, ngo muheshe Imana icubahiro n’ishimwe.","où vous paraîtrez devant lui chargés d’œuvres justes, ce fruit que Jésus-Christ aura produit en vous, à la gloire et à la louange de Dieu."
PHP.1.12,"Now I want you to know, brothers and sisters, that what has happened to me has actually served to advance the gospel.","Bene Data, ndagomba ko mumenya yukw ivyambāyeko cane‐cane vyashize imbere ubutumwa bgiza:","Je tiens à ce que vous le sachiez, frères et sœurs : ce qui m’est arrivé a plutôt servi la cause de l’Evangile."
PHP.1.13,"As a result, it has become clear throughout the whole palace guard and to everyone else that I am in chains for Christ.","bituma ingoyi zanje zo kubga Kristo zimenyekana mu basoda bahora bashibama kwa Kayisari bose, no mu bandi bose.","En effet, toute la garde prétorienne et tous les autres savent que c’est parce que je sers Christ que je suis en prison."
PHP.1.14,"And because of my chains, most of the brothers and sisters have become confident in the Lord and dare all the more to proclaim the gospel without fear.","Kand’ abenshi bo muri bene Data bari mu Mwami wacu, bāremeshejwe n’ingoyi zanje, barushiriza gutinyuka kuvuga ijambo ry’Imana bashize amanga.","De plus, mon emprisonnement a encouragé la plupart des frères et sœurs à faire confiance au Seigneur ; aussi redoublent-ils d’audace pour annoncer sans crainte la Parole de Dieu ."
PHP.1.15,"It is true that some preach Christ out of envy and rivalry, but others out of goodwill.",Mugabo bamwe ishari n’amahane ni vyo bibatera kuvuga ivya Kristo; abandi babivugishwa n’ugushira icīra.,"Quelques-uns, il est vrai, sont poussés par la jalousie et par un esprit de rivalité. Mais d’autres annoncent Christ dans un bon esprit."
PHP.1.16,"The latter do so out of love, knowing that I am put here for the defense of the gospel.","Abo babivugishwa n’urukundo, kuko bazi ko nashiriweho gukīranira ubutumwa bgiza:","Ces derniers agissent par amour. Ils savent que si je suis ici, c’est pour défendre l’Evangile."
PHP.1.17,"The former preach Christ out of selfish ambition, not sincerely, supposing that they can stir up trouble for me while I am in chains.","ba bandi ikēba ni ryo ribatera kuvuga ivya Kristo atar’ uko bivuye ku mutima, biyumvira kw ar’ ukwongera kuntoneka mu ngoyi zanje.","Quant aux premiers, ils annoncent Christ dans un esprit de rivalité , avec des motifs qui ne sont pas innocents : ils veulent rendre ma captivité encore plus pénible."
PHP.1.18,"But what does it matter? The important thing is that in every way, whether from false motives or true, Christ is preached. And because of this I rejoice. Yes, and I will continue to rejoice,","Har’ ico biriko? Kizima mu buryo bgose, ari mu buryarya ari mu kuri, Kristo avugwa, kand’ ivyo ndabinezererewe, kandi nzokwama mbinezererwa;","Qu’importe, après tout ! De toute façon, que ce soit avec des arrière-pensées ou en toute sincérité, Christ est annoncé, et je m’en réjouis. Mieux encore : je continuerai à m’en réjouir."
PHP.1.19,for I know that through your prayers and God’s provision of the Spirit of Jesus Christ what has happened to me will turn out for my deliverance.,"kuko nzi yukw ivyo bizomviramw’ agakiza, munsengeye kandi ndonkejwe Mpwemu wa Yesu Kristo;","Car je suis certain que toutes ces épreuves aboutiront à mon salut, grâce à vos prières pour moi et à l’assistance de l’Esprit de Jésus-Christ."
PHP.1.20,"I eagerly expect and hope that I will in no way be ashamed, but will have sufficient courage so that now as always Christ will be exalted in my body, whether by life or by death.","nk’uko niteze cane nkizigira yuko hatazogira ikintu kimmāramāza, ariko ko mu bushizi bg’amanga bganje bgose Kristo aheshwe icubahiro n’umubiri wanje, nk’uko bihora biba, na none kw ari ko bizoba, naho noba ndiho canke naho noba mpfuye.","Car ce que j’attends et que j’espère de toutes mes forces, c’est de n’avoir à rougir de rien mais, au contraire, maintenant comme toujours, de manifester en ma personne, avec une pleine assurance, la grandeur de Christ, soit par ma vie, soit par ma mort."
PHP.1.21,"For to me, to live is Christ and to die is gain.","Kuko kubganje kubaho ari Kristo, kandi gupfa ar’ inyungu.","Pour moi, en effet, la vie, c’est Christ, et la mort est un gain."
PHP.1.22,"If I am to go on living in the body, this will mean fruitful labor for me. Yet what shall I choose? I do not know!","Ariko namb’ ari kubaho mu mubiri, ico kizonyamira imbuto z’igikorwa, kandi sinzi ico mpitamwo.","Mais si je continue à vivre dans ce monde, alors je pourrai encore porter du fruit par mon activité. Je ne sais donc pas que choisir."
PHP.1.23,"I am torn between the two: I desire to depart and be with Christ, which is better by far;","Ndazazaniwe mur’ ivyo bibiri, kuko nifuza gutaha ngo mbane na Kristo, kukw ari co kirushirije cane:","Je suis tiraillé de deux côtés : j’ai le désir de quitter cette vie pour être avec Christ, car c’est, de loin, le meilleur."
PHP.1.24,but it is more necessary for you that I remain in the body.,yamara kuguma mu mubiri ni co corushiriza kubagirira ikimazi.,Mais il est plus nécessaire que je demeure dans ce monde à cause de vous.
PHP.1.25,"Convinced of this, I know that I will remain, and I will continue with all of you for your progress and joy in the faith,","Kandi ko nizigiye ivyo, ndazi neza yuko nzogumaho, nkabana namwe mwese, kugira ngo muje imbere, munezererwe ukwizera;","Cela, j’en suis convaincu. Je sais donc que je resterai et que je demeurerai parmi vous tous, pour contribuer à votre progrès et à votre joie dans la foi."
PHP.1.26,so that through my being with you again your boasting in Christ Jesus will abound on account of me.,ngo muze murushirize kunyirata muri Kristo Yesu nsubiye kugaruka i wanyu.,"Ainsi, lorsque je serai de retour chez vous, vous aurez encore plus de raisons, à cause de moi, de placer votre fierté en Jésus-Christ."
PHP.1.27,"Whatever happens, conduct yourselves in a manner worthy of the gospel of Christ. Then, whether I come and see you or only hear about you in my absence, I will know that you stand firm in the one Spirit, striving together as one for the faith of the gospel","Ariko kimwe gusa, ingeso zanyu zimere nk’uko bibereye ubutumwa bgiza bga Kristo, kugira ngo nje kubagendera canke ntaje, numve ivyanyu ko muhagaze mushikamye mufise impwemu imwe, muhuje umutima mu kurwanira ukwizera ubutumwa bgiza,","Quoi qu’il en soit, menez une vie digne de l’Evangile de Christ, en vrais citoyens de son royaume. Ainsi, que je vienne vous voir ou que je reste loin de vous, je pourrai apprendre que vous tenez bon, unis par un même esprit, luttant ensemble d’un même cœur pour la foi fondée sur l’Evangile,"
PHP.1.28,"without being frightened in any way by those who oppose you. This is a sign to them that they will be destroyed, but that you will be saved—and that by God.","ko mudakangwa n’abarwanizi ku kintu na kimwe; ico kizobera abo ikimenyetso co guhona, ariko mwebge ic’ agakiza, kandi kivuye ku Mana.","sans vous laisser intimider en rien par les adversaires. C’est pour eux le signe qu’ils courent à leur perte, et pour vous celui que vous êtes sauvés. Et cela vient de Dieu."
PHP.1.29,"For it has been granted to you on behalf of Christ not only to believe in him, but also to suffer for him,","Kukw ico mwagabiwe kubga Kristo, atar’ ukumwizera gusa, ariko mwagabiwe no kubabazwa kubgiwe;","Car en ce qui concerne Christ, Dieu vous a accordé la grâce, non seulement de croire en lui, mais encore de souffrir pour lui."
PHP.1.30,"since you are going through the same struggle you saw I had, and now hear that I still have.",muri muri ya ntambara mwambonanye kand’ iyo munyumvana n’ubu.,"Vous êtes en effet engagés dans le même combat que moi, ce combat que vous m’avez vu soutenir et que je soutiens encore maintenant, comme vous le savez."
PHP.2.1,"Therefore if you have any encouragement from being united with Christ, if any comfort from his love, if any common sharing in the Spirit, if any tenderness and compassion,","Nuko namba har’ ukuremeshwa muri Kristo, namba har’ ukwirurwa kuva mu rukundo, namba har’ ugusangira Mpwemu, namba har’ imbabazi n’ikigongwe,","N’avez-vous pas trouvé en Christ un réconfort, dans l’amour un encouragement, par l’Esprit une communion entre vous ? N’avez-vous pas de l’affection et de la bonté les uns pour les autres ?"
PHP.2.2,"then make my joy complete by being like-minded, having the same love, being one in spirit and of one mind.","mwuzuze umunezero wanje muhwanije imitima, musangiye urukundo rumwe, muhūje umutima n’inama.","Rendez donc ma joie complète : tendez à vivre en accord les uns avec les autres. Et pour cela, ayez le même amour, une même pensée, et tendez au même but."
PHP.2.3,"Do nothing out of selfish ambition or vain conceit. Rather, in humility value others above yourselves,","Ntimugire ico mukora kubgo gukēbana cank’ ukwifata uko mutari, ariko mwicishije bugufi, umuntu wese yiyumvire yuko mugenzi we amuruta,","Ne faites donc rien par esprit de rivalité , ou par un vain désir de vous mettre en avant ; au contraire, par humilité, considérez les autres comme plus importants que vous-mêmes ;"
PHP.2.4,not looking to your own interests but each of you to the interests of the others.,"kand’ umuntu wese ntiyiyumvire ivyiwe gusa, ariko yiyumvire n’ivy’ abandi.","et que chacun regarde, non ses propres qualités , mais celles des autres."
PHP.2.5,"In your relationships with one another, have the same mindset as Christ Jesus:",Mugire wa mutima muri mwebge wari muri Kristo Yesu.,"Tendez à vivre ainsi entre vous, car c’est ce qui convient quand on est uni à Jésus-Christ ."
PHP.2.6,"Who, being in very nature God, did not consider equality with God something to be used to his own advantage;","Uwo, naho yar’ asanganywe ishusho y’Imana, ntiyiyumviriye yuko kuringanira n’Imana ar’ ikintu co kwumirako:","Lui qui était de condition divine , ne chercha pas à profiter de l’égalité avec Dieu,"
PHP.2.7,"rather, he made himself nothing by taking the very nature of a servant, being made in human likeness.","ariko yīsiga ubusa, yābīra ishusho y’umugurano, acika ūsa n’abantu.","mais il s’est dépouillé lui-même, et il a pris la condition d’un serviteur en se rendant semblable aux hommes : se trouvant ainsi reconnu à son aspect, comme un simple homme,"
PHP.2.8,"And being found in appearance as a man, he humbled himself by becoming obedient to death— even death on a cross!","Kand’ abonetse afise ishusho nk’iy’ umuntu, yicisha bugufi, araganduka no gushitsa ku rupfu, kand’ urupfu rwo ku musaraba.","il s’abaissa lui-même en devenant obéissant, jusqu’à subir la mort, oui, la mort sur la croix."
