,0,1,2
PRO.1.1,"The proverbs of Solomon son of David, king of Israel:","Imigani ya Salomo mwene Dawidi, umwami w’Abisirayeli,","Proverbes de Salomon , fils de David, roi d’Israël."
PRO.1.2,for gaining wisdom and instruction; for understanding words of insight;,Yo kumenya ubgenge bo n’ inyigisho; Gutegēra amajambo y’ugutahura;,"Ils ont pour but d’enseigner aux hommes la sagesse et de les éduquer, pour qu’ils comprennent les paroles prononcées avec intelligence,"
PRO.1.3,"for receiving instruction in prudent behavior, doing what is right and just and fair;","Kwigishwa gukora ibiroranye mu bgenge, Mu kugororoka, mu kwitegereza neza no mu gutunganya;","et qu’ils reçoivent une éducation réfléchie en vue d’être justes, de vivre selon le droit et dans la droiture."
PRO.1.4,"for giving prudence to those who are simple, knowledge and discretion to the young—","No guha imburabgenge kwiguranura, N’umusore kumuha ukumenya no kugira amakenga:",Ces proverbes donneront aux gens sans expérience le bon sens et aux jeunes de la connaissance et du jugement.
PRO.1.5,"let the wise listen and add to their learning, and let the discerning get guidance—","Kugira ng’ umunyabgenge yumve, yunguke ubgenge, Kandi ng’ umuntu w’umuhanga ashike ku kwemera inama nziza;","Que le sage écoute et il enrichira son savoir, et l’homme avisé acquerra l’art de bien se conduire."
PRO.1.6,"for understanding proverbs and parables, the sayings and riddles of the wise.","No ku gutahura umugani n’ikigereranyo, N’amajambo y’abanyabgenge n’ubupfindo bgabo bapfinda.",Ces proverbes sont destinés à faire comprendre les maximes et les paraboles et à pénétrer les propos des sages et leurs paroles énigmatiques.
PRO.1.7,"The fear of the Lord is the beginning of knowledge, but fools despise wisdom and instruction.",Kwubaha Uhoraho ni kwo tanguriro ry’ukumenya: Arikw ibipfu bikēngēra ubgenge n’inyigisho.,"C’est par la crainte de l’Eternel que commence la connaissance , mépriser la sagesse et l’éducation, c’est être un insensé."
PRO.1.8,"Listen, my son, to your father’s instruction and do not forsake your mother’s teaching.","Mwana wanje, umva inyigisho ya so, Kandi ntute ibgirizwa rya nyoko:","Mon fils, sois attentif à l’éducation que tu reçois de ton père et ne néglige pas l’instruction de ta mère,"
PRO.1.9,They are a garland to grace your head and a chain to adorn your neck.,"Kuko bizokubera umugāra w’ubuntu mu mutwe, N’imigufu mw izosi.",car elles seront comme une belle couronne sur ta tête et comme des colliers à ton cou.
PRO.1.10,"My son, if sinful men entice you, do not give in to them.","Mwana wanje, abanyavyaha ni bakwosha Ntukemere.","Mon fils, si des gens malfaisants veulent t’entraîner, ne leur cède pas."
PRO.1.11,"If they say, “Come along with us; let’s lie in wait for innocent blood, let’s ambush some harmless soul;","Ni bakubgira, bati Ngwino ujane natwe, Turyamire kwica, Dutegere mu mpisho ūtagira igicumuro, ata nyanduruko;","S’ils te disent : « Viens avec nous, dressons une embuscade pour tuer quelqu’un, tendons, sans raison, un piège à l’innocent :"
PRO.1.12,"let’s swallow them alive, like the grave, and whole, like those who go down to the pit;","Tubayongobeze nk’i kuzimu, bakibona, Ar’ imirava, nk’abamanuka baja muri rwa rwobo;","nous l’engloutirons tout vif comme le séjour des morts, il disparaîtra tout entier comme ceux qui descendent dans la tombe."
PRO.1.13,we will get all sorts of valuable things and fill our houses with plunder;,"Tuzoronka ibintu vyose vy’ igiciro kinini, Tuzokwuzuza amazu yacu isahu;","Nous ferons main basse sur un tas de biens précieux, nous remplirons nos maisons de butin."
PRO.1.14,cast lots with us; we will all share the loot”—,"Enda fadikanya natwe, Twese tugire umupfuko umwe:","Tu en auras ta part avec nous, nous ferons tous bourse commune »,"
PRO.1.15,"my son, do not go along with them, do not set foot on their paths;","Mwana wanje, ntuz’ ugendane na bo mu nzira, Ubuze ikirenge cawe inzira yabo,","mon fils, ne te mets pas en route avec ces gens-là, évite d’emprunter les mêmes chemins qu’eux,"
PRO.1.16,"for their feet rush into evil, they are swift to shed blood.","Kukw ibirenge vyabo vyirukira gukora ikibi, Kandi bihutira kuvisha amaraso.","car ils se précipitent vers le mal, ils ont hâte de répandre le sang."
PRO.1.17,How useless to spread a net where every bird can see it!,Kuk’ umutego utegerwa ubusa Ikiguruka cose iyo kibibona.,Mais il est vain de vouloir tendre un filet pendant que tous les oiseaux t’observent .
PRO.1.18,These men lie in wait for their own blood; they ambush only themselves!,"Kand’ abo, baryamira kuvisha ayabo maraso, Bategera mu mpisho ubgabo bugingo.","En vérité, c’est au péril de leur propre vie que ces gens-là dressent des embûches, c’est à eux-mêmes qu’ils tendent des pièges."
PRO.1.19,Such are the paths of all who go after ill-gotten gain; it takes away the life of those who get it.,Uko ni kw inzira zimeze z’ umuntu wese w’ikirara ku nyungu: Inyungu ikūrah’ ubugingo bga ba nyene yo.,C’est à cela qu’aboutiront tous ceux qui cherchent à s’enrichir par des voies malhonnêtes : un gain mal acquis fait périr celui qui le détient.
PRO.1.20,"Out in the open wisdom calls aloud, she raises her voice in the public square;",Bgenge arangururira ijwi mu nzira; Ashirira ijwi hejuru ahiyaguye;,"La Sagesse crie bien haut dans les rues, sa voix résonne sur les places publiques."
PRO.1.21,"on top of the wall she cries out, at the city gate she makes her speech:","Asemererera ku nama aho bakoranira; Mw ishikiro ku marembo, No mu gisagara, ni hoavugira amajambo yiwe:","Dominant le tumulte, elle appelle. Près des portes de la ville , elle fait entendre ses paroles, disant :"
PRO.1.22,“How long will you who are simple love your simple ways? How long will mockers delight in mockery and fools hate knowledge?,"Ati Yemwe bijuju, muzogeza ryari gukunda ubujuju? N’abacokoranyi guhimbarwa no gucokora? N’ibipfu kugirira urwanko ubgenge?","Gens sans expérience, jusques à quand vous complairez-vous dans votre inexpérience ? Et vous, moqueurs, jusqu’à quand prendrez-vous plaisir à vous moquer ? Et vous, insensés, jusqu’à quand détesterez-vous la connaissance ?"
PRO.1.23,"Repent at my rebuke! Then I will pour out my thoughts to you, I will make known to you my teachings.","Muhindukire kubgo kwihanikiriza kwanje: Rāba, nzosuka impwemu yanje kuri mwebge, Nzobamenyesha amajambo yanje.","Ecoutez mes avertissements, voici : je répandrai sur vous mon Esprit et je vous ferai connaître mes paroles."
PRO.1.24,"But since you refuse to listen when I call and no one pays attention when I stretch out my hand,","Ko nabahamagaye, namwe mukanka; Nkabākura, ntihagire ūbibabara;","J’ai appelé et vous m’avez résisté, j’ai tendu la main et personne n’y a prêté attention."
PRO.1.25,"since you disregard all my advice and do not accept my rebuke,","Mukagaya inama zanje zose, Mukanka kwihanikiriza kwanje:",Vous avez rejeté tous mes conseils et vous n’avez pas voulu de mes avertissements.
PRO.1.26,I in turn will laugh when disaster strikes you; I will mock when calamity overtakes you—,"Nuko nanje nzobatwengera mw ijigo mu gihe c’ivyago vyanyu; Nzobitamba ku muvyimba, agatengo kabafashe;","C’est pourquoi, lorsque le malheur fondra sur vous, je rirai, quand la terreur vous saisira, je me moquerai."
PRO.1.27,"when calamity overtakes you like a storm, when disaster sweeps over you like a whirlwind, when distress and trouble overwhelm you.","Agatengo kanyu kabafashe nk’igihuhuta, Ivyago vyanyu bibazingazinze nk’agashururu, Guhagarika umutima n’ubusinzikare bibashikiriye.","Quand l’épouvante, comme une tempête, viendra sur vous, que le malheur fondra sur vous comme un ouragan, et que la détresse et l’angoisse vous assailliront,"
PRO.1.28,"“Then they will call to me but I will not answer; they will look for me but will not find me,","Ni ho bazontakambira, ariko sinzobishura; Bazondondera ubudahumeka, ariko ntibazombona:","alors ils m’appelleront, mais je ne répondrai pas. Ils me chercheront, mais ne me trouveront pas ."
PRO.1.29,since they hated knowledge and did not choose to fear the Lord .,"Nuko kuko bagiriye urwanko ubgenge, Ntibahitemwo kwubaha Uhoraho;","Puisqu’ils ont détesté la connaissance et qu’ils n’ont pas choisi de craindre l’Eternel,"
PRO.1.30,"Since they would not accept my advice and spurned my rebuke,","Bakanka inama zanje, Bagakēngēra ukwihanikiriza kwanje kwose;","qu’ils n’ont pas voulu de mes conseils et qu’ils ont dédaigné tous mes avertissements,"
PRO.1.31,they will eat the fruit of their ways and be filled with the fruit of their schemes.,"Ni co gituma bazorya ku vy’ inzira zabo zāmuje, Bazohāga akazīkira kabo ubgabo.","eh bien, ils récolteront les fruits de leur conduite et ils se repaîtront jusqu’à ce qu’ils en aient plus qu’assez de leurs propres projets."
PRO.1.32,"For the waywardness of the simple will kill them, and the complacency of fools will destroy them;","Gukomantaza imitima kw’ imburabgenge kuzozica, Kand’ ukugubga neza kw’ibipfu kuzobihonnya.","Car la présomption des gens inexpérimentés causera leur mort, et l’assurance des insensés les perdra."
PRO.1.33,"but whoever listens to me will live in safety and be at ease, without fear of harm.”","Arik’ ūntega ugutwi wese azoba amahoro, Azokwama atekereje ata kibi atinya.","Mais celui qui m’écoute habitera en sécurité, il vivra tranquille, sans avoir à redouter le malheur."
PRO.2.1,"My son, if you accept my words and store up my commands within you,","Mwana wanje, ni wemera amajambo yanje, Ukabīka amabgirizwa yanje muri wewe,","Mon fils, si tu acceptes mes paroles, si tu conserves mes préceptes au fond de toi-même,"
PRO.2.2,turning your ear to wisdom and applying your heart to understanding—,"Bigatuma utega ugutwi ubgenge, Ugashira umutima ku gutahura;","si tu prêtes une oreille attentive à la sagesse, en inclinant ton cœur vers l’intelligence,"
