,0,1,2
PSA.1.1,"Blessed is the one who does not walk in step with the wicked or stand in the way that sinners take or sit in the company of mockers,","Hahirwa umuntu atagendera mu nama z’ababi, Adahagarara mu nzira y’abanyavyaha, Aticarana n’abacokoranyi.","Heureux l’homme ╵qui ne marche pas ╵selon les conseils ╵des méchants, qui ne va pas se tenir ╵sur le chemin des pécheurs, qui ne s’assied pas ╵en la compagnie ╵de ces gens qui se moquent de Dieu."
PSA.1.2,"but whose delight is in the law of the Lord , and who meditates on his law day and night.","Arikw ibimuhimbara biri mu vyagezwe vy’Uhoraho, Kand’ ivyagezwe vyiwe ni vyo ashirak’ umutima ku murango no mw ijoro.",Toute sa joie il la met ╵dans la Loi de l’Eternel qu’il médite jour et nuit.
PSA.1.3,"That person is like a tree planted by streams of water, which yields its fruit in season and whose leaf does not wither— whatever they do prospers.","Azoba nk’igiti gitewe hafi y’ imigezi y’amazi, Cama igihe caco, Ibibabi vyaco ntivyuma: Ic’ azokora cose kizomubera ko.",Il prospère comme un arbre ╵implanté près d’un cours d’eau ; il donne toujours son fruit ╵lorsqu’en revient la saison. Son feuillage est toujours vert ; tout ce qu’il fait réussit.
PSA.1.4,Not so the wicked! They are like chaff that the wind blows away.,Ababi ntibamera bartyo: Ariko baba nk’umuguruka utwarwa n’umuyaga.,Tel n’est pas le cas ╵des méchants : ils sont pareils à la paille ╵éparpillée par le vent.
PSA.1.5,"Therefore the wicked will not stand in the judgment, nor sinners in the assembly of the righteous.","Ni co gituma ababi batazoshobora guhagarara ku musi w’amateka, Cank’ abanyavyaha mw ikoraniro ry’abagororotsi.","Aussi, lors du jugement, ╵ils ne subsisteront pas, et nul pécheur ne se maintiendra ╵parmi la communauté des justes."
PSA.1.6,"For the Lord watches over the way of the righteous, but the way of the wicked leads to destruction.","Kuk’ Uhoraho azi inzira y’ abagororotsi, Arikw inzira y’abanyavyaha ijana mu mahonero.",Oui car l’Eternel prend en compte ╵la voie suivie par les justes ; mais le sentier des méchants ╵les mène à la ruine.
PSA.2.1,Why do the nations conspire and the peoples plot in vain?,Abanyamahanga n’iki kibateye umuvurungano? N’amoko yagīriye ingingo iki ivy’ ubusa?,Pourquoi tant d’effervescence ╵parmi les nations ? Et pourquoi les peuples ╵trament-ils ces complots inutiles ?
PSA.2.2,"The kings of the earth rise up and the rulers band together against the Lord and against his anointed, saying,","Abami bo mw isi baragomoye, N’abakuru bahūrije ingingo hamwe Kurwanya Uhoraho n’Uwo yarobanuje amavuta;",Pourquoi les rois de la terre ╵se sont-ils tous soulevés et les grands conspirent-ils ensemble contre l’Eternel ╵et contre l’homme qui a reçu ╵l’onction de sa part ?
PSA.2.3,“Let us break their chains and throw off their shackles.”,"Bati Ngo ducagagure imvuto bātubohesheje, Dute kure ingoyi bādushizemwo.",Ils s’écrient : « Faisons sauter tous leurs liens et jetons au loin leurs chaînes ! »
PSA.2.4,The One enthroned in heaven laughs; the Lord scoffs at them.,Umwe avyagiye mw ijuru azobatwengera mw ijigo: Umwami Imana azobakēngēra.,"Mais il rit, celui qui siège ╵sur son trône dans les cieux. ╵Le Seigneur se moque d’eux."
PSA.2.5,"He rebukes them in his anger and terrifies them in his wrath, saying,","Maz’ azobabarirana uburake bgiwe, Azobatēza ubgoba uguhambara kwiwe gukomeye,","Dans sa colère il leur parle, dans sa fureur il les épouvante, en leur tenant ce discours :"
