,0,1,2
ROM.1.1,"Paul, a servant of Christ Jesus, called to be an apostle and set apart for the gospel of God—","Paulo, umugurano wa Yesu Kristo, nahamagariwe kuba intumwa, narobanuriwe ubutumwa bgiza bg’Imana,","Cette lettre vous est adressée par Paul, serviteur de Jésus-Christ, qui a été appelé à être apôtre et choisi pour proclamer l’Evangile de Dieu,"
ROM.1.2,the gospel he promised beforehand through his prophets in the Holy Scriptures,"ubgo yasezeraniye kera mu kanwa k’abo yavugisha mu vyanditswe vyera,",la Bonne Nouvelle que Dieu avait promise par ses prophètes dans les Saintes Ecritures.
ROM.1.3,"regarding his Son, who as to his earthly life was a descendant of David,","buvuga ivy’ Umwana wayo, yavutse mu ruvyaro rwa Dawidi mu buryo bg’umubiri,","Elle parle de son Fils qui, dans son humanité, descend de David,"
ROM.1.4,and who through the Spirit of holiness was appointed the Son of God in power by his resurrection from the dead: Jesus Christ our Lord.,"yerekanywe kw ar’ Umwana w’Imana mu buryo bga Mpwemu Yera, ukuzuka kwiwe kwavyerekanishije ubushobozi, ni we Yesu Kristo Umwami wacu.","et qui a été institué Fils de Dieu avec puissance lorsque le Saint-Esprit l’a ressuscité , Jésus-Christ, notre Seigneur."
ROM.1.5,Through him we received grace and apostleship to call all the Gentiles to the obedience that comes from faith for his name’s sake.,"Ni we yaduhesheje ubuntu no kuba intumwa kubg’ izina ryiwe, kugira ngo mu mahanga yose habemw’ abumvira Imana, babiheshwa no kwizera:","Par lui, j’ai reçu la grâce d’être apôtre pour amener, en son nom, des hommes de tous les peuples à lui obéir en croyant."
ROM.1.6,And you also are among those Gentiles who are called to belong to Jesus Christ.,"kandi namwe muri muri bo, mwahamagariwe kuba aba Yesu Kristo:","Vous êtes de ceux-là, vous que Jésus-Christ a appelés à lui."
ROM.1.7,To all in Rome who are loved by God and called to be his holy people: Grace and peace to you from God our Father and from the Lord Jesus Christ.,"ndabandikiye mwese mur’ i Roma mukundwa n’Imana, mwahamagariwe kuba abera. Ubuntu bube muri mwebge n’amahoro, biva ku Mana, Data wa twese, no ku Mwami Yesu Kristo.","Je vous écris, à vous tous qui êtes à Rome les bien-aimés de Dieu, et qui ont été appelés à faire partie du peuple saint. Que la grâce et la paix vous soient accordées par Dieu notre Père et par le Seigneur Jésus-Christ."
ROM.1.8,"First, I thank my God through Jesus Christ for all of you, because your faith is being reported all over the world.","Irya mbere, mwese mbashimiye Imana yanje muri Yesu Kristo, kukw inkuru y’ukwizera kwanyu ikwiye mw isi yose.","Tout d’abord, je remercie mon Dieu par Jésus-Christ au sujet de vous tous parce qu’on parle de votre foi dans le monde entier."
ROM.1.9,"God, whom I serve in my spirit in preaching the gospel of his Son, is my witness how constantly I remember you","Imana, nkorera mu mutima wanje mvuga ubutumwa bgiza bg’Umwana wayo, ni yo ntanzekw icabona yuko mbahoza mu kanwa ubudasība,",
ROM.1.10,in my prayers at all times; and I pray that now at last by God’s will the way may be opened for me to come to you.,imisi yose uko nsenze nsaba ngo noneho bishobotse Imana yemere kungendesha amahoro no kunzana i wanyu.,
ROM.1.11,I long to see you so that I may impart to you some spiritual gift to make you strong—,"Kuko nifuza kubabona, kugira ngo mbahe ingabire y’impwemu, ibaremeshe;","Car j’ai le vif désir d’aller vous voir pour vous transmettre quelque don de la grâce, par l’Esprit, en vue d’affermir votre foi,"
ROM.1.12,"that is, that you and I may be mutually encouraged by each other’s faith.","ni kwo guhūmurizanya namwe, mpūmurizwe n’ukwizera kwanyu, namwe muhūmurizwe n’ukwanje.","ou mieux : pour que, lorsque je serai parmi vous, nous nous encouragions mutuellement, vous et moi, par la foi qui nous est commune."
ROM.1.13,"I do not want you to be unaware, brothers and sisters, that I planned many times to come to you (but have been prevented from doing so until now) in order that I might have a harvest among you, just as I have had among the other Gentiles.","Kandi bene Data, singomba ko mutamenya yuko kenshi nari mfise imigabo yo kuza i wanyu, ngo mbone imbuto muri mwebge namwe, nk’uko nazibonye mu yandi mahanga, ariko ngira ikimbuza kugeza n’ubu.","Je tiens à ce que vous le sachiez, frères et sœurs : j’ai souvent formé le projet de me rendre chez vous, afin de récolter quelques fruits parmi vous comme je l’ai fait parmi bien d’autres peuples ; mais j’en ai été empêché jusqu’à présent."
