,0,1,2
RUT.1.1,"In the days when the judges ruled, there was a famine in the land. So a man from Bethlehem in Judah, together with his wife and two sons, went to live for a while in the country of Moab.","Mu misi y’abacamanza ikigoyi cateye mu gihugu. Nuk’ umugabo w’i Betelehemu h’i Buyuda asuhukira mu gihugu c’i Mowabu, bo n’umugore wiwe n’abahungu biwe bompi.","A l’époque où les chefs gouvernaient Israël, une famine survint dans le pays . Un homme de Bethléhem en Juda partit séjourner avec sa femme et ses deux fils dans la campagne du pays de Moab ."
RUT.1.2,"The man’s name was Elimelek, his wife’s name was Naomi, and the names of his two sons were Mahlon and Kilion. They were Ephrathites from Bethlehem, Judah. And they went to Moab and lived there.","Uwo mugabo yitwa Elimeleki, umugore wiwe yitwa Nawomi, abahungu biwe bompi umwe yitwa Mahaloni, uwundi yitwa Kiliyoni, bār’ Abanyefurata b’i Betelehemu h’i Buyuda. Bashika mu gihugu c’i Mowabu, babayo.","Cet homme s’appelait Elimélek, sa femme Noémi et ses deux fils Mahlôn et Kilyôn. Ils faisaient partie des Ephratiens , de Bethléhem en Juda. Ils parvinrent en Moab, dans la campagne, et s’y établirent."
RUT.1.3,"Now Elimelek, Naomi’s husband, died, and she was left with her two sons.","Elimeleki, umugabo wa Nawomi, arapfa; asigarana n’abahungu biwe bompi.","Elimélek, le mari de Noémi, mourut là et elle resta seule avec ses deux fils."
RUT.1.4,"They married Moabite women, one named Orpah and the other Ruth. After they had lived there about ten years,","Bābīra Abanyamowabukazi; umwe yitwa Orupa, uwundi yitwa Rusi: bamaray’ imyaka nk’ icumi.","Ils épousèrent des femmes moabites, dont l’une s’appelait Orpa et l’autre Ruth. Ils demeurèrent là une dizaine d’années,"
RUT.1.5,"both Mahlon and Kilion also died, and Naomi was left without her two sons and her husband.",Maze Mahaloni na Kiliyoni bompi barapfa; uwo mugore abura abana biwe bompi n’umugabo wiwe.,"puis Mahlôn et Kilyôn moururent à leur tour, et Noémi resta seule, privée à la fois de ses deux fils et de son mari."
RUT.1.6,"When Naomi heard in Moab that the Lord had come to the aid of his people by providing food for them, she and her daughters-in-law prepared to return home from there.","Bukeye avana hasi n’abakazana biwe, kugira ngw ave mu gihugu c’i Mowabu asubire i wabo: kuko yari yumvise ari mu gihugu c’i Mowabu yuk’ Uhoraho yagendeye abantu biwe, akabaha ivyo kurya.","Lorsqu’elle apprit que l’Eternel était intervenu en faveur de son peuple et qu’il lui avait donné de quoi se nourrir, Noémi se mit en route avec ses deux belles-filles pour rentrer du pays de Moab."
RUT.1.7,With her two daughters-in-law she left the place where she had been living and set out on the road that would take them back to the land of Judah.,"Ava aho hantu yar’ ari, bo n’abakazana biwe bompi, bajana inzira isubira mu gihugu c’i Buyuda.",Elles quittèrent donc ensemble l’endroit où elles s’étaient établies et prirent le chemin du pays de Juda.
RUT.1.8,"Then Naomi said to her two daughters-in-law, “Go back, each of you, to your mother’s home. May the Lord show you kindness, as you have shown kindness to your dead husbands and to me.","Nawomi abgira abakazana biwe bompi, ati Ni mugende, musubire mu mazu ya ba nyoko: Uhoraho abagirire neza, nk’uko mwagiriye neza abahisi, bo nanje.","Alors Noémi dit à ses deux belles-filles : Allez et rentrez chacune dans la famille de votre mère ! Que l’Eternel soit bon pour vous, comme vous l’avez été pour ceux qui sont morts et pour moi-même."
RUT.1.9,May the Lord grant that each of you will find rest in the home of another husband.” Then she kissed them goodbye and they wept aloud,"Uhoraho abahe mwempi gusubira kwubaka ingo mugire abagabo. Arabagūmbīra, baraturikisha, bararira.",Qu’il vous donne à chacune de trouver le bonheur dans un nouveau foyer. Puis elle les embrassa pour prendre congé. Les deux jeunes femmes pleurèrent à gros sanglots
RUT.1.10,"and said to her, “We will go back with you to your people.”","Baramwishura, bat’ Oya, ariko turasubiranayo nawe mw ihanga ryanyu.",et lui dirent : Non ! nous t’accompagnerons dans ta patrie.
