,0,1,2
SNG.1.1,Solomon’s Song of Songs.,"Indirimbo y’agaheta, ya Salomo.","Le plus beau des chants, composé par Salomon ."
SNG.1.2,Let him kiss me with the kisses of his mouth— for your love is more delightful than wine.,N’unsomeshe ugusomana kw’ akanwa kawe: Kuk’ urukundo rwawe ari rwiza kurusha vino.,"« Ah ! que ta bouche ╵me couvre de baisers, car ton amour ╵est plus exaltant que le vin."
SNG.1.3,Pleasing is the fragrance of your perfumes; your name is like perfume poured out. No wonder the young women love you!,"Amavuta yawe aratāmirana cane, Izina ryawe rimeze nk’amavuta asutswe; Ni co gituma inkumi zigukunda.","Combien suaves ╵sont tes parfums, ton nom est comparable ╵à une huile odorante ╵qui se répand. Voilà pourquoi ╵les jeunes filles ╵sont éprises de toi."
SNG.1.4,Take me away with you—let us hurry! Let the king bring me into his chambers. We rejoice and delight in you ; we will praise your love more than wine. How right they are to adore you!,"Mfata nkuje inyuma, twiruke. Umwami yanshikanye i kare: Tuzonezerwa, nawe uzoduhimbara. Tuzokwamamaza urukundo rwawe kurusha uko twokwamamaza vino: Urukundo bagukunda rurakubereye.","Entraîne-moi derrière toi ! ╵Courons ensemble ! » « Le roi m’a fait entrer ╵dans ses appartements. » « Réjouissons-nous, ╵soyons dans l’allégresse ╵à ton sujet ! Célébrons ton amour ╵plus exaltant que le bon vin ! C’est bien avec raison ╵qu’on est épris de toi. »"
SNG.1.5,"Dark am I, yet lovely, daughters of Jerusalem, dark like the tents of Kedar, like the tent curtains of Solomon.","Ndirabura, ariko ndi mwiza, Mwa bakobga b’i Yerusalemu; Mmeze nk’amahema y’i Kedari, Nk’imikingo ya Salomo.","« O filles de Jérusalem , ╵je suis noiraude, ╵et pourtant, je suis belle, pareille aux tentes de Qédar , ╵aux tentures de Salomon."
SNG.1.6,"Do not stare at me because I am dark, because I am darkened by the sun. My mother’s sons were angry with me and made me take care of the vineyards; my own vineyard I had to neglect.","Ntimumpange amaso, kuko nirabura, Kukw izuba ari ryo ryanyirabuje. Abahungu ba mama bārandakiye, Banzigamishije imirima y’imizabibu, Arik’ urwanje ruzabibu sinaruzigamye.","Ne vous étonnez pas ╵si je suis bien brunie : le soleil m’a hâlée, car les fils de ma mère, ╵irrités contre moi, m’ont fait garder les vignes, oui, mais ma vigne à moi, ╵je ne l’ai pas gardée."
SNG.1.7,"Tell me, you whom I love, where you graze your flock and where you rest your sheep at midday. Why should I be like a veiled woman beside the flocks of your friends?","Yewe, uwo umutima wanje ukunda, umbarire Ah’ uragira ah’ ari ho, N’ah’ uvyagiza mu mahodoka: None n’iki cotuma ngenda nk’uwitwikiriye mu maso, Nca i ruhande y’imikuku ya bagenzi bawe?","O toi que mon cœur aime, dis-moi où tu fais paître ╵ton troupeau de brebis, où tu le feras reposer ╵à l’heure de midi, pour que je ne sois pas ╵comme une femme errante , rôdant près des troupeaux ╵que gardent tes compagnons. »"
SNG.1.8,"If you do not know, most beautiful of women, follow the tracks of the sheep and graze your young goats by the tents of the shepherds.","Asangw’ utahazi, yewe urusha abandi bagore akaranga, Jana inzira y’ibitungwa, Uragire imyagazi y’impene yawe i ruhande y’insago z’abungere.","« Si tu ne le sais pas, ╵ô toi, la plus belle des femmes, va donc suivre les traces ╵du troupeau de brebis, fais paître tes chevrettes ╵près des huttes des pâtres. »"
SNG.1.9,"I liken you, my darling, to a mare among Pharaoh’s chariot horses.","Ewe mukunzi wanje, nakugereranije N’ifarasi yo mu zikwega imikogote ya Farawo.","« O mon amie, ╵je te trouve pareille à une jument d’attelage ╵du pharaon ."
SNG.1.10,"Your cheeks are beautiful with earrings, your neck with strings of jewels.","Imisaya yawe itewe gushaza n’ibitsibo vy’umushatsi wawe, N’izosi ryawe rishazishijwe n’utugenegene tw’igiciro kinini.","Tes joues sont belles ╵entre les perles, ton cou est beau ╵dans tes colliers ;"
SNG.1.11,"We will make you earrings of gold, studded with silver.","Tuzogutsibira ibitsibo vy’izahabu, Birimw’ intabonwa z’ifeza.",nous te ferons ╵des perles d’or tout incrustées ╵de points d’argent. »
SNG.1.12,"While the king was at his table, my perfume spread its fragrance.","Umwami akivyagiye, ari ku meza yiwe, Amavuta yanje yatanguye gutāmirana.","« Jusqu’à ce que le roi ╵parvienne à son enclos , mon nard exhale son parfum."
SNG.1.13,My beloved is to me a sachet of myrrh resting between my breasts.,Umukunzi wanje ammereye nk’itu ry’isenga Riri hagati y’amabere yanje.,"Car mon bien-aimé est pour moi ╵comme un sachet de myrrhe , entre mes seins ╵il passera la nuit."
SNG.1.14,My beloved is to me a cluster of henna blossoms from the vineyards of En Gedi.,Umukunzi wanje ammereye nk’agati kitwa koferu gashuritse udushurwe tw’uturundo Kaba mu nzabibu zo muri Eni‐gedi.,"Oui, mon bien-aimé est pour moi ╵un bouquet de henné des vignes d’Eyn-Guédi . »"
SNG.1.15,"How beautiful you are, my darling! Oh, how beautiful! Your eyes are doves.","Ereg’ uri mwiza, mukunzi wanje, n’ukuri uri mwiza pe; Amaso yawe asa n’inuma.","« Que tu es belle, ╵ma bien-aimée, ╵que tu es belle ! Tes yeux ressemblent ╵à des colombes. »"
SNG.1.16,"How handsome you are, my beloved! Oh, how charming! And our bed is verdant.","Ereg’ uri mwiza, mukunzi wanje, mber’ urahimbaye; Ikirwa cacu kigaranzuyek’ ubusaswa busha.","« Que tu es beau, mon bien-aimé, ╵tu es superbe ! Dans la verdure est notre lit."
SNG.1.17,The beams of our house are cedars; our rafters are firs.,"Imitambikwa y’ingoro yacu n’ibiti vy’amasederi, Ibishoro vyayo n’imiberoshi.","Les solives de nos maisons, ╵ce sont les cèdres, et les cyprès sont nos lambris. »"
SNG.2.1,"I am a rose of Sharon, a lily of the valleys.","Nd’ ishurwe rya habaseleti ry’i Sharoni, Ikirungu co mu biyaya.","« Moi, je suis une fleur ╵qui pousse dans la plaine du Saron , un lis de la vallée. »"
SNG.2.2,Like a lily among thorns is my darling among the young women.,Nk’ikirungu mu mahwa Ni k’umukunzi wanje ameze mu bandi bakobga.,"« Oui, comme un lis ╵parmi des ronces est mon amie ╵parmi les filles. »"
SNG.2.3,"Like an apple tree among the trees of the forest is my beloved among the young men. I delight to sit in his shade, and his fruit is sweet to my taste.","Nk’igiti c’icungwa mu bindi biti vyo mw ishamba Ni k’umukunzi wanje ameze mu bandi basore. Mpimbarwa no kwicara mu gitūtu ciwe, Amacungwa yiwe aransosera.","« Comme un pommier ╵parmi les arbres ╵de la forêt tel est mon bien-aimé ╵parmi les jeunes gens, j’ai grand plaisir ╵à m’asseoir à son ombre. Combien son fruit est doux ╵à mon palais."
SNG.2.4,"Let him lead me to the banquet hall, and let his banner over me be love.","Yanjanye mu nzu y’amazimano, Ibendera yiwe yari hejuru yanje yar’ iy’ urukundo.","Il m’a conduite ╵dans la maison du vin et il a déployé sur moi, ╵l’étendard de l’amour."
SNG.2.5,"Strengthen me with raisins, refresh me with apples, for I am faint with love.","Ni mumpēmbūze udutore tw’ inzabibu, mundabūze amacungwa, Kuk’ urukundo runshābije.","Restaurez-moi ╵avec des gâteaux de raisins, soutenez-moi ╵avec des pommes, car je suis malade d’amour."
SNG.2.6,"His left arm is under my head, and his right arm embraces me.","Ukuboko kwiwe kw’ukubamfu kuranseguye, Ukuboko kwiwe kw’ukuryo kurampfumbatiye.","Son bras gauche soutient ma tête, et son bras droit m’enlace."
SNG.2.7,"Daughters of Jerusalem, I charge you by the gazelles and by the does of the field: Do not arouse or awaken love until it so desires.","Ndabihanikirije, mwa bakobga b’i Yerusalemu mwe, Nk’uko bagenza ku ngeregere no ku mpongokazi vyo mw ishamba, Ntimunkomere umukunzi, ntimumukangure, Gushitsa ah’ avyigombeye.","O filles de Jérusalem, ╵oh, je vous en conjure par les gazelles ╵ou par les biches ╵de la campagne : n’éveillez pas, ╵non, ne réveillez pas l’amour avant qu’il ne le veuille ."
SNG.2.8,"Listen! My beloved! Look! Here he comes, leaping across the mountains, bounding over the hills.","Ijwi ry’umukunzi wanje! Eh’ araje, Yikina amatavu ku misozi, Akinagira ku turambi.","J’entends mon bien-aimé, oui, le voici, il vient, sautant sur les montagnes et bondissant sur les collines."
SNG.2.9,"My beloved is like a gazelle or a young stag. Look! There he stands behind our wall, gazing through the windows, peering through the lattice.","Umukunzi wanje ameze nk’ ingeregere canke nk’umukangara w’impongo: Eh’ ahagaze inyuma y’inzu yacu, Arungurukira mu madirisha, Yiyerekanira mu nshingo zayo.","Mon bien-aimé ressemble ╵à la gazelle ou à un jeune cerf. Le voici : il est là, ╵derrière notre mur, guettant par les fenêtres et lançant des regards ╵à travers les treillis."
SNG.2.10,"My beloved spoke and said to me, “Arise, my darling, my beautiful one, come with me.","Umukunzi wanje aravuga, arambariye, Ati Va hasi, mukunzi wanje, mwiza wanje, ngwino tugende:","Mon bien-aimé me parle, et il me dit : “Lève-toi, mon amie, ╵viens donc, ma belle,"
SNG.2.11,See! The winter is past; the rains are over and gone.,"Kuko rāba, urushana rurashize, Imvura iragiye, iracitse;","car l’hiver est passé et les pluies ont cessé, ╵leur saison est finie."
SNG.2.12,"Flowers appear on the earth; the season of singing has come, the cooing of doves is heard in our land.","Amashurwe aratanguye gushurika ku misozi, Igihe co kujwiragira kw’ inyoni kirashitse, Ijwi ry’intunguru rirumvikanye mu gihugu cacu;","On voit des fleurs éclore ╵à travers le pays, et le temps de chanter ╵est revenu. La voix des tourterelles ╵retentit dans nos champs."
SNG.2.13,"The fig tree forms its early fruit; the blossoming vines spread their fragrance. Arise, come, my darling; my beautiful one, come with me.”","Insukoni z’ibitumbge ziratanguye guhishira ku musukoni wazo, Imizabibu irashuritse, Imota ubumote bgayo bgiza. Va hasi, mukunzi wanje, mwiza wanje, ngwino tugende.","Sur les figuiers, ╵les premiers fruits mûrissent . La vigne en fleur ╵exhale son parfum . Lève-toi, mon amie, ╵et viens, ╵oui, viens, ma belle.”"
