,0,1,2
TIT.1.1,"Paul, a servant of God and an apostle of Jesus Christ to further the faith of God’s elect and their knowledge of the truth that leads to godliness—","Paulo, umugurano w’Imana, intumwa ya Yesu Kristo, mbihērewe kwizeza abo Imana yatoranije no kwigisha kumenya ivy’ ukuri gufatanije n’ukwubaha Imana;","Cette lettre t’est adressée par Paul, serviteur de Dieu et apôtre de Jésus-Christ. Ceux que Dieu a choisis, j’ai été chargé de les conduire dans la foi et la pleine connaissance de la vérité qui est conforme à la piété,"
TIT.1.2,"in the hope of eternal life, which God, who does not lie, promised before the beginning of time,","nkora nizigiye kuzoronka ubugingo budashira, ubgo Imana itazi kubesha yasezeranye kera, ibihe vyose bitarabaho.","pour qu’ils aient l’espérance de la vie éternelle. Cette vie nous a été promise de toute éternité, par le Dieu qui ne ment pas."
TIT.1.3,"and which now at his appointed season he has brought to light through the preaching entrusted to me by the command of God our Savior,","Ariko mu bihe yitoranirije yerekanishije ijambo ryayo ubutumwa najejwe, nk’ukw Imana Umukiza wacu yageze.","Au moment approprié, il a fait connaître sa Parole par le message que j’ai été chargé de proclamer, selon l’ordre de Dieu notre Sauveur."
TIT.1.4,"To Titus, my true son in our common faith: Grace and peace from God the Father and Christ Jesus our Savior.","Ndakwandikiye Tito, umwana wanje nyakuri kubg’ ukwizera dusangiye. Ubuntu n’amahoro bibe kuri wewe biva ku Mana Data wa twese no kuri Kristo Yesu Umukiza wacu.","Je te salue, Tite, mon véritable enfant en notre foi commune : Que Dieu le Père et Jésus-Christ notre Sauveur t’accordent la grâce et la paix."
TIT.1.5,"The reason I left you in Crete was that you might put in order what was left unfinished and appoint elders in every town, as I directed you.","Icatumye ngusiga i Kirete kwar’ ukugira ng’ utunganye ivyasigaye, kandi mu gisagara caho cose ng’ uhashinge abakuru b’ishengero, nk’uko nabikubariye:","Je t’ai laissé en Crète pour que tu achèves de mettre en ordre ce qui est resté en suspens, et que tu établisses dans chaque ville des responsables dans l’Eglise en suivant les directives que je t’ai données."
TIT.1.6,"An elder must be blameless, faithful to his wife, a man whose children believe and are not open to the charge of being wild and disobedient.","ar’ umuntu atabonekak’ umugayo, afise umugore umwe gusa, afise abana bizera, bataregwa kw ar’ ibihumbu cank’ ibiganda.","Chacun d’eux doit être un homme irréprochable et un mari fidèle à sa femme . Il faut que ses enfants soient dignes de confiance, c’est-à-dire qu’on ne puisse pas les accuser d’inconduite ou d’insoumission."
TIT.1.7,"Since an overseer manages God’s household, he must be blameless—not overbearing, not quick-tempered, not given to drunkenness, not violent, not pursuing dishonest gain.","Kuk’ umuzezwashengero akwiye kutabak’ umugayo, nk’umubgiriza w’Imana nyene; kandi ntakwiye kuba ūdakūrwa kw ijambo, cank’ ūsugurirwa, cank’ umunywi wa vino, cank’ umusinzi, cank’ uwifuza inyungu mbi;","En effet, il est nécessaire qu’un dirigeant d’Eglise soit irréprochable, puisqu’il a la responsabilité de la famille de Dieu. C’est pourquoi il ne doit être ni imbu de lui-même ni coléreux, ni buveur, ni querelleur, ni attiré par des gains malhonnêtes."
TIT.1.8,"Rather, he must be hospitable, one who loves what is good, who is self-controlled, upright, holy and disciplined.","arikw abe ūkunda gutanga indāro, akunda ivyiza, adahugumba, agororoka, yera, yirinda,","Qu’il soit, au contraire, hospitalier, ami du bien, réfléchi, juste, saint et maître de lui-même ;"
TIT.1.9,"He must hold firmly to the trustworthy message as it has been taught, so that he can encourage others by sound doctrine and refute those who oppose it.","agumya ijambo ryo kwizerwa rihūra n’ukwigisha kwacu, kugira ngw abone guhanūra abantu mu kwigisha kuzima no gutsinda abamuhāririza.","qu’il soit fidèlement attaché à la parole certaine, qui est conforme à ce qui lui a été enseigné. Ainsi il sera en mesure d’encourager les autres selon l’enseignement sain et de réfuter les contradicteurs."
TIT.1.10,"For there are many rebellious people, full of meaningless talk and deception, especially those of the circumcision group.","Kuko hariho benshi b’ibiganda, cane‐cane n’abo mu bākebge, bavuga ibitagira ikimazi, n’inyosha mbi,",Car nombreux sont ceux qui refusent de se soumettre à la vérité. Ils profèrent des discours creux et entraînent les gens dans l’erreur. On en trouve surtout parmi les gens issus du judaïsme.
