,0,1,2
ZEC.1.1,"In the eighth month of the second year of Darius, the word of the Lord came to the prophet Zechariah son of Berekiah, the son of Iddo:","Mu kwezi kw’umunani mu mwaka ugira kabiri Dariyo ari ku ngoma, ijambo ry’Uhoraho ryaje kuri Zekariya mwene Berekiya, Berekiya mwene Ido, yar’ ūvugishwa n’Imana,","Au huitième mois de la deuxième année du règne de Darius , l’Eternel adressa la parole à Zacharie, le prophète , fils de Barachie et petit-fils d’Iddo, en ces termes :"
ZEC.1.2,“The Lord was very angry with your ancestors.,rit’ Uhoraho yarakiye cane ba sogokuruza banyu.,L’Eternel s’est violemment irrité contre vos pères.
ZEC.1.3,"Therefore tell the people: This is what the Lord Almighty says: ‘Return to me,’ declares the Lord Almighty, ‘and I will return to you,’ says the Lord Almighty.","Kubg’ ivyo uz’ ubabgire, ut’ Uku ni k’Uhoraho Nyen’ ingabo agize, ati Ni mungarukeko, ni k’Uhoraho Nyen’ ingabo agize, nanje nzobagarukako, ni k’Uhoraho Nyen’ ingabo agize.","Dis à ce peuple : Voici ce que déclare le Seigneur des armées célestes : Revenez à moi, dit le Seigneur des armées célestes, et je reviendrai à vous, a dit le Seigneur des armées célestes."
ZEC.1.4,"Do not be like your ancestors, to whom the earlier prophets proclaimed: This is what the Lord Almighty says: ‘Turn from your evil ways and your evil practices.’ But they would not listen or pay attention to me, declares the Lord .","Mureke kuba nka ba sogokuruza banyu, abo navugisha kera bābabarira basemerera, bat’ Uku ni k’Uhoraho Nyen’ ingabo agize, at’ Enda ni muhindukire muve mu ngeso zanyu mbi no mu bikorwa vyanyu bibi; maze ntibumva, nanje ntibanyumvira, ni k’Uhoraho agize.","Ne faites pas comme vos ancêtres, que les prophètes d’autrefois ont exhortés en leur disant : « Voici ce que déclare le Seigneur des armées célestes : Abandonnez votre mauvaise conduite et renoncez à vos mauvaises actions. » Mais vos ancêtres n’ont pas écouté, ils n’ont pas prêté attention à mes paroles, l’Eternel le déclare."
ZEC.1.5,"Where are your ancestors now? And the prophets, do they live forever?",Ba sogokuruza banyu bari hehe? Cank’ abo navugishije mbega bokwamyeh’ ibihe vyose?,"Vos ancêtres où sont-ils à présent ? Et les prophètes, sont-ils toujours en vie ?"
ZEC.1.6,"But did not my words and my decrees, which I commanded my servants the prophets, overtake your ancestors? “Then they repented and said, ‘The Lord Almighty has done to us what our ways and practices deserve, just as he determined to do.’ ”","Arikw amajambo yanje n’ivyagezwe vyanje nageze abasavyi banje navugisha, mbega ntivyashitse kuri ba sogokuruza? Maze bīsubiramwo, baravuga, bati Nk’uk’ Uhoraho Nyen’ ingabo yagabiye kw azotugirira, ngw atwishure ibihwanye n’ingeso zacu n’ivyo twakoze, ni ko yadukoreye.","Or mes paroles et mes lois que j’avais ordonné à mes serviteurs les prophètes de leur transmettre, n’ont-elles pas été suivies d’effet pour vos pères ? Alors ils ont changé d’attitude et ils ont reconnu : « Oui, le Seigneur des armées célestes nous a traités comme il avait résolu de le faire, comme le méritaient notre conduite et nos actes. »"
ZEC.1.7,"On the twenty-fourth day of the eleventh month, the month of Shebat, in the second year of Darius, the word of the Lord came to the prophet Zechariah son of Berekiah, the son of Iddo.","Ku musi wa mirongwibiri na kane wo mu kwezi kw’icumi na rimwe, ni kwo kwezi kwitwa Shebati, mu mwaka ugira kabiri Dariyo ari ku ngoma, ijambo ry’ Uhoraho ryaje kuri Zekariya mwene Berekiya, Berekiya mwene Ido, yar’ ūvugishwa n’Imana;","La deuxième année du règne de Darius, au vingt-quatrième jour du onzième mois, le mois de Shebath , la parole de l’Eternel fut adressée à Zacharie le prophète, fils de Barachie et petit-fils d’Iddo."
ZEC.1.8,"During the night I had a vision, and there before me was a man mounted on a red horse. He was standing among the myrtle trees in a ravine. Behind him were red, brown and white horses.","Zekariya aravuga, ati Mw ijoro nagize ntya, mbona umuntu agendera kw ifarasi y’akagajo, ahagaze hagati y’ibiti vy’imihadasi vyo mu gasōko; kand’ inyuma yiwe hār’ amafarasi y’utugajo n’ay’ utunyomvyi n’ay’ ibitare.","Cette nuit j’ai vu, dans une vision, un cavalier monté sur un cheval roux. Il se tenait parmi les myrtes dans les profondeurs, et derrière lui, il y avait d’autres chevaux : des roux, des gris-verts et des blancs ."
ZEC.1.9,"I asked, “What are these, my lord?” The angel who was talking with me answered, “I will show you what they are.”","Maze ndabaza, nti Mugenzi, ibi n’ibiki? Umumarayika twavugana aranyishura, ati Ndakubarira ivy’ ari vyo.","Je demandai alors : Mon seigneur, que représentent-ils ? L’ange qui me parlait répondit : Je vais te montrer ce qu’ils représentent."
ZEC.1.10,"Then the man standing among the myrtle trees explained, “They are the ones the Lord has sent to go throughout the earth.”","Maze wa wundi yar’ ahagaze hagati y’imihadasi aravuga, at’ Abo n’abo Uhoraho yatumye kugendagenda mw isi yose.",Et l’individu qui se tenait parmi les myrtes intervint en disant : Ce sont les coursiers que l’Eternel a envoyés pour parcourir la terre.
ZEC.1.11,"And they reported to the angel of the Lord who was standing among the myrtle trees, “We have gone throughout the earth and found the whole world at rest and in peace.”","Bishura umumarayika w’Uhoraho yar’ ahagaze hagati y’imihadasi, bati Tugendagenze mw isi, kandi rāba, isi yose iratekereje, ifise impore.","Alors les cavaliers s’adressèrent à l’ange de l’Eternel qui se tenait parmi les myrtes, et lui firent ce rapport : Nous venons de parcourir la terre et nous avons constaté qu’elle est toute tranquille et calme."
ZEC.1.12,"Then the angel of the Lord said, “ Lord Almighty, how long will you withhold mercy from Jerusalem and from the towns of Judah, which you have been angry with these seventy years?”","Umumarayika w’Uhoraho araheza aravuga, at’ Ewe Uhoraho Nyen’ ingabo, uzogeza ryari kutagirira Yerusalemu ikigongwe, n’ibisagara vy’i Buyuda, ivyo warakiye iyi myaka yose ukw ari mirongwirindwi?","Là-dessus, l’ange de l’Eternel s’exclama : Seigneur des armées célestes, voilà soixante-dix ans que tu es irrité contre Jérusalem et contre les villes de Juda. Jusques à quand tarderas-tu à les prendre en pitié ?"
ZEC.1.13,So the Lord spoke kind and comforting words to the angel who talked with me.,"Umumarayika twavugana, Uhoraho amwishura amajambo meza amara umubabaro.",Alors l’Eternel répondit à l’ange qui me parlait par des paroles bienveillantes et des paroles de consolation.
ZEC.1.14,"Then the angel who was speaking to me said, “Proclaim this word: This is what the Lord Almighty says: ‘I am very jealous for Jerusalem and Zion,","Nuk’ umumarayika twavugana arambarira, ati Semerera uvuge, ut’ Uku ni k’Uhoraho Nyen’ ingabo agize, ati Mfūhiye i Yerusalemu n’i Siyoni ifūhe ryinshi.",L’ange qui me parlait me dit : Proclame ces paroles : Voici ce que déclare le Seigneur des armées célestes : J’éprouve pour Jérusalem et pour Sion un amour passionné.
ZEC.1.15,"and I am very angry with the nations that feel secure. I was only a little angry, but they went too far with the punishment.’","Kandi nshavuriye cane amahanga yidibamiye, kuko Yerusalemu nari mpashavuriye buhoro, maze bo bakahasonga.","Et je suis saisi d’une violente indignation contre les peuples ennemis qui vivent dans la tranquillité. Car je n’étais qu’un peu irrité contre mon peuple, mais eux, ils ont accru son malheur."
ZEC.1.16,"“Therefore this is what the Lord says: ‘I will return to Jerusalem with mercy, and there my house will be rebuilt. And the measuring line will be stretched out over Jerusalem,’ declares the Lord Almighty.","Ni co gituma Uhoraho avuga, ati Ngarukiye Yerusalemu nzanye imbabazi; ingoro yanje izohubakwa, ni k’ Uhoraho Nyen’ ingabo agize: i Yerusalemu hazogereshwa umugozi.",C’est pourquoi voici ce que dit l’Eternel : Je me tourne vers Jérusalem avec compassion. Mon temple y sera rebâti – le Seigneur des armées célestes le déclare – et l’on étendra le cordeau d’arpenteur sur Jérusalem.
ZEC.1.17,"“Proclaim further: This is what the Lord Almighty says: ‘My towns will again overflow with prosperity, and the Lord will again comfort Zion and choose Jerusalem.’ ”","Subira usemerere, ut’ Uku ni k’Uhoraho Nyen’ ingabo agize, ngw Ibisagara vyanje bizokwongera kubōgabōga ivyiza; Uhoraho azokwongera kumara i Siyoni umubabaro, kand’ azokwongera kwirobanurira Yerusalemu.","Proclame encore ce message : Voici ce que déclare le Seigneur des armées célestes : Mes villes déborderont de nouveau de prospérité, l’Eternel consolera de nouveau Sion et choisira de nouveau Jérusalem."
ZEC.1.18,"Then I looked up, and there before me were four horns.",Maze nunamuye amaso mbona amahembe ane.,
ZEC.1.19,"I asked the angel who was speaking to me, “What are these?” He answered me, “These are the horns that scattered Judah, Israel and Jerusalem.”","Mbaza umumarayika twavugana, nt’ Ivyo n’ibiki? Aranyishura, at’ Ayo ni yo mahembe yasābagije Abayuda n’Abisirayeli n’ab’i Yerusalemu.",
ZEC.1.20,Then the Lord showed me four craftsmen.,Maz’ Uhoraho anyereka abacuzi bane.,
ZEC.1.21,"I asked, “What are these coming to do?” He answered, “These are the horns that scattered Judah so that no one could raise their head, but the craftsmen have come to terrify them and throw down these horns of the nations who lifted up their horns against the land of Judah to scatter its people.”","Ndamubaza, nt’ Abo bazanywe no gukora iki? Aranyishura, at’ Ayo mahembe ni yo yasābagije Abayuda, ntihāgira n’umwe avyura umutwe; non’ abo bazanywe no kuyaca ivutu, no gutsinda hasi amahembe y’amahanga, yashize hejuru amahembe yayo ngw arwanye igihugu c’i Buyuda, abasābagize.",
ZEC.2.1,"Then I looked up, and there before me was a man with a measuring line in his hand.",Maze nunamuye amaso mbona umuntu afise mu minwe umugozi wo kugera.,Je levai les yeux et je vis quatre cornes .
ZEC.2.2,"I asked, “Where are you going?” He answered me, “To measure Jerusalem, to find out how wide and how long it is.”","Ndamubaza, nt’ Uroye hehe? Arambarira, ati Ngiye kugera Yerusalemu, ngo ndābe amakika n’amadūga vyaho uko bireha.","Je demandai à l’ange qui me parlait : Que représentent ces cornes ? Et il me répondit : Ces cornes représentent les puissances qui ont dispersé les habitants de Juda, d’Israël et de Jérusalem."
ZEC.2.3,"While the angel who was speaking to me was leaving, another angel came to meet him","Maz’ umumarayika twavugana yīgira imbere, umumarayika wundi aza kumusanganira:",Puis l’Eternel me fit voir quatre forgerons.
ZEC.2.4,"and said to him: “Run, tell that young man, ‘Jerusalem will be a city without walls because of the great number of people and animals in it.","aramubarira, at’ Irukanga, ubgire uwo musore, ut’ I Yerusalemu hazosubira gusagaza abantu nk’ibisagara bitazitiriwe, kukw abantu n’amasho bizohaba ari vyinshi.","– Que viennent-ils faire ? demandai-je. Il me répondit : Ils sont venus pour faire trembler les nations qui ont dispersé Juda, de sorte que personne n’osait plus relever la tête. Ils abattront les cornes de ces nations qui ont levé leurs cornes contre Juda pour en disperser la population."
ZEC.2.5,"And I myself will be a wall of fire around it,’ declares the Lord , ‘and I will be its glory within.’","Kukw ari jewe nzohabera uruzitiro rw’umuriro ruhakikije, ni k’Uhoraho agize, kandi nzohabera ubgiza ndi hagati mu mugoma.",Je regardai et je vis un homme qui portait un cordeau d’arpenteur.
ZEC.2.6,"“Come! Come! Flee from the land of the north,” declares the Lord , “for I have scattered you to the four winds of heaven,” declares the Lord .","Yemwe! Yemwe! Ni muhunge muve mu gihugu c’i burārūko, ni k’Uhoraho agize; kuko nk’ukw ibirēre bine vy’ijuru vyītangūranye, ari ko nabasābagije, ni k’Uhoraho agize.",Je lui demandai : Où vas-tu ? Il me répondit : Je vais mesurer Jérusalem pour en déterminer la largeur et la longueur.
ZEC.2.7,"“Come, Zion! Escape, you who live in Daughter Babylon!”","Yewe Siyoni ubana n’umukobga w’i Babuloni, cika uhunge!","Comme l’ange qui me parlait s’en allait, un autre ange vint à sa rencontre"
ZEC.2.8,For this is what the Lord Almighty says: “After the Glorious One has sent me against the nations that have plundered you—for whoever touches you touches the apple of his eye—,"Kuk’ ukw ari k’Uhoraho Nyen’ ingabo agize, ni we yantumye kumuhesha icubahiro mu mahanga yabanyaze; at’ Ūbakorako aba akoze ku mbone y’ijisho ryiwe.","et lui dit : Cours dire à ce jeune homme là-bas : « Il y aura un jour tant d’habitants et de bêtes dans Jérusalem que la ville restera ouverte, sans murailles."
ZEC.2.9,I will surely raise my hand against them so that their slaves will plunder them. Then you will know that the Lord Almighty has sent me.,"Ehe nzoyabangurirak’ ukuboko kwanje, kand’ azohinduka inyagano z’abāyashumbiye: ni ho muzomenya yuk’ Uhoraho Nyen’ ingabo ari we yantumye.","Je serai, moi-même, pour elle comme une muraille de feu tout autour d’elle – l’Eternel le déclare – et je serai sa gloire au milieu d’elle. »"
ZEC.2.10,"“Shout and be glad, Daughter Zion. For I am coming, and I will live among you,” declares the Lord .","Ririmba unezerwe, yewe mukobga w’i Siyoni: rāba ndaje ngo ngerēre hagati muri wewe, ni k’Uhoraho agize.","Allons ! Allons ! Fuyez ! Partez de ce pays du Nord – l’Eternel le déclare – car je vous avais dispersés aux quatre vents du ciel , l’Eternel le déclare."
ZEC.2.11,“Many nations will be joined with the Lord in that day and will become my people. I will live among you and you will know that the Lord Almighty has sent me to you.,"Kur’ uwo musi amahanga menshi azokwifatanya n’ Uhoraho, bacike abantu banje; nanje nzogerēra hagati muri wewe, nawe uzomenya yuk’ Uhoraho Nyen’ ingabo yakuntumyeko.","Allons, Sion ! Echappe-toi, toi qui es installée dans la cité de Babylone !"
ZEC.2.12,The Lord will inherit Judah as his portion in the holy land and will again choose Jerusalem.,"Maz’ Uhoraho azohindura i Buyuda habe ishamvu yiwe yo mu gihugu cera, kand’ azokwongera kwirobanurira Yerusalemu.","Car voici ce que dit le Seigneur des armées célestes, lui qui m’a envoyé avec autorité , au sujet des nations qui vous ont dépouillés : Celui qui touche à vous, c’est comme s’il touchait à la prunelle de mon œil."
ZEC.2.13,"Be still before the Lord , all mankind, because he has roused himself from his holy dwelling.”","Ni muhwekerere imbere y’ Uhoraho, yemwe abafise umubiri mwese, kukw avyukurutse i we, ahēra hiwe.","Oui, je lèverai la main contre elles, elles seront pillées par leurs esclaves, et vous saurez que l’Eternel, le Seigneur des armées célestes, m’a envoyé."
ZEC.3.1,"Then he showed me Joshua the high priest standing before the angel of the Lord , and Satan standing at his right side to accuse him.","Maz’ anyereka Yosuwa umuherezi mukuru ahagaze imbere y’umumarayika w’Uhoraho, na Satani ahagaze i buryo bgiwe ngw amurege.","Puis il me fit voir Josué, le grand-prêtre, qui se tenait debout devant l’ange de l’Eternel. Et l’Accusateur se tenait à sa droite pour l’accuser ."
ZEC.3.2,"The Lord said to Satan, “The Lord rebuke you, Satan! The Lord , who has chosen Jerusalem, rebuke you! Is not this man a burning stick snatched from the fire?”","Umumarayika w’ Uhoraho abarira Satani, at’ Ewe Satani, Uhoraho aguhane: Uhoraho yirobanuriye Yerusalemu aguhane: mbeg’ uyo s’igishirīra cōkōwe mu muriro?","L’Eternel dit à l’Accusateur : Que l’Eternel te réduise au silence, Accusateur ! Oui, que l’Eternel te réduise au silence, lui qui porte son choix sur Jérusalem ! Celui-ci n’est-il pas un tison arraché au feu ?"
ZEC.3.3,Now Joshua was dressed in filthy clothes as he stood before the angel.,"Kandi Yosuwa yari yambaye impuzu z’ubuhoma, ahagaze imbere y’ uwo mumarayika.","Or, Josué était couvert d’habits très sales et il se tenait devant l’ange."
