,0,1,2
ZEP.1.1,"The word of the Lord that came to Zephaniah son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, during the reign of Josiah son of Amon king of Judah:","Ijambo ry’Uhoraho ryaje kuri Zefaniya mwene Kushi, Kushi mwene Gedaliya, Gedaliya mwene Amariya, Amariya mwene Hezekiya, ku ngoma ya Yosiya mwene Amoni, umwami w’i Buyuda.","Parole que l’Eternel adressa sous le règne de Josias, fils d’Amôn, roi de Juda, à Sophonie, fils de Koushi, fils de Guedalia, descendant d’Amaria et d’Ezéchias ."
ZEP.1.2,"“I will sweep away everything from the face of the earth,” declares the Lord .","Nzokwanzura rwose ibintu vyose biri kw isi, ni k’Uhoraho agize.","Je vais tout balayer ╵de la surface de la terre, l’Eternel le déclare."
ZEP.1.3,"“I will sweep away both man and beast; I will sweep away the birds in the sky and the fish in the sea— and the idols that cause the wicked to stumble.” “When I destroy all mankind on the face of the earth,” declares the Lord ,","Nzokwanzura abantu n’amatungo, nzokwanzura ibiguruka mu kirēre n’amafi yo mu kiyaga, n’abanyakibi nzobatega urutsiburira; eka nzorandura abantu bose kw isi, ni k’Uhoraho agize.","Je balaierai les hommes ╵de même que les bêtes, je balaierai aussi ╵les oiseaux dans le ciel ╵et les poissons des mers, tout ce qui fait ╵trébucher les méchants ; je retrancherai les humains ╵de la surface de la terre, l’Eternel le déclare."
ZEP.1.4,"“I will stretch out my hand against Judah and against all who live in Jerusalem. I will destroy every remnant of Baal worship in this place, the very names of the idolatrous priests—","Nzobangurira ukuboko kwanje Abayuda n’ababa i Yerusalemu bose; nzorandura amasigarira ya Bayali aho hantu, n’izina ry’ibishegu hamwe n’abaherezi;","Je vais lever la main ╵contre le peuple de Juda et contre tous ceux qui habitent ╵Jérusalem, je supprimerai de ce lieu ╵ce qui subsiste de Baal. Je ferai disparaître ╵le souvenir ╵de ses desservants effrénés avec ses prêtres,"
ZEP.1.5,"those who bow down on the roofs to worship the starry host, those who bow down and swear by the Lord and who also swear by Molek,","n’abasenga inyenyeri, ari zo ngabo zo kw ijuru, būriye hejuru ku mazu; n’abasenga bandahira jewe Uhoraho bagatako bakarahira na Milikomu;","je ferai disparaître ╵tous ceux qui se prosternent ╵devant l’armée du ciel ╵sur les toits des maisons, et ceux qui se prosternent ╵devant l’Eternel et jurent par lui tout en prêtant serment ╵au nom du dieu Molok ,"
ZEP.1.6,those who turn back from following the Lord and neither seek the Lord nor inquire of him.”,"n’ abasubiye inyuma bakareka kunkurikira jewe Uhoraho; n’abatigeze kundondera, canke ngo bagire ico bansiguza.","et ceux qui se détournent ╵de l’Eternel, qui ne se soucient pas de lui et qui ne le consultent pas."
ZEP.1.7,"Be silent before the Sovereign Lord , for the day of the Lord is near. The Lord has prepared a sacrifice; he has consecrated those he has invited.","N’uhwekerere imbere y’Umwami Uhoraho: kuk’ umusi w’ Uhoraho uri hafi; Uhoraho yiteguye ikimazi, kandi yejeje abatumire biwe.","Que l’on fasse silence ╵devant le Seigneur, l’Eternel ! Car il est proche, ╵le jour de l’Eternel . L’Eternel a prévu ╵un sacrifice et il a convoqué ╵ceux qui sont invités."
ZEP.1.8,“On the day of the Lord ’s sacrifice I will punish the officials and the king’s sons and all those clad in foreign clothes.,"Maze kur’ uwo musi w’ikimazi canje jewe Uhoraho, nzohana abaganwa n’abana b’umwami, n’abambaye imyambaro y’inyamahanga.","Au jour du sacrifice ╵de l’Eternel, j’interviendrai moi-même ╵contre les ministres du roi, ╵contre la cour et contre tous ceux qui s’habillent ╵à la mode étrangère."
ZEP.1.9,"On that day I will punish all who avoid stepping on the threshold, who fill the temple of their gods with violence and deceit.","Kur’ uwo musi nzohana abasimba urwinjiriro rw’urusengero bose, bakuzuza inzu ya shebuja umuryano n’uruhendo.","En ce jour-là, j’interviendrai contre ceux qui sautillent ╵sur les marches du trône, contre ceux qui remplissent ╵de violence et de fraude ╵la maison de leur maître ."
ZEP.1.10,"“On that day,” declares the Lord , “a cry will go up from the Fish Gate, wailing from the New Quarter, and a loud crash from the hills.","Maze kur’ uwo musi, ni k’Uhoraho agize, hazokwumvikana induru kw irembo ryitwa iry’ Amafi, n’umuborogo mu gice c’igisagara ca kabiri, n’ugusenyerana gukomeye kuzokwumvikana mu misozi.","On entendra, en ce jour-là, l’Eternel le déclare, près de la porte des Poissons , ╵des cris retentissants, des hurlements ╵dans le nouveau quartier et, venant des collines, ╵un fracas formidable."
ZEP.1.11,"Wail, you who live in the market district ; all your merchants will be wiped out, all who trade with silver will be destroyed.","Ni muboroge, yemwe ababa i Makiteshi, kukw abantu bose b’i Kanani bageseye, n’abagera ifeza ku munzane baranduwe.","Habitants de la ville basse , ╵hurlez, parce qu’il est anéanti ╵le peuple des marchands, tous ceux qui croulent sous l’argent ╵vont être exterminés."
ZEP.1.12,"At that time I will search Jerusalem with lamps and punish those who are complacent, who are like wine left on its dregs, who think, ‘The Lord will do nothing, either good or bad.’","Maz’ ico gihe, muri Yerusalemu nzohaseranguza imuri, mpane abantu bīrāye nka vino yireretse ku mvūzo, bibgira mu mitima yabo, bat’ Ari ciza ari kibi, Uhoraho nta co azokora.","En ce temps-là, je fouillerai Jérusalem ╵avec des torches et je châtierai tous les hommes qui croupissent tel un vin sur sa lie, se disant en eux-mêmes que l’Eternel ne fait ╵ni du bien ni du mal."
ZEP.1.13,"Their wealth will be plundered, their houses demolished. Though they build houses, they will not live in them; though they plant vineyards, they will not drink the wine.”","Itunga ryabo rizocika isahu, n’amazu yabo ahinduke imisaka: mbere bazokwubaka amazu, ntibayabemwo, batere n’imizabibu, ntibanywe vino yayo.","Leurs richesses seront pillées, leurs maisons dévastées. Ils auront bâti des demeures mais ils n’y habiteront pas ; ils auront planté des vignobles mais ils n’en boiront pas le vin."
ZEP.1.14,The great day of the Lord is near— near and coming quickly. The cry on the day of the Lord is bitter; the Mighty Warrior shouts his battle cry.,"Umusi uhambaye w’Uhoraho uri hafi; uri hafi kand’ urihuta; umusi w’Uhoraho, guhinda kwawo kurumvikana; umuhizi araborogana intuntu.","Car voici qu’il est proche, ╵le jour de l’Eternel, oui, ce grand jour est proche, ╵il arrive à grands pas, on entendra des cris amers ╵au jour de l’Eternel. Le guerrier le plus brave ╵poussera de grands cris."
ZEP.1.15,"That day will be a day of wrath— a day of distress and anguish, a day of trouble and ruin, a day of darkness and gloom, a day of clouds and blackness—","Uwo musi n’umusi w’uburake, n’umusi w’ amagorwa n’amarushwa, n’umusi w’ibitongozi n’imisaka, n’umusi w’umwiza n’ubuzinze ināni, n’ umusi w’ibicu n’umwiza w’umuzitanya,","En effet, ce jour-là ╵est un jour de colère, c’est un jour de détresse ╵et de malheur, un jour de destruction ╵et de désolation, un jour d’obscurité ╵et d’épaisses ténèbres, c’est un jour de nuages ╵et de brouillards épais,"
ZEP.1.16,a day of trumpet and battle cry against the fortified cities and against the corner towers.,n’umusi wo kwumva inzamba n’akaruru k’abirukira ibisagara vyubakiwe inzitiro z’amabuye n’iminara miremire.,jour où retentiront ╵la sonnerie du cor ╵et des clameurs de guerre contre les villes fortes et les hautes tours d’angle.
ZEP.1.17,"“I will bring such distress on all people that they will grope about like those who are blind, because they have sinned against the Lord . Their blood will be poured out like dust and their entrails like dung.","Nzotēza ivyago abantu, bitume bagenda nk’impumyi, kuko bancumuyeko jewe Uhoraho; kand’ amaraso yabo azosēswa nk’umukungugu, n’imibiri yabo nk’ibishēshe.","Je plongerai les hommes ╵dans la détresse, et, comme des aveugles, ╵ils marcheront en tâtonnant parce qu’ils ont péché ╵contre moi, l’Eternel. Leur sang sera versé ╵comme de la poussière et, comme des ordures, ╵leurs corps seront jetés ."
